"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",3154.4,7.6,8.9,0.6,0.1,7152.3,447.8,111.3,70.1,4.8,9.1,5.2,65.4,3,0.3,0.4,0.1,0.2,0.4,1.2,0.1,1.8,4.9,0.8,55,5.4,13.5,0,0.3,1.7,0,143.6,0.5,3.5,0.3,1,59,4.1,2.3,18,10.8,8.1,9.8,6.7,0,4105.2,0,1.4,1083.8,472.9,23.8,13.8,3176.4,-368.6
"TTL_A03",8.6,16.9,0.7,0,0.2,243.4,0.2,0,0.4,0.5,1.3,0.7,0.1,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0.1,0.3,0.5,7.8,0,1.7,1.4,0,64.2,0.3,0.2,0.1,0.3,0.1,0.1,0.3,1.8,1.6,1.9,0.7,0.3,0,571.7,0,1.5,0.9,20.4,1.4,2,150.8,-5.5
"TTL_B05_06",6.6,0.1,591.2,1.1,26,5.6,1,0.1,1.2,5089.4,32.5,53.8,0.7,5.6,57.3,1.7,0.2,0.5,0.5,2.5,0,3.6,2009.4,1.6,80.6,5.7,28.3,0.1,1.2,3.1,0,11.9,2,5.8,1.5,113.5,86.9,1.5,1,7.8,4,3.6,2,1.7,0,607.2,0,2.3,843.3,270.7,1.6,0,2019,-291.7
"TTL_B07_08",1,0.3,96.4,372.8,0.1,8.9,2.9,0,3.4,54.8,30.4,15,1.3,107.6,298.9,14.2,0.4,2,0.4,5.2,0,0.6,0.2,18.9,279.3,0.2,0.2,0,0,0.1,0,1.7,0.3,14.1,0.2,0.1,29.2,0.2,29.8,2.5,0.8,0.3,0.2,0.5,0,51.1,0,1.4,0.9,123.4,0.2,0,384,-108.5
"TTL_B09",0,0,2049.2,11.1,121.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,31,0,0.1,0,0,0,0,0,0,0,0,0,0,38.4,30.5,0,0,0,0,0,0,0.1,0,0,374.6,0,0.1,0,3.2,-1.2
"TTL_C10T12",434.1,4.7,15.7,1.8,6.6,2080.6,38.4,2.6,39.5,13.6,53.1,35.2,13.3,12.1,9.4,7.8,2.3,4.9,7,16.4,0.3,5.4,8.8,9.2,57.7,42.9,23.8,0.1,18.6,10.9,0.1,1411.4,13.9,10.1,6.6,12.6,15.8,9.2,18.2,80.2,60.8,69,94.3,18.4,0,22394.4,0,131.2,57.9,630.5,106.4,60.6,5226.1,-549.4
"TTL_C13T15",78.5,5,21.7,0.8,33.3,164.5,1214.8,2.2,70.5,6.5,12.8,20.8,58.4,6.5,5.2,10.8,2.9,5.7,9.8,65.7,0.5,44.5,12.3,12.5,62.8,32.4,43.9,0.1,10.3,18.7,0.6,37.3,13.6,7.6,4.8,8.3,28.8,8.4,11.2,37,11.9,34.6,39.8,31,0,5321.1,0,16.2,27.1,150.6,50.2,38.1,1159.4,-1177.4
"TTL_C16",73.1,0.4,0.7,0.2,0.2,48.4,4.7,47.9,5.3,1.3,5.2,1.7,4.9,4.8,0.9,5.2,1,2.6,2.1,4.4,0.2,117.3,0.4,16.5,415.9,67.6,1.2,0,0.2,6.6,0,0.6,3.6,0.5,0.3,0.7,41.9,1.4,26.2,2.1,1.1,0.8,6.3,1.8,0,82.8,0,2.2,83.3,26.3,5,2.2,95.8,-94.1
"TTL_C17_18",22.4,11.1,22.3,7.6,10.4,557.3,43.4,3.2,1366.7,9.8,54.2,72.1,46,40.3,6,13.2,9.2,13.2,10.1,15.7,0.5,21.8,14,12.1,39,191.6,55.8,0.2,15.6,23.1,3.3,75.9,356.6,25.8,38.4,95.5,9.2,103.8,29.6,94.7,58.3,49.3,77,52,0,1563.3,0,8.7,16.7,133.6,12.7,7,280.1,-524.2
"TTL_C19",666.2,36.3,38.8,38.7,54.7,131.7,36.1,7.5,44.7,366.7,202.5,41.4,89.2,36.7,24.4,14,3.2,9.6,8.8,20.5,0.8,11.7,106.3,57.1,143.7,112.9,1589.2,2.4,251.9,99.8,1.3,17.4,11.9,7.2,4.2,17.1,32.6,15.9,27.6,85.2,11.5,39.8,22.3,13.7,0,3389.2,0,7.9,14.5,155.1,37.9,27.5,1580.2,-427
