"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5806.1,185.3,7.6,24.3,0.9,7360.9,642.2,728.8,6.3,0.9,72.1,31.1,31,3.5,2.2,5.3,0.9,0.8,1.1,2.7,2.1,1.9,4.4,24.9,339.3,565,21.8,14,7.9,37.9,4.3,307.4,23.8,16,6.1,21.1,107.9,74.3,102.6,48.1,41.8,30.9,149.8,191.3,0,3834.8,2.2,222,1499.9,443.3,42.2,115.9,6622.4,-507.1
"TTL_A03",23.7,11,0,0.1,0,1147.2,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0.1,386.4,0,0.1,0,0.1,0,459.2,0,0,0,0,0.1,0.2,0.1,1,0,0.1,14.8,0.1,0,1792.5,1.1,37.5,0.2,211.6,3.2,7.8,327.2,-33.1
"TTL_B05_06",33.5,2.1,87.4,96.9,39.3,140.9,18.9,6,48.6,3843.3,117.6,4.5,12.4,113.2,858.3,107.1,2.9,3.1,4,9,11.3,3.3,636.3,3.5,100.5,864.2,32.8,4.5,3.3,41,29.2,112.7,3.4,9.6,1.3,4.5,19.7,40.4,25.3,11.3,10.5,38.5,8.2,15,0,1068.3,0.1,3.7,147.7,299.5,0.9,4.5,7978.8,-2446.2
"TTL_B07_08",21.8,1.4,19.7,26.5,1.5,72.3,8,4.2,4.8,3,120.4,14.9,5.4,465.2,7080.6,16.3,2.6,3.1,4.2,3.1,2.8,9.4,9.4,14.8,675.9,54.2,10.5,4.3,2.5,11.2,2.8,8.5,2.5,4.7,2.2,1.6,16.8,11.3,10.1,6.5,2.2,7.4,16.6,8.8,0,159.1,0.2,14.1,286,180.6,0.5,9.3,4981.4,-1040.4
"TTL_B09",13.8,0.4,1084.5,939.3,41.3,8.4,1.2,1.3,3.8,1,4.8,1.4,1.9,2.6,1.9,3.5,0.5,0.5,0.8,1.6,1.4,0.5,1.9,3.1,133,40.8,5.6,7.6,9.9,16,1.4,1.5,0.8,5.4,2.2,1,6.1,9.6,8.8,3.6,1.4,3.2,1.6,2,0,17,0.2,78.7,1733.9,0.5,1,3,35.6,-36
"TTL_C10T12",927,51.1,15.7,31.9,12.6,5109,145.5,8.8,23.7,10.9,106.8,37.7,37.2,15.6,9.8,15,9.7,8.7,14.9,13,11.7,8.7,8.7,30.8,86.5,558.4,11.5,9.6,18.7,16.5,8.2,4385.7,10,9.6,4,36,23,114.5,92.4,68.8,86.3,260.2,452.2,104.8,0,17541,4.5,13.5,139.9,682.6,176.9,329.8,6683,-2999.5
"TTL_C13T15",46.8,21.8,18.7,27.1,2.1,123.7,2151.8,8.4,41.6,1.5,45.6,15,49.6,34.4,15.5,52.8,14.2,9.5,12.6,55.6,45.5,51.4,9.1,28,265.4,277.4,37.9,22.2,12.4,35.2,13.4,40.7,5.4,23.3,0.1,5.8,13.8,58.7,73.3,66.6,51.2,351.1,121.8,191.4,0,5926.6,1.3,0.4,209.2,275.9,114.4,156.7,1127.1,-3629.8
"TTL_C16",39.8,2.2,4.1,13.9,1.6,13.3,10.7,584.8,346.1,2.2,4.4,1.1,18.3,14,7.1,72,5,5.5,7.9,41.1,53.7,205.6,1.2,21.3,3294.7,78.4,19.2,9.3,1.5,124.7,8.2,15.1,4.6,1.5,0.6,3.1,3,4.5,4.6,7.9,53,8.8,34.4,25.2,0,227.9,0.4,4.7,112.1,-38.5,7.3,29.7,465.7,-672.3
"TTL_C17_18",77.7,3.7,14.4,30.5,17.4,852,109.9,38.1,1747.7,4.6,198,89.3,110.8,87.7,15.9,49.1,30.5,24.4,26.8,32.7,25.9,15.8,23.9,42.6,207.5,1743.2,40.5,33.9,68.8,21.7,49.4,170,1157.3,229.1,76.8,307.8,65.8,438.6,191.9,223.5,219.6,369.6,172.8,154.8,0,1558,0.9,9,72.4,217.5,18.3,50,355.3,-1803.2
"TTL_C19",199.1,30.3,110.2,310.7,38.5,32.6,4.9,15.3,17.8,79.7,158.1,15.1,71.1,20.7,95.6,54.3,2.1,2.9,3.7,18.1,15.2,9.7,20.9,29.6,591.1,176.5,365.1,83.6,517.1,49.3,76.5,22.2,4.9,148,0.8,8.4,9.7,45.7,36.5,49.3,9.6,50.5,26.4,44.2,0,2628,0,0.7,9.3,122.6,61.9,77.2,526.7,-1049.9
"TTL_C20",1264.8,38,108.4,257.4,22,96.3,68.1,69.9,234.6,46.7,1601,231.8,1389,178.5,42.2,66.5,42.5,52.7,36.2,66.9,48.1,19.6,13.8,155.6,725.1,281.7,25.8,5.3,13.8,40.2,2.5,59.7,11.6,1.2,0.1,2.6,68.8,158.5,203.3,37.6,43.6,311.3,111,237.8,0,2364,0.9,3.3,35.4,234.6,15.9,19.1,1105.8,-4178.3
"TTL_C21",254.7,0.6,4.8,9.5,1.8,9.9,0.6,1.1,17.7,0.6,41.3,182.4,3.7,5.1,4.5,6,0.6,0.4,0.6,0.9,0.8,0.8,0.3,0.4,12.4,74.1,0.9,4.6,0.2,0.2,0.1,1.2,0.8,0.2,0.1,0.2,0.6,12.8,5.2,0.8,6,220.2,125.5,4.9,0,1668.1,1.1,1531.8,5.1,95.5,15.2,29.3,476.5,-1133.7
