"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",483.8,0.1,1.7,0.4,0,4403.4,106.1,959.6,203.4,0.7,2.8,0.5,59.7,5.8,8.4,1.7,2.3,0.7,2.2,1.7,0.8,35.9,3.1,0.7,68.5,152.9,16.5,0.7,6.9,0.3,0,430.7,1,0.2,0.1,7.6,21.1,5,12.1,33.8,22.6,80.4,1.4,14.1,0,3325.9,0,114.8,285.8,227.8,50.4,164.4,523.7,-1424.1
"TTL_A03",0.2,7.5,0,0,0,1.3,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0.5,0,0,0.1,0.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,19.5,0,0.1,0.4,0.5,3.3,3,0.3,-15.2
"TTL_B05_06",3.2,0,5.9,0.7,0,2.1,0.6,0.5,6.1,1203,8.2,0.1,0.3,14.5,162.9,0.5,0.3,0.3,3,1.1,0.2,0.6,481.8,0.4,4.9,5.3,30.6,0,0,0.4,0.1,1.4,0.2,0.1,0.1,0.4,1.4,1.2,0.5,2,1.2,3.3,0.3,2.3,0,47.5,0,0.2,20.2,25.4,0.6,0,45.1,-1708.5
"TTL_B07_08",4.4,0,0.4,17.8,0.1,10.1,0.3,0.7,40.3,0.7,36.7,0.2,0.4,366.1,15.6,1.3,0.5,0.4,1.3,0.4,0.1,3.7,2.1,5.9,422.2,6,3.9,0,0,0.3,0.2,3.9,0.1,0.1,0,0.3,7.7,1.5,2.8,25.9,0.9,0.9,1.1,0.3,0,67.8,0,0.3,39.7,22.7,0.3,0,146.7,-202.9
"TTL_B09",1.3,0,0.2,6.2,0.1,1.5,0,0.1,11.4,1.8,4.2,0,0,32.8,0.3,0.1,0,0,0.2,0,0,0,1.1,0.3,42.3,0.9,0.6,0,0,0,0,0.7,0,0,0,0,2.3,0.1,0.3,8.7,0.2,0.2,0.1,0,0,0.1,0,0,24.3,0.3,0,0,5.3,-142.9
"TTL_C10T12",961.3,0,1.8,0.3,0,1676.9,47,1.6,18.4,6.5,15.5,2,1.7,3,5.9,2.6,4.2,1.1,4.6,2.2,1.7,4.3,6.7,0.3,11.1,142.6,27.8,1,18.3,0.3,0.1,1788.7,2,0.2,7.1,25.8,0.5,23.8,1.8,32.1,68.9,297.7,2.1,22.4,0,10905.3,0,7.3,14.7,281.3,223.2,607.1,1358.9,-2164.6
"TTL_C13T15",24.5,0,1.8,0.6,0,29.1,1004.2,28.1,22.5,1.9,10,3.9,22.3,10.6,8.4,16.5,9.3,8.6,19.1,43.3,7.6,66.4,5.1,1.1,107.2,130.7,18.2,0.3,4.5,1.4,0.7,32.8,4.2,1.5,0.7,11.6,5,13.2,6.6,29.6,12.9,89.7,8.5,12.3,0,4652,0,3.1,74,137.2,165.9,175.9,1731.2,-2904.4
"TTL_C16",27.8,0,2.8,3.4,0,13.5,6.2,1119.3,405.6,0.9,13.1,1.5,11.6,31.7,35.8,20.8,9.3,11.5,22.6,15.3,4.7,634.6,8.2,3.6,855.7,62.7,8.4,0.1,0.8,0.7,0.6,9.7,2.9,0.6,1.7,6.4,67.5,11.7,3.1,29.3,9.3,17.8,7.4,14.4,0,533,0.2,8.3,998,93.5,9.9,37.3,1771.8,-862.1
"TTL_C17_18",23.5,0,0.3,7,0,399.3,79.1,23.2,2278.5,3,176.3,15,67.6,84.2,40.4,51.6,49.2,39.7,71.6,24.3,10.8,67.6,36.2,16.3,147.3,869.3,51.5,1.3,28,19.7,4.7,82,298.1,12.3,49.5,221.9,39.6,418.9,108.1,298.1,31.9,70.3,60.6,308.8,0,374.4,0.1,4.8,25.1,196.8,27.5,69.6,3249.8,-1718.5
"TTL_C19",149.2,0,3,13,0.1,31,15.7,15.4,21.3,90.8,186.9,7.7,31.9,46.5,132,18.8,9.4,8,16.5,10.4,1.4,15.4,47.1,20.1,239.7,150.3,208.1,2.2,59.7,7.2,5.5,56.4,5.1,1.7,8,10.5,10.6,22.5,13.2,48.5,28.7,54.6,7.5,30.1,0,1252,2.7,6.2,26.6,42.2,62.4,116.9,205.7,-532.4
