"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",414.7,0.2,0,3.1,0.1,6291.5,115.7,146.8,65.8,11.7,41.9,30.6,4.3,24.7,8,18.9,1.5,1.5,4.4,7.8,0.4,39.9,7.8,10.6,59.3,958.7,14.3,3.5,1.9,22.6,0.5,221.6,9.8,3.9,10.7,10.9,7.7,51.3,40.2,38.2,6.9,140.3,4.6,18.6,0,4116.7,0,6.8,275.7,273.1,61.6,14.3,1722.1,-4221.7
"TTL_A03",1.1,3,0,0,0,40.4,0.1,0,0.1,0.2,0.3,0.3,0,0.1,0.2,0.3,0,0,0,0.1,0,0,0,0,0.2,15.3,0.1,0.1,0,0.2,0,15.2,0.1,0.1,0.1,0.2,0,0.4,8,0.2,0,1,0.1,0.3,0,256.8,0,0.2,1.9,5.8,3.6,0.6,30.1,-184.1
"TTL_B05_06",3.5,0.2,0,3.5,0.9,5,1.2,0.5,3.2,7769.5,42.6,1.2,1.2,23.2,368.3,17.4,0.3,0.2,1.7,1.1,0.1,2.6,605.8,3,21.2,70.6,25.7,4.2,4.6,8,0.5,1.9,0.2,1,0.8,7.1,4,4.3,7,16.7,2.7,5.6,0.7,1.3,0,93.6,0,1.1,7.8,131.5,1.4,0,0,-9279.7
"TTL_B07_08",27.3,0.3,0,328.9,4.1,194.1,28,3.4,132.3,381.8,681.1,0.8,35.6,1830.2,1124.4,21.6,0.5,10.7,4.3,13.6,0.1,402.7,14,27.8,2587.3,186.2,72.1,0.2,0.1,131.2,0,250.5,0.1,0.3,2.4,0.3,272,2.3,6.5,66,0.2,5.1,8.4,5.1,0,298.1,0,0.6,3.2,579.9,0.5,0,116.4,-8691
"TTL_B09",0.4,0,0,2.3,0.7,1.3,0.1,0.1,0.8,47.3,5.8,0.2,0.3,7.4,6.8,1.7,0,0,0.3,0.2,0,1.2,6.5,0.5,25.9,1.5,1.5,0.2,0.1,2.5,0,0.8,0,0,0.1,0.1,1.3,0.7,0.3,0.6,0.1,0.2,0.1,0.1,0,1.4,0,0.3,0.9,1.8,0.2,0,24.1,-75.8
"TTL_C10T12",1679.8,0.1,0,0.6,0.1,7010.9,39.1,5.9,26.1,170.6,290.8,8.6,16.8,8.3,18.3,26.2,2.7,2.9,9.7,10.2,0.6,6.5,3.3,30,35,1271.1,14.8,1.2,5,7.1,0.4,3667.9,15.6,3.4,11.5,14.3,4,251.2,108.6,109.1,26,649.4,81.4,98.5,0,18425.6,0.1,2.8,31,757.5,234.9,107.6,13724.2,-9004.7
"TTL_C13T15",9.1,12.5,0,0.8,0.1,85.1,2158.6,19,55.9,35.2,82,9.5,65.7,23.6,25.8,23.1,7.8,7.3,17.6,181.3,2.6,193.3,5,17.7,168.3,423.4,7.4,0.9,1.2,35.6,4.3,43,8.2,39.7,6.7,8,8.9,45.7,25.9,48.4,13.8,128.7,31.8,213.4,0,5327.5,0,5,96.3,273.1,109.2,29,4861.1,-4794.3
"TTL_C16",12.9,0.2,0,0.8,0.2,85.1,15.6,1291.6,22.8,19.4,45.5,3.5,29.2,31.3,31.8,44.1,4.8,3.9,48.5,21.3,2.4,172.3,6.9,3.2,1180.1,185.6,8.8,1.2,0.7,145.5,0.4,13.1,4.9,1.5,2,4.4,140.1,73.2,118.7,17.5,9.1,35.6,3.9,81.4,0,334.3,0.1,5,91.4,107.3,10.5,4.2,2036.9,-1435
"TTL_C17_18",11.7,0.2,0,1.1,0.2,909.9,98.7,78.1,2509,27.7,169.1,30.1,107.1,54.5,23.3,33.9,24,16.4,69.3,27.5,2.9,54.7,43.5,20.6,82.3,870.7,13.7,1,9.3,130.6,10.1,30.6,902.8,81.8,35.8,163.1,18.9,1046.9,274.7,390.4,372.4,373.1,139,93.9,0,1535.5,0,5.4,80.5,290.6,30.6,11.4,2478.8,-3097.1
"TTL_C19",485.7,19.3,0,16.3,3.7,292.7,120.7,63.9,142.2,9161,2657.4,154.3,187.4,172.6,350.8,140.4,43.6,27.9,94.4,89.7,8.1,89.9,498.8,167.6,1017.6,1795.6,3168.2,464.2,578.4,615.6,62.7,90.2,31.9,97.5,138.6,175.4,54.4,628.7,691.2,689.1,321.6,533.4,61.3,154.9,0,7582.3,0.1,49,781.1,777.1,93.5,56.1,14092.4,-7606.8
"TTL_C20",957.4,0.8,0,11,2,708.1,820.8,256,600.2,7152.5,9835.9,426.7,1580.1,408.1,756.6,361,90.3,48,282.4,258.6,10.7,245.7,65.5,705.6,937.3,1745.9,34.7,15.9,7,129,10.6,102.7,67.4,25.6,165.9,94.2,32.4,366.5,295.7,193.3,85.4,2796.5,7.9,176,0,3077.5,0.5,66.3,454,1139.9,30.8,14.3,19867.1,-18385.3
"TTL_C21",96.6,0.1,0,1,0.2,113.4,102.1,21.3,52.7,416.7,974.9,2505.6,92.8,28,101.8,28.8,10,6.6,23.3,26.1,2.1,21.2,7.3,81.3,77.8,148.5,5.5,2.6,1.3,16.8,1.3,18.2,11.9,4.6,10.9,14.1,4.2,55.2,25.3,28.8,13.7,863.5,3.4,13.5,0,1796.9,2.3,1806.8,168.4,306.8,20.8,7.9,5848.2,-3546.6
