"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2099.8,16.7,1.2,0.1,0.1,3858.6,446.4,273.2,105.8,8.4,47.4,10.6,31.6,6.5,3.9,2.7,2.3,2.4,3,3.1,0.8,30.2,9.3,2.3,140.7,63.2,7,2.1,2.3,2.6,0.5,197.6,4.4,4.7,0.9,2.7,6.3,5.6,6.6,27.1,9.6,24.1,8.4,19.1,0,9423.3,1.4,19.9,612.4,104.1,1,0.8,486.7,-2087.5
"TTL_A03",14.5,205.9,0.2,0,0,349.3,10.8,0.6,0.9,1.6,3,0.7,0.6,0.7,0.6,0.3,0.5,0.4,0.5,0.5,0.1,2.1,0.7,0.3,7.1,5.2,1.2,0.9,0.6,0.4,0.1,81,0.8,0.9,0.2,0.4,0.4,0.8,0.6,2.6,2.4,4.6,1.2,1.8,0,2643,0.7,0.9,25.1,35.8,0.1,0.1,37,-7
"TTL_B05_06",6.3,1.5,6.2,0.1,0.1,4,8.3,0.4,1.8,1160.2,19.6,0.4,1.1,8.1,8.8,0.9,0.4,0.7,0.9,0.8,0.3,1.2,76.2,0.8,21.6,4,13.9,2.5,4.6,1,0.3,0.9,0.3,0.6,0.1,0.3,0.6,0.7,0.6,2.3,0.8,1.1,0.3,1.8,0,69.3,0,0,46.5,3,0.1,0,4.2,-403.6
"TTL_B07_08",0.8,0.1,0.1,0.2,0,0.6,0.5,0,0.5,1.7,7.6,0.1,0.2,28.6,10.1,0.3,0.1,0.3,0.2,0.1,0,0.6,0.6,0.2,48.7,0.2,0.1,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0.2,0,0,0,0.1,0,2.1,0,0,2.9,0.1,0,0,0.6,-60.6
"TTL_B09",0.1,0,1.8,0,0.1,0.1,0.1,0,0.1,6.8,0.3,0,0,0.5,0.3,0.1,0,0,0,0,0,0,0.9,0,4.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,21.3,0,0,0,4.5,-2.3
"TTL_C10T12",633,41,0.5,0,0,1375.7,141.4,1.1,9.1,10.5,64.5,14.9,9.3,4.7,3.7,2.2,2.4,2.3,2.4,2.1,0.6,5.5,3.1,2.2,27.9,41.8,4.3,3.4,3,2.3,0.4,609.1,5.2,4.3,1.1,2.2,2.4,6.6,4.6,31.3,24.5,57.9,12.4,22.6,0,8747.5,1.1,2.3,40.5,41.4,4.1,2.6,629.3,-2286
"TTL_C13T15",12.1,3.6,0.7,0,0,19.2,3372.5,2,7.9,6.9,12.3,2.3,11.6,6.1,4.3,4,4.1,4.4,5.1,10.6,1.7,24.2,3.2,1.6,52.4,13.8,4.4,0.9,1.5,1,0.6,6.1,2.9,2.9,0.5,1.3,1.3,2.9,2.4,10.2,2.7,9.2,2.8,14.4,0,2040.2,0.5,1.1,79.1,51.3,2.3,1.6,9222.4,-1349.8
"TTL_C16",6.3,1.2,0.2,0,0,6.9,12.9,78.2,14.7,0.8,3.6,0.5,3.1,8.2,2.3,3.4,1.6,2.7,2.7,5.9,2.3,98.2,2.6,0.6,414.3,5.4,1.2,0.1,0.2,0.8,0.1,1.2,1,0.7,0.1,0.2,4.1,1.5,0.9,1.7,1.2,0.9,0.8,7.1,0,97.7,0.1,0.1,41.6,2.4,0.2,0.1,9.1,-18.1
"TTL_C17_18",13.6,1.9,0.5,0.1,0,119.2,191.4,7.4,484.4,6,34.9,13.6,21.1,33.6,6.6,6.8,11.6,13.7,9.5,8.2,1.5,26.1,4.4,3.2,54.2,51.2,6,0.9,1.3,3.8,3.4,11.6,142.7,14.6,5.2,16.4,5.4,28.9,12.1,29.8,21.4,17.1,8.2,26.3,0,478.8,0.2,0.8,42.5,8.1,0.5,0.3,64.8,-264.7
"TTL_C19",159.9,40.4,8.8,1.1,0.6,46.5,146.9,6.9,21.1,915.8,194.2,8,32.8,82.3,59.6,13.5,8.4,14.2,12.4,14.2,4.2,26.1,120.7,17.9,427.1,79.1,365.9,61.6,125.4,21.9,7.6,14.8,7.2,13.8,2.4,7.2,7.9,14.7,14.7,49.8,14.5,22.2,6.5,37.4,0,1836.6,0,0.8,53.1,24.3,2,0.9,197.8,-1508.2
