"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",818.8,0.1,0.9,2,0.1,554.5,24.6,74.6,13.5,5.8,38,3.1,4.2,3,8.2,5.8,1.3,2.9,4.1,3.1,0.7,4.6,7.8,2.4,22.3,70.8,12.1,0.1,1.3,6.4,0.7,7.5,0.9,3.6,6.4,2.2,7.9,7.7,14.1,4.4,0.9,6.2,3.4,2.8,0,920.9,0.3,24.6,93.9,12.4,9.6,37.2,2461.2,-534.5
"TTL_A03",0.4,1,0,0,0,10.4,0,0,0,0.1,0.1,0,0,0,0.1,0.2,0,0,0,0,0,0,0.1,0,0.2,3.6,0.1,0,0,2.2,0,0.4,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0,18.7,0,1.3,0.1,0.1,0.6,1.8,6.3,-10.6
"TTL_B05_06",41.3,0,15.3,2.2,0.5,104.1,12.8,4.5,23.1,943.1,109.5,24,23.8,221.6,269,0.5,0.1,9.8,12.6,2.8,1,17.4,905.2,8.9,399,153.9,137.6,0.4,1.3,6.1,2.5,29.2,2.4,1.4,9.7,2.7,20.3,11.4,29.4,0.5,1.1,21.8,9.8,18,0,100.2,0,0.5,9.7,22.9,0.5,0.5,18.3,-3271.3
"TTL_B07_08",1.8,0,0.1,139.6,0.3,44.6,0.5,0.2,1.7,1.1,55.8,12.4,0.5,2.2,134.5,21.9,2,1,26.3,2.1,0.6,3.5,3.5,6.4,285.5,13,2.3,0,0.5,4.4,1.3,15.4,1.3,0.8,0.2,0.3,11.8,6.3,8.8,0.5,0.2,11.9,5.4,0.4,0,22.9,0,1.7,36.6,5.8,0.1,3.7,582.3,-219.6
"TTL_B09",0.2,0,1,3.6,0.2,0.2,0,0,0.1,3.9,0.2,0,0.1,0.7,2.2,0.1,0,0,0,0,0,0,1.8,0,1.8,0.2,0.2,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0,0,0.2,0,0,0.1,0,0.1,0,6.8,-8.1
"TTL_C10T12",46.7,0,0.1,0.9,0,1493.8,1.4,0.4,0.5,5.7,4.4,0.9,1.4,1,1.5,1,0.3,0.8,1.5,0.3,0.2,1.6,2.8,0.2,4,35.9,2.4,0.2,1,0.9,0.2,257.4,0.2,0.3,0.9,0.3,3.2,5.6,5.2,5.7,2.1,13.2,8.1,1.1,0,3382.1,0,0.9,2.9,27.5,33.9,94.5,1626.7,-1293.8
"TTL_C13T15",5.9,0,0.2,1,0,4.5,547.4,0.9,3.4,2.5,2.7,9.1,8.8,1.2,3.9,3.4,0.4,1.5,1.2,135.1,0.4,10.4,5.6,2.2,9.2,69.1,4.9,0,0.6,5.1,0.2,3.2,1,1.2,0.5,0.7,11.8,5.1,11.4,16.6,0.2,3.1,5.1,8.4,0,642.2,0,0.6,10.4,12.5,15.4,63.9,1143.8,-651.5
"TTL_C16",8.8,0,0.2,1,0,6.8,2.8,120.8,1.8,1.8,11.2,0.3,3.5,0.8,2.5,3.8,0.4,4.2,1.9,0.8,0.3,36.2,1.7,1.1,20.2,22.3,3.5,0,0.2,4.9,0.5,0.9,1.1,0.2,0.5,0.4,9,1.6,1.4,1.1,0.2,0.5,0.5,1.6,0,107.1,0,0.6,6.2,2.4,1.6,4.7,248,-112.2
"TTL_C17_18",5.6,0,0.4,0.7,0,66.8,5.8,2.8,329.4,3.2,20.1,5.6,6.9,8.1,3.5,5.8,3.7,3,8.1,1.1,3.6,19.2,2.7,1.3,6.8,117.6,4.9,0,0.7,3.1,5.1,6.9,31.1,1.5,9.5,38.2,3.3,64.1,13.6,70.7,7.1,13.9,10.9,67.5,0,137.7,0,0.7,4.4,5.5,4.6,13.7,257.8,-331.2
"TTL_C19",153.5,0.4,2.8,38.6,0.6,53.6,7.6,6.8,6.1,149.2,31.9,5.5,8.9,41.5,82.1,12.9,1,4.9,4.9,1.5,0.7,10.7,118.3,17.5,126.7,175.5,705.4,5.2,60,19.6,11.6,12.1,1.2,4.1,2.7,4.8,12.9,7.9,22.2,2.6,2.8,9.1,3.9,3.5,0,534.3,0,0.7,3.5,12.9,12.4,24.2,1588.3,-1306
"TTL_C20",283.1,0,0.3,13.5,0.5,106.1,25.1,16.7,29.7,254.8,259.2,19.4,71.7,10.4,9.5,35.9,1.2,31.6,4.2,3.4,3.9,61.3,8.1,4.8,35.9,86.5,10.8,0.1,50.1,4.3,0.5,6.1,2.2,1.3,3.7,1.8,5.9,8.8,23.6,7.3,0.8,24.4,3.6,23,0,281.6,0,21.9,12.4,9.8,4,7.9,854.2,-1268.3
"TTL_C21",8.6,0,0,1.2,0,3.7,8.7,2.8,5.2,7.5,6.5,9,2,2.4,3.1,1.4,1,4.4,2.3,0.6,0.5,2.8,0.7,0.4,1.8,3.8,1.3,0,1.4,0.3,0,0.6,1.8,0.1,0.5,0.4,0.3,2.8,1.3,0.7,0.2,19.9,2.3,1.1,0,566.4,0,210.3,5.6,6,3.4,3.5,380.2,-658.5
"TTL_C22",11.8,0.2,1.4,12.9,0.2,116.1,11.5,0.9,12.7,3.9,4,2.2,648.1,6.2,56.7,26.8,1.5,34.4,17.7,3.7,4.7,39.3,3.7,20,112,116.9,47.2,0,0.7,6.9,0.6,3.7,0.9,0.6,1.5,1.3,4.2,9,4.4,48.5,0.6,14.9,1.8,2,0,229.9,0,1.4,25,9,0.6,1.4,633.6,-709.8
"TTL_C23",12.2,0,0.1,13.2,0.2,30.3,5.4,1.4,1.9,7,6.7,1.2,7.5,179.1,5.7,5.3,1.9,7.7,7,1.6,0.6,4.4,5.1,8,393.1,38.2,9.8,0.1,1.3,6.7,0.3,3.8,0.5,0.9,1.3,1.3,16.9,5.1,7,4.2,0.7,4.6,1.9,4.8,0,193.3,0,3.2,29.8,4.5,0.4,5.6,580,-252.5
"TTL_C24",1.2,0.1,0.1,5.1,0.2,1.4,0.5,0.5,15.1,0.1,0.3,0.1,0.1,8.3,1220.2,243.1,3.1,218.8,103.8,47,56.2,11.7,2.6,5.7,65,174.3,1.2,0,0,2.1,0,4.3,0.2,0.3,0,0.1,0.6,8.8,10.3,4.1,0.4,1.1,0.2,1.7,0,1.6,0,0.1,5.7,20.4,0.1,0,3041.8,-1449.9
"TTL_C25",15.6,0.1,1.7,9.9,0.5,21.4,11.9,2.3,2.7,7.4,7.6,12,18.5,4.8,83.4,475.1,6.1,102.7,281.1,19.1,31.6,51.6,9.1,8,169.6,100.2,33,0.1,3.7,12.9,0.5,4.5,0.8,1.9,2.9,2,10.8,21.1,12.7,4.4,0.8,7.4,2.6,4.3,0,200.3,0,4.3,359.4,11.3,0.7,4.7,712.9,-553.2
"TTL_C26",1.2,0,0.1,0.5,0.1,1.6,0.8,0.1,0.4,1.2,0.7,0.2,1.3,0.4,1.8,9.3,90.9,12.7,10.7,18.4,0.3,23.7,1.8,0.3,8.8,20.6,1.6,0.1,0.3,1.7,0.7,1.2,1.8,17.5,86.5,2.7,2.3,13.1,11.9,29.8,0.7,2.1,6.1,7.8,0,330.7,0,8,295.9,5.4,3.1,4.8,232,-802.9
"TTL_C27",5.2,0,0.6,1.9,0.1,6.2,2,0.5,0.8,5.8,1.4,2.1,4.4,1.2,18.8,10.4,3.3,318.9,14.5,91.3,0.6,25.8,19.8,0.8,96.9,23.1,3.6,0,1.1,5.8,0.2,1.7,0.5,1,4.4,0.7,21.1,13.6,3.1,8,0.3,2.5,1.8,2.4,0,307,0,5.3,272.6,9,2,5.3,1028.4,-722.1
"TTL_C28",7.5,0,0.3,4.7,0.6,7.5,3.4,0.3,1.3,6.6,2.5,4,3.8,9.9,14.7,17.8,4.7,38.4,78,7,1.2,20.5,11.1,3.9,89.6,54.5,15.9,0.2,5,6.6,0.6,4.3,1,2,4.3,1.8,9.4,15.2,7.6,3.3,0.6,3.5,1.9,2.2,0,106.8,0,51.8,1459.4,11.6,0.7,1.2,971.2,-1497.4
"TTL_C29",1.4,0,0.1,0.6,0.1,2.3,1.6,0.2,0.3,1.8,0.5,1.8,4.3,0.7,4.7,5.4,9.7,13.7,4.7,103.4,8.8,13.6,2.2,1.7,11,100.2,124.2,0,2.9,1.7,0.9,1.4,0.7,1.5,7.1,1.5,4.2,4.3,5.7,3.9,1.5,1.3,1.8,0.9,0,489.6,0,12,648.4,8.2,2.4,10.2,495.9,-1003.5
"TTL_C30",2.2,0,0.1,1.8,0,0.7,0.1,0.1,0,0.1,0,0,0.1,0.9,0.2,0.3,0.5,2.2,3,0.6,44.5,0.4,0.1,1.5,3,19.5,104.2,2.9,13.3,1.8,2.5,0.7,0.1,0,0.4,0.2,1.2,0.9,6.4,54.6,0.2,0.1,0.2,2.7,0,94.8,0,25.6,34.9,0.8,0,0,147.5,-246.5
"TTL_C31T33",11.6,0.1,0.2,1.4,0.6,30.7,10.8,3.8,3.5,37.3,4.8,6.1,10.9,4.8,128.8,13.8,12.5,19.2,12.8,10.3,6.8,171.6,21.1,4.3,74.1,66.3,13.7,0.1,1.7,8.5,1.2,20.6,2.1,5.3,16.1,18.7,19.3,21.7,11.3,4.6,2.5,13.5,8.3,4.3,0,422.5,0,15.9,145.6,1.2,13,51.5,531.8,-336.1
"TTL_D",26,0,93.7,80,0.6,197.6,55,26.9,39.8,38,121.6,74.8,40.8,84.8,274.5,87.2,21.1,32.2,56.9,12.2,3.8,26.4,224.6,94.4,34.5,232.7,99.1,1.4,1.2,73.8,1.5,91.5,4,82.1,15.7,25.9,174,13.4,13.8,93.6,2.3,73.5,18.5,11.3,0,1273.8,0,6,22.5,0.5,0.9,1.2,540.6,-75.6
"TTL_E",21.1,0.1,0.4,6,0.1,43.9,8,16.7,59.9,2.7,8.9,2.8,3.4,12.2,39.3,6.5,1.2,8.2,4,1.5,1,4.4,15.4,50.3,12.8,43.8,8,0.2,0.6,4.4,0.6,32.4,0.3,2.3,1.3,2.1,14.8,6.2,7.2,17,0.8,9.5,3.8,22.3,0,390.6,0,44.9,6.3,0.2,0.3,1.1,24.5,-11.4
