"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2298.8,2.8,2.5,0.6,0.4,4497.1,105.1,117.4,29.5,6,111.9,10,32.2,3.8,3.4,2.1,2.3,2.3,4.8,5.5,0.6,12.8,7,1.2,31.6,50.5,3.8,3.9,2.9,2.1,0.2,95.5,2.4,3.1,1.2,3.5,3.2,5.2,6.8,19,10,15.4,5.4,8.6,0,3387.7,2.3,57.9,573.6,62,3.4,4.4,584.3,-703.6
"TTL_A03",2.6,2.6,0,0,0,47.8,0.2,0,0.1,0.4,0.7,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0.2,0.1,0,0.2,0.4,0.1,0.2,0.1,0,0,4.7,0,0,0,0,0,0.1,0,0.2,0.1,0.2,0.1,0.1,0,109.7,0.1,0.5,1.3,0.3,0.2,0.2,3.8,-35.6
"TTL_B05_06",33.7,0.7,97.6,6.2,7.5,46.7,8.7,3.2,14.8,6421.7,463.7,3.4,12.4,58.2,105,6.4,2.6,4.1,9.9,7.8,1.9,4.6,807.8,2.4,34.7,22.3,24.6,17.6,18.7,4.6,0.6,5.1,0.8,1.6,0.3,1.7,3.8,3.8,3,9,4.9,5.8,2.6,5.9,0,25.4,0,0.3,81.5,61.1,0.3,0,687.4,-8029.3
"TTL_B07_08",4.9,0,1.1,4.7,0.7,3.3,0.5,0.2,1.6,6.3,65.4,0.5,0.9,86,36.5,3.3,0.7,1.7,4.7,3.2,0.4,2.4,4.1,0.5,84.2,0.9,0.4,0.1,0.1,0.2,0,0.2,0,0.1,0,0.1,0.3,0.2,0.2,0.9,0.1,0.2,0.1,0.3,0,3.2,0,0.2,12.7,1.3,0.1,0,128.6,-166.6
"TTL_B09",1.6,0.1,29.6,2.7,3.8,1,0.5,0.2,0.8,65.1,6.9,0.1,0.6,4.9,7.2,0.6,0.4,0.6,1.6,0.8,0.1,0.4,9.4,0.2,14.3,0.5,0.4,0.2,0.1,0.2,0,0.1,0,0.1,0,0.1,0.2,0.2,0.1,0.5,0.1,0.2,0.1,0.2,0,1.9,0,0.1,69.7,0.4,0,0,6.9,-65.5
"TTL_C10T12",1530.2,10.8,1.7,0.6,0.3,3169.7,40.8,3.1,13.5,21.2,227.3,21.1,9.3,4.9,5.7,3.1,3.9,4.2,8.4,6.2,0.8,7.6,7.1,1.8,18.3,79.9,4.3,17,9,3.5,0.3,693,5.8,5.6,2.3,6.3,4.4,10.5,8,52.4,41.5,65.4,19.3,25.3,0,6251.3,4.3,28.8,74.5,89.3,11.2,12.3,3479.7,-1880.7
"TTL_C13T15",20.3,1.6,2.6,0.6,0.4,20.7,1468.6,5.3,16.5,4.6,23,3.2,29.9,7.6,5.4,5.1,5.6,5.8,13.3,47.7,3,67,3.9,2.1,34.8,35.9,4.8,4.6,3.5,2,0.8,9,3.9,3.6,1.2,3.4,1.8,7.6,6.7,35.8,7.1,20.7,8,29.3,0,1774.4,1.8,9.1,59.8,35,5.1,8.6,1186.6,-577.5
"TTL_C16",13.3,0.2,0.7,0.5,0.2,12.4,3.8,222.8,22,1,11.3,0.7,4.9,7.9,3.3,4.5,2.7,4.6,7.5,14.4,3.1,116.9,3,0.5,219,10.3,1.1,0.5,0.3,1.3,0.1,1.1,1.1,0.6,0.2,0.5,4,2.1,1.3,2.3,1.5,1.5,1.1,5.7,0,52.4,0.2,0.8,59.4,4.7,0.6,0.5,405.2,-165.2
"TTL_C17_18",29.8,0.6,1.1,0.9,0.3,253.6,40.5,24.8,776.6,6.4,117.1,20.3,37.4,36,8.7,9.8,17.6,23.4,29.1,23.5,2.1,36.6,6.4,2.8,28,108.6,5.9,3.2,3.2,5.7,2.9,12.6,138.5,18.2,10,39.5,5.8,49,20.7,50.3,36.7,21.7,13.5,26.3,0,295.5,0.6,9.1,74,16.8,1.5,1.4,259.8,-411.7
"TTL_C19",457.6,14.2,43.7,21.9,9,138.5,55,29.2,40.7,1322.5,803.6,16.6,73,148.9,163.1,24.1,21,30.3,47.2,46,6.5,42.4,221.8,17.6,336.5,174.3,433.7,341.2,419.9,35.3,6.7,21.7,8.4,17.6,5.1,19,12,31.8,28.3,85.2,23.4,33.9,11.3,41.5,0,585,0.4,11.1,119.4,89.4,5,2.3,13456.2,-3681.6
"TTL_C20",389.1,0.8,8.5,5.2,2.4,91.9,124.8,36.2,92.8,68.9,1677.5,70.5,453.3,61.9,42.3,26.4,37.4,54.5,50.2,70.3,7.2,53.8,13.3,7.9,108.5,33.5,7.1,5,4.2,2.9,0.3,8.1,8.1,2.8,1.5,3.6,6.8,12.5,9,13.6,8.3,50.6,4.2,23.6,0,291.5,0.7,22.5,87,32.9,1.3,1.1,6817.1,-2418.5
"TTL_C21",44.2,0.2,0.4,0.2,0.1,17.1,4,0.7,1.7,2.5,52,146.7,7.1,1.1,1.3,0.6,1.7,1.3,2.5,1.9,0.2,2.2,0.6,0.4,3.3,4,0.5,0.7,0.5,0.3,0,0.8,0.3,0.4,0.2,0.5,0.3,5.2,0.6,9.9,2.2,182.9,0.8,2.6,0,368.4,0.7,195.6,41.4,5.9,0.7,0.9,131.6,-378.3
"TTL_C22",32.9,0.5,2.7,1.5,0.6,126.9,37.8,10.5,28.4,6.3,96.7,11.2,217.3,18.9,8.5,15.7,35.2,54.7,69.7,178.8,8.6,49.1,3.2,3,178.1,54.7,19.3,1.8,2.9,3.3,0.5,4.1,3.3,2.6,0.8,2.2,3.2,6,3.9,7.2,2.9,7.9,1.7,11.4,0,127.2,0,2.6,91.6,8,0.2,0.1,1185.7,-779.3
"TTL_C23",20.8,0.1,2.2,2.7,1.1,52.9,8.3,8.9,3,4.7,42.2,7.2,17.6,305.2,25.4,14.1,19.3,23,24.5,47.4,4.3,16.5,5,2.4,1020.4,15.3,2.5,1.5,1,1.3,0.1,4.2,0.7,2,0.4,1.3,10.2,4.4,1.9,6.6,3.3,4.7,1.3,4.9,0,135.3,0.1,2.3,129,12.6,0.2,0.2,567.6,-369.7
"TTL_C24",7.1,0.1,12.5,1.4,2.4,16.6,5.5,6.9,7.6,6.3,55.5,2.2,29.6,35.5,1154.7,485.6,90.8,422.5,623.6,495,49.2,127,7.1,7,398,12,3.5,1.5,0.7,2.1,0,0.5,0.8,1.2,0.2,0.7,1.8,3.8,0.9,2.1,0.7,1.2,0.4,6,0,5,0,0.7,238.3,31.3,0,0,1505.7,-2644.2
"TTL_C25",21.7,0.4,6,1.5,1.2,45.7,10.3,12.2,6,5.4,31.1,2.1,16.5,14.9,43.8,114.3,27.4,53.7,179,144,17.7,45.9,7.6,2.5,287.8,17.9,3.6,2.6,1.7,2.1,0.1,2.3,1.2,2.8,0.7,1.4,3.1,4.9,2.6,11.1,2.2,2.9,1.4,8.7,0,92.4,0.2,4.1,544.6,5.7,0.3,0.1,724.7,-854.4
"TTL_C26",4.4,0.1,0.8,0.2,0.2,5.7,2.7,0.8,2.3,3.5,6.9,0.9,2.9,1.9,2.5,3.3,203.3,33.5,28.5,25.1,3.4,12,3.6,0.6,22.7,11.2,1.7,1.2,1.5,1,0.3,1,3.3,23.9,5.4,2.9,0.7,6.8,2,7,3.6,9.1,1.5,18.4,0,180.9,0.3,7.3,1114.6,4.7,1.1,1.6,332.1,-780.3
"TTL_C27",7.6,0.2,1.3,0.5,0.3,7.9,3.5,1.4,2.2,2.8,8.9,0.8,4.3,3.8,8.6,8.2,64.8,198.5,84.8,86.3,7.5,23.1,17.6,1.2,146,16.4,4.1,1.7,1.7,1.2,0.2,1.9,1.5,11.4,1.6,1.8,2.4,4.2,2.1,5.3,1.9,2.8,1.5,15.6,0,166.5,0.2,1.6,727,7.6,0.6,0.5,1059.1,-890.7
"TTL_C28",46.5,0.6,12.7,3.8,2.6,29.3,12.6,6.9,11.1,20.3,30.3,2.7,13,15.2,20,20.5,27,40.2,366.4,133.4,16,41.4,14.8,3.5,118.1,26,6.8,5.6,5.9,3.3,0.3,2.4,2.1,6.3,1.6,2.6,2.5,6.2,4.5,12.8,2.6,5.3,1.8,12.6,0,113.3,0.3,3.6,2800.8,17.5,0.2,0.2,2273.8,-2643
"TTL_C29",11.8,0.2,1.5,0.8,0.4,11.2,5.1,2,2.5,2.3,8.5,0.9,6.2,4.8,20.4,9.9,9.6,19.7,51,1148.1,8.1,16.1,2.8,1.7,27.8,70.7,27.7,2.1,3.2,3.3,0.6,1.2,0.9,2.6,0.6,1.5,1,3.3,4.2,6.8,1.4,2.3,0.9,9.2,0,557.4,0.4,3.8,2397.8,32.5,0.8,0.6,3767.1,-2814.8
"TTL_C30",0.4,0.3,0.1,0,0,0.3,0.1,0.1,0.1,0.1,0.3,0,0.2,0.1,0.2,0.3,0.7,0.5,2.2,13.1,45.4,8.8,0.1,0,1.3,1.3,3.8,8.4,13.1,0.4,0,0.1,0,0.1,0,0.1,0,0.2,0.3,7.2,0.1,0.2,0.1,1.2,0,44.9,0,3,557.1,0.7,0,0,47.8,-288.9
"TTL_C31T33",42.3,1.1,6.8,2.3,1.6,30.9,23.8,11.7,11.3,10.2,27.9,3.8,9,12.5,16.7,10.1,16.5,14.6,34,33.9,7,92.7,19.1,3.7,65.6,25.7,12.1,12.9,17.4,4.6,0.7,6.1,3.5,10.9,2.1,7.3,4.2,9.6,7.1,21.1,11.7,42.8,7.8,12.8,0,309.2,0.3,20,692.3,1.6,5.4,6.1,634.5,-369.8
"TTL_D",192.3,2.3,34,14.6,4.1,214.9,89.2,44.9,105.3,77.5,394.7,18.7,79.3,137.5,200.8,41.3,41.3,40.3,80.7,87.6,10.3,41.3,733.7,33.6,61.7,128,38.8,8.8,6.6,25.1,3.1,60.9,14.3,47.2,7.5,30.6,50.4,30.2,16.7,113.9,69.4,67.1,29.4,51.7,0,635.8,0.8,56.3,64.4,0.3,0.3,0.2,47.6,-318.9
"TTL_E",13,0.2,1.1,0.4,0.2,15.2,4.8,1.9,9.1,3.4,15,1.2,3.6,5,38.5,3.4,1.8,2.1,4.5,3.7,0.5,2.4,6.7,18.4,10.2,8.9,1.9,1,0.6,1.3,0.2,4.8,0.9,1.7,0.5,2.1,5.6,2.7,1.9,19.1,5.6,6.8,2,4.7,0,104.1,1.8,67.3,15.1,0.1,0.2,0,4,-13.2
"TTL_F",26.5,0.3,3.9,1.4,0.9,15.2,6.8,4,4.1,17.1,17,1.7,5.2,10.4,7.3,5.8,5.1,5.9,13.3,10.2,1.7,8.4,19.2,5.8,450.2,21.1,10,3.9,3.8,6.2,0.5,5.3,2.1,9.1,1.4,7.4,53.8,10.9,4.3,49,12,9,4,6.4,0,84.1,0.7,19.2,7458.2,0.8,1,0.6,49.8,-103.2
"TTL_G",539.6,5.3,35.1,9.1,5.4,863.4,530.7,57,134.7,1423.7,678.3,71.4,183.1,113,185.6,92.2,115.7,146.8,254,559.4,27.4,129.5,210.5,11.1,400.5,252.7,100.3,65.4,71.4,17.8,3.1,113.5,29,31.6,9,19.3,13,34.6,23.9,64.4,26.8,95.6,16.4,52.2,0,2193.7,2.5,76.1,2145.8,78.3,19.7,5.4,2754,-7851.3
"TTL_H49",86.8,0.9,24.5,10.2,3,182.1,44.6,29.1,43.9,135.9,153.7,9.4,36.9,71.2,52.9,25.4,23.3,29.4,65.2,87,5.9,28.8,32.6,5.9,109,213.7,131.6,21.8,11.8,44.7,7,9.6,9.5,8.5,3.3,10.9,3.7,15,12.5,35.8,17.5,15,5.7,21.2,0,809.2,0.7,78.9,242.3,13.4,28.1,18,336.6,-700.4
