"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1577.1,47.2,2.9,1.2,0.2,31194.6,307,118.1,170.3,6,4181.2,2.7,101.6,13.3,42.7,0.5,0.4,0.2,0.3,1.8,0.1,47.4,2.1,3.6,40,911.5,1.3,0.3,0.8,0.2,0,632.3,38,1.6,0.2,0.8,5.5,5.3,22.4,24.1,82.8,91.6,7,355.2,0,4093.4,0,25.2,3145.5,-9.6,37.8,7.6,4367.3,-1607.4
"TTL_A03",1,6.7,0.5,0.1,0,225,0.3,0.8,2.7,0.1,0.2,0.1,0,0,0.1,0,0,0,0,0.1,0,1,0.1,0,0.1,0.1,0.1,0.1,0,0,0,34.2,0.6,0.1,0,0,0,0.2,0.1,11.1,6.8,6.8,0.3,5.9,0,5238.2,0,0.2,0.2,0,2.5,0.6,14.3,-414.1
"TTL_B05_06",7.7,0.9,746.5,79,17.4,220.1,108.7,19,198.9,21725.9,232.1,14.6,31.8,29.7,923.4,82.4,7,9.5,10.3,72.3,1.7,4.6,616.3,112.5,23.7,26.6,90.2,1.9,13.6,2.8,0.3,14.7,2.1,11.1,1,3.7,7.1,32.2,6.5,17.5,5.5,4.6,2.7,13.4,0,318.5,0,0,23.4,0,1.4,0.5,12,-4134.9
"TTL_B07_08",168.5,8.6,64.8,798.8,2,17.1,12,4.9,33.4,31.9,1123.8,4.8,15.5,759.1,1962.1,88.6,3,12.4,59.5,25.4,5,15.2,0.9,16.3,976.3,6.6,0.5,0.1,0,0.3,0.1,2.8,0.8,1,0.1,0.5,90.3,1.4,0.8,8.3,2.1,2,0.9,27.8,0,119.3,0,0,18,-1.1,0.3,0,2977,-739.1
"TTL_B09",0.5,4.7,456.5,84.2,6.9,2.9,0,0.1,2.9,271.6,5.5,0,0.3,29.6,4.3,0.3,0,0.1,0.3,0.3,0,0.1,7.6,0.3,50.7,0.2,0.2,0,0,0.4,0,0.4,0,0.1,0,0.1,23.3,0.9,1.6,5.7,0.5,0.8,0.1,0.9,0,0.5,0,0,0.3,0,0.4,0,18.3,-34
"TTL_C10T12",1189.9,159.6,28.6,14.7,0.8,8520.9,578.8,6.8,57.8,75.5,358.5,150.6,55.9,22.1,41.1,14.2,9.7,10.7,17.3,22.8,2.9,27.7,75.7,9.3,89.8,52.3,26.7,0.3,39.2,2,0.1,1209.9,244.6,9.8,1.6,35.9,12.3,10.1,7,744.4,31.4,66.5,2442.1,4248,0,48941.9,0,5.6,97.7,-11.1,168.3,30.1,8661.8,-2831.7
"TTL_C13T15",55.8,1.6,43.6,110.9,0.7,150.9,7715.5,57.9,81.6,12.7,81.3,22.5,100.9,97.7,7,14.5,16.4,6,51.5,45.9,8,231.2,15.5,2,254,78.4,135.5,23.7,65.7,9.8,0.3,188.3,53,16.2,1.8,40.8,18.1,119.3,196.5,13.2,15.5,86.9,8.6,2147.5,0,18911.8,0,0.5,36.7,-0.7,96.9,23.4,2989.3,-2095
"TTL_C16",33.8,1,2,1.9,1,18.8,13.2,729.2,55.8,1.3,86.1,10.2,10.7,135.4,3.1,27.8,50.8,2.7,25.6,45,19.1,764.6,39.5,0.4,1550.1,8.6,0.3,0.1,0.1,5.1,0.3,0.4,5.3,1.7,0.2,0.2,122.6,0.6,17.4,2.3,2.7,1.2,0.1,7.6,0,285.9,0,0,51.1,-2.8,7.1,1,1005.5,-101.8
"TTL_C17_18",3.1,0.3,18.2,103.6,1.7,578.9,204.1,47.2,2878.8,34.6,191.7,91.6,253.5,142.7,35.6,67.1,81.1,61.6,45.1,60.1,15.9,215.6,19.2,10.2,135.4,323.1,48,9.1,16.4,19,7.7,1242,736.4,223.3,194.3,396.7,226.2,2865.7,2047.9,231.1,487.7,1647.7,11.5,1147.9,0,1496,0,0,71.7,-7.6,17.3,2.5,1942.3,-1240.2
"TTL_C19",1842.7,58.8,566.1,526.6,22.4,660.5,1134.2,203.9,801.4,8717.2,3971.6,426.7,1951,744.9,1252.5,324.8,333.2,337.2,277.2,283.8,99.2,380,396.2,137.6,1666.9,484.8,3929.9,75.9,590.1,38.4,7.7,226.7,74.6,62.3,2.7,56.8,241.5,77.8,95.5,835.1,70.4,138.7,30.5,447.4,0,11363.1,0,5.1,19.9,-2,51.8,13.5,945.7,-1780.9
"TTL_C20",4133.2,72.2,253.5,256.9,14.3,842.4,1350.7,295.9,1568.8,3906.5,6767.3,589.2,3798.2,742.6,968.9,415.2,284.4,505.2,355.6,643.6,93.7,667.3,131.6,281.7,2891.8,472,90.8,1.9,7.5,4.9,1.2,110.9,110.3,44.5,8.7,48.5,350.1,75.2,53.3,865.4,100.9,271.9,47.8,280.6,0,7782.2,0,1.6,113.8,-6.7,17,2.7,1751.4,-6128.6
"TTL_C21",220.2,3.9,11.1,36,0.4,108.7,35.5,3.4,17.1,34.1,158.9,149.6,26.7,58.4,87,11.5,12.4,4.9,18.2,24,2.4,7.8,19.1,4.4,85.5,20.5,13.9,0.6,2.3,1.4,0.2,2.4,1.9,7.5,3.4,9.4,27.6,19.3,7.4,578.6,33.9,221.4,144.7,169.5,0,6985.6,0,195,32.5,-0.5,15.4,2.2,338,-1253
"TTL_C22",120.1,11.1,112.6,253.7,6.1,971.5,367.2,88.5,430.7,74,394.2,102.7,684.5,47.4,352,250.2,260.6,187.4,401.9,1768,222.9,403.2,45.9,51.7,2658,391.4,882.5,53.9,165.8,6.9,65.2,102.5,127,4.9,59.6,11.3,230.5,172.5,139.8,26.8,10.4,191.4,12.9,366.8,0,1842.9,0,0,108,-3.6,1.5,0.2,945.7,-1201.6
"TTL_C23",23.4,0.8,131.9,34.5,4.6,103.2,16.8,52.3,15.4,10.2,192.9,38.1,6.5,877,248.3,28.2,49.2,87.3,20.7,221.1,3.3,109.6,5.4,1.4,7451.5,30,3.1,0.1,0.5,0.5,0.1,52.2,0.8,1.6,0.4,1,607,2.7,10,68.2,13.5,21.1,48.5,449.4,0,480.9,0,0.1,42.2,-2.6,0.7,0,707.5,-489.5
"TTL_C24",86.3,5.2,381,135.2,10.8,124.6,16.7,36.2,125.6,43.2,255.2,15.4,111.3,265.2,4865.4,2188.2,363.9,898,2575.5,2009.4,488.3,653.8,52.4,56.9,2315.2,186.6,16.7,0.6,1.9,1.1,0.9,5.6,7.7,21,4.7,5.6,48.6,17.9,45.3,45.1,20.2,23.7,1.7,21.9,0,613.3,0,0,288.9,-25.2,0.4,0.1,6473.7,-1563.4
"TTL_C25",56.7,4.4,990,139.2,9.2,553.3,82.9,62.2,119.1,106.2,373.6,30.3,70.3,78.2,1215.8,344.6,242.2,169.9,853,588.9,72.4,217.4,173,26.5,1902.4,74.9,12.9,0.8,1.7,0.9,0.7,21.3,10.8,54.6,1.6,2.3,84,10.7,32.4,181.8,7.8,32.5,2.7,56.9,0,653.7,0,2.1,3855.6,-17.6,1.8,0.1,836.9,-1412.6
"TTL_C26",4,0.2,58.2,19.4,0.9,18,9,1.7,35,11.6,23.5,7.4,11.6,16.1,30.5,4.2,1799.1,87.1,136.4,112.6,6.4,214.4,39.4,1.8,109.8,39.1,17.3,0.7,2.6,12.7,0.6,193,16.5,27.4,61.1,21.1,16.7,611.9,471.4,94.7,228.8,434.4,3,186.1,0,4761.5,0,0.7,8861.9,-105.6,23.5,3.2,1019.7,-7634.7
"TTL_C27",7.2,0.6,315.8,29.7,1.8,100.5,26.5,7.4,17.6,47.2,75.2,13.2,50.4,54,92.5,28.3,611.4,380.7,354.2,440.8,57.1,147.5,430.3,11,625.5,43.7,202.5,3.8,3.5,5,1.4,23.5,19.7,79.8,4.5,11,42.6,87.9,70.7,57.2,18.2,27,7.9,710,0,2974.3,0,0,2344.6,-18.2,8.5,1.1,894,-2258.6
"TTL_C28",10.7,1.6,1039.6,343.2,19.5,437.6,224.7,44.2,154.6,167.8,379.5,28,117,241.2,698.5,118,123.5,226.1,750.5,657.6,59.2,316,75.8,32.6,1059.2,24,39.2,5.6,3,4.7,2.5,7,10.1,56.3,11.4,8.5,122.6,42.2,37.6,56,50,47.8,40.3,95.4,0,633,0,0,13956.6,-64.5,1.7,0.2,2684.1,-6735.9
"TTL_C29",7,0.6,60.3,23.3,1.7,50.9,14.4,5.9,11.9,12.3,45,13.9,24.6,20.1,72.4,17.7,31.7,53.7,357.9,4833.4,11.2,936.3,38.4,4,127.8,795.6,1300.5,49.3,136.5,119.3,0.7,9.2,51.4,48.2,8.8,17.6,96.7,149.5,207.8,22.9,51.1,68.4,13.1,39,0,12972.8,0,0,8267.7,-41.8,12.8,2.3,4989.8,-4845
"TTL_C30",1.1,0.1,1,4.9,0.2,1.2,0.2,0.2,0.7,0.2,0.5,0.2,0.1,0.2,0.6,0.3,0.8,0.3,2.1,23.5,1797.8,46.6,5.7,0.5,41.8,140.6,289.3,0,0,0,0.1,20.7,12.3,8.5,0.5,0.4,21.9,5.2,4.4,40.8,3.5,4.7,3,1.1,0,2641.8,0,0,1504.2,-8.4,0.2,0,1002.3,-1434.2
"TTL_C31T33",15,5.7,342.9,25.4,17,82.5,110.7,12.8,50.2,47.4,60.5,28.8,26.3,39.6,141.6,7.8,31.1,71.7,35,141.4,10.3,214.4,16.4,5.6,195.3,85.1,287.2,236,175.7,322.1,26.2,75.5,42.2,393.9,91.2,287.3,405.5,372.5,374.8,427.8,255.4,745.9,154.8,1137.4,0,5191.9,0,0.1,3966.2,-19.8,80.2,16.5,1381.7,-767.7
"TTL_D",151.5,10.6,845.3,227.7,16.3,647.5,432.5,85.9,433.3,350.1,685,41.6,216.4,549,1646,175.8,84.1,135.2,175.9,302.5,56.5,158,5924,130.1,359.2,670.1,107.6,3.3,3.7,33.6,0.5,194.2,89.7,85.7,1.7,135.6,55,59,63.1,1080.5,153.5,101.8,45.8,3852.5,0,9089.7,0,0,5.7,0.1,2.9,0,38.1,-971.9
"TTL_E",3,1.5,28.4,16.4,13,32.8,23.1,5.1,23.3,67,48.1,3.8,10.5,20.7,239.5,10,6.5,7,12.2,22,6.9,183.5,51.5,97.7,61.1,48.8,5,0.2,0.2,3.4,0.2,20.6,5.2,2.3,0.4,7.6,3.7,3.7,3.5,292.2,7.5,5.6,2.2,219.5,0,4505.6,0,0,8.6,0,0.5,0,0,-32
"TTL_F",0.7,0,436.7,1.5,9.2,44.9,16.9,5.2,18.9,26.5,61.4,4.1,10.5,48.3,32.5,4,50.5,9.8,11.1,208.4,12.5,5.9,4.2,0.5,2963.7,44.9,5.8,0.2,0.2,6.4,0.2,3.2,38.9,38.9,1.3,210.8,5504.6,25.1,19.3,1884.5,488.1,103,3.9,1502.3,0,10.6,0,0,88692.1,0,3,0,0,-57.4
"TTL_G",1256.2,66,636.4,412.9,18.6,4380.8,2457.5,311.2,949.5,2525.8,2128.5,315.7,986.1,664,1111.8,322.5,1023.3,392.2,717.6,1995.9,372.2,1031.5,519.1,119.3,3462.1,1271.6,2087.3,54,255.3,73.9,23.3,908.7,312.5,163.2,64.2,226,400.9,1347.7,1076.1,1204.5,296.8,797.5,804.4,2916.1,0,48132.1,0,111.6,9946.3,0,254.8,37.5,7215.2,-10828.3
"TTL_H49",459.6,40.7,717.8,526.6,12,2181.6,760,119.1,415.9,857.7,964.8,146.2,398.5,531.8,1112,237.3,269.3,174.7,367.7,687.2,100.1,282.7,247.4,32.5,1240,918.9,1273.5,15.2,52,60.7,19.5,373.2,119.6,83.3,30.4,74.7,134.6,349.1,430.8,305.2,178.4,467.3,161.2,1372,0,15950,0,8.2,2108.9,4.9,391.5,53,2113.6,-1666.8
