"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",10.4,0,6.1,0.3,0.1,0.1,0,0.5,0,0.1,0,0,0,0,0,0.5,0,0,0.3,0,0,0.1,0,0.1,0.1,4.3,0,0,0,0,0,4.4,0,0,0,0.1,0,3.6,0.1,12,7.1,4.3,0,0,0,16.6,0,0,25.8,0,2.3,0.2,0.1,-50.5
"TTL_A03",0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.1,0,1.1,0.3,0.2,0,0,0,3,0,0,0.1,0,0.2,0,0,-4.1
"TTL_B05_06",0,0,796.3,76.1,6.7,0.1,0,0,0,465.3,1.3,0.2,0.2,0,0,0,0,0,0.7,0,0.1,0.2,10.8,0,0.6,8.6,0.1,0,0,0.3,0,0.1,0,0.1,0,0,0,0.3,0.3,0,0,1.1,0,0.1,0,29.9,0,0,314.2,-1.3,0,0,2111.1,-1
"TTL_B07_08",4.6,0,98.6,183.1,16.4,2.7,4.1,0,1.8,0,1.2,1.2,0.3,26.4,6.6,2.6,0,4,1.3,0,4.4,0.4,6.2,3.7,320.8,8.7,14.1,26,0,0,0.2,10.8,3.2,68.3,16.8,91.4,0.4,51.3,4.5,28.4,0.5,11.4,0.3,0.4,0,15.7,0,0,1.4,0,0,0,0,-41.2
"TTL_B09",0.2,0,1,4.1,0.4,0.1,0,0,0.1,0.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0.1,0,0,220.8,0,0,0,2.1,-1.8
"TTL_C10T12",2.8,0.2,4.3,1.2,0,2.9,0,0,0.1,1.4,0,0,0.1,0,0,0,0,0,0.2,0,0,0,2.4,0,0.1,10.2,0,0.2,0,0,0,11,0,0.1,0,1.4,1.5,1.2,0.3,14.1,8.7,0.8,0,0,0,97.7,0,0,36.3,-0.1,10,0.1,0.1,-186.3
"TTL_C13T15",0,0,35.3,0.3,0.6,0,24.3,0,1,0.6,0,0,0,0,0,0.3,0.1,0,0.2,0,0,0.3,0.4,0,0,2.4,0,0.1,0.2,0,0.3,0.1,0,0,0,0,0.8,0.7,1.3,22.9,4.2,0.8,0,0,0,12.1,0,0,5,-0.3,6.8,1.1,41.1,-86.7
"TTL_C16",0,0,0.3,2.5,0.2,0,0,0.2,0.4,0.7,0,0,0,0,0,0,0,0,0.1,0,0.6,1.3,0.3,0,7.4,0.2,0,0,0.1,0,0,0,0,0,0,2.1,0.1,1.5,0.4,2.4,4,0.6,0,0.1,0,1.3,0,0,0.6,0,0.4,0,0,-24.7
"TTL_C17_18",0,0,5.8,1.2,0.1,0.6,0,0.1,0.9,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0.3,4.3,0,0,0,0.2,0,0.2,0.1,0,0,1.8,0.5,2.3,0.2,17,1,0.3,0.1,0.1,0,7.5,0,0,0.5,0,1,0,0,-37.4
"TTL_C19",0.1,0.2,146.2,77.6,2.1,0.1,0,0.1,0.1,50.6,0.7,0.1,0.4,0,0,0,0.1,0,1.5,0,0.3,0,4.6,0.3,14.3,49.1,10.4,21.5,97.6,0.4,0.1,0.1,0.1,0,0,0.1,1.2,3.8,9.6,226.8,0.2,0.3,0.2,0.2,0,151.5,0,0,0.5,-0.3,3.7,2.7,74.6,-8.5
"TTL_C20",0.1,0.1,6.6,1.3,0.1,0.4,0,0,0,11.6,1.1,0.1,0.8,0,0,0,0.4,0,0,0,0,0.1,0,0.7,0.4,1.7,0.1,0.1,0.3,0,0,0.4,0,0,0,0.1,0.9,0.9,0.4,28.7,0.4,18.3,0,0.3,0,12.4,0,0,1.3,0,0.9,0,0,-80.2
"TTL_C21",0,0,1.5,0,0,0.1,0,0,0,0.5,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0.2,0.2,0.1,6.6,0.1,4.1,0,0.1,0,2.6,0,6.6,0.4,0,0.9,0,0,-20
