"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",11188.1,129.9,34,20.6,5.9,22646.5,9.3,7102.7,1094.8,21.7,532.8,4.2,225.7,11.2,11.5,9.4,1.9,2.4,8.7,19.6,3.2,40.1,56.1,2.3,1489.5,130.4,69.5,1.4,2.4,26.7,9.1,1195.6,14.8,6.5,7.6,27.5,15.9,53.8,15.8,334.5,38.7,61.8,22,42.3,0,12981.7,0.1,1.5,75.9,488.3,288.3,61.8,21766.2,-8466.9
"TTL_A03",94,54.7,0.2,0.1,0.1,1615.9,0,0,0.1,0.1,0.5,7.2,0.2,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0.1,0,1.6,0.9,0.3,0.2,0,0.2,0,204.2,0.1,0.1,0.1,0.4,0.1,0.3,0.2,1.6,0.2,0.3,0.1,0.1,0,666.2,0,0,6.1,39.1,12.2,0.4,1047.9,-331.3
"TTL_B05_06",500.5,8.9,6897.7,468.7,838.1,610.5,25,185.4,466.1,42130.3,3213.5,42.4,124.6,457,1337.5,167.7,22.4,23.4,130.9,124.5,58.7,134.7,2728,44,3003.2,2887.9,456.5,43,63.6,225.2,223.2,250,167.7,60,57.9,1111.2,2054.9,493.1,354.6,939.2,998,964,161.4,398.8,0,5700.5,0,0.1,1964,1049.7,19.1,9.5,93588.1,-21583.1
"TTL_B07_08",376.6,8.1,363.5,206.8,64.2,43,2.5,8,142.1,355.1,369.4,7.6,22.5,1485.6,15360.2,33.6,9.1,10.2,55.9,30.1,16.2,2493.1,299,3.8,1927.2,225.9,14.6,3.8,3.2,55.4,2.7,18.8,25.8,20.5,16.1,141.9,45.3,93.1,48,402.3,49.9,208.8,9.7,19.3,0,206.7,0.1,0.3,282,145,4.4,3,14301.4,-7088
"TTL_B09",6.6,0.1,8826.2,1113.7,795,9.4,0.4,1.7,2.9,5.4,4.2,1.2,2.5,3.5,2.9,3.7,1.4,0.7,3.2,5.9,4.1,2.6,9.1,1,13699,80.7,4.9,0.1,1.3,2.3,0.9,5.7,4.8,8.4,12.1,66,19.8,31.2,18,29.6,7.1,15.6,3.1,6.5,0,43.8,0,0.2,5266.1,0.7,2.1,7.9,731.6,-186.2
"TTL_C10T12",3541.2,230.6,162.7,49.7,36.3,13785.1,27.2,30.2,114.4,27,163,62.2,65.2,39.9,47.5,52.2,23.2,13.5,64.2,51.9,45.7,91.6,71.3,19.1,449.2,1045.5,55.7,6.5,23.7,43.1,11.9,11283.8,103.8,73.5,79.4,408.9,191.7,343.6,197.1,473.2,330.3,1058,299.1,154.5,0,62319,0.3,20.2,428,783.5,1216.3,288.8,17842.6,-19907.3
"TTL_C13T15",132.4,28,13.6,7.8,4.3,59,780.4,12.6,98,5.5,80.2,6.7,194.4,20.6,11,14.8,4.2,3.7,21.8,266.4,6.9,423,7.8,6.7,964.2,144.2,14,2.9,1.7,16.9,1.7,150,29.4,8.3,6.7,23.6,12.2,99.3,21.3,239.9,154.4,418.6,58.5,113.7,0,14211.8,0,2.6,108.9,189.2,346.8,38.6,806.6,-14753.6
"TTL_C16",133.9,3.7,39,16.6,10.4,122.5,20.5,2851.9,2093.1,20.2,29.4,9.1,72.7,53.9,29.3,46.8,5.5,4.5,34,39.6,30,1021.1,29.3,10.7,9672.4,223.2,50.7,3.5,17.5,10.5,8.8,24.9,12.5,13.3,15.8,78.5,36.7,48.7,41,103.9,19.2,71.9,16.3,17.4,0,743,0.1,1.3,231.1,149.8,49.6,7.8,8905.6,-2340.4
"TTL_C17_18",221.6,22.7,129.1,29.9,22.5,1808.8,43.6,104.6,4589.5,41.2,194,78.2,190,120.6,37.6,109.1,54.6,52.7,99.4,62.1,46.7,212.3,44.1,36,737.2,2092.5,70.6,9.6,18.8,104.7,67.2,255.9,1071.1,386.3,200.5,887.6,165.7,889.4,342.8,561.6,659.6,815,352.3,492,0,4750.9,0.1,2.1,831.6,216.9,152.5,76.7,13319.9,-5787.3
"TTL_C19",3235.3,162.5,1774.7,1104.3,953.1,356.3,33.4,278.8,268.6,3139.8,1603.9,82.3,283.8,242.5,468.5,131.4,20.4,26.2,79.9,81.7,62.5,525.6,483.8,485.5,6687.1,3870.6,8028.8,742,3711,401.3,520,414.3,154.1,292.6,126.8,1078.7,1107.3,685.2,1824.1,2084.6,1319,1682.8,186.7,805.1,0,18104.4,0,3.8,103.1,571,517.1,374.3,13104,-16151
"TTL_C20",4250.2,25.7,690.3,648.5,159.9,471.5,376.8,463.2,1422.1,663.9,9125,1274.4,4565.6,391.7,1024.2,379.4,61.6,197.9,265.9,680.8,101,406.5,243.7,37.6,2521.9,841.1,293.8,19.7,81.9,153.5,50.4,164,213.9,110.7,137.5,389.7,199.3,598.3,679.9,671.8,367.8,1179.9,92,606.3,0,7300.5,0.1,46.5,292,382.5,170.8,118.2,14361.3,-19663.6
"TTL_C21",62.8,6.3,29,12.6,6.9,74.5,4.9,9.1,20.3,9.5,81,999.1,41.8,9.9,17.8,13.3,5.7,3.8,13.6,18.9,7.5,22.8,11.7,6.2,120.6,63.4,10.2,1.2,2.6,6.1,1.7,18.8,15.5,10.1,7.9,39.9,22.3,31.6,19.6,4255.6,49.5,1789.4,17.3,33.7,0,6267.3,0,2768.7,420.4,123.5,118.8,9.2,3377.1,-10078.3
