"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1849.5,1,2.8,0.3,0,7503.7,8.9,297,51.5,13.4,91.1,87.9,37.1,2.5,2.8,3,11.7,3.1,4.9,0.7,1,17.6,34.7,2.5,46.1,494.7,20,37.3,5.3,4,0.7,368.3,1.4,1,2.7,10.8,7.7,56.1,66.2,280.1,7.1,85.6,15.7,29.7,0,3824,0.4,166.8,657,0,110.4,200.6,190.5,-4055.1
"TTL_A03",0.4,11.4,0,0,0,5.4,0,0,0,0,0.2,0.4,0,0,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0.2,1,0.2,0.4,0.1,0.1,0,1.3,0,0,0,0.2,0,1.2,0.2,0.7,0,0.5,0,0.1,0,186.6,0,0.4,4.7,0.2,6.9,1.1,13.2,-185
"TTL_B05_06",3.2,0,114.4,7,1,71.8,0.4,2.2,29,795.6,291.6,42.5,7.8,180.1,895.7,3.8,3.7,4.2,147.7,1.7,0.9,18.3,1650.3,8.5,157.8,287.5,68.5,47,13.9,15.4,5.4,2.4,2.8,1.6,5,30.7,1.9,60.7,19.2,193.8,9.2,32.5,4.9,14.7,0,190.2,0.1,1.6,30.9,0,4.5,0,10.9,-4050.7
"TTL_B07_08",1.8,0,12.5,4.5,0.3,17.1,0.2,0.8,8,100.9,380.8,14.4,2.9,145.8,802.4,2.9,3.7,4.3,52.1,0.5,0.5,7.8,137.3,3.9,181.1,72.2,17.4,13.6,3,6.4,1.3,0.8,0.7,0.5,1.2,6.2,1.4,16.9,6.1,56.4,1.8,5.6,1,3.5,0,49,0.2,0.2,6.1,0,1.6,0,14.6,-1479.1
"TTL_B09",0.2,0,4.7,0.2,0.1,0.9,0,0.1,0.7,2.2,5.2,1.2,0.2,1,2.2,0.2,0.4,0.2,2.8,0,0,0.5,5.6,0.3,3.2,3.8,1.7,0.7,0.3,0.4,0.2,0.1,0.1,0.1,0.4,1.2,0.4,2.8,0.6,4.9,0.2,0.8,0.1,0.3,0,0.9,0.1,0.2,3.2,0,0.7,0,0.4,-22.4
"TTL_C10T12",1469.7,0,1.7,0.2,0,5969,46.1,10.7,23.2,106.1,666,785.9,14.5,4.2,7.8,7.2,49.4,30.3,7.6,0.5,7,11.7,7.9,23.2,17.1,778.9,311.3,724.3,173.2,9.2,1.1,5061.8,8.3,1.4,2.8,46.5,4.8,103.2,20.2,1281.1,87.7,1637.8,32,86.3,0,24004.8,1.7,2.1,37,9.2,459,470.1,9348.9,-11097
"TTL_C13T15",51,0,2.6,0.3,0,62.9,790.2,4.1,45.9,33.5,104.2,63.4,34.9,64.2,12,12.5,233.5,14.8,42.4,20.5,22.6,175.6,4.4,22.1,128.5,323.7,42.1,46.4,13.6,14.3,14,41.7,13.6,0.4,1.3,33.3,8,62.6,55.5,187.4,5.4,115.6,47.8,78.1,0,7015.7,0,19.3,139.7,-10.2,210.6,52.6,1032.1,-7649.3
"TTL_C16",18.9,0,28.4,2.6,0.2,89.7,6.7,2625.5,26.5,5.1,25.4,21.1,54.6,44.5,58.5,124.1,314.5,85.3,99.2,5,21.5,924.4,87.6,18.7,3891.5,547.6,20.3,21.4,5.2,33.1,3.7,5.1,3.3,6.2,2.9,12.1,39.5,76.1,55.7,134.6,21.7,22.4,38.9,138.1,0,630,0.3,0.7,91.8,0.8,21.2,22,1163.1,-2409.8
"TTL_C17_18",10.7,0,3.4,0.7,0,262.5,18.9,67.2,1077.9,27.7,241,286.9,120.7,51.5,25.6,62.1,208,93.3,65.8,4.8,10.2,75.5,44.8,30,70.5,1671.9,46.7,34.3,11,42.5,55.6,57.6,1405,51.8,50.4,340.8,21.1,549.8,266,279.4,31.6,93.5,29.4,137.3,0,900.8,1.2,1.8,58.8,-0.5,59.4,56.8,1997.3,-3039.4
"TTL_C19",132,0,24,4.5,0.2,137,30.7,41.3,53.1,584.7,809.6,428.8,320.7,115.5,266.9,81.5,323.3,233.1,59.5,4.9,12.1,69,273.6,34.3,329.5,1299.4,690.5,546.2,245.5,237.1,33.3,92.9,8.8,5.5,13.8,28.6,17.2,167.6,105.5,256.4,33.1,132.6,49.6,67.6,0,2099.4,0.4,0.9,36.1,0.8,161.5,50.2,413.8,-4986.2
