"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",606.9,7.2,0.7,1.2,0,2151.3,5.3,332.5,154.5,0.3,2.8,0.5,49.8,3.6,1.7,2.1,0,0.3,0.3,0.1,0.3,8,31.3,0,47.2,3.7,1.3,2.5,0.3,1.5,0,122,0.6,0.1,0.7,1.3,0.6,4.3,2.7,10.4,12.2,4.2,9.2,13.8,0,2168.9,0,89.6,382.5,11.1,5.4,12,1000.9,-411.4
"TTL_A03",20.9,98.1,0,0.4,0,573.7,1,0,0.1,0.3,1.7,6.5,0.3,0.2,0.2,0.1,0,0,0,0,0,0.1,0,0,0.3,0.7,0.2,1.7,0.1,0.1,0,42,0,0.1,0.1,0.7,0.3,0.3,1,1.3,0.8,1.3,1.7,2.9,0,607.1,0,2.9,0.6,1.9,0.4,3.6,425.5,-10.1
"TTL_B05_06",1.9,0.8,1.7,6.9,0.1,11,0.3,0.1,0.4,1450.8,4.9,0.9,0.3,11.1,86.1,0.2,0,0.1,0.2,0.1,0,0.1,42.4,0,3.4,1.7,7,3.5,0.9,0.2,0.1,0.2,0.1,0.2,0.2,0.5,0.1,2.5,1.4,0.3,0.1,0.1,0.1,0.1,0,71.1,0,0,16.7,0.9,0.2,0.1,1.1,-1636.8
"TTL_B07_08",11.8,0.2,1.1,59.9,0.3,11.4,1.5,0.8,1.5,5.9,13.9,0.2,4.1,31,69.8,13.2,0.1,2.9,3.5,1.6,0.3,2.7,1.9,0.2,61.5,10.4,2.8,1.8,0.4,1.1,0.4,1.4,1.4,2.5,2.6,5.4,1.2,20.1,8.2,1,1.1,1.1,0.9,0.7,0,101.9,0,1.6,97.1,-44.3,0,0.3,8343.6,-90
"TTL_B09",0,0,0.3,0.1,0.1,0,0,0,0,0.8,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,29.1,0,0,0,2.8,-7.7
"TTL_C10T12",346.4,189.4,0.8,8.8,0,1148.2,19.9,1.8,4.5,8.2,34.1,5.5,3.5,6,7.1,2.2,0,0.7,1.4,0.7,0.1,2,2.1,0.2,14.1,41.6,24.1,15.9,5.8,4.6,0.3,507.4,2.7,7.3,3.9,18.5,6.8,24.2,41.5,16.9,15.6,21.1,11,25.3,0,7480.4,0,50.4,31.8,3.2,25.6,70.5,2133.5,-830.9
"TTL_C13T15",13,20.4,0.1,9,0,30.7,227.2,1.9,8.9,3.8,9.7,1.1,27.5,5.3,5.3,4.5,0.1,1.5,2.5,0.4,0.4,15.5,1,0.4,93.5,32.9,20.8,6.5,3.8,1.9,0.4,28.4,3.6,5.2,1.9,17.1,1.4,14.5,46.9,7.4,2,6.3,15.1,7.7,0,2488.8,0,3.9,43.4,4.4,15.6,25.4,207.8,-1106.8
"TTL_C16",46.4,15.5,0.2,3,0,33,0.7,50,36.4,1.2,7.7,0.4,0.7,1.5,1,2.6,0,0.3,0.4,0.6,0.3,36.6,0.6,0.1,455.4,160.3,37.9,17.9,11,1.8,0.2,1,3.8,1,0.5,20.3,0.2,2.4,2.8,1.6,0.6,0.7,0.4,4.5,0,43.7,0,0.4,37.9,-3.6,1,3.8,669,-71.7
"TTL_C17_18",8.2,11.8,0.9,7.9,0,290.1,9.7,8.2,278.9,74.3,65.5,11.7,11.1,44,7.4,7.1,0.2,3.7,4.9,0.4,0.7,3.9,4.5,0.9,46.9,216.4,68.3,25.5,16.5,18.1,3.8,16.7,112,43.5,10.3,47.8,8,301.5,90.2,16.3,28.3,5.7,4,16.7,0,759.8,0,0.6,18.1,2.2,2.5,5.8,804.6,-388.2
"TTL_C19",224.6,87.3,1.1,179.7,0.8,85.5,5.5,6.3,15.7,199.2,39.5,0.4,12.1,76.2,39.1,10,0.1,2.5,3.2,2,0.6,9.8,28,2.9,166.3,86.8,785.1,149.8,97.4,11.4,1.6,15.5,2.4,4.2,1.4,7.3,7.5,86.1,107.9,21.8,7.4,8.7,3,9.1,0,1284.8,0,0.1,5.6,5.9,7.8,24,124.2,-482
"TTL_C20",293.4,6.2,2.3,243.7,0.4,148.3,54.6,19.5,46.4,151.5,408.2,4,213,45.8,141.2,69.1,0.4,10.4,19.7,8.4,1.6,26.5,9.2,4,259,109.8,52.3,15.7,9.4,3.3,1.3,9.1,11.7,4.9,4.3,24.3,9.9,61.1,84.8,12,13.2,51.3,21.1,22.7,0,1351,0,1.1,20.5,5,2.4,4.8,380.2,-1523.6
"TTL_C21",37.1,9.7,0,2.2,0,20,0.5,0.1,0.8,1,42.9,130.7,0.9,0.4,0.6,0.2,0.1,0.8,0.1,0.1,0.1,0.3,0.1,0,1.7,1.1,0.6,0.1,0.1,0.1,0,0.2,1.7,0.2,0.3,2.1,0.9,4.4,3.7,8.7,0.7,6.5,0.1,1.2,0,454.8,0,0,3.1,0.8,2.4,4.3,9.9,-183.7
"TTL_C22",62.5,13.4,0.2,48.4,0.2,107.5,15.2,1.9,10.7,27.9,49.4,3.6,107.8,7.5,11.4,20.8,0.2,5.1,4.6,6,1.7,8.8,4,0.7,160.5,162.6,172.8,17.7,11.8,1.5,0.2,3.5,3.2,7.4,4.5,9.6,1.1,27.7,28.8,5,1.7,7.9,0.4,6.1,0,343.4,0,0.2,53.5,1.4,0.2,0.5,139.5,-522.9
"TTL_C23",7,1.5,0.3,43.2,0.1,54,1.5,6.1,1.2,7.1,15.3,1,3,222.4,45.6,11.2,0.4,9.4,3.5,0.8,0.3,2.9,3.5,0.6,843.2,38.7,26.6,3.8,2.3,0.4,0.8,3.9,0.7,6.9,0.3,2,0.5,18.6,3.3,2.3,1.1,1.1,0.5,1.6,0,177.4,0,0.5,30,1.7,0.1,0.7,57.1,-241
"TTL_C24",8.9,4,2,163.6,0,71.3,1.6,1.5,3.7,24.6,13.4,0.3,16.6,9.6,364.7,385.7,0.9,33.2,93.1,47.7,9.5,38.2,2.6,0.5,549,17.5,15.2,2.1,2,2.4,1.2,1.2,1.3,6.9,2.3,2.7,1.2,17.3,18.1,3.9,0.6,1.6,0.4,1.7,0,123,0,1.7,62.1,1.4,0.1,0.3,541.5,-481.5
"TTL_C25",16.6,8.5,1,149.2,0.1,102.7,4.3,2.2,12.8,94,13.9,0.6,27.9,8.7,33.5,57.5,0.3,8.8,20.4,6.3,5.1,12.6,10.5,0.7,654.2,59.3,37.5,6.9,11.1,13,1.2,6.2,2.5,11.4,2,6.1,2,15.6,29,6.3,1.6,5,2,3.6,0,293.2,0,0.4,342.3,2.2,0.3,0.5,167.4,-665.4
"TTL_C26",1.7,1.6,0.2,4.7,0,1.4,0.4,0.1,0.5,0.9,1,0.1,0.7,0.6,1.4,0.3,0.7,2.7,1.3,0.3,0.2,0.6,1,0.2,7.8,19.4,6.6,1.3,1.9,1.8,1.8,0.3,0.9,16.3,7.2,2.6,1.3,5.9,5,12.4,0.8,3.5,0.1,0.5,0,275.8,0,5,121.6,0.8,3.2,0,2.5,-505.5
"TTL_C27",6.7,11.7,0.4,33.1,0,4.6,0.5,0.5,1.9,4.4,4.6,0.3,2.4,4.2,23,1.9,0.8,34.5,40.8,10.2,0.4,7,16.4,1.3,183.3,103.4,21.9,9.4,3.8,3.3,0,0.3,4.4,24.5,6.7,0.5,7.9,20.5,22.6,12.6,1,23.3,0.3,1.5,0,386.4,0,2.6,563.6,2.5,1.2,0.6,59.1,-1293.6
"TTL_C28",12.9,16,2.3,204.2,0.2,33.3,2.9,3,13.4,32.5,17.1,0.6,15,26.9,46.3,12,0.2,6.5,27.1,6.1,4.8,26.6,10.3,1.3,220.9,87.2,35.5,10.3,24.1,6.6,0.2,1.9,3.4,15.4,15,12.3,1.4,40.7,56,33.9,1.5,4.5,3.3,1,0,487,0,0.1,2119.4,5.1,0.2,0.1,102.2,-3084.4
