"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",447795.4,19169,742.2,133.7,0.5,624567.7,122789.7,49404.4,38048.1,41.7,20059.8,65156.7,17760.1,408,93.9,218.2,24.5,138.8,216.1,50.9,31,12029.5,181.4,1340.3,34742.4,199,129.7,6.4,848.4,79,2.9,42763.6,76.1,678.7,4.4,61.4,162.8,9927.2,2143.1,20.4,898.3,1160.7,172,1399,0,408455.3,218.4,51093.4,37500,6034,1378,416,16388.3,-60117.1
"TTL_A03",804.4,20256.9,0.9,2.2,0,77130.3,393,378.9,492.9,4.8,1218.8,81.1,17.4,12.9,8.9,0.6,2.2,0.8,19.2,5.6,2.2,55.8,13.8,197.1,3.5,18.1,0.4,4.2,0.3,1.4,0.2,37148.6,12.6,64.3,0.3,5.6,14.9,1885.7,250,2.4,155.5,51.6,3.3,134.4,0,76977.7,55.1,2,5,843.7,87,30.2,1159.8,-2453.6
"TTL_B05_06",1479.6,100,87708.1,4767.7,176.2,3328.1,3131,383.4,5270.2,394157.9,78693.2,614.2,3695.9,49629.5,46415.1,3191.1,92.8,494.6,3442.6,1215.5,564.3,258.6,228005.3,901.3,1463.4,719.3,237.6,154.5,63.4,380.9,36.2,758,10.5,1.4,1769.8,420.5,38.3,631.4,229.5,751.9,830,415,13.6,214.8,0,4441.4,0.1,11.1,59.5,2837.2,99,0,1803.5,-293648.2
"TTL_B07_08",49.5,3.2,462.3,30558.4,154.4,94.7,46.1,14.6,1233.8,290,21587.7,276.1,1278.3,81742.3,280944.6,7738.3,211.4,4546.6,4720.5,1221.7,136.3,226.1,476.7,247.1,41731.5,259.4,124.3,4,2.1,89.2,1.4,7.1,2.1,0.4,1,225.3,0.9,504.6,78.9,30,7.6,4.1,2,43.1,0,2111,0.1,4.9,16.8,1274.8,72,0,3830.2,-162741.3
"TTL_B09",2,0.2,26895.6,709.4,86.8,179.8,1.1,1,0.9,82.8,14.7,0.6,1.9,8.4,7.2,3.4,2.7,2.1,3.4,1.6,0.6,1.1,107.1,0.4,1047.1,1.8,0.8,0.4,0.1,0.4,0.1,0.6,0.1,0.1,0.3,0.4,0.1,2.4,0.1,0.3,0.2,0.5,0,0.1,0,4.5,0,2.6,7.8,0.6,9.8,0,604,-404.4
"TTL_C10T12",200796.2,30720,1587.2,3438.9,34,312380.8,17833.9,1274.1,2098.1,3409,37216.4,9624.9,1343.6,2681.9,19867.6,5976,15465.3,7659.4,11627.6,2899.3,2271.7,1614.5,10108.8,5218.9,8158.9,27497.8,3862.8,110.1,4844.2,3061,1051.9,149158.3,1637.8,2619.8,2611.4,2345.4,2448.8,19772.6,2351.3,7701.1,17031.3,7634.9,2584.8,2807.5,0,785750.4,542.6,24.9,109.5,5125.3,5209,1683.2,45504.9,-56144.8
"TTL_C13T15",1068.4,53.9,7733.2,2493.8,1038.5,7869,720849.6,1687.1,16327.5,1336.2,9769.2,10489.4,10186.4,9773.5,3331.2,6742.4,8011.4,7458.2,8612.9,11993.3,3875.1,41974.9,2611.7,8055.3,10062.4,18197,5504.8,407.7,1248.6,2200.9,2440.3,8069.5,4739.6,1418.7,272,5628.7,1391.4,19948.3,4033.5,43539.3,4073.7,15086.7,1458.9,1881.5,0,236355.4,286,3.4,73.6,5938.9,2201.3,1191.7,270163.4,-28006.9
"TTL_C16",63.6,14.3,8107,760,9.4,803.6,902.1,60058.8,5374.8,91.3,1748.4,136.2,1110.4,2708.9,359.8,6340.3,1230.6,1258.5,1899.1,881,218.6,46958.6,187,495.2,73532.5,429.2,162.4,6.2,8.1,86.8,11.9,43.5,4.5,35.3,5.1,16,2.7,59.3,8.2,66,162.8,57.2,102.6,8.4,0,4457.1,33.5,2.2,113.7,592.4,234.9,63.1,12796.9,-10100.7
"TTL_C17_18",493.5,148.9,131.8,798.7,42.1,18270.7,4585.2,1789.7,141928.3,166.9,6940.1,6815.9,3289,14598.7,784.2,2996.7,7954.6,8767.3,4959.4,1532.9,435.4,13854.5,201.1,621.1,4180.6,23434.9,510.5,12.5,136.4,327,4794.9,2164.8,10594.5,1268.4,19633.9,11104.2,2225.9,79572.3,4248.1,17951.6,13803.6,117.6,264.3,508.9,0,40206.8,87.8,10.7,8212.9,1670.7,686.8,178.7,21046.9,-18227.9
"TTL_C19",10146.2,3628.4,4787.7,26227.2,1849.1,1548.4,1821,1033.3,1170.6,30700.7,99944.7,728.5,4426.7,30483.4,99098.2,5465.9,2450.9,1922.8,5240.6,1632,914.6,1845.3,18554.8,2850.5,51774,9600,70242.8,36058.4,15189.4,29896.7,2293.2,1438.1,332.1,644,395.7,2347.1,717.2,23978.2,4270.8,4986.7,3665.8,371.4,105.4,558.8,0,47010,0.5,6.1,183.3,2010.1,2208.2,553.1,32331.6,-29994.4
