"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",450.3,0.2,0,0.1,0,1172.2,0.6,4.4,0.8,0,8.3,2.7,18.9,0.1,0.7,2.4,0,0,0,0,0,1.1,0.1,0,0.9,1.2,0.1,0,0.1,0.1,0,237.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2,0,0.2,0,4461.7,0,0,371.7,5.1,2.3,1.3,4419,-293
"TTL_A03",0.2,6.2,0,0,0,31.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,239.4,0,0,0.1,0,0.1,0.1,1.6,-3.4
"TTL_B05_06",0.7,0.1,1.8,12.8,0.6,15.1,0,0.1,0,789.4,1.4,0,0,16.6,14.6,22.3,0,1,0,0,0,5.7,2.2,0.1,4.8,1.5,1.5,0.5,1,0.5,0.2,0.3,0,0,0,0,0,0,0.1,0.1,0,3.2,0,0,0,55.1,0,0,0.7,-0.2,0.2,0,70.1,-680.2
"TTL_B07_08",0.5,0,4.2,77.7,2.8,35.7,0,0,0,0.1,6.3,0.7,0.1,72.7,353.4,360.8,0,10.7,0,0,0,65.8,0.9,0,63.6,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6.1,0,0,0,33.8,0,0,0.2,0.9,0.1,0,511.5,-257.2
"TTL_B09",0.1,0,2.9,10.7,1.4,3.5,0,0,0,56.2,0.4,0,0,2.1,10.3,18.7,0,0.1,0,0,0,0,0.1,0,2.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0.2,0,0,0.1,0,0,0,5.9,-19.1
"TTL_C10T12",47.6,2.5,0,0.2,0,654.9,0.6,0.1,3.3,0,40.4,8.8,1.2,0.3,0.5,0.7,0,0,0,0,0,0.2,0.2,0,1.4,2.5,0.9,0.1,0.2,0.6,0.2,958.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,11.9,3.4,0.9,0,0.1,0,4174.3,0,0,3.6,0.9,8.8,3,806.7,-457.6
"TTL_C13T15",6.5,0.7,0,0,0,1,34.7,0,3.2,0,0.4,0.1,0.8,21.4,0,0.1,0,0,0,0,0,11.9,0,0,0.5,0.7,0.2,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.7,0,0.1,0,37.5,0,374.1,0,0,0.7,0,3.7,1.8,17.5,-92.7
"TTL_C16",0.9,0,0,0.1,0,17.7,0.2,18.3,0.2,0,0.4,0.1,0.1,0,0.1,0.4,0.2,0,0,0,0,26.7,0.7,0,0.6,0.4,0,0,0,0.1,0,0.8,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0.2,0,38.5,0,0,5.5,-0.1,0.4,0.2,78.3,-6.7
"TTL_C17_18",7.6,0,0.1,0.8,0,21.7,0.4,0.2,40,2,6.4,2.2,0.8,1.2,0.1,0.4,0.3,0.1,1.4,0.8,0.1,0.2,0.8,0.1,2.9,104.2,0.4,0.1,0.2,0.9,0.4,30.1,1.1,0.3,0.3,3.6,0.4,1.1,0.8,7.8,10.8,6.7,0.1,0.1,0,141.1,0,0,0.6,0,1.1,0.3,2.8,-62.6
"TTL_C19",99,10.8,1.6,14.3,0.7,106.6,0.6,8.6,1.7,85.3,14.3,1,6.6,2,5.3,11.7,1.5,0.1,1.4,0.7,0.1,5.8,3.2,8.9,56.8,71,287,93.4,187.1,82.9,36.2,54.1,0.2,0.3,0.2,2.8,3.6,0.5,8.8,18.2,1.7,1.5,0,1.4,0,519.4,0,0,1,0.9,4,1.5,718.2,-432.3
"TTL_C20",86.1,0,0.1,1.3,0.1,64.5,8.4,1.6,12.7,1.8,111.1,10.4,65.7,4.8,2,4.5,0.5,1.7,0.9,0,0,8.3,0.3,4.2,95.5,96.4,0.9,0.3,0.4,1.2,0.2,50.6,0.6,0.2,0.3,0.9,0.4,0.8,1.9,0.3,0.5,0.7,0,9.9,0,593.5,0,0.1,1.8,0.1,1.1,0.2,113.9,-695
"TTL_C21",8.5,0,0,0.1,0,15,0.5,0.1,0.8,0.2,10.9,47,2.9,0.2,0.1,0.3,0.1,0.1,0.1,0,0,0.6,0.1,0.3,5.5,14,0.1,0.1,0.1,0.2,0.1,7.3,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.2,1.2,0,1.5,0,380.1,0,14.2,1.1,0,0.9,0.3,2.2,-250.4
"TTL_C22",56.3,0.2,0,0.2,0,93.3,15.7,2.2,31.6,1,22.7,5.7,41.6,3.7,0.3,2,0.1,0.2,0,0,0,4.1,2.1,0,32.6,78.7,43.7,3.5,5.5,29.6,8.4,0.5,0.2,0.1,0.1,0,0,0.2,0.1,0,0,0.1,0,0.3,0,66.9,0,0,6.8,-0.9,0.1,0,12,-28
"TTL_C23",0.9,0,0,0.1,0,5.8,0,0.8,0.4,1,4.1,1.2,0.3,49.9,0.2,0.6,0,0,0,0,0,1.4,0,5.9,848.7,9,0.4,0.1,0.2,0.7,0.1,0.1,0,0.1,0,0,0.1,0.2,0.1,0,0,0.4,0,0,0,8.6,0,0,15.3,0,0.1,0,0.4,-161.8
"TTL_C24",6,0.1,0.3,3.4,0.2,11.2,0.5,1.6,2.7,0.6,2.7,0.2,1.1,0.4,43.9,131.9,0.1,5.8,0.3,0.1,0,2.6,0.5,0.2,20.9,7.3,0.6,0.2,0.3,0.9,0,0.8,0.1,0.1,0.1,0,0.8,0.5,0.5,0,0.2,0.1,0,0.3,0,2.5,0,0,92.5,-8.1,0.1,0,469.2,-141.6
"TTL_C25",70.5,0.9,2.8,23.4,2.3,64.1,3.9,10.7,5.6,2.9,5.4,0.9,2.9,1.4,12.4,145.6,0.2,5.7,1.1,0.6,0.1,6.5,2,0.8,142.8,56,3.3,1.3,1,7.5,0.8,5.4,0.6,0.7,0.5,0.2,6.1,2.5,4.9,0.1,1.6,1.1,0.3,2,0,15.5,0,0,1067.5,-17.4,0.1,0,9.7,-217
