"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",74.5,0.6,1.1,0,0.4,422,21.2,30.2,0,0,1.7,0.6,0,2.3,0.3,0.1,0,0,0,0.3,0,2.9,0,0.1,111.2,1.1,0.1,0,0,0.1,0,28.4,0.4,0.3,0.4,0,2.9,0.1,0.1,0.6,0.1,4.6,2.5,0.3,0,917.8,0,0,81.6,-0.2,0.3,0.3,630.5,-56.4
"TTL_A03",2.3,1.9,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4,0,0,0,0,0,0,2.2,-0.6
"TTL_B05_06",47.9,0,197.4,4.3,2.8,9.1,8.4,0.3,0.7,254.4,3.8,0,0,16,8,0,0.1,0,0,0,0,0.1,48.3,1.1,3.3,50.4,10.2,3.3,2.8,4.4,3.4,1.3,1.5,1.5,2,0.1,0.2,1.8,0,0,0.3,0,0.2,0,0,0.3,0,0,0.1,0.3,0,0,427.1,-176.4
"TTL_B07_08",0.7,0.1,2.7,0.9,1,0.8,0,0,0,0,0,0,0,0.2,0.1,0,0.2,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,18.5,0,0,11,0,0,0,3.8,-3.6
"TTL_B09",0.3,0,25.1,0,6.8,1.1,0,0.1,0,0.6,0,0,0,0.3,0,0,0,0,0,0,0,0,1.2,0,3.4,15.6,3.5,0.6,0.4,1.6,1.9,0.3,0,0,0.1,0,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,40.3,-5.7
"TTL_C10T12",14.7,0.3,0.2,0.1,0.1,230.5,1.1,0,0,0,10.9,3.4,0.1,0.1,0.1,0,0,0,0,0.1,0,0,0,0.2,2,2.5,0.4,0,0.1,0.1,0,206.4,2.4,1.5,1.2,0.2,0.1,0.7,0.1,21.6,0.2,2.2,0.7,0.3,0,1411,1,0.5,0.7,0,1.1,1.3,110.1,-154.6
"TTL_C13T15",0.9,5.5,4.3,0,1.3,18.2,90.5,0.1,0,0,1,0.3,0.1,0.2,0,0,0.1,0,0,0,0,0.2,0,0,17.7,1,0.1,0.1,0,0.1,0,1,0.1,0.1,0.1,0,0,0.4,0.2,12.1,1.2,13.7,5.7,8.2,0,327.4,0,0,0.2,0.1,0.6,1,185.5,-67
"TTL_C16",8,0,0,0,0,2.6,2.4,9.8,0,0,1.8,0.3,0,0.1,0,0,0,0,0,9.8,0.5,20.5,0,0,42.5,0,0.1,0,0,0.1,0,0.4,0.1,0.1,0.1,0,0.4,1.5,1.9,1,0.1,1.4,0.6,4,0,12.3,0,0,0.3,0,0,0,40.7,-1.1
"TTL_C17_18",2.6,0,0.1,0.5,0,3.1,1.4,0,3.8,0,1,0.4,0,2.5,0,0,0,0.1,0,0,0,0.1,0.1,0,1.9,1,0.2,0.1,0.1,0.3,0.1,0.1,1.8,0.6,1.3,1.1,0.2,1,0.9,3.4,4.4,0.3,0.9,0,0,51.4,0,0,0.2,0,0.1,0.1,3.5,-55.4
"TTL_C19",56.7,13.3,3.6,0.5,1,21.3,2.1,1.2,0.7,0,1.6,0.1,0.1,0.2,0.7,0.1,0,0.1,0,0,0,1,0.2,2.9,41.5,4.9,51.3,19.9,25.2,12.4,4.4,2.6,0.4,0.7,0.9,5.3,0.1,3.5,7.1,29,3.3,3.9,2.3,0.2,0,40.4,0,0,0.1,0.1,0.3,0.4,34.3,-37.9
