"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1315,114.4,102.1,10.7,0.2,6828.5,200.4,132.1,25.7,2.6,18.3,3,41.7,6.9,9.6,3.7,0.1,1.1,1.3,0.2,0,16.4,33.8,22.5,174.8,80.3,0.6,0.1,0.2,0.2,0.5,805.2,11.9,0.3,0.7,6.8,4.3,0.7,2.4,74.7,16.9,32.8,1.5,1.6,0,4743.3,0.1,6.4,1007.2,129.4,5.2,13.8,1496.4,-895.8
"TTL_A03",2.3,9.2,6.2,0.6,0,58.7,44,0,0.3,0.2,23.4,10.8,0.4,0.4,0.4,0.1,0,0.1,0.1,0,0,0.1,2.1,1.4,0.3,1.4,0,0,0,0,0,18.6,0,0,0,0.4,0.5,0,0.1,51.7,3,6.4,2.2,3.2,0,272.3,0,0.1,17.8,3,0.3,1.1,10.1,-5.7
"TTL_B05_06",16.8,1.2,703.7,21.7,0.7,25.3,11.5,1.4,15.7,3888.4,8.2,0.2,3.8,66.8,21.3,4,0,0.6,1,0.2,0,1.8,324.1,9.8,5.7,12,9.3,0.2,1.2,0.3,0.3,13.5,0.2,0.5,0.3,2.7,1,0.6,1.2,7.2,1.7,1.9,0.6,0.6,0,12.4,0,0.1,25.7,71.7,0.3,0,6181.2,-185.8
"TTL_B07_08",4,0.2,8.7,5.1,0,3.5,0.6,0.1,1.1,8.9,16.2,0.7,1.7,127,520.8,64.3,0.1,2.1,1.9,5.3,0.6,14.4,0.4,0.3,416.5,0.4,0.2,0,0,0,0,2.5,0,0,0,0.2,0,0.1,0.2,0.4,0.1,0.7,0,0.1,0,14.9,0,0.2,0.9,12.5,0.1,0,788.9,-87.5
"TTL_B09",23.2,1.7,68.9,7.3,0.2,10.2,1.9,0.5,3.7,1.8,2.9,0.1,4.8,4.7,4.1,1.4,0,0.6,0.8,0.1,0,1.1,22.7,13.6,1.6,15,0.3,0.1,0.1,0,0.3,0.6,0.2,0,0.4,3.9,1.3,0.2,1.5,7.4,2.3,2.4,0.8,0.8,0,0.2,0,0,27.6,0,0,0,4.4,-154
"TTL_C10T12",1158.6,26,2.8,3,0.4,2421.2,104.8,10.4,30,5.8,139.7,27.2,8,14.9,25.1,6.7,0.2,2.5,1.5,0.6,0.1,7.7,72.2,4.5,14.8,29,0.9,0.1,1.1,3,0.8,2332.1,1.5,10.8,3.9,14.3,0.8,11.6,7,189,43,16.4,3.3,5,0,13111.5,0,113.8,54.2,158.8,22.3,55.9,2355.7,-955.7
"TTL_C13T15",106.1,1,10,4.1,0.7,15.9,1460.4,50.2,66.3,4.9,13,1.8,56.7,5.1,8.2,5.6,0.4,4.7,1.6,9,0.8,142.2,9.6,6.3,60.5,65.3,15,0.1,0.8,4.8,3.1,61.9,14.3,31.4,8.7,5.2,1.4,4.6,11.4,144,59.1,17.2,15.1,31.4,0,4342,0,20.1,36.5,61.7,9.6,36.6,895.4,-1336.1
"TTL_C16",23.8,0.2,4.4,13.2,0,6.3,3.5,37.5,0.6,0.3,1.2,0.1,3.2,3.2,4.5,2.9,0.2,3.7,2.2,0.9,0.1,97.8,3.2,0.1,450.4,55.9,0.2,0.1,0.2,0.7,0.2,1.3,0.5,1.2,0.2,0.2,0,5.6,0.1,2.3,2.5,2.4,1.1,2.7,0,29,0,0.2,8,4.4,0.9,2.3,23.8,-59.1
"TTL_C17_18",28.4,1.7,6.9,5.1,0,245.9,39.3,12,590.5,16.2,89.4,22.5,47,74.6,16.7,12,2.1,27.8,10.3,4.6,0.5,30.5,32.8,10.6,32.5,330.6,5.5,0.1,3.3,6,27.3,12.7,70,174.1,43.5,121,7.5,60.8,128.9,99.7,76.7,55.9,22.3,25.3,0,936.5,0,11.3,44.4,23.4,2.7,5.2,212.4,-450.9
"TTL_C19",154.2,6.5,53.8,50.2,1.8,62.2,29.1,2.4,19.2,344.2,111.6,6.4,31.5,295.4,23.2,5.5,0.5,10.1,4.7,7.1,0.9,114.5,35.6,90.6,133.8,218,1165.5,28.8,223.5,29.2,18.9,32.1,5.4,94.1,11.5,3.5,4,78.7,41.5,287.6,21.8,37,3.4,6.9,0,2097.8,0,6.2,112.6,67.4,9.9,27.4,1287.4,-689.9
