"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",126.4,0.4,0,0.4,0,988.1,33.9,2,0.1,0,1.9,0.2,9.2,0,0,0,0,0,0,0,0,1.8,0.1,0.1,0.1,0.2,0.1,0.1,0,0.1,0,66,0.2,0.1,0,0,0.2,1.2,0.2,4.5,8.6,6.3,1.8,1.4,0,246,0,0.2,52.7,1.7,1.6,2.4,773.9,-155.6
"TTL_A03",0.1,2,0,0,0,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,9.2,0,0,0,0,0.1,0.2,2.8,-10.1
"TTL_B05_06",1.1,0.1,0,0.5,0,0.6,0.2,0,0.1,0.4,0.4,0,0.1,0.5,0.1,0,0,0,0,0,0,0.3,0.7,0.1,0.8,1,1,1,0.3,0.1,0,0.2,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,5.4,0,0,0.1,0,0,0,0,-14.5
"TTL_B07_08",2.4,0,0.1,4.5,0,1.9,0,0.1,0,1.2,4.8,0,0.1,19.1,0.1,0,0,0.2,0,0,0,0.5,0.2,0.2,50.5,1.8,0.1,0.1,0,0,0,0,0,0.1,0,0,7.3,0.2,0.1,0.1,0,0,0,0,0,2.1,0,0,0,0,0,0,1.4,-24
"TTL_B09",0,0.1,0,0.2,0,0.1,0,0,0.1,1,0.2,0,0,0.6,0,0,0,0,0,0,0,0,0.1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,-3.6
"TTL_C10T12",85.5,9.9,0,0,0,373.4,0.4,0,0.7,0.1,33.1,3,0.7,0.1,0.5,0,0,0.1,0,0,0,0.6,0.2,0.2,2.8,1.5,0.1,0.1,0,0.4,0,233,0.3,0.1,0,0.5,3.1,1.5,1.1,3.9,6.6,8.3,8.1,4.5,0,1288.4,6.6,3.8,0.5,1.1,7.3,8.1,1106.7,-247.6
"TTL_C13T15",3,0,0,0.1,0,6.1,250,0.1,8.1,0.3,2.3,0.3,1.2,0.4,0.3,0.3,0.5,0.3,0,0.1,0,8.1,1,1,1,10.9,0.4,0.5,0.2,0.5,0,3.3,0.1,0.4,0,1,1,1.5,1.9,3,1.8,7.2,3,1.6,0,671.8,0,0,0.5,0,4.3,8,67.1,-129.4
"TTL_C16",2.4,0,0,0,0,1.8,2.6,4,0.1,0,0.1,0,0.1,0.4,0.1,0,0,0.4,0,0.1,0,4,0,0,6,0.1,0,0,0,0,0,0,0,0,0,0,6,0.2,0,0.1,0,0.1,0,0.1,0,2.3,0,0,2.5,-0.1,0.3,0.2,13.4,-20.9
"TTL_C17_18",42.3,0,0,0,0,27.6,18.3,0.1,125.2,0.9,6.9,1.5,3.1,3.6,0.5,0.6,0.7,1.7,0,0.2,0,19.4,0.8,0.4,6.2,27.7,0.4,0.3,0.1,1.2,0.1,10,9.6,0.9,0.1,2.5,7.4,21,4.7,4,6.5,14.2,1.4,3,0,129.6,0,0,0.3,-0.1,0.8,0.9,72.5,-153.1
"TTL_C19",40.5,2.3,0.1,4.8,0,21.2,6.7,0.8,2.9,0.6,6.1,0.3,3.9,10,1.7,1,0.1,0.4,0,0.2,0,9.7,19,2,11.9,31.5,35.5,37.6,10.1,3.8,0.3,8.2,0.3,1,0,0.7,3,7.4,6.6,4.5,2.1,3.4,2.7,2.1,0,193.9,0,0,0.2,0,2.4,0.1,4.2,-419.7
"TTL_C20",131.6,0.3,0,1,0,31.9,28.4,0.3,25.4,39.5,274.7,10.7,95.7,4.2,2.3,4.7,1.1,16.4,0.4,1,0.1,28.2,0.4,1.2,17.4,21.5,0.2,0.3,0.1,0.2,0,6.4,1,0.2,0,0.3,12.2,3.4,1.7,2.2,1.8,15.9,3,9.3,0,211.1,0,0.3,0.6,-0.2,0.7,0.6,127.2,-350.9
