"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",72,0,0,0,0,420.6,0,0.2,0.1,0,2,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0.2,0.2,9.8,1.4,0,0.5,0.1,0.5,0,32.2,0.3,0.6,0.1,0.8,3.2,1.2,0.3,5.9,0.6,4.5,1.1,0.4,0,370,0,30.5,18.9,15.1,8.7,19.9,116.5,-196.8
"TTL_A03",0.1,0.6,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,8.4,0.1,0.2,0,0,0,0,0,0.9,0,2.6,0.1,0,0,1,0,0,0,0.7,0.7,1.3,21.9,-9.3
"TTL_B05_06",0,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,1,0,0.1,0,0,0,0,0,0,22,0,1,0.2,0.1,0.2,0.1,0.1,0,0,0.1,0,0.1,0.7,0.1,0.1,0,0.1,0,0,0,0,0,1.3,0,0,1.3,0.1,0.7,0,0,-15.9
"TTL_B07_08",0.1,0,0,0.4,0,0.2,0,0,0,0.2,0.9,0.6,0,12.6,0.1,0,0,0,0,0,0,0,0,0,20.5,0,0,0.1,0,0.1,0,0,0,0,0,0.1,1.4,0,0,0.6,0,0,0,0,0,2.7,0,0,2.5,1.3,0.3,0,19.8,-9.9
"TTL_B09",0,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,3.2,0,1.1,0.1,0,0.1,0,0.2,0,0,0.1,0,0.2,0.3,0,0.1,0,0.1,0,0,0,0,0,0.2,0,0,0.1,0,0.2,0,0,-6.6
"TTL_C10T12",126.3,0.1,0,0.1,0,228.6,0,0,0.1,0,1.9,2.4,0.1,0.1,0,0.1,0,0.1,0,0,0,0.7,0.3,0.1,0.7,3.4,0.7,0.6,0.3,0.9,0,295.6,2,3.9,0.3,1.4,2.3,0.8,0.2,8.5,5.5,45.4,6.9,1.9,0,1155.8,0,0.1,7.7,26.9,29.5,52.5,205.8,-604.7
"TTL_C13T15",0.3,0,0,0,0,1.5,5.1,0.4,0.6,0,0,0.2,0.1,0.2,0,0.3,0,0.1,0,0.1,0,0.7,0.4,0.1,1.2,2,0.1,0,0.1,0.4,0,4.4,0.2,0.1,0.1,0.5,0.5,0.2,0.1,0.8,0.1,2.2,0.1,0.6,0,173.5,0,0.2,0.6,2.9,13.3,1.4,1.1,-166.3
"TTL_C16",0.5,0,0,0,0,16.4,0.1,41.7,0.1,0,0.5,0,0,0.5,0,0.6,0,0,0.1,0.2,0.1,3.4,1.9,0,59.1,11.3,0,0.2,0.2,21.7,0,9.7,2.2,0.5,0.1,0.3,10.8,1.4,0.2,5.3,0.1,1.1,1.5,0,0,14.2,0,0.1,3.1,2.7,1.3,3,2,-47.4
"TTL_C17_18",0.2,0.7,0,0.1,0,9.6,0.2,0.2,30.9,0,0.5,9.4,2.9,0.7,0.2,0.5,0,0.5,0.4,0.3,0,0.6,1.6,3.9,3.7,24.2,0.6,0.4,0.4,5.7,2.4,2.6,18,3.6,3,9.3,4.5,15.1,4,4.9,3.2,2.5,3.5,2.3,0,72.8,0,0.1,0.9,3.7,3.8,6.4,4.7,-95.7
"TTL_C19",4.8,0.1,0.1,0.5,0,2.8,0.1,0.2,0.6,0.1,1.3,2.7,1,5.2,0.1,1.4,0,0.1,0.1,0,0,0.3,224.2,2.5,3.7,4.6,4.9,0.7,1.3,2.8,0.8,1.4,0.5,0.4,0.4,3.9,0.6,1.8,0.7,1.8,1.2,4.1,0.6,0.7,0,182,0,0.1,0.5,5.9,11.9,0,0,-481.4
"TTL_C20",9.1,0.2,0.1,0.4,0,7.1,0.8,2.8,4.5,1.1,1.9,15.6,10.9,4.1,2,1.9,0.4,1,0.6,0.1,0.1,1.8,1.5,1.5,5.2,4.9,0.3,0.2,0.3,1.9,0.1,3.1,4,0.9,2.4,5.6,2.3,3,2.6,1.3,0.9,3.7,0.7,3.8,0,121.4,0,0.6,1.5,3.4,3.4,1.1,22.7,-189.4
"TTL_C21",0.3,0,0.1,0.3,0,0.4,0.1,0.1,0.1,0,2.4,3.3,0.2,0.1,0.8,0.1,0,0,0,0,0,0.1,0.3,0.1,0.4,0.4,0.4,0.1,0.2,0.2,0,0.6,0.3,0.1,0.3,0.6,0.1,1.4,0.2,0.2,0.3,14.4,0.1,0.7,0,80.3,0.2,14.8,2.3,2.5,2.5,3.9,171.9,-47.5
"TTL_C22",1.3,0.3,0.1,0.6,0,25,0.6,1.7,2,0,1.8,7.5,4,9.6,0.3,12.9,0,2.5,2.8,0.6,0,3.7,1.4,0.8,17.6,34.5,15,0.4,1.5,26.4,0.1,3,1.4,0.6,0.7,1.6,2.4,1.3,0.9,1.2,1,2.4,1.1,0.3,0,49.3,0,0.7,2.4,3.4,0.4,0.1,11.4,-159.5
"TTL_C23",0.5,0,0,0,0,11.3,0,1,0.1,0,0.2,3.5,1,114.5,0.5,7.5,2.1,0.1,0.6,0.1,0,2.7,6.5,0.5,253.6,4,0.1,0.3,1.9,4.8,0,5.3,0.1,0.1,7.8,8.4,13.4,3.6,0.2,27,1.7,5.6,0.8,0.6,0,31.9,0,0.1,1.4,6.5,0.4,0.2,18.3,-104.5
"TTL_C24",0,0,0.1,0.2,0,6.4,0.1,0.5,0.9,0,0,0.8,0.3,2.4,28.9,65.7,2.2,3.5,5.1,0.9,0.1,10.4,15.9,0.2,31,1.9,0,0,0,5.6,0,0.2,0,0.8,0,3.3,3,0.1,0,17.5,0,0,0,0,0,3.5,0,0.2,2.8,3.7,0.2,0,81,-183.8
"TTL_C25",1.7,0.7,0.1,0.3,0,10.6,0.4,4.2,0.5,0.3,0.6,0.6,0.3,7.9,2.3,27.9,1.5,3.2,1.8,0.5,0.1,4,3.9,1.2,171.9,6.4,1.5,0.3,8.1,14.5,0.2,3.4,0.9,1.3,0.5,3.7,19.6,3,1.1,6.3,2.9,4.1,2.6,0.7,0,40.7,0,78.1,34.7,7.4,0.6,0.5,16.1,-151.1
