"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1432.2,1.8,7.2,16,2.3,4436.5,202.3,1085.5,158.7,17.5,77.2,7.6,26.5,4.9,14.9,5.9,8.3,3.7,8.4,35,4.3,23.8,46.1,27.5,41,281.3,16.3,0.2,1,6.9,0.4,621.4,3.9,1.8,1.8,5.6,22.5,35.4,95.3,5.1,2.5,22.5,45.4,11.9,0,3046.7,4.4,12.5,127.2,125.7,15.6,74.5,2094.1,-2091.4
"TTL_A03",1.6,0.2,0,0,0,16.1,0.3,0,0,0.3,0.2,0,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0.1,0.3,0.1,0.2,0.7,0.2,0,0,0.1,0,0.8,0.1,0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,1.1,0,40.2,0.1,0.4,0.7,1.1,0.8,2.2,23.9,-4.3
"TTL_B05_06",14.4,0.1,12.2,3.2,15.2,18.6,4.6,3.2,13.2,3141.3,310.2,1.5,23.3,39,213.3,8.8,4,3.9,15.5,21.3,1.3,13,3790.7,3.6,13.3,31.5,19.3,0.1,2.2,17.5,1,4.3,1.4,1.7,1.4,5.1,24,9.2,6.7,15.4,9.3,10.1,3.2,3.5,0,522.2,0,5.3,13.2,66.6,0.7,3.9,836.9,-5944.6
"TTL_B07_08",12,0.2,2.9,64.1,1.5,8.7,1.3,0.9,1.7,2.2,31.3,0.8,4.9,147.5,896,15.8,3.7,10.2,11,10,4.5,5,30.4,25.6,254.1,14.2,6.3,0.1,0.2,4.7,0.1,1.1,0.4,0.2,0.4,0.6,7.5,9.1,5.7,2.6,0.7,2.2,1,1.3,0,42.7,0,1.9,25.9,15.4,0.2,1.9,167.3,-923.1
"TTL_B09",49.1,0.4,8.7,0.1,33.8,0.8,0.2,0.3,0.4,40.5,7.4,0.4,2,1.5,16.7,1.2,0.3,0.4,0.8,1.6,0.1,0.5,51.1,0.2,2.1,1.1,5.4,0,0,1.5,0,0.3,0.1,0.1,0.1,0.3,1.3,36.5,3.5,0.6,0.5,1,0.2,0.2,0,10,0,0.1,1.7,-0.8,0.1,0.1,15.1,-47
"TTL_C10T12",1536,0.7,4.9,2.5,0.4,2669.2,13.9,8.8,13.1,13.4,98.9,9.5,81.7,15.6,19.6,31.5,22.8,17.2,32.4,58.1,4,19.2,34.3,14.3,33.8,270.3,25.9,0.7,6.7,11.8,1.4,861.5,8.1,2.9,7.2,13.7,60.4,58.9,60.1,59.6,56.4,121.1,21.2,19.4,0,10527.9,5.9,17.8,68.3,176.9,60.1,189.7,4024,-4322
"TTL_C13T15",55.8,0.6,26.1,2.6,0.4,21.1,552.4,3.3,10.7,3,18.4,61.7,181.7,8.4,6.3,30.4,11,21.3,50.4,597.6,10.6,83.2,21.5,19.4,39.7,166.8,30.7,0.2,0.4,1.8,2.8,15.4,15.5,1.2,2.8,2,44.2,18.7,58.8,31.9,7,136.4,41.6,18.9,0,1796.5,2.1,27.1,31.6,51.4,24.4,37.3,1392.4,-2411
"TTL_C16",70.7,0.1,15.2,4.9,0.2,19.7,2.7,640.3,137.5,3.2,17.9,1.5,51.3,56.2,197.3,46.6,20.8,11,32.9,300.5,7.6,355.9,11.6,26.9,224,89.5,8.8,0.1,0.7,15.2,1.9,18.7,10.8,1.8,3.7,3.7,571.4,53,19.7,3.1,8.5,16.3,6.4,13.9,0,173.9,0.1,3.9,32.9,30.3,3.2,11.6,1401.6,-649.9
"TTL_C17_18",15.9,0.2,1.8,1.9,0.3,230.7,23,70,1440.7,2.5,61.4,51,81.4,51,23,33.9,39.3,46.4,48.8,104.9,3.3,77.8,18.5,10.9,29.9,201.9,12.7,0.6,0.9,28.4,4.9,48.1,407.5,4.8,20,142.6,81,494.1,106,50.1,77.7,46.4,36,49,0,372.5,0.4,17.2,34.3,47.6,8.2,20.8,1771.1,-1714.1
"TTL_C19",472.3,1.1,27.9,7.9,1.8,59.1,38.9,101.9,59.6,322.9,989.4,7.3,329,138.1,191,128.2,19.4,34.5,109,257.6,14.7,66.3,456.6,111.5,532.9,1352.2,1236.5,7.1,270.9,113.9,16.5,9.8,6.5,42.6,11.9,36.1,261.2,112.3,95.8,106.1,12.2,46.4,35.9,26,0,821.5,0,4.3,20.1,45.7,25.7,27.2,439.2,-2688.5
"TTL_C20",549.6,2.6,46.7,44.3,4.1,132.6,145.8,150.5,172,40.8,1872.5,78.4,2593.7,222.3,108.5,166,76.4,268.5,202.7,526,23.5,216.6,111.4,39.6,131.1,146.7,49.2,0.5,7.4,26.1,1.4,8.3,11.8,2.6,5.3,12.7,230.5,81.4,58.8,25.5,16.1,104.6,7.9,49,0,1331.2,0.1,42.9,87,119.2,7.3,15.9,4567.7,-6766.1
"TTL_C21",24.7,0.1,2.7,0.9,0.1,15.8,6.8,3.4,9.4,4.1,34.3,130.3,47.2,5.1,3.7,6.3,8.5,6.9,8.7,44.9,2,8.7,3.8,6.4,19.1,77.7,7.5,0.1,0.9,1.7,0.3,3.6,2.6,0.7,2.7,3,10.7,64,5.1,7.2,1.7,874.5,7.1,12.2,0,748.2,0.1,1011.4,100.1,33,4.6,7.9,782,-2189.4
"TTL_C22",56.3,0.4,56.7,25.2,2.9,164.9,27.3,19.2,43.8,3.1,56.3,17.3,1744.1,75.2,35.6,592.5,447.9,221.3,228.6,3829.8,205.4,164.6,12.8,27.2,431.6,176.2,91,0.1,0.6,5.1,0.5,10.7,3,1.3,2.9,3.6,436.8,82.4,23.5,4.4,3.2,16.9,5.1,6.4,0,393.9,0.4,9.1,160.3,114.4,1.5,5,6506.1,-4730.1
"TTL_C23",23.4,0.3,8.8,15.3,2,70.9,45.9,31.3,6.5,6.8,46.4,8.1,36.2,1330.5,54,72.2,55.4,40.8,51.5,105.5,8.7,45.1,15.7,20.6,1581.8,41.6,8.7,0.3,0.9,6.6,0.4,8.7,3.8,1.5,8.8,5.3,549.8,40.3,16.7,5.7,4.4,7.2,4.5,4,0,309.1,0.1,5.2,80.7,61.3,1,4.4,2716.9,-1364.2
"TTL_C24",27.4,16.9,8.7,4,1,16.2,1.7,8.5,6.3,2.1,29.4,0.1,90.3,52.1,3104.6,2165.7,142.2,2056.7,2322.7,1906.8,198.2,387.8,8.7,507,603.7,107.2,1.2,1.7,0.2,0.7,0.1,1.4,1.6,0.1,1.1,0.2,17.9,29.4,5.3,0.6,3,0.4,1,2,0,33.2,0,0.1,204.6,184.2,0.1,0,5188.6,-9327.4
"TTL_C25",36.6,0.5,94.4,12.5,2.1,88.7,23.8,93,39.7,15.6,110.9,13.3,164.2,95.2,599.4,3565.9,329.2,377.4,1875.4,923.1,38,404.8,40.6,37.2,654.3,273.4,58.5,0.3,1.9,23.9,2.1,7.6,3.8,2,4.2,6.3,224.6,135.6,25.2,44.1,5.8,22.6,9.4,9,0,494.5,1,13.5,1130.3,132.8,2,7.1,6978.7,-3947.9
"TTL_C26",16,0.3,13.2,2.7,0.3,15.1,5.3,6.3,11.9,4.4,13.2,3,41.4,7.5,6.7,27.4,6480.2,812.2,435.1,502.9,367.9,90.3,39.2,11.2,255,103.2,76.8,0.3,1.6,33.5,12.9,55.2,32.4,288.3,71.3,104.9,20.7,251.6,15.3,54.1,101.9,80,26.9,25.2,0,1350.6,5.2,75.2,4234.2,230.3,5.7,20.6,10602.6,-13146.2
"TTL_C27",37.3,0.6,37.9,4.9,1.4,32.7,9.3,7.4,12.9,14,20.4,7.9,116.9,23,22.8,114.6,153.7,917.3,350.3,2073,71.2,266.2,213.6,15.5,763.3,306.1,42.4,0.4,2.9,14.3,6.4,31.2,3.8,16.3,12.6,10.9,198.3,79.1,34.4,39.5,10.4,28.5,15,6.7,0,862.1,0.1,16.1,1334.3,113,3.7,10.5,6957.8,-4037.2
"TTL_C28",137.4,8.7,171.5,7.5,5.2,49.4,17.5,22.6,25.4,23.9,78.8,8.7,77.1,120.3,40.7,239.3,109.6,117.8,458.9,505.1,76.1,239.3,177.6,60.6,442,227.9,37.7,0.6,4.6,19.1,2,11,5.5,4.8,6.9,6.4,90.8,75.4,38.7,22.1,7.9,33.2,9.5,29,0,241.1,0.9,32.3,6176.4,154.3,1.3,4.6,10434.7,-6062.7
"TTL_C29",74.1,0.8,9,4.9,0.8,15.8,9.3,4.8,3.7,4.8,11.7,8.7,153.6,61.5,135,96.7,103.1,979.7,175.4,12172.5,49.2,40.2,24.5,77.7,261.5,1339.8,638.1,0.4,0.8,6.1,4,6.4,2.2,5,18.5,21,40.5,74.9,56.6,15.2,5.1,12.9,8.9,9.4,0,2341.5,0.3,82.6,4739,368.4,4.8,23,27693.5,-12057.8
"TTL_C30",0.3,0.1,2.5,0.2,0.1,1,0.1,1.2,0.6,0,0.5,0.2,0.6,0.6,0.7,2.5,8.5,1.8,132.8,5.4,200.7,121.7,0.8,0.4,3.5,1.3,17.8,1.3,14.2,0.5,0.8,0.4,0.3,0.1,0,1.3,1.1,4.5,1.3,26.8,0.4,1,0.2,0.3,0,327.6,0,75.2,1060.5,7.9,0,0,1485.9,-726.8
"TTL_C31T33",131.3,2.4,53.4,7.9,4.6,114.5,54.9,31.4,69,90.4,75.5,20.1,55.4,44.3,30.7,154.9,65.4,129.1,528.9,349.2,76.8,769,118,15.2,203.9,316,141.8,2.4,17.4,75.4,2.7,79.4,6,9.3,21.2,22,103.6,123.1,29.4,85,47.3,289.5,102,28.5,0,1739.9,3,74.5,2704.2,-634.8,25.6,91.9,2678.6,-2101.1
"TTL_D",163.5,1,147.7,37.1,3.4,362.6,149.5,114.5,208.3,186.2,336.8,58.1,154.8,280.5,254.7,311.6,143.5,152.1,450.9,267.1,32.3,165.7,4225.7,144.2,450.7,571.5,318.7,0.7,5.1,544.2,24.9,189.4,30,68.5,46.3,207.6,769,246.4,95.5,416.2,249.4,306.4,95.4,75.5,0,7723.9,1.2,14.2,311.8,-1099.9,3.3,25.8,2964.9,-1190
"TTL_E",66.7,2.1,18.1,6.1,0.2,93.5,11,4.7,19.7,10.7,53.9,9.2,18.9,14.2,984.1,85.5,14,16,126.5,140.2,9.5,14.8,223.8,1143.5,162.1,155.3,33.2,0.3,1.4,20.7,1.7,46.6,2.6,2.1,7.2,20.4,226.5,55.7,123.6,117.3,41.2,100.3,19.6,15,0,1445.8,3.2,129.5,97,-2.1,1.2,3.4,98.7,-61.7
"TTL_F",122,1.2,56.3,11.4,2.4,60.1,11.5,24.5,26.9,23.1,130.9,7.6,35.1,64.2,41.4,67.2,22.1,39.2,100,71.9,6,385.4,198.5,111.8,10456.3,364,187.9,0.5,3.8,616.3,9.2,91.6,8.5,12.6,27.6,84.1,2054.4,840.8,72.8,698,86.5,198.3,76,28.2,0,539.6,0.4,15.4,19188.9,5.2,4.6,13.6,449.8,-246.1
"TTL_G",1195,6.2,141.7,55.2,8.1,2261.7,479.8,254.1,411.6,699.5,1086,252.6,1478.5,501.3,673.6,1032.6,1617.5,762.5,1001.9,4281.9,173.4,606.8,1135.5,325.1,1353,4649.5,1300.7,5.9,119.4,259.2,51.1,448,209.1,131.1,230.1,339.8,728.8,1405,635,222.4,140,811.3,239.9,163.7,0,8687.7,7.8,655.9,3305.5,348.1,101.3,238.6,12062.1,-17342.7
"TTL_H49",120.1,0.6,255.5,94.2,3.1,378,55,101.8,157.8,371.4,214.4,18.2,145.9,128.5,205.5,160.1,161.1,154.1,252.7,568.5,23.9,134.9,723.9,45.9,434.9,727.3,943.2,6.5,25.7,1444.2,39.6,43.5,17.4,8.2,20.3,50.1,91.6,104.7,112.8,73.7,18.3,58.3,21.5,34.4,0,2561.8,0.4,237.9,352.9,249.4,153.3,585,5227.3,-3082.3
"TTL_H50",1.7,0,0.5,0.4,0,2.8,0.6,1.5,1,3.2,3.7,0.3,2.9,1.7,4.8,2.5,4.7,2.7,2.9,8.7,0.5,1.2,4,0.5,3.3,3.9,4.2,0.1,0.7,4.1,0.3,0.7,0.2,0.2,0.3,0.3,2,1.1,1.7,0.7,0.2,1.1,0.4,0.2,0,102.9,0,4.2,8.2,20.8,33.9,40.9,22.8,-217.5
"TTL_H51",5.9,0,2.1,1,0.3,11.1,1.8,1.5,2.8,12.6,6,1.3,6.3,5,9.6,7.1,10.8,5.9,10.3,20.1,1.7,7.6,16.4,1.5,7.5,23.6,19.6,0.3,60.6,110.1,4.8,1.9,0.8,0.7,3.5,4.9,4.3,7,135.1,3,0.9,3.5,0.9,0.8,0,110.8,0,25.1,22.8,78.7,106.2,280.6,965.3,-605.4
"TTL_H52",137.3,0.4,163.8,71.3,20.9,82,11.6,13.3,16.1,71,77.6,2.9,58.7,202.2,96.3,118.5,31.7,56,58.8,121.6,4.5,15.8,119.8,37.7,103.2,883.3,1735.1,37,416.9,1893,86.4,10.3,13.6,10.1,11.8,8,27,64.1,709.3,10.5,9.7,36.1,26.1,32.8,0,352.7,7.4,2681.3,56.5,35.5,13.2,94,1404.8,-1540.8
"TTL_H53",6.9,0.1,1,1.3,0.3,4.1,1.7,2.5,5.6,0.2,3,2.1,5.3,6.1,2.6,14.6,2.6,1.8,1.4,22.1,0.9,7.2,66.2,9,27.2,174.3,23.5,0.3,2.2,40.5,339.6,4.1,54.6,85.9,18.3,523,28,93.9,35.4,400.4,33.3,18.5,19.7,14.1,0,121.9,0,6,2.6,0.4,3.1,6.6,54.4,-673.1
"TTL_I",30.9,0.2,7.9,0.5,0.6,27.5,6.4,4.5,3.6,1.3,18.8,3.4,11,2.4,8.7,12,5.6,4.9,9.3,38.6,1.7,21.5,33.4,14,23.9,195,203,0.3,21,7.8,0.5,126.6,5.1,5.6,27.3,16.2,163.2,178.7,192,68.6,60.2,161.6,52.4,22,0,3941.6,1.1,44.9,13.5,1.8,729.9,2109.1,95.5,-741.8
"TTL_J58T60",29.3,0.1,1.3,1.3,0.1,49,2,1.8,45,0.7,49.7,3.2,3.9,6,6.3,3.5,13.4,6.1,16.4,12.8,0.6,9.5,7.7,1.9,13.5,184.7,12.4,0.4,1,26.6,3.3,16.5,854.4,9.8,51.3,48.6,7.6,199.5,23.2,12.2,114.7,16.2,24.7,40.4,0,1034.8,2.5,411.7,714,-186.4,10.7,27.1,1014,-891.5
"TTL_J61",26.6,0.2,1.7,1.7,0.5,21.2,6.4,5.7,8.1,1.1,7.6,4.8,46.9,12.2,5.4,42.9,35.4,16.7,42.4,37.8,5.6,37.7,58.2,15.2,31.8,252.8,89.3,0.3,4.1,25.9,31.4,29.9,81.4,1545.4,120.7,132.5,116.1,205.3,42,480,48.2,57.3,36.3,21.9,0,2235.7,0.1,4,80.8,3.4,44.2,97.2,660,-1029.8
"TTL_J62_63",29.7,0.2,4.1,2.2,0.3,67.4,8,9.6,45.6,2.5,21.4,13.3,15.9,17.2,7,19.2,69.3,85.3,60.8,124,4.8,203.6,37.4,15.6,88.8,517.1,47,0.1,2.8,129.2,22.4,25.4,58.5,111.1,1772.2,691.7,112.4,464.7,76.4,108.6,87.9,52.5,84.1,104.8,0,169.7,3.3,36.6,3140.9,-9.2,2.6,5.5,1579.7,-2101.3
