"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1755.8,1.2,24,15.4,0.4,27011.5,182.2,1757.3,514.7,43.8,129,27.6,279.8,19,23.3,47.1,20.7,19.5,55.8,84.6,5.9,51.8,32.9,19.5,106.1,482.5,42,23.6,8.6,68.6,3.3,779,10,11.5,11.7,31.1,524.5,44.5,105.7,670.6,52.5,653.8,80.5,41.9,0,19815.1,2.2,40.4,3187.1,392.8,379.4,116.1,3418.1,-14242
"TTL_A03",1,21.9,0,0.1,0,171.1,0.2,0.1,0.8,0.5,2,1.2,0.2,0.1,0.4,0.2,0.2,0.9,1.5,1.6,0.1,3.8,0.4,0.1,0.9,4.7,0.1,1.2,0,0.6,0,46.7,0.1,0.1,0.1,0.1,0.1,0.6,0.3,1.6,0.3,22,4.3,0.1,0,289.2,0.2,1.4,8,4.9,23.9,6.6,199.5,-364.4
"TTL_B05_06",109.4,0.7,392.9,63.1,10.4,855,126.8,72.3,737.7,28528.4,2061.2,92.8,224.1,786.3,1506.8,378,73,125.4,241.7,363.8,29.8,98,6933.7,85.3,130.1,905.5,59.4,53.4,16.4,38.7,14.1,185.8,39.4,20.9,21.9,141.6,22.3,191,69,364,196.5,377.3,48.2,91,0,10319.1,0.3,5.2,192.1,313.8,16.4,0.5,371.4,-50431.2
"TTL_B07_08",312.9,1.8,3.3,1030.2,11,869.1,8.2,13.5,117.1,103.4,1072.5,58.3,55.1,3421.8,317.1,94,57.3,78.6,100.6,114.8,8.6,123.8,104.2,105.8,2579.9,88.7,42.2,2.1,0.7,25.6,24,47.4,8.3,35,3.5,3.1,3.6,14.8,8.1,346.6,3.9,28.2,12,8.2,0,327.9,0.2,9.1,64.2,151.1,4.1,0.6,1121.2,-6302.3
"TTL_B09",3.2,0.2,56,29.2,8.4,6,0.3,0.8,9.5,127,34.8,2.3,2.9,29.2,20.7,11.4,0.5,0.6,3.4,2,0.2,0.5,130.6,3.9,153.6,4.7,9.2,0.5,0.1,13.1,0.1,0.8,0.2,0.2,0.4,1.1,20.6,3.4,6.5,3,0.7,2.6,1.1,1.1,0,8.5,0.1,0.4,3.3,0.3,1.6,0,406.4,-514
"TTL_C10T12",3032.2,0.2,8.3,15.3,0.6,22579.2,94.7,29.9,62.6,149.1,1240.9,147.7,100.6,38.1,80.7,89.1,93.4,87.3,170.6,162.7,30.2,60.8,36.7,12.8,224.4,522,14.2,81.9,30,12.9,3.1,11490.6,37.9,12.1,5.5,23.6,9.3,180.2,26.7,974.3,296.2,5470.5,116.3,156.4,0,132182,1.7,424.5,230.4,1533.5,1493.9,709.7,20231.6,-26718.6
"TTL_C13T15",48.3,28.6,3.8,4.1,0.7,87.6,4439.4,23.2,51.3,39.4,129.8,86.4,479.1,21.9,41.8,133.3,96.4,107.6,210.5,784.8,71.9,763.3,28.4,15.1,359.5,305.4,16.2,4.4,4.7,18.9,37.5,136,21.8,9.3,18.4,24.7,6.2,32.8,39.2,106.4,13.3,353.5,84,32.8,0,32073.8,0.2,231.8,375.4,318.3,794.8,129.5,6021.9,-19919.8
"TTL_C16",97.6,0.8,16.3,14.9,1.2,344.1,48.4,4927.2,372.8,39.8,288.1,18.1,170,98.2,105,555.6,141.3,152.7,562.5,606.8,273.3,3236,171.9,127.4,5098.5,284.1,23.4,1.3,2.3,50,12.1,71.4,16.2,55.2,7,22.5,404.1,71.4,39.6,234.6,180.6,86.5,39,843.6,0,1921.7,0.3,16.4,2999.4,181.7,73,33.5,5025.4,-4312
"TTL_C17_18",101.7,5,19.4,114.2,1.3,4038.4,697.5,222.9,15866.8,224.5,1999.2,352.2,706.4,329.5,415.7,668.3,858.1,703.9,1245.9,1198.7,78.2,1008.6,212.4,164.9,687.4,6505,236.6,8.2,17.7,324.9,583,413.5,4834.1,959.6,129.1,1023.5,118.8,2080,822.5,847.9,457.2,532.6,75.2,172.8,0,9013,3.6,88.6,1549.6,603.1,185.4,96.5,16609.4,-12205.8
"TTL_C19",1384.1,8.7,30.7,111.7,21.6,1346.3,269.3,306.5,358.2,7165,3307.3,153,1241.4,467.8,2127.6,574.6,353.1,407.9,677.9,986.3,94.4,372.2,1348.1,466.9,2455.6,3408.1,3344.9,593.5,2630,2256.7,372.6,269,375.8,171.9,144.3,240.8,161.5,1074.2,673.1,1400.9,1026.9,1094.5,316.8,507.5,0,32419.3,2.6,142.3,488,543.2,601.7,318.5,10689.1,-18588.5
