"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1333.2,0.4,0.8,0.2,1.9,3444.3,4.8,93.2,4.3,1.4,14,66,4.9,4.4,0.4,9.8,5,2.1,122.1,1,0.7,60.4,64.3,27.7,191.3,200.1,14.3,22.5,6.2,37.9,4.9,229.2,30.4,16.4,43.7,26.1,28.7,132.3,168.4,82.4,70.7,145.8,36.7,22.2,0,2733.5,0,108.2,670.1,125.9,43.7,158.5,3101.5,-1321.9
"TTL_A03",7.1,3.8,0.3,0.1,0.4,577.2,0.1,0,0.2,0,5.2,1.7,0.1,0.4,0,0.4,0.4,0.2,2.7,0.1,0.1,4.4,0.4,3,24.8,17.8,3,1.4,1.2,9.1,0.3,44.8,1.8,0.6,4.8,1.4,1.8,10.9,8.3,2.8,3.2,7.4,2.5,1.8,0,177.7,0,0.1,2.6,15.9,3.1,9.5,500.3,-536.5
"TTL_B05_06",51.3,3.2,143.3,31.4,9,173.3,2.2,1.5,13.5,2344.7,67.2,18.3,9.1,77.7,26.8,14.8,1.6,1.7,15.6,1.3,0.5,4.9,1075.3,6.9,248.5,34,29.2,116.6,18,5,2.3,16.2,5.9,0.8,2,2.9,5.3,11.1,68.6,13.6,15.7,41.9,13.5,2.2,0,382.8,0,0.2,18.1,82.6,2.5,0,1404.4,-3000.4
"TTL_B07_08",7.9,0,4,3.8,1.7,7.4,0.6,0.4,4.8,0.4,4.3,1.5,4.1,134.3,0.8,6.4,0.6,0.6,5.1,0.5,0.1,1.4,33.2,0.4,111.7,5.3,0.6,2.1,0.2,0.3,0.1,0.3,0.3,0.1,0.5,0.6,0.2,0.8,3.8,2.6,3,2.6,0.8,0.4,0,16.7,0,0.1,1.5,0.7,0.7,0,3.1,-100.1
"TTL_B09",4.5,1.5,143.4,10.3,78.3,6.7,0.1,0.1,2.2,106.4,13.5,2.5,0.9,27.6,14.5,5,0.2,0.1,5.2,0,0,0.7,42.5,2.5,184.1,4.2,6.7,8,0.7,2.5,0,0.4,0.1,0.1,0.1,0.1,8.3,7.7,2,3,0.4,1.9,0.5,0.3,0,0.7,0,0.1,0.3,0,0.3,0,84.8,-91.5
"TTL_C10T12",1429.7,111,1,0.3,0.3,4425.3,16.3,1.4,7.2,1.3,246.3,195.3,8.7,4.1,0.5,4.2,5.1,2,29.5,1,0.5,33.2,17.6,12.2,16.1,182,7.9,12.3,0.8,19.8,1.7,1417.3,10.3,3.4,28.6,11,6.8,111,34.8,53.5,36,225.4,27.6,44.8,0,9295,0,18.4,7.8,306.2,168.7,386.5,9657.8,-5297.8
"TTL_C13T15",3.4,1.2,0.3,0.1,0.4,10.1,260.2,3,26.2,0.3,7.7,8.8,14.7,12.6,1.9,18.4,7.6,2.3,33.5,4.5,7.3,80.4,3,14.4,66,36.5,5.2,6.2,0.5,7,18.4,11.6,5.9,1.9,4.7,1.7,1.3,17.5,34.5,33.4,11.8,105.1,20,26.1,0,1583,0,17.3,54.4,46.6,82.1,4.7,197.8,-1379.7
"TTL_C16",4.3,0.1,1.8,0.7,0.3,17.8,1.3,174.1,8.7,0.2,9.4,3.3,14.8,12,4.6,20.6,11.6,2.7,29.8,5.9,5.2,222.1,43.4,13.8,1323,28.2,2.7,3.8,0.4,3.6,0.4,2,1.8,0.8,1.7,0.9,3,5.1,18.6,3.1,3.1,8.2,15.1,4.9,0,259.7,0,2.3,43.1,26.2,8.6,1.6,273.7,-1021.7
"TTL_C17_18",8.4,0.2,1.3,0.5,0.6,212,4.2,5.5,503.9,0.4,41.1,46.9,29.9,13.7,6.5,19.7,17.5,7.2,31.9,2,0.9,36.2,2.6,18.2,19.4,404.3,5.5,4.6,0.6,3.7,13.5,15.6,126,21.2,35.3,22.4,24.8,113.6,38.1,53.7,46.1,57,24.9,16.9,0,540.5,0.8,22.8,210.7,29.9,24.2,7.1,639,-951.7
"TTL_C19",267.4,71.4,5.8,2.2,17.4,72.3,4.9,6.9,8.4,61.9,38,15.9,17.2,94.1,4.3,35.2,6.5,4,35.2,2.7,1.2,39.7,38.8,48.9,455.5,283.4,619.5,2490.5,391.9,59.4,27.9,19.4,6.9,5.8,9,15.1,41.3,45.4,87.6,139.9,30.6,33.2,16.6,19.2,0,1478.6,0,1.4,10.9,71,62.7,53.3,565.5,-3881.7
"TTL_C20",381.1,0.7,15,3.7,7,253.3,102.9,24.6,83.6,60.1,1028.7,583.7,415.3,75.2,36.9,73.6,67.2,32.5,220.9,14.3,10.4,528.1,5.1,17,231.2,115.9,13.8,19.8,2.9,9.3,2.5,18.1,30.1,7.6,19.6,13.1,14.3,109.6,117.2,79.1,70.1,235.1,22,76.2,0,1191.1,0,65.8,422.2,108.6,21,7.6,3576.8,-3663
"TTL_C21",119.8,0.3,0.6,0.1,0.8,131.7,5.4,1.9,3.9,2.1,129.5,1020.5,21.5,3,1.2,4.6,7.8,2.2,178.7,0.9,0.6,34,3.2,10.9,26.4,144.2,3.8,6.1,1.2,7.7,3,12.4,13.9,8.7,25.4,15.3,13.2,418.8,34.2,255.8,149.9,1996.1,13.8,15.1,0,1610.2,0,761.3,1038,243.3,17.2,26.9,11985.3,-2952.5
"TTL_C22",32.1,2.8,4.6,1.8,2.7,312.4,24.3,18.8,48.7,1.5,89.8,146.4,194.5,32.6,19.9,93.3,80.2,30.1,224.2,16.7,13.8,166.9,6.5,14,642.8,628.8,21.9,10.2,2.6,14.1,3.4,16.5,14.3,7.4,15.9,6.5,14.9,37.8,44.9,64.7,45.5,125.5,33.8,18.1,0,524.1,0,60,87.5,58.4,2.6,0.7,1154.2,-1951.9
"TTL_C23",19.6,1.6,6.1,2.7,2.8,49.6,8.1,53.1,4.8,1.6,21.2,30.8,38.8,277.4,9.7,40.1,27.3,12.1,174,7.7,10.8,37.4,7.1,11.7,2054.1,43.5,16.1,19,3,6.1,1.5,6.4,2.5,3.4,8.4,9.6,93.1,12,7.1,24.4,8.2,24.5,4.5,5.3,0,430.8,0,2.8,57.7,43.1,2.3,0.4,637.6,-882
"TTL_C24",1.6,0.1,0.8,0.1,6.1,20.7,3.9,46.6,11.5,0.8,15.9,5.1,57.4,30.1,477.2,866.3,67.9,91.8,649.5,92.5,30.2,148.6,0.3,0.6,356.1,68.3,0.8,0.5,0.3,0.3,0.4,0.4,0.4,0.7,0.9,0.5,0.2,2.5,0.6,4.6,2.2,7.2,0.5,1.5,0,29.6,0,0.2,4.3,47.7,0.3,0,531.2,-2104.4
"TTL_C25",76,4.8,14.9,4.1,8.2,203.3,23.9,70.5,17.5,1.4,58.5,75.4,88.8,94.8,55.9,897.6,141.6,97.7,1454.8,44.7,60.8,309.9,19,28.3,1903.8,184.6,34.8,32.4,4.8,28.4,7.6,12.3,8.5,14.5,27.4,25,197.6,33.1,36.8,111.7,37.8,77,15.8,19.7,0,611.6,0,5.2,304.3,104,2.8,1.5,2085.4,-2405.7
"TTL_C26",24.2,1.7,1.8,0.4,1.3,27.6,3.4,2.4,6.9,1.6,25.9,34.5,12.7,6.8,5.6,61.2,510,84,369.2,5.5,15.3,82.6,7.4,44.9,512.3,167.4,21.6,22.4,3.4,25.6,29.8,10.2,15,56.5,95.9,19.8,73.9,127.9,32,101.7,34,71.3,16,40.5,0,1757.2,0,72.9,1889.7,100.4,15.5,9.8,2299.9,-3428.7
