"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1002.8,6.3,153.9,3.3,13.8,3493,19,1.3,14.7,14,13.3,4.9,1.7,1,1.7,1.2,0.2,1.1,0.2,0.2,0,1.9,0.5,0.7,4.1,2.2,0.3,1.2,0.3,1.7,0.5,96,0.1,0.3,0,15.1,0.4,0.4,0.8,7.7,0.6,6.9,0.2,0.8,0,8088.6,0,0.8,132.4,66.1,9.3,23.5,321,-1362.8
"TTL_A03",0.2,9,0.1,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,22.6,0,0,0,0,0,0,0,0.3,0.1,0.5,0,0,0,937.1,0,0,0.4,5.8,0.6,2.2,1.7,-5
"TTL_B05_06",1.2,2.5,291.8,0.1,0.4,21.6,4.7,8.6,2.9,6243,7.9,3.2,0.2,52,81.6,0.5,0,0.2,0,1.1,0,1.1,3324.4,3.9,2.1,11.9,36.9,7.8,39.1,3,0,18.5,0.4,2.1,0.2,0.7,0.2,0.7,0.6,1.5,0.2,1.7,2.2,9.8,0,1864.3,0,0.1,2.1,82.6,0.3,0,1596.1,-640.1
"TTL_B07_08",0.2,0,17.7,7.1,1,0.6,1.9,0.2,1.8,13.1,58.8,10.6,0.5,117.2,330.6,1.4,0.3,3.3,0.2,1.2,0,2.9,0,0,111.3,1.7,0.7,0,0,0,0,8.6,0,0,0,0.1,0.1,0.1,0.1,0.9,0.4,0.2,0,0.1,0,272.3,0,0,1.5,5.8,0.2,0,167.7,-285.4
"TTL_B09",3.6,16.4,232.7,1,31.5,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,5,0.1,0,0,0,3.5,1.3,0,0,0.1,0,39.8,0,0,0,5.5,0,0,0,0,0,0.3,0,0,0.2,0,0.2,0,9.4,-25.1
"TTL_C10T12",814.5,32,0.7,0.4,0.1,145.7,26.6,0.3,1,1.6,10.9,4.4,0.4,0.4,0.5,0.5,0.1,0.4,0.3,0.1,0,0.4,0.1,0.1,1.2,4.6,0.4,5.4,1,0.8,0,457.9,0.1,0.5,0.1,0.2,0,2.1,2.4,13.2,1.9,23.7,0.3,1.4,0,8519.6,0,0.1,22,70.3,36.2,134,317.5,-1001.4
"TTL_C13T15",1.1,0,0.3,0.5,0.3,1.4,715.4,2.7,3.1,2.5,3.6,1.4,2.9,1.1,9.4,3,1,1.2,0.3,3.8,0.4,31.6,0.3,0.6,5.5,6.3,3.2,0.8,11.1,1.3,0,8.8,0.2,0.6,0.1,0.1,0.9,1.7,2.6,7.3,2.5,7.8,0.6,2.8,0,1913.6,0,0,152.2,21,19.1,81,287.8,-453.3
"TTL_C16",0.1,0,7.9,0.2,0.2,0.4,0.3,93.5,2.4,1,0.7,0.3,0.8,2.6,29.4,6,0.4,4.4,0.7,0.8,0.6,456.3,0.1,0.1,143,2,4.8,0,0,0.1,0,1.1,0,0.1,0,0.1,0.2,1.2,1.1,3,2.1,2.5,1,3.2,0,283.9,0,0,1.7,8.5,1.8,3.6,5.7,-271
"TTL_C17_18",0.6,0,3.3,0.9,0.2,80.1,20.2,9.6,131.1,4,31.9,13.4,9.8,39.6,9.1,15.8,3.3,15.4,5.7,2.8,0.1,15.2,0.9,2.1,15.1,67.3,6.6,0.3,0.7,11.1,0.3,35.1,8.1,20.9,2.7,13.7,2.3,78.1,41,41.4,27.3,37.7,3.3,13,0,297,0,0.3,236.7,10.1,4.1,9.2,51.5,-313.8
"TTL_C19",76.2,31.6,22,58.6,12.2,420.8,113,12.2,11.3,1217.2,98.8,40.5,24.2,155,114.1,76.4,1.1,19.3,4.8,6.9,0.9,24.5,31.4,5.9,538.3,176.9,303.4,163.6,257.4,56.4,0.2,149.1,4.5,10.3,1.5,33.2,20.5,5.5,6.5,84.8,3.7,5,5.4,3.8,0,6063.8,0,0.1,4.4,132.5,11.8,63.6,702.7,-659.9
"TTL_C20",620.2,0.4,32.5,4.8,1.5,14.5,118.8,34.4,14.6,64,240.6,73.9,90.8,38.8,33.5,30,6.9,47.1,5.6,8.3,1.6,21.7,0.2,23.2,11.1,6.7,1.2,1.6,0.7,3,0,24.2,0.1,0.2,0,0.6,13.6,0.2,10.7,13.3,4.5,86,2.7,11,0,1179.5,0,12.2,456.5,28.6,4,11.4,431.4,-946.9
"TTL_C21",1.3,0,3.1,2.1,0.7,4.7,50.6,14.9,6.3,27,74,49,56.7,16.7,10.7,9.8,3,20.2,2.4,3.4,0.4,9.2,0.2,2.7,3.6,2.4,0.2,0.6,0.2,1.3,0,10.4,0,0.1,0,0.2,2.8,0.2,4.7,18.9,4,59.5,1.2,6.6,0,319.9,0,68.1,150.2,3.1,3.4,8.7,54.2,-240.9
