"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",3685.7,23.9,0.8,4.2,0.1,26906,637.7,347.1,645.5,13.5,167.4,55,303.7,10.1,16.8,15.8,6.2,8.5,9.7,28.3,17.7,26.4,63.9,26,202.7,1884.9,13.1,1.3,3.3,35,3.1,1574.6,14.5,42.7,6.3,35.7,66,62.6,103.7,219.2,96,215.8,293.3,15.2,0,15172.6,42.9,399,2043.3,16,86.5,492.8,11522.8,-9801.7
"TTL_A03",2.2,47.4,0,0.1,0,251.5,0.4,0,0.2,1,1.7,2.2,0.3,0.1,0.3,0.2,0.4,0.4,0.6,1.5,1.7,0.6,0.9,0.1,0.4,2.2,0.1,0,0.1,0.2,0,274.8,0.1,2.2,1,0.1,0.1,3.1,0.3,6.9,11.2,14.6,0.2,0.6,0,2544.1,0.1,227.3,529.6,1.3,5.6,13.3,221.9,-639.6
"TTL_B05_06",5.8,1.4,0.6,3.3,5.4,4,0.5,0.6,1.1,41792.9,26.4,0.9,1.3,3.7,30.6,1.6,0.2,0.8,3,2.2,0.7,1.2,11918.3,2.9,12.9,19.8,46.5,2.6,16.1,4.4,0.5,6,5.4,1.5,0.8,2.1,1.7,10.6,5.5,4.5,2.2,2.5,7.8,1.1,0,174,0,3.7,168.3,0.1,4.4,1.6,79.9,-53416.5
"TTL_B07_08",4.8,7.7,6.8,81.2,3.3,66.9,3.3,1,75.1,5.3,1793.2,60.8,19.5,1081,8534.5,67,0.7,40.9,24.1,18,2.2,15.1,294.3,39.4,1005.1,103.7,1.8,0.1,0.5,7.9,0.1,10.9,6.4,4.5,0.7,1.7,5.1,46.6,16.9,39.6,1.1,5.9,3.6,1.8,0,68.7,0,7.4,49.3,-1.4,1.6,1.4,1308.6,-9261
"TTL_B09",1.5,0.3,3.1,13.7,1.5,2.4,0.1,0.1,1.4,119.6,5.1,0.3,0.5,8.8,17.7,1.9,0.1,0.2,0.6,0.5,0.2,0.3,36.1,1.9,41.7,2.5,1.8,0,0.1,2.9,0.1,0.6,0.1,0.2,0.3,0.2,1.7,2,1.1,2.1,0.3,0.9,0.2,0.2,0,2.8,0,0.7,1.8,0,1,0,171.1,-248.8
"TTL_C10T12",10023.8,189,4.3,23.8,0.5,32537.4,386.8,24.4,287,92.9,761.6,299.9,97.9,68.2,86.1,74.7,35.6,61.5,55.6,115.5,58.1,62.6,330.2,84.7,354.7,2250.8,92.8,8.9,26.2,192,14.3,21217.1,70.3,143.2,69.1,186.1,181.7,459.5,335.2,666.9,461.4,1376.1,359,116.4,0,58872.9,12,118.1,344.8,15.4,348.3,2254.3,22989.3,-16849.1
"TTL_C13T15",34.2,51,4.2,2.4,0.2,176.2,4778.6,28.9,150.5,8.2,185,44.6,219.9,21.6,85.2,65.6,8.6,35.3,47.3,523.2,44.9,175.5,18.6,56.6,452.1,376.3,9.8,0.7,23.6,19.6,1.8,630,138.9,44.4,3.8,9.7,6,212.6,97.1,157.3,53.3,224.7,181.1,274.7,0,19346.3,0.1,47,231.7,1.2,160.2,555.1,5762,-12143.4
"TTL_C16",72.8,12.8,44.9,44,0.2,444,22.2,1379.8,90.8,3.8,112.1,24,57.6,81.9,78.5,107,13,78.9,45.5,82.2,55.9,886.9,47.1,127.9,989,289.7,11.1,1,1.7,105.9,2,279.1,95.8,19.8,10.5,20.8,22.6,144.4,137.8,41,20.3,100.4,45.4,97.1,0,608.8,3.8,11.4,136.9,-2.9,15.2,92.5,1261.3,-1262.1
"TTL_C17_18",65.9,3.8,2,12,0.3,1780.4,121.2,84,4922.1,19.5,493.8,349.5,416.9,152.6,72.6,137.4,52.5,108.8,55.1,179.4,57.3,157.8,215.2,718.5,182.3,845.4,33.7,2,5.6,93.4,16.9,298.3,2123.5,128.9,1139.9,433.7,125.2,2099.3,472.9,334.6,280.2,312.5,369.9,256.1,0,3505.8,5.2,59.5,209.8,-6.7,43.6,252.6,4773,-4041.6
"TTL_C19",813.4,194.2,24.2,169.8,6.6,356.9,62.1,53,132.2,5887.9,3753.9,228.2,269.8,105.1,312.3,112,17,72.1,68.8,155.6,57.2,69.8,5174.2,271,376.7,1448.9,6652.7,368.3,2282.8,358.5,57.2,406.2,93.1,82.3,14.8,223.7,57.5,283.9,324.7,511.2,265.9,446.4,40.6,138.7,0,23202.6,0.2,111.5,259,44.5,128,860.2,18168.9,-13284.3
"TTL_C20",1260.7,37.7,43.6,274.3,3.7,1412.9,503.9,165.4,1025.3,557.5,12393.6,2738.4,2344.5,369.7,1701.6,719,123.2,475.8,246,1255.1,353.6,332.7,1274.3,955.6,2612.9,1810,478.2,11.3,54.7,333,13,1357.5,270.6,107.8,59.3,184,140.9,789.8,649.9,430.6,121.8,2443.5,207,229.5,0,9525.5,2.2,336.2,540.9,-13.4,41.5,290.3,17825.8,-20043.9
"TTL_C21",403.5,7.5,2.3,13.3,0.2,318.4,45,18.1,109.9,39.5,512.8,829.4,97.4,33,94.1,55.7,13.9,41.1,32.4,80.3,28.7,41.4,87.7,58.7,219.9,370.3,40.5,3.2,9.2,45,4,178.5,62.1,50.7,31.1,64.2,47.8,173.8,111.7,160.2,42.4,3813.5,43.3,70.1,0,6808.6,1,6434.4,806.3,-3.5,29.9,154.3,6310.7,-11008.8
"TTL_C22",255.8,35.3,8,41.7,1.1,1446.3,249,125.8,384.4,18.3,1371.4,332.9,3953.8,152.4,168.8,388,128.4,859.8,271.7,3025.2,769.6,505,49.3,126.1,1335.1,1529.9,177.5,1.6,5.9,236.4,4.3,186.6,77.2,49.4,30.7,60.5,66.4,183.4,89.5,71.3,62.4,202.7,115.2,164.4,0,1774.7,0.7,67.6,464.6,-8.8,3.9,45.4,7244,-6948.6
"TTL_C23",87.2,3.6,7.9,37.4,1.7,790.2,27.8,52.1,39.8,20.5,355.4,98.5,87.5,3379.6,220.4,359.2,30.6,101.8,112.2,469.6,66,66.5,183,85,7089.2,690.3,24.1,2.4,4.6,71.3,4.5,300.3,40.3,125.4,17.4,47.1,34.8,122,89.2,106.5,66.8,356.7,39.4,96.1,0,1312.9,0.8,43.1,236.5,-6,2.4,32.9,5464.3,-2161.9
"TTL_C24",15,0.8,22.6,48.9,3.2,49.2,12.8,17.5,93.6,7.2,383,91.6,279.7,226.3,7312.6,10593.7,248.7,4143.2,4422,4414.2,1335.4,811.4,36.1,625.5,1718.9,16,2.7,0.2,1.6,25.2,0.4,28.2,3.6,4.1,11.2,14.5,1,15,2.1,17.3,11.3,4.2,4.1,3.4,0,23.8,0,0.8,26.8,-6.8,1,0,18056,-12110.4
"TTL_C25",525.4,34.5,27.3,179.1,3.6,1088.7,97.8,104.5,192.6,79.5,340.4,109.4,373.6,300.9,2188.2,2904.8,117.8,1058.2,2267.7,2854.6,731.6,986.4,667.7,1405.8,3098.4,976.9,101.8,9.4,61,273.4,17.7,252.7,74.4,156.1,58.6,137.8,132.6,384.1,319.9,210.6,122.4,239.9,139.4,170,0,1987.5,27.3,84.9,6062.9,-85.8,3.9,57.6,9250.7,-5945.3
"TTL_C26",19.9,6.2,1,7.3,0.5,186.9,20.2,52.4,96.3,10.9,144.8,50.4,66.2,69.8,37,78.2,528.2,370.1,83.4,417.9,238.4,221.8,151.3,52.5,349,247.1,44.4,5.5,28.7,58.9,5.4,72.6,103.4,1714.9,362.3,48.6,46.2,438.7,250.9,98.6,64.6,397.7,76.3,173.6,0,3128.7,0.6,85.3,6976.1,-100.4,33.3,86.4,1639.2,-13092.7
"TTL_C27",46.3,11.3,3,20.6,0.9,376,26.7,51.5,54.7,31.8,131.9,49.5,121.7,79.6,144.4,158.4,305.5,2085.2,578.6,1254.8,264.8,585,447.6,226.7,3228.1,551.4,67.7,7.8,52.6,116.8,9.4,500.1,54,649,39.9,73.5,49.4,207.1,226.7,124.1,59.8,129.2,80.8,139.9,0,3459.8,1.3,91.9,3401.3,-48.6,18.6,121.8,8049.5,-8249.3
"TTL_C28",246.4,24.8,19.9,154.1,4.6,610.4,53,161,170.2,129.5,294.4,127.2,202.3,185,429.6,438.1,72.8,295.8,1356.4,1147.3,372.5,614.3,440.6,552.8,1068.8,1345.3,195.5,20.8,153.4,246.3,16.5,293.8,69.8,533.3,44.8,121.6,68,303.8,382.7,189.1,86.9,207.7,184.4,99.4,0,1087.8,2.5,106.4,12831.4,-153.9,4.2,37.2,10237.6,-13815
"TTL_C29",58.2,4.7,3.1,18.7,0.8,199,26.5,23.4,44.4,24.5,88.4,30.8,93.4,68.6,115.3,144.8,29.1,136.2,186.3,15865.3,400,156.9,87.1,146.7,527.7,1444.7,327.2,4.7,8.2,112.5,6.6,204.1,50.1,103.6,37.9,89.3,66.1,154.2,524.4,104.8,40.3,81.4,60.4,40.8,0,11501.4,4.7,268.4,11568.4,-187.9,23.4,208,34075,-21327.4
"TTL_C30",2,249.4,6,14.3,0.1,2.7,0.6,1,1,2.2,4.1,0.9,5.5,0.8,12.8,15.3,0.6,62.5,16.7,22.1,2206.9,504.7,3.3,17.3,27.4,49.5,482.9,25.5,384.4,191.1,0.7,8,0.7,20.4,2.3,33.7,0.7,57,155.9,45.9,5.9,18.8,10.1,29.1,0,1737.7,0,121.8,7019.2,-39.4,0.3,0,7248.2,-3323
"TTL_C31T33",87.8,69.5,11.3,55.8,2.7,492.5,71.4,210.4,192.5,76.1,288.7,73.9,156.4,170.5,386.1,361.5,76.7,209,124.6,450.1,548,1564,423.4,292.5,1622.5,611.4,430.1,59.4,452.4,412.7,25,465.2,162.9,554.3,61,137.6,174.9,349.3,522.2,319.8,277.6,1909.1,395.6,198.1,0,6513.3,3.2,153.3,5975.9,-70.6,125.9,560.1,3788.7,-6452.4
"TTL_D",620.2,73,132.6,375.1,4.5,3036.5,457.2,374.2,1676.2,448.6,2565.8,434.1,1019,2691.7,2441.6,1166.6,98.9,280.7,608.2,1406.2,237.3,580.3,21242.3,666.4,3428.1,8295.6,1423.1,46.6,155.4,1239.5,109.2,1696.2,422.8,1267.3,438.8,582.1,274.5,1384.2,692.2,1757.8,714.7,1538.4,626.1,507.7,0,22934.4,1.8,91.7,750.9,3.8,5.5,22.5,1054.2,-590.3
"TTL_E",376.8,15.9,3.3,38.1,0.7,517,106.1,69.5,186.6,225.9,526.4,79.3,269.9,212.2,4175.6,346.1,19.2,52.2,39.1,135.5,42.3,115.4,332.4,6997.7,1156.7,1300.7,77.8,10.3,12.6,87,13.8,621,60.4,97.1,37.5,57.5,409,286.8,211.1,247.2,120.1,366.4,193.5,307.1,0,7154.5,14.9,5112.3,272.9,0.2,1.9,3.5,177.4,-104.5
