"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",102,0.1,0.1,0,0,143,22.4,85.1,6.9,0,0.3,0,0.2,0.2,0,0.5,0.1,0,0.1,0.1,0,8.5,3.2,0.5,2,5,0.7,0.7,0.2,2.6,0,7.9,0.3,0.1,0,0.2,1.5,1.1,0.7,1.5,2.8,2.2,0.7,0.1,0,100.7,0.2,1.7,11.9,13.6,1.7,5.3,80.2,-75
"TTL_A03",0.2,0,0,0,0,25.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0.1,0,0.2,0.7,0.1,0.1,0.1,0.3,0,1.3,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0,0,0,3.8,0,0,0.6,1,0.1,0.4,10.5,-3.1
"TTL_B05_06",0.9,0,0.8,0,0,0.1,0,0.1,0,9.7,1.5,0.7,0,1.8,0,0,0,0,0,0,0,0.1,90.3,0,0.2,0.5,0.6,2.3,0.1,0.2,0,0,0,0,0,0,0.1,0.2,0,0.3,0.1,0.2,0,0,0,1.2,0,0,0.4,2.5,0.1,0,3.9,-20.3
"TTL_B07_08",0.5,0,0.1,0.3,0,0.8,0,0.1,0.1,0,0.1,0,0,8.2,0,0.2,0,0,0,0,0,0.1,1.4,0.3,5.8,0.2,0.7,1,0,0.4,0,0.1,0,0,0,0,0.3,0.2,0,1.4,0,0.1,0,0.1,0,0.6,0,0.1,0.4,0.5,0,0.1,1.9,-4.4
"TTL_B09",0,0.1,1,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,-2.4
"TTL_C10T12",34.2,0.4,0.1,0,0,103.8,0.5,0.2,0.1,0,0.6,0,0.2,0,0,0.1,0,0,0,0,0,0.2,0,0,0.2,7,0.3,0.5,0.1,0.5,0,41.4,0.4,0,0,0.1,0.3,1,0.6,3.6,8.1,5.6,0.8,0,0,455,0,0.1,0.2,20.6,5.4,14.1,73.4,-119.7
"TTL_C13T15",1.8,1.6,0.2,0.1,0,1.3,96.4,2,1,0.1,0.2,0,6.3,0.3,0,1.1,0.3,0.2,0.7,5.9,0,14.5,0.3,0.3,2.2,4.5,1,0.9,0.1,0.8,0,1.7,1.2,0.2,0,0.1,0.3,1.5,0.7,6,1.5,6.1,0.9,1.8,0,136.8,0,0.1,1.8,13.1,2.6,10.7,155.9,-132.8
"TTL_C16",5,0,0.6,0,0,1.3,0.6,97.1,0.7,0,0.6,0,0.7,1.1,0,1.7,0.1,0.2,0.3,0.2,0,39.7,1.3,0.1,83.3,2.5,3.2,0.3,0.1,2.5,0,0.6,0.7,0.1,0.1,0.1,13.1,0.9,0.4,0.6,0.3,0.2,0.6,0.3,0,10.6,0,0.2,7.3,12.2,0.3,2.4,212.2,-51.1
"TTL_C17_18",2.1,0.1,0.4,0.1,0,12.2,2.2,5.3,24.2,0,1.6,0.1,1.1,1.3,0,1.6,1,0.2,0.5,0.2,0,3.9,0.5,0.4,2.9,22.2,0.4,0.2,0.1,1.6,0.1,1.2,25.9,1.9,0.8,1.5,1.4,9.3,2.4,2.9,3,1.4,1.4,2.1,0,16.7,0,0.2,0.6,3.9,0.9,2,17.9,-59
"TTL_C19",11.5,1.8,1.9,0.8,0,3.1,0.4,2,0.4,0.2,3.2,0,0.6,1.1,0.1,0.8,0,0,0.2,0.1,0,1.6,7.4,0.9,8.3,11.8,35.6,10,3,3.8,0,0.4,0.3,0.7,0.2,0.3,0.7,1.1,0.6,5.1,0.9,1,0.3,0.4,0,27.7,0,0.1,0.5,2.2,1.7,1.2,2,-125.8
"TTL_C20",11.5,0.2,6.1,0.8,0,6.8,8.9,10.2,4.5,2.8,29,0,14.7,4.6,0.2,4.4,0.2,0.5,1.1,3,0.1,10.4,1.5,2.1,9.4,7.2,1.1,1.1,0.4,1.2,0,1,0.6,0.2,0.3,0.4,10.3,3.8,2.5,3,1.5,8.4,0.7,1.9,0,43.7,0,0.4,0.5,6,0.6,1,33.4,-115.2
"TTL_C21",0.1,0,0.3,0,0,0.3,0.4,0.1,0,0,3.2,3.4,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.5,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0.3,0.1,0.2,0,2.9,0,0,0,9.4,0,5.8,0.2,0.4,0.4,0.4,2.4,-20.1
"TTL_C22",2.5,0.4,1.3,0.3,0,12.3,3,3.3,2.1,0.1,1.2,0,11.7,2,0.1,1.9,0.8,0.9,0.7,0.8,0,3.4,0.8,1.1,51,9.6,4,0.6,0.5,0.9,0,0.5,0.4,0.4,0.1,0.4,2.4,1,0.7,2.8,0.7,0.9,0.5,1,0,14.7,0,0,4.8,3.2,0.1,0.1,24.1,-81.9
"TTL_C23",2.1,0.1,0.4,0.1,0,3.8,0.4,4.2,0.2,0.1,0.6,0,0.7,16,0.3,2.1,0.1,0.2,0.2,0.2,0.1,2.2,1,0.7,67.6,3,1.1,0.7,0.1,3.4,0,1.1,0.2,0.1,0,0.1,8.6,1,0.4,3.9,0.5,0.9,0.6,0.5,0,12.7,0,0.2,7.2,3.3,0.1,0.7,25.8,-34.9
"TTL_C24",0.2,2.4,0.1,0,0,2.2,0.1,0.7,0.1,0,0.1,0,0.5,0.5,1.5,47.8,0.3,1.3,10.8,3.3,0.3,12.3,0.8,0.5,3.9,0.1,1.2,0,0,0.4,0,0,0,0,0,0.2,0.4,0.3,0,0.5,0,0,0,0,0,0.1,0,0,3.1,2.2,0,0,1.4,-94.6
"TTL_C25",5.4,0.7,2.4,0.5,0,7.1,1.4,9.2,0.7,0.1,4.1,0,2,3.5,0.2,35.9,1.2,1.2,2.4,1.7,0.7,13.1,3.3,0.9,47,8.6,7.4,0.9,0.6,8.3,0,0.8,0.1,0.3,0.1,0.2,6,2.5,1.7,4.3,0.8,0.4,1,0.3,0,9.2,0,0.2,47,4.8,0.1,0.5,69.1,-82.4
