"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1248.9,0.4,0.5,0.2,0,1924.2,2.6,1685.2,1051.8,0.6,3.2,1,30.4,2.3,1.4,2.3,4.4,1.2,3.2,0.4,1.8,6.6,20.6,0.9,31.1,47.2,7.7,39.5,25.6,1.3,1.2,102.3,2.8,2.6,3.7,3,20.1,11.2,5,57.1,27.5,35.3,5.9,3.4,0,2032,2.3,6.7,246.1,117.3,12,21.3,372.5,-885
"TTL_A03",0.4,20.5,0,0.1,0,6.7,0.1,0.2,0.9,0.2,0.5,0.1,0.2,0.2,0.3,0.4,3.5,0.3,1.5,0.1,0.2,0.2,0.3,0.2,0.6,1.9,0.3,0.6,0.8,0.8,0,33.2,0.3,0.7,0.6,1,0.6,1.1,0.9,2.2,0.9,1.6,0.4,0.7,0,90.9,0,0.1,0.7,2.1,0.9,1,2.4,-46.5
"TTL_B05_06",4.4,0.1,41.2,0.6,0,5.7,0.9,3.8,58.6,1535.4,21.1,0.1,0.7,13.3,50.1,1.2,0.9,0.3,5.2,0.3,0.6,1.1,639.5,0.4,11,2.2,6.3,1.4,2.1,3.8,0.2,0.3,0.2,0.6,0.3,0.5,1.9,0.4,0.3,1.8,0.5,0.7,0.4,0.4,0,28.9,0,0.1,6.6,30.3,0.6,0.1,18.6,-2183.3
"TTL_B07_08",18.7,0,41.5,147.5,0.3,32,0.2,0.4,178.6,0.4,136.1,0.1,1.4,88.7,1018.4,0.7,2.2,0.2,4,0.1,0.4,7.2,3.2,0.7,218.9,0.9,0.4,0.1,0.1,0.5,0.1,0.1,0.1,0.5,0.4,0.5,1,0.3,0.3,0.8,0.3,0.3,0.1,0.1,0,10,0,0.3,14.5,30.2,0.2,0.1,106.5,-1191.4
"TTL_B09",0.1,0,0.1,0.3,0,0,0,0.1,0.4,3.5,0.2,0,0,0.2,0.1,0,0.2,0,0.1,0,0,0,0.6,0,1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0,0.5,0.1,0.1,0,0.5,-6.1
"TTL_C10T12",393.7,0.1,0,0.3,0,1381.7,4.5,2,80.3,7.4,33.8,0.7,2.5,1.3,1.2,0.8,5.3,0.5,1.7,0.1,0.3,1.7,27.3,8.2,32,66.5,11.7,97.1,30.6,27.6,1.2,1211.8,1.1,34.1,25.8,43.5,19.8,49.9,37.5,187.1,88.9,139.6,28.2,37.9,0,6288.6,0,0.7,8.2,151.2,44,53.5,556.7,-1407.9
"TTL_C13T15",2.8,0.1,0.1,0.5,0,4.9,218.5,4,27.7,0.8,5.2,3.4,13.7,12.2,1.4,7.2,7.8,1.3,10.9,2.9,6.4,18.9,2.8,6.7,36.4,88.3,1.7,16.3,1.4,4,0.2,9.1,1.2,3.1,5.6,9.6,4.5,23.9,15.2,29.3,1.2,22.9,1,14.4,0,1654.4,0,2.7,56,36.2,22.6,22,311.4,-1140.4
"TTL_C16",5.3,0,6.9,1.7,0,16.2,1.6,923,333,1.9,13,2.2,9.9,16.6,18.4,15.3,12.1,5.4,16.1,3.9,10.8,187.3,118.6,2.5,2100.5,30.2,3.7,1.1,3.2,4,0.8,3.1,3.6,8.3,4.9,6.1,8.9,12.7,5.4,9,8,4.5,1.9,7.1,0,65.6,0.2,5,27.5,77.3,3,4.7,2715.3,-338.5
"TTL_C17_18",32.2,0.3,0.9,4.5,0,181.5,17.1,63.2,2838.4,9.1,86.9,6.3,47.1,29.8,21.8,24.6,94.2,13.6,55.7,3.6,7.9,27.7,55.1,16.2,135.5,731.5,22.9,4,21.4,53.2,8,25.7,930.4,204.5,43.8,54.7,65.8,187,80.1,197.4,127.7,131.9,59.3,62,0,507.1,0.2,8.9,78.2,224.8,6.1,12.6,10415.4,-676.6
"TTL_C19",168.1,4.2,1.2,22.9,0,20.2,6.7,15.9,78.6,444.2,177,1,16,21.7,79,11.2,14,4.7,11.3,3.4,4.7,9.3,190.5,19.8,214.8,105.4,416.3,85.1,136.1,248.9,11.9,4.9,3.8,28.2,3.6,21.1,138.6,18.1,18.5,72.8,28,41.2,28.5,27.5,0,1342.9,0.1,2.8,23.1,61.5,13.8,26.7,938.1,-988.8
