"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",12822.2,0.2,6.1,2.8,0,28574.1,283.4,4947,2716.6,1.3,121.4,0.6,146.4,1.4,1.5,1.5,1.9,0.9,10.9,3.4,0.9,13.6,68.2,7.9,1837.2,14.9,3.2,0.3,0.7,1.7,0.1,941.9,7.4,0.6,0.8,15.8,1.9,23.6,19,760.8,398,88.6,76.3,66.5,0,18110.3,0.1,5.6,1110.7,1519.8,171.9,296.2,9096.9,-6315.6
"TTL_A03",2.2,6.1,0,0,0,560.2,10.1,1.3,0.8,0.1,11.8,3.7,5,0,0.1,0,0.1,0,0.1,0.1,0,1,5.6,0.7,38.7,0.6,0.1,8,0,0.1,0,219.1,7.9,0.3,0.1,0.2,0.1,2.1,0.7,0.7,0.5,21.9,9.3,9.1,0,1589.1,0,0.2,1.4,40.7,10.9,12.3,237.9,-608.8
"TTL_B05_06",3.1,1.2,13.9,1.9,0.6,64.5,7,0.1,7.9,9468.5,47.7,0.7,0.9,12.6,328.9,1.5,1.6,0.7,3.1,5.1,2.2,4.8,2893.7,1.6,14.3,14.1,6.6,4.2,1.5,3.3,0.3,8.6,1,1.2,0.7,1.4,2.6,5.2,6.3,70.7,2.8,3.7,1,2.1,0,1652.8,0,0.8,10.9,221.6,4.5,0.2,7.2,-14219.2
"TTL_B07_08",85.4,5.1,0,249.1,0.2,187.4,30.8,0.3,72.3,25.6,352.9,3.2,25.8,1193.2,987.7,90.5,13.7,16,21.4,18.7,7.8,32.1,4.3,22,1161.1,19.4,1,0.3,1.6,1.3,1.3,37.6,1.2,4.2,1.2,5.3,0.7,18.7,15.9,0.5,0.3,11.4,2.3,7.9,0,487,0.2,1.3,7.9,69.3,2,0,482.5,-1720.9
"TTL_B09",0.9,3.5,1.1,7,0.2,2.7,0.3,0,1.7,109.8,4,0.2,0.5,20,2.2,1,0.5,0.3,0.8,0.7,0.3,0.4,5.4,1,37.5,3.1,0.8,0.1,0.2,1.4,0,0.5,0.3,0.2,0.2,1.5,6.8,4.2,2.5,4.3,0.4,0.9,0.4,0.3,0,3.4,0,0.3,5.4,0.1,2.6,0,42.8,-241.3
"TTL_C10T12",5819.9,3.3,1.5,15.1,0,23054.8,590.6,2,111.9,32.9,1007,125.3,52,14.1,54,61.1,51.5,20.7,43.1,26.9,8.8,124.4,24.7,56.3,100.3,905.8,89,33.2,125.8,49.5,13.2,9636.1,149.5,43.7,51.9,64.1,168,674.7,255.9,509.6,2207,2101.7,315.8,115.4,0,74511.9,1,6.7,21.5,2193.6,728.5,1098.3,18898.3,-14276.6
"TTL_C13T15",119.3,43.7,0.8,6.4,0.1,62.8,7944,1.2,142,7.5,293.6,61.5,177,61.4,61.4,39.6,129.9,45.4,74.8,540.1,60.6,637.9,5.3,31.8,572,509.5,19.1,11.6,7.5,8.3,18.7,98.3,118.6,75.8,1.7,44.9,73.8,29.4,14.7,278,106.8,215.5,90.4,75.8,0,22925,0.5,5.1,22.4,685.6,439.4,477.5,6906.1,-12463.1
"TTL_C16",483.2,3.1,0,41.4,0.1,305.2,27,438.2,259.8,2.7,55.1,29.3,52.2,323.4,84.4,106.9,64.3,29.5,82.7,127.1,59.4,1833.1,2,35.6,3500.2,198.8,7.7,6,4.7,49.3,0.3,24.4,139.6,14.7,6.9,6.2,53.9,45,19.5,10.7,25.7,2.9,65.2,90.7,0,1270.5,0.1,2.9,12.6,149.5,32.4,40,1383,-2053.6
"TTL_C17_18",113.6,10,0,36.5,0.2,1925.2,286.7,18.3,7603.2,27.1,857.8,375.3,314.4,401.6,44.3,113.9,290.4,123.2,201.9,133.9,41.5,237,30.9,218.6,386.7,3319.5,68.1,16.4,11.5,216.8,5.9,122.5,4309.4,116.5,200.5,935.7,450.9,3217.1,1571.9,712.2,510.4,375.6,205,295.1,0,2435.5,0.6,9.7,22.9,661.9,77.8,96.8,4482.5,-6799.6
"TTL_C19",823.5,222.3,3.2,81.8,0.9,329.9,103,6.1,69.4,3720.3,1361.3,20.6,91.1,225.6,549.7,99.5,126.8,45.8,146.4,156.1,35.4,98.4,1269.7,123.9,1014,2160.4,2821.5,439.7,560.5,399.1,39.7,166.6,155.3,149.7,108.3,141.7,80.6,412.4,273.6,237.8,107.7,139.2,110.8,76.8,0,8359,3.3,2.3,161.4,287.4,215,250,1653.9,-4035.9
"TTL_C20",5066.1,3.1,2.8,98.4,0.7,421.5,1109.2,21.3,1001.9,733,10610.2,1096.3,4500,472,711.3,719.9,219.8,592.2,439.9,820.8,121.1,728.9,93.4,123.4,1307.2,475.2,63.9,20.2,17,27.1,9.4,76.1,350.3,34.5,42,36.5,92.1,508.9,156.4,183.9,172.5,1410.8,100.4,350.9,0,10858.9,404.7,128,38.9,1080.2,71.2,73.5,19972.7,-17342.4
"TTL_C21",392.7,0.3,0.3,10.3,0,48.4,115.9,0.3,5.2,4.7,434.6,1837.6,17.7,3.4,74.2,4,7.2,4.1,4.8,5.9,14.2,17.9,1.3,4.5,11.2,26.1,2.8,0.5,0.8,2.4,0.9,9,2.5,1.6,2.4,14.2,4.1,76.2,14.3,81.9,8.5,1107.7,3.5,2.6,0,4404.3,105.1,6940.7,32.9,206.8,67.2,97.1,5466.2,-4346.8
"TTL_C22",309.4,3.5,0.1,47.9,0.5,1884.8,442.1,8.6,296.2,162.7,1076.7,136,2188.2,212.3,192.4,451.4,919,808,889.3,2850.5,223.5,1525.2,34.8,26.6,2204.9,2120.2,386.3,26.3,73.2,80.1,73.1,45.4,191.7,159,58.1,70.7,39.2,281,173.7,10.1,8,171.2,23.1,82.4,0,4297.6,1.4,8.9,66.3,479.9,8.2,0.1,6918.7,-6297.8
"TTL_C23",254.6,18.1,0,201.9,0.4,571.2,38.5,8.7,56.4,14.6,304.6,75,89.3,2529.9,394.1,270.8,356.7,96.7,145.9,454.1,42.4,349.5,13.4,40.4,10811.7,401.4,25.4,3.9,1.9,44.2,0.2,130.9,5.7,13.3,22.5,2.2,104.2,274.3,166.5,19,142.8,303.9,107.9,50.8,0,2043.1,0.5,2.6,32.3,335.7,5,0,3625.1,-3263.5
"TTL_C24",2.7,0.1,7.9,10.6,0.5,32.3,14.1,2.6,12.5,49.4,189.2,51.7,193.2,339,7603.8,4828.1,573.2,1331.4,1981,3279.2,296.5,1771.9,7.5,1206.9,1672.9,97.4,9.7,2.7,1.6,9.5,6,2.6,24.3,3.7,3.6,0.6,0.5,22.2,6.3,4.4,0.2,1.9,1.3,45.3,0,779.1,0.1,1.2,96.6,457.4,2.9,0,13209.9,-10468.4
