"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",6897.5,6,9,8.8,3.1,13173.6,34.6,560.7,304.2,2.4,53.2,226,43.1,7.6,5,15,4.7,4.7,13.7,18,11.3,25.4,401.5,13,291.9,279.9,40,4.3,34.4,21.6,3.8,98.4,22.6,12,40.3,110.8,80.6,173.2,141.5,85.8,49.6,154.6,43.1,13.4,0,25713.7,20.5,44.9,1919.6,1089.9,616.5,371.4,2372.2,-13841.8
"TTL_A03",0.9,299.9,0.3,0.1,0.1,995.5,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.4,0.3,0.1,0.2,0.3,0.2,1.4,4.4,1,0.9,1,1.5,0.1,328.5,0.7,0.2,0.7,2,5.7,4.5,3.4,1.4,1.6,2.2,1.2,0.3,0,492.7,1.5,4.9,9.3,55.2,39.4,62.1,962.5,-503.8
"TTL_B05_06",15.9,0.8,1303.3,25.4,6.5,16.1,0.4,0.8,5.1,27495.3,1401.7,10.9,2.3,54.9,738.3,2.4,0.4,3.7,6.7,3.8,3.8,18.3,12007.5,2.9,45.1,123,58.1,12,60.3,29.6,11.2,1.8,5.1,8.2,5.6,22.6,98.2,271.9,42.9,31.9,21.6,83.8,103.8,156.8,0,537,0.3,0.2,31.5,1884.4,37,0,25332.7,-33758.2
"TTL_B07_08",9.5,0.3,161.2,827.1,9.4,67.4,1.7,4.4,7.5,634.6,261.6,8.6,34.5,1214.9,336.5,342.1,9.1,18.1,15.2,83.2,21.6,40,116.6,16.4,3495.7,109,32.8,2.5,7.8,18,3.2,16.1,7.8,4.3,12.8,26.8,46.1,92.6,82.7,32.6,32.5,34,14.3,31,0,517,2,1.3,44.2,194.2,15.9,10.1,944.3,-2540.9
"TTL_B09",5.7,0.2,2308.6,410.7,1276.1,28.9,1.7,2.2,6.7,4.3,9.1,3.9,5.7,10.1,4.4,8.5,2.8,3.1,8.8,9.7,9.7,6,9.4,6.7,389.7,112.7,53.4,1.1,3.1,11.6,3.3,9.9,9.4,3.7,13.6,39.1,12.1,102.8,28,24,16.9,42.7,6.4,3.6,0,336.1,2.6,1.6,78.5,19.5,5,15.7,1390.9,-112.5
"TTL_C10T12",1957.8,353.1,42.3,24.1,19.3,22531.3,50.4,36.1,114.8,28.7,312.7,90.9,147.2,45.8,32.4,67,277.6,204.1,562.2,214.3,58.6,66.7,87.7,62.1,286.5,2193.7,1217.4,108.1,59,1137.5,91.9,17147.2,706,75.6,355.8,505.7,369,356.2,751.4,249.1,1851,2477.8,896.9,314.9,0,93000.1,24.3,31.4,560.9,4096.5,2363.8,977.5,12482.6,-44620.1
"TTL_C13T15",16.5,1.5,5.2,3.1,8.2,53.3,1195.4,8.7,50.5,5.2,44.9,15.7,67.7,17.9,5.9,20.8,16,9.2,23.7,281.8,21.2,208.1,12.5,13.8,321.3,1108.1,18.4,2.3,8.4,13.5,5.6,38.7,32.5,5.4,19.8,69.9,53,220.9,30.1,259,97.6,289.3,33.6,125.8,0,30154.8,1.7,7,510.6,925.3,1104.2,214.2,1424,-23689.2
"TTL_C16",6.3,0.4,26.3,7.6,2.3,38.9,6.2,2566.8,523.8,2.2,11.1,10.5,14.3,78.3,6.4,160.7,6.6,23.6,17.3,173.1,109.2,1725.9,8.1,9.3,5803.9,115.1,11.9,2.4,4.5,7.7,3.1,14.5,20,3.7,16.5,57.1,231,38.9,370.5,35.2,102,53.3,23.7,109.2,0,2441,0.9,3.7,114.9,294.6,110.8,51.8,643.3,-4837.6
"TTL_C17_18",110.4,4.4,12.2,9,3.3,1251.4,63.5,66.9,4321.6,6.1,367.5,136,344.1,80.7,12,111.8,74.6,73,86.2,116.4,55.7,157.7,45.1,138.2,342.7,3468.8,129.6,11.7,18.4,243.8,102.6,314,2652.3,169.1,560.1,1722.9,163.5,1169.8,799.7,1694.1,2006.8,2193.8,675.1,414.5,0,6837.8,3,7.2,310.1,749.3,302.2,109.3,2161.6,-7481.1
"TTL_C19",956.6,58.2,231.1,146.6,10.4,244.8,24.7,36.6,61.3,1498.4,581.5,14.1,75.6,314,23.3,84.6,15.1,15.8,40.2,58.4,28.6,228.9,64.3,167.2,2351.9,3923.1,4074.4,663.7,4767.1,899,474,97.7,132.2,85.5,67.6,785.2,149.3,499.2,922.1,1031,428.1,674.8,96.9,176.6,0,19891.2,0.5,4.3,72.3,1098.2,871.6,118.3,6307.5,-16415
"TTL_C20",1594.1,2.4,21,100.6,27.9,438.1,258.9,263.5,620.1,200.8,7975.9,657.1,3441.1,362.9,46.6,416,239.9,172,278.3,1349.1,234.7,267.6,251.8,188.4,1131.4,571.5,69,7.2,42.3,32.3,6.2,143.2,296.6,13,57.1,133.2,158.2,1308.1,331.2,281.9,325.1,1050.4,63.4,252.2,0,13144.4,12.2,195.9,685.7,1213.1,257.8,218.7,18412.3,-14508.7
"TTL_C21",278.3,1.7,7.4,5,3.5,171.7,14.2,11.7,28.5,13.2,263.3,3788.8,110.1,16.8,9.1,25.6,22.4,12.3,136.1,62.5,20.9,141.3,50.6,13.8,125.6,119.1,27.1,4.8,22,16.8,3.1,58.3,37.9,15.3,52.2,82.7,46.7,1437.2,94.2,235.4,76.8,8676.5,23.6,73.9,0,9913.1,20.6,7074.6,924.8,1082.4,219.7,59.3,11535.7,-11741.9
"TTL_C22",689.5,6.9,25,55.6,4.8,2566.9,167.4,89.4,1540.9,12.8,842.3,684,3563.6,94.9,30.6,369.9,417.1,405.1,752.9,2929.3,497.5,597.3,41,362.5,3653.5,2698.2,475.6,4.6,14.6,369.2,4.5,77.7,86.2,27.9,121.2,312.5,65.6,286.9,596,271.7,170.3,670,200.2,165,0,6743.5,4.7,18.6,765.8,885.4,30.5,27.1,8025,-13866.6
