"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2448.3,2.1,6,1.9,0,3516.3,25.3,49.8,4.2,1.4,39,12.9,5.8,11.7,32.5,13.9,1.1,3.7,1,1.3,0.1,6.3,63.9,40.2,1.2,8.4,1.6,3.8,0.4,6,0.2,960.1,1,1.4,0.3,0.6,0.5,1.7,1,46,2.6,7.5,2.6,25.3,0,5319.8,0,1.9,134.6,773,8.5,44,1654.3,-1273.8
"TTL_A03",0.3,90.7,0,0,0,25.8,0.9,0,0,0.2,0,0,2.4,1.2,0,0.9,0,0,0,0,0,0.1,0,0,0,0.2,0.1,2.7,0,0,0,60.6,0,0,0,0,0,0.2,0,0.3,0,0.2,0,5.2,0,425.4,0,0.4,3.5,50.9,0.5,2.7,403.2,-68.5
"TTL_B05_06",16.2,1.4,0.2,1.1,9.1,4.7,0.3,54.8,162.1,7859.3,5,0.7,0.4,1.7,2.6,464.2,204.5,0.2,355.8,0.1,105.5,187.6,97.9,1.7,1.5,12.1,6.4,62.4,4,8.5,1.9,4.4,0.1,0.5,0.3,0.3,0.3,1.8,1,5.7,1.4,2.2,1,0.9,0,99.3,0,0.5,3.7,656.6,0.6,0,13,-10272
"TTL_B07_08",3.7,0,0,206,0.1,3.5,0.2,2.8,0.8,8.2,7.8,1.9,0.4,111.1,11.4,1.7,0.6,0.3,0.1,0,0,0.1,1.4,1.3,36.1,2.4,1.2,1.4,0.2,0.2,0.1,10.7,0.1,0.7,0.2,0.4,2.9,1,0.4,1.1,0.5,1.2,0.3,0.3,0,12.4,0,12.6,16.6,13,0.3,0.3,627.5,-54.2
"TTL_B09",0.7,0.4,0.9,16.7,0.3,0.3,0,0,0.3,4.3,0.8,0.1,0.1,1.6,2.2,0.5,0.1,0,0.2,0,0.1,0.1,2.5,0.3,2.7,0.3,0.6,1,0.1,0.5,0,0.1,0,0,0,0,1.2,0.3,0.1,0.3,0,0.1,0,0,0,0.8,0,0.1,0.2,0.4,0.1,0,10.9,-15.6
"TTL_C10T12",693.6,4.7,0,0.1,0,884,4.5,3.2,2.1,7.2,9.1,7.7,7.3,0.6,13.4,14.3,3.3,13.7,2,0.1,0.1,0.8,0.9,0.7,1.2,11.5,1.2,32.3,0.2,0.4,0.1,3083.2,8.5,0.3,0.1,1.1,2.9,7.1,7.6,50.4,22.7,141.6,0.5,52.8,0,10117.6,0,2.8,4.6,622.2,24.2,127.4,2184.1,-3090.8
"TTL_C13T15",26.6,15.5,0,0.1,0,35.9,287.3,0.3,5,4.2,4.4,8.2,5.9,2.9,5.6,4.8,0.5,1.2,0.4,0.6,0.1,5.2,6.2,10.1,2.7,177,1.7,1.5,1.3,0.4,0.2,41.4,2.4,12.6,8.5,37.4,1.6,18.4,2.7,17.5,8.6,18.1,18.6,12.2,0,2546,0,3.5,7.9,178,10.7,20.6,232.4,-2131.3
"TTL_C16",13.5,4.7,0,1.1,0,107.8,4.9,73.4,3.3,0.6,11.8,19.9,3.8,5.8,9.8,11.3,1.4,3.7,0.8,2,0.1,92.4,29.5,1.2,37.6,3,1.7,0.6,0.5,0.6,0.3,8.6,10.4,0.3,0.3,0.4,7.3,6.6,0.6,2.3,0.4,6.1,0.3,10.2,0,62.3,0,3.5,19.7,24.9,1.1,3.6,52.9,-275.5
"TTL_C17_18",6.5,2.4,0.2,0.2,0,88.9,7.7,2.2,649.4,2.6,9.9,29.8,22.9,7.3,5.1,4,0.5,8,0.3,1.2,0.1,1.6,22,2.7,12.9,183.5,17.3,1.6,2.9,3.5,1.4,330,15.3,14.7,14.4,49.9,5.4,133.1,68.2,88.8,18.3,19.2,28.7,48.1,0,708,0,4.7,29.2,105.6,3.1,15.6,236.2,-797.2
"TTL_C19",522.1,43.2,3.4,7.5,0.5,149.2,9.6,3.2,11.4,194.9,163.5,20.3,21.6,38.5,74.5,47.2,6.5,5.3,9.9,2.2,2.5,10.8,927.1,52.4,34.2,380.5,200.2,1909.9,127.9,271.9,60.7,141.1,1.7,14.5,9.6,7.9,5.7,57.9,30.5,181.6,43.4,72.5,30.7,29.7,0,3130.6,0,6.7,42.2,472.4,7.3,37.9,6023.3,-4697
"TTL_C20",331.5,0.7,1.1,1.2,0.2,256.8,94.1,2.4,41,11,491,62.3,612.3,34.7,81.8,98.2,3.9,38.6,2,1.2,0.2,12.9,13.5,22.4,20.3,91.7,12.4,16.8,2.9,6,1.4,215.7,9.7,9.8,3,5.6,239.2,19.6,36.9,42.3,35.1,249.8,11.3,11,0,1224.7,0,48.9,41.5,173.8,2.9,10.9,964.5,-2856.3
