"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",0.9,0,0,0,0,38.9,1.5,0.1,0.6,0,0.4,0.2,0,0,0.1,0,0.6,0.1,0.1,0.1,0,0,8.2,3.9,1.9,63.3,11,29.2,83.8,0.1,1.3,115.6,0.5,4,0.2,2.4,1.5,1.4,2.7,3.2,5,4.9,5.6,9.1,0,1217.6,0,0.4,3.7,60.9,90.3,0.3,2.3,-1472.7
"TTL_A03",0.1,0.2,0,0,0,0.8,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.8,0.4,0.2,4.8,1.1,6.2,15.2,0,0.3,16.1,0.1,0.7,0,0.3,0.1,0.2,0.3,0.2,0.5,0.7,0.8,1.3,0,143,0,0,0.5,10,7.4,0.1,0.6,-165.1
"TTL_B05_06",1.8,0.5,0,0,0.9,12.6,13.6,0.4,7.5,0.4,0.7,0.1,0,2.4,1.4,0.4,4.5,0.8,6.1,0.6,0.4,1.8,2,1.8,0.5,18.4,8,1.7,4.1,3.1,1.1,0.4,0.2,2.2,0.5,6.3,1.1,4.3,5.9,0.9,4.8,1.2,0.8,1.5,0,4.5,0,0,1.8,206.4,1.9,0,0,-342.5
"TTL_B07_08",0.8,0.2,0,0,0.3,2.1,3.4,0.1,1.4,0,0.2,0,0,2.1,0.6,0.2,2.1,0.4,2,0.2,0.1,0.5,0.3,0.4,0.4,2,1.9,0,0.6,0.9,0.1,0.1,0,0.4,0.1,1,0.4,1.3,1.4,0.3,0.9,0.2,0.1,0.4,0,1.4,0,0,1.1,365,0.9,0,0,-398.8
"TTL_B09",0.6,0.3,0,0,0.8,1.9,0.8,0.1,0.7,0,0,0,0,0.1,0.2,0.1,0.2,0,1.1,0.1,0,0,0.1,0.1,0.1,1.1,1.1,0.1,0.7,0.2,0.3,0,0,0.1,0,1.4,0.4,1.1,0.8,0.2,0.9,0.3,0.1,0.2,0,0.2,0,0,1.7,0.6,0.8,0,10.9,-2.5
"TTL_C10T12",7.7,1.2,0,0,0,364.8,116.1,13.2,128.8,3.6,28.9,11.5,0,2.2,3.7,1.7,42.6,4.9,5.7,2,1,0.4,32.2,22.7,148.3,1178.9,64.1,145,200.2,3,33,240.2,11.4,79.8,4.7,126.2,91.3,37.4,52.3,29.4,36.2,94.6,42.8,119,0,3643.9,0.1,0.2,118.7,111.8,389.3,149,3572.9,-942.4
"TTL_C13T15",0.2,0.1,0,0,0,6.2,201.7,0.4,3.5,0.2,0.9,0.3,0,0.4,0.6,0.5,6.3,0.9,0.9,1.1,0.4,0.2,1,2.6,3,197.6,10.2,8.7,12.8,0.5,5.9,2,1.4,12,0.8,24.2,14.8,5.3,10.4,5.9,4.3,4.5,4.2,17.7,0,1610.7,0,0.1,27.7,257.1,215.7,21.8,3228.3,-1036.3
"TTL_C16",2.3,0.3,0,0,0,32.4,0.4,0,0.3,0,0.1,0,0,0.1,0.3,0.2,1.9,0.3,0.3,0.3,0.1,0.1,0.7,1.6,67.4,32.3,10,27.6,6.6,0.6,1.7,1.3,0.6,4.9,0.1,3.5,2.5,1,1,2.2,4.5,27.5,2.5,5.3,0,321.3,0,0,71.5,46.9,16.7,1.5,40.1,-92.2
"TTL_C17_18",1.6,0.4,0,0,0,177.5,42.9,0.6,67.4,0.2,2.1,0.9,0,2,0.5,0.4,22.1,3.1,2,0.9,0.3,0.8,1,2.4,19.2,217.6,7.3,7.9,7.7,0.4,3.4,1.3,3.2,10.7,0.5,30.1,13.4,5.5,4.5,3.3,6.9,25.6,4.3,9.9,0,221.8,0.1,0.2,13.5,10.3,44,27.2,2609.1,-156.3
"TTL_C19",0.2,0,0,0,0,2.2,1.1,0.3,1.5,43.4,67.9,6.8,0,12.6,49.2,17.6,22.2,4.9,5.3,4.2,1.6,0.5,2.7,6.2,0.6,1617.7,18.3,32.4,47,1.9,2.9,1.5,1.1,5.1,0.7,40.7,17.5,5.7,13.2,34.4,14.1,2.7,3.9,11.7,0,669.7,0,0.1,5.5,167.8,161.5,0.7,5.4,-2777
