"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",463.7,2.9,2,0.8,1.6,696.3,33.9,85.8,6,3.8,1.4,0.6,1.4,1.8,0.3,4.6,4.3,1.4,1,0.2,3.7,3.1,6.5,2.3,10.4,236.7,8,1,2.3,2.1,0.5,19.1,3.8,4.5,1.1,6,3.9,5.3,4.6,7.4,1.3,3.4,2.3,10.7,0,744.5,13.1,42.1,39.2,19,3.5,33.3,89.2,-184.3
"TTL_A03",2.9,13.8,0,0,0,2.4,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0.3,3.7,0.6,0.1,0.2,0,0,4.4,0.1,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,49,6.1,0,0.1,1.1,0.2,2.5,16.4,-1.6
"TTL_B05_06",0.2,0.1,0.5,3.2,0,9.7,0.1,0,0,427.5,3,0.1,0,0.1,0.5,0.1,0,0.1,0.3,0,0.2,0.1,57.7,0.2,1.9,0.7,0.1,0.2,0,2.3,0,0.1,0.1,0.1,0,0.1,0.9,2.3,0.1,0.4,0,0.1,0,0.1,0,70.4,2.7,0,2.1,3.9,0.1,0,7.3,-513.6
"TTL_B07_08",2.3,0.2,0.5,12.6,0,8.6,0.3,0.1,0,0.2,4.4,0.1,0.1,24.9,0.6,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.8,43.2,6.5,0.1,0.1,0,0.2,0,0.8,0,0.1,0,0,3.9,8.1,0.8,0,0,0.2,0.1,0.7,0,19.4,0.1,0,0.1,1.5,0.1,0,9.9,-29.8
"TTL_B09",0,0,0,0,0,1.5,0,0,0,77.2,2.1,0,0,0,0.1,0,0,0,0,0,0,0,4.9,0,2.7,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0.2,0,0,0.1,0,0,0,4.8,-35.1
"TTL_C10T12",142.6,0.5,0,0,0,281.6,0.8,0.1,1.5,0.4,1,0.4,0.3,0.3,0.1,0.2,0.1,0.2,0.2,0,0.2,0.2,0.3,0.1,4,21.7,0.1,0.2,0.2,2.9,0,149.3,0.4,0.2,0,1.1,0.9,3.5,3.2,19.9,6.4,15.6,8.3,3.1,0,1807.2,3.2,0.2,0.7,16.9,12.9,106.5,448.3,-351.5
"TTL_C13T15",3.6,0,0,0,0,1.5,93.5,0.1,0.8,0.3,0.3,0.2,0.5,1.6,0.1,0.3,0.1,0.3,0.3,0.1,0.2,3.5,0.2,0.8,1.7,8.6,0.5,0.2,0.3,4.4,0.6,5.2,0.4,1.8,0.1,4.4,1.6,0.7,1.6,33.4,0.8,11.6,7.3,1.1,0,426.3,8.8,0.3,1.1,6.7,8.5,43.6,167.1,-208.9
"TTL_C16",4.1,0.1,0.1,0,0,2.5,2.4,60.7,0.9,0.4,1.3,0.2,1.1,2.8,0.1,0.3,0.1,2.9,0.6,0.1,4.8,65.3,1.1,0.1,86.7,18.6,0.5,0.1,0.2,3.5,0,1.5,0.1,0.1,0,0.2,26.8,22.6,4.1,0.3,1,0.5,0.3,4.6,0,20.9,5,1.4,1.4,3.3,0.8,5.8,64.3,-97.3
"TTL_C17_18",15.5,0.4,0.3,0.4,0.2,53.4,3.2,0.5,113.6,3.4,3.5,0.6,1.4,4.5,0.1,1,0.6,0.8,1.1,0.1,0.7,2.7,2.2,1.8,3.6,42.7,2.6,0.4,0.5,3.1,1,25.4,50.9,4.3,1.2,19.2,2.4,1.6,1.1,1.6,4.1,7.1,11.1,22.7,0,160.5,4.5,2.2,8.3,3.7,1.6,10.3,45.5,-153.4
"TTL_C19",41.8,3.4,0.1,0.6,0.1,3.3,0.8,0.3,1.1,40.7,6.7,0.6,1.7,1.5,0.3,1.3,0.8,2.5,0.9,0.6,2.2,2.5,132,6.7,77.1,94,69.4,21.8,23,20,2.8,21,1.6,3.4,0.5,8.9,20.8,6.4,4.8,39.6,2.5,9.1,5.6,4.5,0,487.1,6.9,32.2,17.8,13,4.1,74.3,234.5,-71
