"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2256,3.8,0.1,0.5,0.3,3028.9,10.7,74.7,9.7,12.2,13.3,21.3,33.7,7.1,4.5,7.1,15.8,5.5,12.5,21.8,0.7,15.1,85.2,8.8,37,324.9,13.5,0.5,3.4,13.8,0.5,95.3,8.1,5.5,2.6,6.1,16.1,20.4,19.9,11.7,4.7,25,4.6,13.4,0,1934.6,0.3,20.5,377.1,-1.5,15.4,66.3,2606.1,-744.9
"TTL_A03",1.4,5.3,0,0,0,2.3,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0.1,0.3,0,0,0,0,0,10.2,0,0,0,0,0,0,0.1,0,0,0.1,0.3,0,0,23,0.4,0.7,1.1,0,0.8,4,2.9,-6
"TTL_B05_06",34.5,0.1,2.2,7.5,0.8,44,1.8,1.8,10,1695.7,108.8,11.7,3,49.8,101.8,3.6,3.1,2,4.8,7.6,2.1,1,820.2,12.2,46.9,62.4,30.9,0.2,0.8,50.8,2.2,29.5,2.1,4.2,1.2,4.7,27.5,29.3,14.1,45,48.9,63.2,27.5,10,0,582.8,0,1.1,29.2,-0.5,0.5,0.4,17.1,-3955.7
"TTL_B07_08",14.3,0,4.4,11.7,8.6,51.3,0.8,1.2,3.8,0.6,10.9,1.9,5.5,93.3,20.4,18.7,4.2,5.2,7.5,10,0.4,2.6,1.6,4.8,123.7,26.9,0.8,0.1,0,1.7,0,0.3,0.4,0.2,1.2,0.2,22.7,8.3,2.6,1.5,1.7,5.7,2,4.8,0,58.2,0,1.9,28.8,0.7,0.2,0.7,15.8,-270.7
"TTL_B09",0.5,0,13.7,0.4,12.3,0.6,0,0.3,0.1,73.6,1.1,0.2,1.2,0.6,3.4,0.1,0.5,0.2,0.7,2.1,0.1,1.1,9.1,0.4,12.3,1.5,0.4,0,0,0.6,0,0.3,0.1,0.1,0.1,0.2,0.6,1.3,0.5,0.5,0.4,1.2,0.4,0.2,0,4.6,0,0.1,70,-1.6,0.1,0.1,60.2,-19.9
"TTL_C10T12",860.1,2.4,0.1,0.3,0.3,1322.4,3.8,1.8,15.6,30.7,22,18.1,14.2,4.4,3.1,5.2,15.3,5.8,6.8,13.4,0.5,4.9,21,7.3,16.1,193.2,5.3,1.5,5.3,1.9,0.6,1151.9,1.8,1.6,1.9,4.4,12.4,25.4,40.8,27.4,5.3,128.1,10.6,13.4,0,7740.7,6.5,11.5,25.4,0.8,59.6,190.7,2597.7,-2354.2
"TTL_C13T15",4.9,0,0.1,0.2,0.1,9.7,320.4,1.1,7.8,1.4,3.3,3.3,36.4,3.7,1.9,3.2,21.5,6.9,11.4,76.8,0.6,50.3,2.7,3.5,15.4,30.7,3.5,0.1,0.4,1.9,1.1,5.4,0.9,1.5,1.2,1.5,3.3,4.8,6.4,8.4,1.9,15.2,8.8,22.9,0,843,0,4.8,18.5,-5.3,27.5,66.2,744,-796.3
"TTL_C16",21.5,0,0,0.1,0.1,19.5,3.7,197,5.8,1.5,12,1.6,14,20.7,5.5,19.9,14.6,14.1,15.4,23.6,1.6,108.6,14.7,2.3,286.4,58.5,8.1,0.3,0.5,1.6,0.2,2.9,0.6,2,0.3,0.8,65.4,14.6,8.3,2.5,0.6,2.9,1.2,4.7,0,40.5,0,2.3,31.8,-6,3.1,6.4,408.2,-443.3
"TTL_C17_18",23.3,0.1,0,0.4,0.1,244.6,9.7,22.1,809.3,2.6,40.1,25.1,47.6,18,3.9,11.9,59.5,40.1,15.9,23.8,1.1,24.4,13,3.6,15.4,349,11.2,0.1,0.9,11,6.4,11.5,266.8,6.1,12,83.1,58,56.8,38.9,74.9,24.5,13.7,11.6,15,0,336.8,0,4.2,19.4,-0.8,7.7,17.2,752.9,-1114.5
"TTL_C19",251.5,1.4,2.4,10.6,7.9,106.8,8.5,9.8,16.2,521.2,525.6,31.4,56.3,68,122.4,20,45.2,22.8,29.9,41.9,2.4,16.2,185,50.3,262,359.6,731.4,26.7,118.7,111.4,8.2,25.9,5.9,9.1,9.4,35.6,56.9,63.8,51.4,66.5,30.6,57.9,23.3,24.3,0,1957.9,0,13.4,70.7,2.1,20.9,68.1,1118,-1423.8
"TTL_C20",524.4,0.1,0.5,4.2,4.8,288.4,42.5,30.5,51.9,215.9,654.7,251.2,713.4,123.4,23.1,41.7,121.5,163.9,47.2,110.6,3.9,44.6,47.5,25.4,155,162.7,26.8,1.3,2.6,10.5,2.2,24.4,7.6,1.9,4.1,10.5,54.5,57.8,48.4,17.9,22.1,145.5,26,31.8,0,554.6,0,16.4,31.2,-3.5,7.9,13,2137.1,-3367.2
"TTL_C21",47.3,0.1,0.1,0.3,0.3,33.9,3.3,1.8,3.7,11,31.1,233.8,31.8,6.3,5.2,3.7,22,10.1,8.4,27.4,0.4,3.9,5.2,2.1,13.9,24,4,0.3,1.6,1.7,0.3,4.2,1.6,1.3,3.4,2.8,5.4,15.1,6.4,5.4,2.9,359.9,4.5,4.2,0,711.9,1.2,1122.1,58.3,-11,4.8,12.2,1975.6,-1505.5
"TTL_C22",45.8,0.2,0.2,0.7,0.9,211.8,51.7,32.3,50,5.6,71.7,38.1,454,29.8,6.3,42.3,438.9,219,77.1,431.1,5.5,104.4,14.4,33,336.6,98.6,52.8,0.3,0.6,13.7,1.4,8.2,3.6,2.7,1.2,16.4,47.4,29,18.8,22.4,2.3,41.5,3.9,4,0,278.4,0,8.5,70.5,-24.3,1,9.4,2693.4,-2005.7
"TTL_C23",22.4,0.1,0.1,7.8,2.9,73,4,7.5,2.4,3.6,10.5,12.8,17.3,299.4,9.1,10.3,41.6,32.1,22.2,114.7,1.6,11,20.1,8.8,1171,69.1,5.5,1,0.9,7.4,0.2,5.8,0.5,3.9,0.8,2.1,207.1,22.6,8.5,2.7,1.1,13.3,1,1.7,0,108.2,0,5.2,74.7,-7.6,0.8,1.8,955.6,-747.8
"TTL_C24",16.9,0.1,0.4,1.3,4.6,27.9,2,30.1,5.3,17.1,24.2,13.2,45.8,52.1,663,617.6,53.2,555.6,406.3,310.2,32.9,85.8,22.4,20.4,336.9,90.3,61.9,0.5,0.1,8.2,0,0.5,0.1,0.3,0.8,0.2,44.9,80.2,75.2,0.1,0.2,2,0.3,5.9,0,1.7,0,0.1,2.9,-0.2,0.1,0,1275.3,-2699.1
"TTL_C25",22.6,0.1,0.2,1.4,1.8,157,14.7,25,14.1,16.6,23.3,13.3,103,19.6,41.3,638.9,154.2,133.9,494.4,688.5,15.3,115.3,65.1,18,737.9,130.1,22.8,0.4,1.7,23.2,1,6.1,2.6,15.4,6.2,6.6,78.3,23.6,19.4,17.5,16.9,21,10.5,6.4,0,251.5,0,7.7,458.2,-96.2,2,5.2,1663.5,-2129.2
"TTL_C26",12.6,0.1,0.6,0.7,4.3,26.2,2.9,2.5,8.2,11.5,8.5,12.2,41.8,5.2,4.2,32.5,8952.7,306.3,102.1,1117.8,2,242.4,45.5,16.6,96.7,214.3,23.9,0.6,3.1,20.4,9,9.8,10.8,69.4,82.6,55.6,45.3,79.2,46,42.1,43.2,98.5,13.4,34.1,0,803.9,0.1,14.7,1749.5,-333.5,7,13.8,16589.9,-11811.5
"TTL_C27",17.9,0.1,0.2,1.1,1.3,23,4.8,2.8,8.1,16.4,15.1,7.7,27.9,9,9.5,136.1,1387.7,475.2,265.7,652.6,11.4,62.4,106.9,12,406.3,103.8,26.3,1.2,2,9.8,1.2,7.6,2,40.2,11.2,5,58.8,38.7,17.6,22.5,3.9,10.4,5,6.8,0,537.8,0,3.9,761.7,-128.2,4.2,3.7,3408.3,-4498.5
"TTL_C28",133.4,0.6,1.3,9.7,5.2,103,14.3,10.3,46.5,54.9,51.1,25.6,55.1,43.8,37.3,89.8,278.3,137.9,589.2,2409.7,11.2,70.7,102.8,35.6,247.8,360.7,63.3,0.8,4.6,49.7,1,16.3,6.2,12.6,12.2,16.7,67.8,47.9,29.9,13.5,7.5,18.6,6.5,20.7,0,243.8,0.1,14.9,3115.5,-518.6,1.1,6.9,4470.8,-6124.4
"TTL_C29",27.7,0.2,0.3,1.9,1.2,21.7,6.6,2.5,6.7,4.9,6.8,5.3,32.9,18.2,22.5,45,231.3,66.6,91.8,2329.1,14.2,21.3,19.8,16.7,126.5,358,125.6,2.4,1.8,21.8,1,2.6,1.4,5.7,5.2,5,23.8,19,25.2,10.4,2.6,6.3,2.7,8.3,0,1439.4,0,3.5,1630.6,-597.7,4.4,13.8,12458.8,-3434.1
"TTL_C30",1,0,0,0,0,1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,59.8,1.2,5.2,3.9,13,7.3,94.8,22.2,0.6,0.3,7.3,17.9,12,0.1,0.7,13.4,0.1,0.1,0.1,0.2,0.4,0.1,0.5,0.7,14.3,8.9,0.4,0.9,0.5,0.5,0,124.2,0,21,416,-63.7,0,0,257.1,-564.5
"TTL_C31T33",9.3,0.1,0.2,2.4,1.8,28.7,39.4,7,10.8,56,28.7,16.8,30.6,8.3,9.5,20.5,109.8,20.7,75.4,111.7,2.5,95.3,170.7,10.8,80.3,50.8,115.7,1.9,13.8,79.2,1.3,4.5,3.8,21.1,5.5,18.1,22.4,21.9,11.8,29,18,176.5,7.1,6.9,0,751,0,114.8,482.9,-61.5,26.3,69.3,1129.4,-1031.7
"TTL_D",227.8,1.4,1.1,13.9,3.5,274.9,20.5,31.6,110.9,248.3,324.7,90.7,110.6,192.4,141.6,64.3,126.5,51.8,96.2,183.3,10.7,37.7,492,166.4,107,624.2,119,1.5,3.2,200.4,10.5,181.1,23,72.4,34.7,68.3,258.2,155.2,61.9,364,224.5,190.9,136.1,68.2,0,2359.8,0.4,63.8,148.6,1.8,2.9,6.4,498.8,-879.3
"TTL_E",35.1,0.2,0.3,1.9,2.1,69.5,4.3,12.7,17.1,29.5,63.9,33.9,19.1,16.2,131.2,9.6,16.4,6.6,11.9,31.6,1.5,6.5,30.9,244.3,55.5,159.9,12.8,0.9,1.1,9.2,1.5,40.2,4.1,5.9,3.4,20.7,59.3,23.3,25.3,94.5,42.9,73.6,38.2,25.8,0,957.1,0.9,163.7,96.1,-1,0.9,4.2,62.6,-52.4
"TTL_F",14,0.2,0.2,4.5,3.1,28.1,3,3,6.3,23.3,10.5,6,11.1,22.6,5.8,17.1,46.1,10.4,27.9,54,2,11.6,112.2,41.5,516.2,81.3,33.1,1.1,4.4,159.1,2.2,17.7,8.7,27.2,8.7,29,264.6,69.1,20.8,215.4,56.3,34.8,27.2,23.8,0,111.1,0,65.3,12067.2,0.9,3.7,11.7,155.6,-161.7
"TTL_G",956.1,3.7,3.5,15.3,10.6,1325.2,242.2,92.6,244.1,532.6,439.4,278.9,452.2,200.5,178.5,281.7,2222.1,390,480,1457.9,32.7,247.3,372.6,87.8,887.7,1648.6,471,14.9,52.6,126.7,35.3,488.9,79.1,94.1,75.8,162.3,260.3,254.1,252.2,159.8,103.1,434.4,82.2,105.5,0,7333,3.1,577,2071.4,-24.5,94.7,226.4,9750.7,-11412
"TTL_H49",143.5,0.9,4.8,25.6,12,281.4,25,18.1,50.8,137.9,72,28.8,70,112.8,71.5,70.7,300.8,71.5,107.9,229.3,6.8,43.7,354.1,43.4,366.3,956.9,141.2,4.7,18.7,32.3,16.8,50.8,20.3,30.7,16.4,32.7,54.6,74.5,134.9,63.8,33.5,45.3,24.6,38.9,0,1034,0.1,1362.1,224.6,527.9,153.8,428.6,2325.7,-2639.6
"TTL_H50",2.8,0,0,0.1,0.1,4.1,0.9,0.5,0.9,10.1,2.9,0.8,1.9,1.8,2.1,1.6,13.4,2.7,2.2,11.1,0.8,1.1,2.7,0.4,5.2,14.7,4.5,0.6,1.3,4.6,0.1,1.1,0.3,0.3,0.2,0.4,1.1,1,4.1,0.9,0.4,1.2,0.6,0.4,0,104.5,0.4,2.7,7,52.3,31.8,47,36.1,-214.7
"TTL_H51",7,0,0.1,0.3,0.3,11.6,2.1,1.1,2.6,11.5,4.7,4.2,5.3,3.1,3.2,4.9,37.9,7.5,6.6,15.8,0.8,3.4,7.8,1.6,14.5,26.1,11.2,0.2,15.1,4.6,2.5,4.8,2,1.5,4,2.8,6.4,16.5,53.3,9.3,5.1,4.1,2.7,2.8,0,276.7,0,4.4,11.5,211.4,91.1,332.5,550.9,-650.3
"TTL_H52",64.7,0.4,0.3,3.8,1.1,141.3,7.5,6.9,15.7,67.6,18,8,27.2,40.1,10.2,23.9,122.2,16.9,26.9,58.8,2.5,16.6,102.8,21.1,163.6,500.1,1009.9,26,368.6,169.2,11.3,19.5,11.9,16.4,8.2,10.4,29.1,34.4,31.7,168.2,9.3,14,12.5,25.8,0,244.4,0,245.1,121.6,6.9,11.5,18.9,1243.2,-1075.1
"TTL_H53",15,0.1,0.1,0.5,0.2,15.9,2,1.2,3.3,3.7,5.7,6.9,4.6,3.6,1.4,4.4,7.1,2.6,5.6,8.5,0.4,3.6,20.6,10.4,24.2,93.5,17,0.4,3.7,17.5,62.9,12.3,40.6,48.1,6.2,169.8,60.4,36.5,21.3,191.3,27.3,36,25.4,18.8,0,138.8,0,5.8,3.9,3.8,3.3,11.9,126.1,-343.5
"TTL_I",1.8,0,0.1,0.1,0.2,5.5,0.7,0.5,1.2,0.8,1.5,2.8,2.3,1.1,1.4,2.5,7.5,1.9,4.7,5.8,0.4,1.8,2,0.7,11,38.4,6.9,0,2,6.3,1,164.8,2.9,2.2,8.9,11.9,5.1,39.8,204.5,62.7,21.2,70.6,11.1,50.5,0,2803,0.2,341.7,2.9,0.2,690.5,1496.9,2.1,-705.5
"TTL_J58T60",8.2,0.1,0,0.3,0.1,88,1.9,1.9,11.5,4.3,9.9,38.5,17.3,4.4,1,6,53.7,7.9,5.9,20.3,0.4,6,9.1,6.1,17.7,234.7,13.8,0.2,2.5,8.4,5.4,30.7,687.9,104.5,13.2,29.9,51.6,131.6,93.1,30.1,99.5,11,103.6,92.8,0,521,0.1,283.4,479,0.4,9.9,22.2,1086.7,-1109.8
"TTL_J61",18,0.5,0.2,0.9,0.6,40.4,4.7,4.6,10.1,13.5,8.8,8.1,13.6,10.1,4.3,13.6,38,10.2,23.5,21.8,1.7,11.9,18.7,20.6,91.7,267,74.9,1.1,4.2,31.2,10.1,28.9,83.3,155.4,62.2,109.1,57.1,131.2,69,149.7,66,75.5,72.9,66.8,0,2230.9,0,6,91.9,-1.2,40.8,117.4,477.3,-536.4
"TTL_J62_63",15.3,0.2,0.1,1.2,4.2,105.4,3.6,2.5,11.8,7,13.5,12.8,17.1,13.6,14.7,15.2,378.3,34.4,24.7,46.1,2.2,13.2,121,39.2,98.8,481.2,93.2,0.6,25.4,69.7,22.7,25,165.2,193.5,404.3,455.7,93.2,180.4,73,244,55.7,60.5,37.6,43.8,0,56.6,0,21.6,676.6,1.5,2.1,4,1103.1,-2046
"TTL_K",209.2,1.2,1.3,8.2,6.8,133.1,16.4,16.2,37.4,65.8,60.3,57.7,60.1,36.4,23.5,66.7,104.4,40,56.8,85.8,5.6,44.1,134.5,55.7,415.4,983.6,199.4,5.5,36.5,156.4,13.1,161,35.6,59.7,73.5,2029.1,1461.3,329.9,200.6,398.5,41.1,78.2,38.5,109.3,0,3033.2,0,47.1,95,0.7,36.8,112.4,337.4,-1492.4
"TTL_L",41.8,0.5,1.6,3,0.6,122.6,10.7,11.1,29.7,17.9,26.5,19.6,57.6,23.8,16.8,41.2,114.1,29,61.2,78.3,7.4,28.9,141.7,89.8,268.4,1047.4,137.3,8,23.6,111.6,6.8,178.4,78.4,103.3,115.1,201.8,245.8,337,171.4,294.8,146.2,154.7,141.6,169.8,0,8877.8,0.5,238.2,811.6,-0.7,111.8,335.9,163.9,-458
"TTL_M",64.9,1.1,3.5,35.6,36.5,373.1,20.5,14.7,39.8,73,57.2,146.7,91,72.4,21.9,74.4,382,88.9,108.8,579.2,14,78.2,441.2,73,597.8,1840.3,107.5,29.9,33.4,136.5,10.3,97.7,107.5,248,194.3,346.6,578.4,1200.3,357.3,190.5,64.4,108.6,116.5,93.2,0,129.3,1.4,204.9,1157.2,-8.5,18.3,48.8,2450.2,-2825.2
"TTL_N",34.1,0.7,1.8,4.4,6.5,217.4,21.2,13.7,62.2,26.5,44.5,143,67.4,60.6,34.8,78.8,542.8,96.1,130.3,190.1,11.3,51.9,203.8,49.9,284.8,942.3,189.5,7.1,128.6,67.9,13.6,92.3,37.5,133.8,114.8,403.4,285.8,285.9,256.5,147.7,71.4,128.2,132.7,61,0,401.4,0.2,97.6,155.9,4.5,31.8,68.2,1719.6,-1882.4
"TTL_O",39.2,0.5,0.6,2.2,3,38.5,2.6,1.7,5.2,7.8,5.7,4.4,8,5.5,2.9,7.5,34.1,6.3,9.7,22.6,1.3,5.3,33.6,41.4,41.4,205.5,98.2,4.2,23,35.7,2.6,23.3,11,90.2,17.2,91.5,45.3,66.3,32.3,280.6,14.4,9.4,33.5,41.7,0,163.9,0.3,12136.2,16.8,0.2,5.5,0,63.3,-89.4
"TTL_P",4.3,0,0.1,0.1,0.3,10.1,0.9,0.9,2.7,2.2,2.4,6.1,6.8,2.7,1.7,2.9,10.9,3.4,8.2,9.5,1.1,2.6,6.5,4.5,14.1,76.6,6,0.1,3.3,8.7,2.3,6,3.3,10.3,13.7,34.2,9.6,33.1,16.4,38.3,221.7,10.4,1.9,17,0,889.7,467.3,5009.5,25.8,0,120.5,121.8,3.2,-185.7
"TTL_Q",1,0.1,0,0.1,0.1,7.3,1.6,1,1.6,1.6,2.8,18.9,2.8,2,2.4,2.6,7.1,1.9,4.2,5.6,0.5,4.3,6.5,7.6,7.2,43.1,37.9,0.3,0.8,3.6,2.2,13.1,1.2,1.1,2.6,6.4,4.2,6.9,11.8,2.3,3.4,410.5,5.1,14.3,0,1440.8,405,5421.9,5.1,0,35.8,97,2.3,-68.3
"TTL_R",2.5,0,0,0.3,0.1,9.1,1,0.6,1.9,1.1,1.6,3.2,2.6,1.3,1,2.6,10.2,2.1,3.3,4.7,0.3,1.5,3.2,2,11.1,32.4,6.6,0.1,0.7,10.5,0.6,6.8,24.6,3.9,3.9,5.9,7.9,12.6,26.8,4.6,1,5.5,145,10,0,1326.7,197.5,800.7,8.5,0,77.5,219,22.8,-340.3
"TTL_S",21.8,0.2,0.1,0.5,0.2,25.8,2.4,1.5,4.8,4.5,5.4,14.6,4.9,3.9,2.3,5.1,21.9,5.3,8.9,9.4,0.8,5.6,26.5,17.7,32.7,144.5,15,0.5,4.1,29.7,3.5,26.7,11.7,24.9,34.7,45.8,66.6,64.2,40.5,41.2,20.9,27.6,24.2,14.8,0,1570.2,892.9,52.3,9.3,0.1,39.5,90.7,34.4,-78.9
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0
"TXS_IMP_FNL",69.2,0.3,0.8,3.6,1.4,71.2,65.7,6,21.7,528.7,104.9,22.8,47.1,29.7,50.8,20.4,263.5,38.3,29.5,153.2,8.8,30.1,254.5,12.2,84.3,85.9,84.9,2.7,11.6,28.4,2,34.9,5.5,5.3,3.4,6.2,22.2,22.7,15.6,24.4,19.9,0,0,0,0,0,0,0,0,0,145,0,0,-2439.2
"TXS_INT_FNL",183.4,1.4,0.9,6.1,3,165.7,15.8,14.8,39.2,38.3,184.1,43.2,51.1,51.4,26.1,38.6,137.8,34.9,63.5,136.8,7.7,35.8,106.6,64,237.7,466.8,316.7,8.6,54.7,87.6,10.4,90.3,43.4,60,42.9,116.9,134.8,151.3,82.8,138.7,58,101,57.6,46.4,0,10337.6,20.6,305.9,1673,0,0,422.7,2988.6,0
"TTL_INT_FNL",6530,28.9,48.7,195.7,156.4,9390.9,1022.9,721.7,1818.6,4610.7,3133.9,1745.4,2917.4,1792.9,1909,2625.6,16975,3188.1,3606.3,11951,327.1,1796.2,4779,1394.1,8885.6,14082.1,4553.3,159.6,986.3,1969.6,287.6,3219.3,1816.2,1697.9,1425.8,4666.6,4981.8,4318.3,2761.5,3746.3,1647.1,3292.9,1443.1,1381.3,0,65681.6,1999.8,28850,29484.8,-1081.5,1954.8,4813.7,82542.6,-82734.3
"VALU",4020.1,18.9,57.6,128.2,100,2916,586.2,301.7,711.4,1449.2,604.6,1580.4,1183.4,859.3,388.8,1462.4,2016.2,939.8,2925.4,3318.2,153.9,1240.3,3351.9,1332.7,5433.5,10874,3305,15.4,174.6,2291.7,703,2181.9,1541.9,2634.6,2114.5,5657,10016.1,6208.6,3713.8,10007.9,5423.1,4655.3,1232.1,2084.4,11.4,0,0,0,0,0,0,0,0,0
"OUTPUT",10550.1,47.7,106.3,324,256.4,12306.9,1609.1,1023.3,2530,6059.9,3738.5,3325.7,4100.8,2652.2,2297.8,4087.9,18991.2,4128,6531.7,15269.2,481,3036.5,8130.9,2726.7,14319.1,24956.2,7858.3,174.9,1160.9,4261.2,990.6,5401.2,3358.1,4332.5,3540.3,10323.6,14997.9,10527,6475.3,13754.2,7070.2,8001.1,2689.2,3478.2,11.4,0,0,0,0,0,0,0,0,0
