"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",4148.4,72.1,2.8,1.4,0.3,45221.7,1020.4,2429.4,686.7,11.5,936,306.7,2724.6,53.4,0.1,39.6,0.5,0.6,189.6,0.1,53.4,437.7,1.5,3.8,3337.1,160.2,1.7,48.5,154,1.2,0.1,5843.9,1.2,1,0.5,9.5,6.1,0.1,7.9,264,33.5,463.6,111.3,183.1,0,28678.3,448.6,0.9,14509.4,-25.7,47,73.1,5640.1,-6334.3
"TTL_A03",2.1,466.9,0.1,0.1,0,3216.4,0.5,0.4,0,0,135.5,5.4,0,0,0,0,0,0,0.2,0,0,187.9,0.1,15.6,0.5,0.6,0.2,32.7,0.2,0.1,0,3060.2,0.1,0.1,9.4,0.2,0.2,8.7,4.2,15.3,34.5,155.4,68.4,14.2,0,15948,0.2,0.7,0.4,-0.2,3.3,5.7,569.1,-58.4
"TTL_B05_06",1.8,1.3,2631.5,33.7,2.3,29.1,93.9,3.3,242.8,9902.3,6236.8,29,92.2,2784.7,395.7,245.2,0.3,16.3,50.5,1.3,2.1,38.7,9987.5,0.8,42.3,61.8,37.6,8.4,35.7,21.7,0.9,1.1,0.8,0.6,0.5,0.6,5.9,1.9,11.5,3,1.1,0.8,0.1,0.8,0,69.3,1.2,0.1,432.1,3.9,3.2,0,32972.4,-7347.4
"TTL_B07_08",1,0.5,0.8,171,8.2,56.7,1.8,10.8,0.6,484.5,933.6,18.3,10.9,1792.9,3900,951.1,2.8,5.3,22.4,0.2,10.9,255.4,0.3,3.4,8943.1,7.6,0.3,0.1,0.4,0.1,0,0.2,0.1,0.1,0.3,0.2,0.3,0.4,0.5,3,88.3,0.2,0,0.1,0,21.5,0,0,2.9,-0.3,2.1,0,3941.4,-899.1
"TTL_B09",0.1,0,1917.8,564.3,23.5,0.3,0,0,0,5.1,29.1,0,0.7,8.4,3.8,0.6,0.3,1,0.1,0,0.1,4.3,10.3,0,4,0.5,0.1,0,0.1,0,0,0.1,0.1,0,0,0.1,0.2,5.3,0.8,0.1,0.1,0.1,0,0,0,0.8,0,0,2738.5,0,0.3,0,252.1,-58.3
"TTL_C10T12",3212.6,572.6,61.7,66,2.9,17457.5,602.4,40.5,32.6,10.5,2209,36.7,15.6,49.8,3.8,25.7,9.7,11.3,454.6,2.6,8.4,81.4,19.4,53,34.7,399.7,226.7,278.3,340.2,150.4,28.7,14039.1,66.1,23.1,19.5,164.5,139.9,9.1,423.5,268,228.8,1343,164.4,6.3,0,89310.4,1104,2327.1,14,-148.6,169.5,361.2,21960.3,-8097.5
"TTL_C13T15",98.7,24.5,12.1,10.8,1.8,60.7,10261.9,88,47.5,4.7,53.5,31,46.7,29.7,14.1,34.1,6.3,46.8,68.5,17.3,49.1,700.1,3.3,10.8,294,1609.2,133.7,32.1,146.6,59.8,62.6,56.6,59.3,9.6,1.4,34.4,75.7,1.9,391.4,205.9,259.7,109.6,21.8,246.1,0,14748.6,135.2,0.1,508.6,-28.5,86.9,209.1,11586.4,-6880.7
"TTL_C16",13.9,2.7,0.2,20.1,7,20.5,3.3,755,36.6,33.9,13.8,0.2,5.4,23.4,0.6,27.8,0.9,1.7,3.5,1.9,109.3,1277.1,0.1,1.8,5315.7,603.9,1.3,0.1,0.5,10.6,0.4,6.1,0.8,0.3,0.1,0.3,3.9,0.2,6,91.6,3,0.6,0.7,34.7,0,400.4,3.6,0.1,12.4,-14.5,7.3,12.5,3798.4,-282.2
"TTL_C17_18",19.6,0.4,14.2,7.5,4.1,431.8,51.1,7,3115.3,11.6,82.8,31,25.1,73.5,10.7,9.1,90.9,30.1,45.1,1.6,13.6,111.4,4.9,29.9,164.8,3858.3,200.3,63.3,167.3,169.3,35.4,23,337.5,24.2,8.3,583.9,270.5,41.3,781.2,696.6,1053.9,46.3,2.7,8.2,0,1104.1,16.8,0.3,9.9,-11.4,20.7,31.4,4281.2,-2202.1
"TTL_C19",256.4,190.6,464.6,259.2,73.2,228.2,149.6,71.3,90,581.4,504.1,37.8,98.4,493.5,92.8,142,21.9,72.4,151.4,26.8,146.8,183.4,1201.5,112.4,6036,9405.1,5767.8,1271.2,5442.8,209,140.4,131.7,91.6,71,57,45.7,389.7,8.3,926.5,433.9,135.8,104.9,18.3,92.8,0,10536.9,172.2,0.5,12.6,-0.6,83.7,109.7,1371.2,-10896.5
