"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",53231.2,303.3,1.8,0.4,2.8,82213.6,23672,3479.7,1144.3,118.3,1667.5,1510.6,3731,97.6,1.9,0.7,0.3,0.5,1.1,1.1,0.2,3209.2,199.7,0.3,13018.7,2.9,1748.2,0.1,0.5,0.6,0,10987.2,1.3,1.1,2.2,1.4,1.2,0.3,1.5,4778.1,2.7,0.3,0.1,0.4,0,77792.6,3.4,0,831.5,4292.8,64.1,108.7,5242.8,-2577
"TTL_A03",3,570.2,0.1,0,0.1,3864.9,0.2,0.1,0.1,0.5,0.2,59.7,0.1,0,0.1,0,0,0,0.1,0,0.5,0.2,0.1,0,1,0.3,0.1,0.1,0,0,0,181.6,0,0,0.1,0.1,0.1,0,0.1,2.5,0.1,0,0,0,0,7844.1,0.8,0,1.2,225.6,4.2,8.4,128.2,-72.2
"TTL_B05_06",12,0.8,14.1,17.2,26.3,171.6,126.2,0.8,104.1,91120.7,160.5,7.3,114.5,927.7,4498.3,15.6,0.7,9,1358.1,196.4,45.2,5,2477.9,134.9,37.8,32,132.9,0.6,4,5.5,0.5,0.7,1.1,11.3,4.4,10,10.2,1.7,12.9,6.9,4.8,0.3,1.6,9,0,184.1,0.1,0,36.6,554.6,4.7,0,201.7,-64196.2
"TTL_B07_08",3,10.4,151.1,14.2,26.3,0.5,3.1,0.1,0.8,9.3,14.9,2.9,2.1,2121.6,11026.9,3136.1,0.4,1.1,1.6,1.8,0.3,590,1.5,0.2,958.6,1.8,0.6,0,0.2,0.2,0,0.2,0.3,0.5,1.1,0.6,0.2,0.1,0.5,0.8,1.1,0.1,0,0.3,0,136.4,0,0,5.9,206.7,1.8,0,2156.7,-6304
"TTL_B09",134.2,10.6,1961.8,564.3,559.3,22.1,1.3,1.8,14.8,5609.1,127,4.9,4.6,231.4,243.3,40.1,0.2,0.8,7.8,0.7,0.3,2.2,536.3,11.9,1341.5,5.1,64.5,0.4,0.3,17.9,0,0.9,0.2,0.2,1,0.3,54.6,0.5,3.4,11,1.8,0.6,0.6,1.6,0,1.4,0,0,3,0.3,0.8,0,53.9,-70.2
"TTL_C10T12",13918.9,396.6,328.3,95.8,17.5,4338.4,558.2,10.4,131,681.4,3137.6,1333.1,357.1,92.7,377.6,132.3,36.6,131.1,181.7,247.1,41.5,89.2,10.3,5.4,1476.1,203.6,27.3,1.4,10.1,15.4,0.4,8062.6,12.6,32.1,7.6,37.3,10.4,7.7,39.3,12279.9,7.1,252.5,3.7,39.5,0,75155.5,11.9,7.7,186.2,2030.2,236.7,515.9,11974.7,-6797
"TTL_C13T15",484.2,738.2,779.7,73.6,23.7,79.3,20065.5,49,172.6,595.7,2050.7,424.8,792.9,136.1,195.6,50.6,79,173.7,194.3,461.3,74.7,296.7,82.2,15.1,1144.6,925.5,185.5,9.1,69.3,922.6,1.4,28.9,35.9,43.4,18.6,302.1,52.3,10.1,78.8,132.8,22.1,238.5,64.9,495.9,0,36713.8,5.7,0.5,415.5,1676.4,90.9,369.8,18005.6,-3120.6
"TTL_C16",350.7,46.8,368.7,6.5,9,31.2,46.6,820.6,478.3,108.2,130.8,3.5,19.8,49.6,41.3,141.6,16.8,28.2,125.7,163.4,42.6,2093.5,24,2.4,585.8,576.3,26.8,0.8,6.6,7.1,0.2,2,7.3,9.8,3.3,10.7,7.4,17.3,126.6,8.3,6.8,2,2.9,12.7,0,827.5,0.4,0.1,114.7,87.4,10.7,29.6,1986.6,-777.3
"TTL_C17_18",539.6,6.6,45.7,60.4,13.9,74.9,59.4,13,3508.7,55.4,88.4,150.4,86.6,69.1,105.6,39,64.5,50.4,127,46.7,8.8,69.8,2044.4,46.3,254.4,543.8,2304.5,95.8,644.8,660.8,22.6,9.1,1878,634.3,234.8,702.1,354,158.6,715.2,140.2,1519.7,47.2,128.7,622.4,0,2065.3,1.8,0,49.7,436,30.5,46.7,562.7,-2206.5
"TTL_C19",4826.9,273.3,1927.5,1041.8,198.5,749.9,1600.2,47.6,1864.5,29235.9,9097.6,1353.2,1231.5,4023.6,5608,1273.4,121.1,453.8,546.7,13708.3,2150.2,305.5,12058.8,1109.6,7887.5,9419.8,19703.4,169.3,1187.2,1756,183.2,286.7,152.9,3605.6,431.8,3292.5,3312.4,440.7,4018.6,72.6,577.8,37.4,510.5,3007.4,0,13698,0.4,0,32.5,2259.3,115.1,223.5,19829.2,-10919.1
"TTL_C20",4320.8,90.1,2742.7,493.6,74.4,381.2,5175.2,48.1,1141.5,5857.9,24018.3,5215.4,3155.7,746.5,1231.7,377.7,192.2,666.7,767.1,1455.5,245.8,712.2,72.2,43.7,10562.5,1264,126.7,2,20.2,76,0.5,241.5,98.3,30.8,13.2,32.6,22.9,2.9,27.8,107.4,16.2,682.9,7.3,251.1,0,6048.9,1.5,36.2,193,1119.5,36.1,49.5,8641,-20596.6
"TTL_C21",441.9,98.5,232.8,42.1,8.3,37.2,451.3,4,111.2,506.3,2629.9,5479.5,298.7,61.2,122.6,39.3,35.7,64.2,78.8,133.7,21.7,82.3,3.4,7.5,947,109.2,24.3,0.2,1.4,7.4,0,44.6,13.1,2.6,2,1.9,1.7,0.5,1.9,268,2.7,5525.9,1.3,27.4,0,5683.6,2,297.7,85,356.1,22.4,59.8,4792.9,-940.4
"TTL_C22",152.1,9.6,78.4,119.7,38.7,53.9,478.7,13.5,1455.2,1105.4,531.4,121,2892.9,92,2172.1,156.8,1505.2,749,1426.2,1069.9,108.6,1815,25.9,404.2,4807.5,318.9,1597.3,0.9,8.2,111.9,0.4,68,427.6,17.8,10.6,6.1,68.5,4.4,30.9,25.6,50,41,86.5,638.6,0,4307.6,0.1,2,2344.6,499.6,2.5,2.4,3491,-6564.5
"TTL_C23",97.4,8,36.4,18.3,48.8,20.5,46.1,6.2,37.9,95,202.8,69.5,255.6,5787.8,488.7,647.5,341.6,555.3,235.9,134.5,24.6,120.8,34.5,4.1,27634.3,37.1,36.4,1,10,7.2,0.1,10.4,3.4,11,6.3,5.9,9.1,1,11.6,14.9,5.1,3.6,1.5,6.6,0,294.5,0,0,191.9,497.7,1.5,2.4,1270.7,-1302.6
"TTL_C24",270,28.8,1592.4,174,106.9,58.1,67.2,31.5,227,190.1,624.9,51.6,113.1,933,29057.2,10684.6,2137.5,7054.8,9486.7,10590,1131.3,3316.6,6785.6,14.8,33373.5,158.5,129,3.7,38.4,29.1,0.7,18.7,22,57.1,21.6,45.5,32.6,3.9,43.5,51,17.8,11.3,8.3,30.1,0,218.7,0.1,0,1191.1,1508.1,0.7,17.1,11053.1,-12327.3
