"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1090.9,26.3,0.1,0.4,0.1,2826.2,9.1,73.9,1.1,1.1,1.1,25.9,0.6,0.5,0.1,0.2,12.2,0.7,0.3,0.1,0,11.8,1.5,1.5,5.5,4,0.8,0.9,0.4,0.2,0.1,156.4,8.8,1.3,3.8,1.7,2.1,6.5,4.3,2,0.9,6.7,3.2,18.1,0,974.3,9.7,122,7.9,51.2,18.7,25.3,869.2,-626.7
"TTL_A03",0.2,24.6,0,0,0,174.9,0,0,0.1,0.1,0.1,0.5,0,0,0,0,0.9,0,0,0,0,0,0,0,0.2,0.1,0,0.1,0,0,0,9.2,0.6,0,0.3,0,0,0.1,0.1,0,0,0.1,0,0.1,0,130,0.3,3.9,0.4,5.7,1,1.5,125.8,-16.2
"TTL_B05_06",1.9,1.5,0.3,3.7,0.6,2.5,0.2,0.2,0.9,182.3,0.9,3.3,0.2,2.6,1,0.4,7.1,0.3,0.4,0.1,0,72.1,46.3,0.2,7.4,1.1,1.3,0,0.2,0.1,0,0.6,4.2,0.4,2.6,0.2,0.3,0.4,0.4,0.4,0.3,2.1,0.2,0.2,0,22.9,0.1,0,5.1,0.7,1,0,23.2,-353.5
"TTL_B07_08",52.5,0.2,0.1,125.5,0.5,24.1,0.5,0.7,1.7,30,1.5,40.1,1.5,139.4,45.7,1,16.2,2.4,1.1,0.4,0.2,56.5,0.3,2.5,242.1,7.9,1.7,0.6,0.3,1.9,0.2,2.9,4.8,2.1,3,0.8,0.5,1.9,1.5,2.8,0.3,1.4,1.9,0.8,0,16.2,0,0.5,2,7.2,0.3,1,275.5,-156
"TTL_B09",3.1,7.7,0.9,18.9,3.2,1.7,0,0.1,0.9,83.8,2,0.3,0.2,11.2,0.3,0.2,0.5,0.1,0.2,0,0,0.1,6,0.5,30.5,0.5,0.7,0,0,0.4,0,0.3,0.2,0,0.1,0.1,1.3,0.4,0.1,0.6,0.1,0.3,0.2,0.1,0,0.5,0,0,0.2,0,0.4,0,7.5,-137.1
"TTL_C10T12",386.8,24.9,0,0.7,0.1,1269.8,8.1,2.1,6.6,3.9,5,76.1,28.5,4.7,0.6,1.7,73.1,2.6,3.5,0.8,0.1,4.2,2.4,1.9,23.1,17.2,3,0.6,2,1,3.4,1161.5,21.3,7.7,17.2,7.5,0.9,44.9,13.9,7.6,1,24.7,19,6.6,0,3133.6,11.8,7.4,55.9,87.8,64.2,61.6,6488,-1874.1
"TTL_C13T15",6.9,3.2,0,0.4,0,5.1,160.1,1.4,7.3,0.8,2,10.8,1.9,6.1,0.2,1,35.6,1.8,1.8,0.4,0.2,42.5,0.2,0.7,34.9,19.6,1,0.1,0.4,0.2,0.4,8.8,13.2,3.6,8.5,1.7,1.1,19.7,3.5,2.8,0.4,9.7,4.8,5.7,0,836.4,0,0.3,25.1,11.5,25.8,12,402.8,-703.1
"TTL_C16",2.5,0.1,0,0.1,0.1,70.1,0.6,430,4.4,1.7,0.6,4.2,1.4,3,0.1,0.9,30.9,8.2,8.5,4.3,0,311.9,0.3,0.4,348.1,6.5,0.5,0,0.1,0.3,0.3,10.3,10,11.1,2.9,2.6,7.3,11,3.2,2.2,7.8,12.5,3,3.2,0,114.8,0,0.2,15.3,12.8,3.5,3.4,232.2,-356.4
"TTL_C17_18",19.5,0.1,0,3.2,0.1,194.4,8.1,16,175.8,14.4,2.4,41,14.8,8.1,1,4.4,185.5,22.8,3.4,2.4,0.1,67.2,2.7,5.8,71.6,63.1,4.1,0.2,0.5,3.2,2,18.2,286.5,14,13.1,56,26.6,107.5,17.6,15.2,53.9,15.1,12.3,8.7,0,454.9,0,2.5,19.4,26.2,9.4,4.7,536.5,-871.3
"TTL_C19",166.7,30.2,0.4,21.9,1.6,107.6,4.7,7.3,6.2,146.6,1.6,35.4,7.8,19.6,34.3,4.2,50.2,10.3,12.4,1.4,0.1,27.6,118.1,20,141.9,131,195.3,2.7,31.4,7.3,0.8,89.2,13.5,22.8,4.8,6.5,6.7,16.9,29.3,42.1,18.2,24.3,11.6,14.6,0,1118.2,0.6,0.1,2.3,29.3,22.9,18.7,130.8,-447.2
