"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",36.1,0.4,0,0,0,255.8,2.2,2,0,0,0,0,0.4,0,0.3,0,0,0,0,0,0,0.1,0,0,0.7,0.2,0,0,0.2,0,0,7.9,0,0,0,0.1,0.1,0.1,0.1,1.1,0.9,0,0,0,0,84.2,0.9,17.3,0.5,1.5,4.9,9.1,22.7,-65.4
"TTL_A03",0,41,0,0,0,686.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,11.3,0.3,4,701.6,-60.4
"TTL_B05_06",0.9,8.1,0,0.2,0,0.6,0,0,0,0,0,0,0,0.4,9.1,0.1,0,0.2,0.6,0,0,0.3,2.2,0.8,1.9,2,2.9,6.4,29.4,1.5,0.2,0.2,0.2,0.5,0,0.2,0.1,0.2,1.6,0.7,0.1,0.3,0,0.2,0,10.9,0,0,1.5,0.3,0.3,0,0,-83.8
"TTL_B07_08",0,0.1,0,2.9,0,2.7,0,0,0,0,0.1,0.3,0,2.4,8.9,0,0,0,0,0,0,0.1,0,1.1,13.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0.1,0.1,0.1,0,5.9,-16.4
"TTL_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
"TTL_C10T12",59,19.7,0,0.1,0,321.4,0.8,0.1,1.1,0,0.8,1.5,0.8,0.7,5.8,0.5,0.1,1,0.9,0.1,0.1,0.6,2.4,0.5,8.8,11.4,1.3,2.7,16.2,2.2,0.4,103.4,2.4,2.3,1.8,7.6,8.7,6.8,4.8,9.2,5.1,16.4,1.5,2.4,0,719.2,2.2,0,0.5,11.6,17.5,28.5,1608,-210
"TTL_C13T15",0.9,44.7,0,0,0,2.2,17.4,0,0.1,0,0.1,0.1,0.1,0.1,1.7,0.1,0,0.1,0.1,0,0,1.9,0.2,0.1,1.3,0.6,0.1,0.2,0.8,0.1,0,3.7,0.1,0.1,0,2.2,0,0.1,0.6,1.9,0,2.5,3.1,0.2,0,100.1,0.5,0,0.3,0.7,6.7,0.5,20.3,-139.8
"TTL_C16",0,0.1,0,0,0,0.2,0,5.4,0,0,0,0,0,0,0.3,0,0.2,0,0,0.1,0,8.7,0.1,0.2,46.5,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.1,0.2,0,15.1,0.1,0,26.4,0.3,0.8,0,0.2,-77.6
"TTL_C17_18",0.4,0.4,0,0,0,6.7,0.1,0,33.6,0,0.2,0.5,0.1,0,0.3,0.1,0,0.1,0.1,0,0,0.4,0.6,0.2,1.2,8.3,0.4,0.4,2.6,0.5,1.5,1.1,28.2,1,1.8,9.3,11.2,4,2.3,18.3,65.9,0.8,4.9,1,0,40.1,0.2,0,0.5,0.8,2.5,0,1.5,-99.6
"TTL_C19",3.3,29.1,0,0.7,0,0.8,0.1,0,0.5,0,1,1.4,0.7,0.4,7.9,0.3,0,0.3,0.6,0,0,0.9,2.4,3.1,4.1,7.2,10.7,23.9,109,5.4,0.9,0.9,0.9,2,0.4,0.8,0.5,1,5.9,2.5,0.2,1.5,0.1,1,0,43.3,0,0,1.1,1,7,0,0,-284.9
