"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",270.7,5.1,0,0.1,0,2271.7,4,0.4,0.3,0.5,14.1,1,0.5,0.4,0.1,0.3,0.7,0.2,0.3,0.1,0.2,2.2,0.1,0.5,8.2,5.2,0.2,0.5,0.5,0,0,159.9,2.2,0.1,0.6,0.2,1.1,2.2,1.3,4.7,2.9,0.6,12,0.2,0,1695.1,0,0,32.8,100.1,20.9,41.7,1181.2,-744.8
"TTL_A03",0,0,0,0,0,15.5,0,0,0,0,0,0,3.6,0,0,0,0.1,0,0,0,0.1,0.1,0.7,2.2,0,0.1,0,0.1,0,0,0,0.6,1.6,0.1,0.1,0.1,2.6,0.2,0.1,10.2,2.3,1.7,10.1,1.8,0,34.7,0,0,0.1,0.8,1.5,0.7,12.4,-29.8
"TTL_B05_06",6,0.5,3.5,0.9,8,2,2,0.1,0.7,3992.2,8.6,0.4,7.5,59.8,1.4,0.6,2.1,0.6,0.7,0,0.3,4.7,587.9,153.7,9.5,3,8.9,1.9,3.1,0.3,0,0.4,0.2,0.5,2.2,0.3,0.4,3.9,2.9,5.1,0.5,0.2,0.6,0.3,0,27.7,0,0,89,109.1,1.2,0,0.8,-4895.6
"TTL_B07_08",6.3,10.3,0.3,77.9,0.1,37.7,0.1,0,0.2,3.2,458.2,0.2,1.9,394.4,12.6,0.9,9.1,0.7,0.7,0,0.8,1939.8,1,0.3,1118,1,0.4,0,0,0.1,0,2.1,2.4,0.8,1.4,0.1,3.8,4.8,1.3,13.4,0.9,0.1,10.6,0.2,0,1.2,0,0,2.7,170.7,0.4,0,362,-3531.8
"TTL_B09",0,0,13.1,0.7,12.4,0.2,0,0,0,1.4,1.6,0,0,1.4,0.1,0,0.1,0,0,0,0,6.8,0.2,0,88.4,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0.2,0,0,0.3,0.7,0.1,0,41.9,-43.2
"TTL_C10T12",149.1,0.9,0,0.7,0,1472.3,3.3,0.1,0.7,1.4,24.5,7.9,0.6,0.6,0.5,3.6,2.5,0.2,0.7,0,0.5,2.3,0.3,0.9,3.9,19.4,0.4,2.2,1.8,0.1,0,639.8,5.7,0.5,4.1,0.2,3.8,2.7,1.4,10,0.9,4.5,24.1,0.9,0,7404.8,0,0.2,3.4,333.7,86.3,151.9,863.2,-992.5
"TTL_C13T15",3.4,0.1,0,1,0,8.6,250.9,0.2,17,0.9,13.9,2.1,14.3,1,2.4,5.8,5.8,1.5,8,2.9,1.3,3.8,0.8,1.5,4.3,15.9,3.4,0.2,0.1,0.2,0.5,37.1,21.9,0.8,2.1,1,3.4,12.4,6.3,70.5,5.9,14.7,97.1,0.4,0,1017.1,0,0.1,5.6,38.4,43,14.2,539.5,-981.4
"TTL_C16",15.6,0.1,0,1.5,0,14,2.4,75.1,5.3,0.2,10.3,1.8,5.7,7.6,5.9,8.8,5.9,1.8,5.4,3,0.6,45.8,0.6,0.3,255.4,4.6,0.3,0.7,0.5,0.1,0.6,0.3,0.3,0,0.6,0.2,1.3,1.6,0.7,3.8,0.3,0.7,1,0.2,0,15.5,0,0,8.6,11.4,3.7,0.2,20.5,-316.1
"TTL_C17_18",76.1,0,0,1.4,0,121,9.3,4.2,353.6,1.3,38.9,19.2,22.9,6.3,2.6,6.3,24.2,1,7,0.9,1.8,3.1,0.9,2.6,14.4,85,2.5,0.8,0.9,5.2,1.5,17.8,124.6,5.5,19.1,14.9,11.6,118.5,35.4,22,30,6.4,189,5.2,0,325,0,0.1,30.9,34.9,10.3,23.7,244.5,-613.1
"TTL_C19",222.4,5.8,0.2,57.4,0.6,128.1,169.9,3.4,57.8,1153,406.3,36.6,659.1,137.2,29.6,46.9,105.2,43.4,23.4,3.1,5.4,42,331.8,156.2,205.7,182.6,750.5,156.4,266.7,22.7,1.3,26.8,12.7,30.1,102.4,24.4,23.9,115.3,181.1,356.1,39.3,13.4,42.2,20.4,0,2362,0,0.1,7.1,283.5,36.6,6.5,1707.7,-3180.8
"TTL_C20",138.9,2.8,0.3,10.3,0.3,105,15.6,1.7,46.4,102.8,732,311.2,64.2,18.3,24.8,37.3,80.8,4.6,31.3,3.3,12,18.7,10.1,55.7,178.1,44.6,2.4,0.9,1.1,0.4,0.5,6.2,10.9,0.3,27.8,2.6,3.5,63.2,48.8,54.2,11.9,15.8,46.7,0.3,0,821.7,0,1.1,9.8,137.9,11.2,26.8,3813.9,-1940.9
"TTL_C21",31.4,0.1,0,0.2,0,63,0.7,0.1,0.9,2.8,192.2,679.7,1.4,0.5,0.5,0.6,6.7,0.2,1.1,0.1,0.6,3,0.3,8.1,3.8,2.5,0.2,0.1,0.2,0.1,0.6,3,0.3,0.1,21.6,0.3,0.4,6.5,1.4,28.5,0.7,749,1.4,0.3,0,761.7,0,313.5,4.9,179.2,7.5,4.9,2020.7,-833.3
"TTL_C22",44.1,1,0.1,3.9,0.1,195.1,22.6,1.6,22.2,0.8,53.1,28.9,77.4,10.3,3.8,25.7,38.6,18.5,27.2,5.9,6.9,16.2,3.6,9,121.4,224.9,26.7,0.5,0.5,0.4,1.1,13.2,1.2,1.3,9.7,2,1.8,11.5,8.1,31,0.9,5.4,4.2,0.7,0,85,0,0.1,108.7,50.4,0.8,0,1814.7,-653.7
"TTL_C23",3.9,0.1,0.1,16.4,0.4,47.2,4.9,0.6,0.8,1.9,32.6,5.4,3.1,176.6,16.5,31.4,19.4,2.6,6.8,2.7,17.2,27.7,4.5,1.9,1256.5,4.2,1.3,0.2,0.2,0.2,0,13.8,0.2,1.9,7.9,0.5,7,3.1,1.3,14.2,1.8,0.7,1,0.4,0,169.9,0,0,6.3,50.6,0.5,0,391.1,-465.3
"TTL_C24",1.4,0,1,3.1,0.7,41.1,0.8,1.2,2.2,2,16.6,8,22.4,9.1,670.2,455.9,90.5,29.4,147.9,27.3,109.1,84.5,17.8,5.5,441.6,2.8,4.3,0.1,0.1,1.4,0.4,0.6,0.3,4.8,8.3,0.3,0.8,9.1,2.3,34.2,0.2,0.4,0.9,0.9,0,28.8,0,0,18.5,67.5,0.3,0.1,573.8,-1380.4
"TTL_C25",23.8,0.4,0.3,3,0.1,95.9,2.9,3.6,6.5,2.3,39.9,8.2,16.2,11.9,16.4,173.1,108.3,111.1,81,5.7,53.5,16.8,13.3,5.1,746.4,40.9,4.3,0.6,0.6,1,0.1,6.5,3,2.3,6.3,0.4,2.5,49.1,16.8,61.7,2.3,3.6,16.1,27,0,272.2,0,0.1,512.6,74.4,1,0,1414.8,-1046.5
"TTL_C26",1.5,0.7,1,1.9,0.8,21.7,2.3,0.2,8.1,3.2,14,18.8,5.7,6.7,6.3,15.5,1848,142.6,86.8,8.3,498.3,11.8,5.8,4.4,216.9,67.2,8,0.8,1.1,24.4,0.2,2.4,4.1,120.3,434.6,82.8,4.4,336.2,84.1,1043.3,23.1,38.9,12.8,11.2,0,1494.7,0.5,1.9,2181.3,374,9.8,1.1,5473.4,-2856.8
"TTL_C27",0.7,0,0.1,1.5,0,9,0.7,0.1,1.1,0.8,5.2,1.7,1.9,3.6,12.9,15.2,97.4,64,45.7,2.8,24,7.4,4.4,1.6,261.4,57.7,1.6,0.2,0.2,1.9,0,0.3,1.4,8.1,23.4,0.4,0.7,18.2,5.7,224.4,0.7,1.3,6.1,4.7,0,155.8,0,0.1,374.8,39.5,5.5,0.2,562.9,-1059
"TTL_C28",37.1,0.8,2.5,17.5,1.5,32.9,3.8,0.5,9.8,4.7,34.2,8.7,12,4.8,13,28.8,177.8,10.1,259.8,5.7,48.2,14.8,39.8,13.5,249,32.6,5.6,1.7,1.4,20.8,0,2.7,2.3,9.2,91,0.6,6,26.4,10.6,768.5,8.3,4.2,7.3,9.1,0,789.3,0,0.1,2085.7,144.3,0.9,0,1275.2,-3815.2
"TTL_C29",4.7,0.2,0,0.3,0,1.4,0.3,0,0.2,0.2,3.1,0.4,0.7,0.3,1.8,3.3,6.4,1,4.7,69.2,1.7,0.9,1.3,3.3,47.8,306,27.5,0.1,0.1,0.6,0,0.3,0.1,2.9,1.6,0.2,0.7,1.7,0.6,32.8,1.4,0.4,0.5,0.5,0,899.1,0,0,1201.9,46,6.3,0,19.7,-2212.6
"TTL_C30",1.1,0,0,0.1,0,0.4,0.1,0,0,0.1,0.4,0.2,0.2,0.1,0.3,0.5,32.6,2.4,7.3,0.5,399.4,1.8,0.1,0.1,11.8,17.9,1.6,91.5,59.3,0.9,0,0.1,0.6,0.3,1.1,0.1,0.2,2.2,1.9,457.9,0.1,0.2,2.4,0.9,0,319.4,0,0,172.3,104.4,0.1,0,2267.6,-269.6
"TTL_C31T33",3.6,0.1,0,1.2,0,30.3,36.5,10.1,4.7,10.4,48.7,61.4,10,7.7,3.4,24,117.5,46.8,13.1,61.8,43.9,1374.2,5.3,12.6,206.7,37.8,9.8,4,4.7,7,2,8.4,10.9,7.3,38.6,11.8,11,55.7,32.3,94.8,103.2,325.9,42.8,64.3,0,1966.3,0,0.3,495.6,-1722.9,37.8,27.9,2243.1,-580.1
"TTL_D",298.1,0.7,0.6,23.2,0.6,135.3,14.2,1.4,17.9,43.4,110.5,25.6,54,24,31,22.3,65.3,5.1,17.5,2.3,13.6,4.2,209.8,42.4,48.5,131.5,8.7,1.4,1.9,43.8,0.2,166.7,6.6,27.8,36,10.3,76.3,78.4,27.3,190.5,77.9,42.6,21.4,37.5,0,1509,0,0.1,3.8,0.5,0.9,0,0,-21.7
"TTL_E",92,0.2,0.3,7.7,0.3,43.1,4.9,0.5,11.6,15.3,37.3,8.6,17,7.9,10.4,8.3,20.8,1.7,6.3,0.9,4.5,2.5,41.2,500.3,18.4,43.1,2.8,0.9,0.7,13.5,0.1,77.6,2.4,8.9,20.5,4.7,24.3,24,10.3,72.9,25.1,17.7,9.7,12.1,0,1548.1,0,310.6,4.1,0.9,0.6,0,0,-30.8
"TTL_F",5.8,0,0.2,39.3,0.5,78.5,11.4,0.2,29.6,25.4,104.3,23.4,16.1,23.4,3.6,28.3,52.2,12,17.3,1,5.9,11.2,29.6,78.9,57.4,222.9,12.8,5.5,5.7,75.7,2.2,132.2,47.8,25.4,59.3,151.6,1067.9,155,60.8,933.8,300,121.2,245.7,404.3,0,289.8,0,0.1,13294.6,1.8,4.2,0,0,-77
"TTL_G",284.1,6.2,1.7,49.8,2.2,1075.2,197.6,26.2,144.1,857.7,523.9,338.1,283.4,161,134.3,161.2,880.8,104.6,184.3,58.1,204,446.9,209.3,131.3,1185.7,731.8,330.3,81.2,117.5,24.9,11.6,345.4,80.4,68.3,321.4,63.7,53,343.8,204.1,790.8,78.5,319.9,237.3,47.1,0,6083.1,0.4,102.4,2185.2,580.7,135.3,97.9,7071.6,-6522.4
"TTL_H49",81.6,1.1,1.9,5.6,2.5,44.6,9.4,5.3,8.7,260.7,46.7,13.5,14.1,99.2,15.6,13.6,33.8,18,15,2.6,8.4,95.8,70.9,40.5,399.5,442.4,634.2,171.6,136,25.9,2.6,69.2,29.2,10.8,26.4,47,4.6,68.7,30.3,596.3,598.6,59.5,120.4,85.9,0,1435.3,0,2.6,101.8,87.6,190.8,221.4,140.1,-1226.2
"TTL_H50",13.6,0.4,0.1,3.5,0.2,42,5.8,1.5,7.2,96.5,39.9,8.4,12,16.8,8.7,8.6,24.3,3.9,10.4,2.1,8.4,53.1,20.4,7.2,70.7,117.1,13.3,233.6,50.5,1,2.7,7.9,2.5,2.6,6.7,24.9,1.4,9.6,9.7,33.4,2.1,7.1,6.4,1.2,0,494.3,0,2,75.7,202.7,56.5,3.9,806.2,-771.6
"TTL_H51",2.9,0.1,0,0.8,0,8.3,1.3,0.3,1.6,21.8,9.2,1.9,2.4,3.8,2,1.9,5.6,1,2.4,0.5,1.9,12.5,4.7,1.6,15.3,10.9,2.7,4.4,8.6,3.6,0.3,1.5,0.5,0.7,1.6,3.4,0.3,2.7,1.9,10.4,0.5,1.6,1.3,0.2,0,625.9,0,1.6,17.2,168.6,134.1,26.5,1786,-851.9
"TTL_H52",16.1,0.3,0.1,3.1,0.1,42.4,4.7,1,7.1,50.6,56.2,7.6,10.2,15.6,6.8,6.2,17.5,3.5,4.9,1.5,4.9,45.2,16,5.7,56.8,465.4,13.7,691.5,704.1,1.2,17.3,9.3,2.1,1.9,6.8,5.9,1.6,8.2,19.2,39.5,2.2,5.5,5.5,1.4,0,417.7,0,1.6,45.2,20.5,7.2,2.2,1100.7,-1263.3
"TTL_H53",2,0,0,0.3,0,3.5,1.1,0,1.2,0.5,4,0.8,1.8,0.3,0.4,1.9,20.1,3.8,3.5,0.1,2.6,3.8,0.8,2.8,6,31.2,1.7,1.9,1.9,3,130.6,5.3,6.3,44.5,21.8,30.5,12,37.3,13.8,17.4,5.2,3.7,7.2,2,0,51.3,0.1,0.5,2.8,0.5,4.3,6.2,43.6,-19
