"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5869.4,1.5,7.8,0.1,0,27073.8,1100.3,932.3,402.8,13.4,132.3,40.5,335,44.9,47.7,198.9,14.4,52.4,91.5,27.3,24,195.1,37.3,19.2,199.6,2390.2,45.3,88.9,7.8,266.6,25.6,1634.7,31.2,91.3,180.7,183.8,424.1,189.9,135.8,66.5,13.5,407.9,42,69.7,0,26160.2,30.8,215.2,749.6,267.6,121.6,253.6,3162.4,-8918.2
"TTL_A03",2.4,9.8,0,0,0,187.2,4.1,0.1,0.1,0.2,11.6,0.2,0.2,0.1,0.1,0.3,0.1,0.2,0.3,0.1,0.1,17.3,0.2,2.4,0.6,70.9,0.2,48.8,0,4.1,0,292.2,5.2,0.2,0.6,0.1,0.3,0.9,1.9,0.7,1.9,8.9,14,1.9,0,2325,0,0.3,1.8,10.9,7.7,14.2,99.5,-458.3
"TTL_B05_06",5.5,0.5,393.8,15.8,1.7,517.3,127.5,2.8,73.3,22251.5,781.3,97.9,13.2,45.8,1860.1,23.9,6.4,16.7,91.8,22,9.6,16.2,9498.6,72.8,175.4,214.9,17.9,4.5,8.8,292.4,24.6,380,15.6,29.3,19.3,84.3,92.9,118.1,94.3,490.7,11.1,201.5,75.6,23.2,0,204.5,0.1,29.1,1087.2,148.9,3.7,0.1,676.1,-30356.2
"TTL_B07_08",3.2,0.1,16.4,6,0.4,29.6,4.6,3.3,49.3,4.5,139.7,2,13.4,1166.3,1205,97,7.5,35.3,40.7,12.5,4.4,48.9,23.1,7,657.8,111.6,1.2,0.3,0.4,15,0.8,12.7,1.1,1,1.7,2.8,4.1,4.5,4.5,11.3,0.6,10.9,3.1,4.9,0,34.9,0,0.4,16.1,10.3,1.6,0.2,318.7,-2626.3
"TTL_B09",1.8,1.1,85.9,0.5,0.4,1,0.4,0.2,2.4,70.8,7,0.4,0.8,12.3,4.2,1.5,0.1,0.1,0.7,0.2,0.1,0.2,31.2,0.8,95.7,1.3,3.1,0.1,0,3.4,0,0.5,0.1,0.1,0.2,0.2,6.3,0.8,0.8,1.4,0.1,1,0.3,0.2,0,1.1,0,0.1,1,0.1,0.6,0,7.8,-41.8
"TTL_C10T12",4474.2,71,1.2,0.4,0.1,21695,2478.2,4.3,100.3,73.7,1196.6,92.7,37.4,46.5,25.9,22.4,7.7,10.1,39.6,6.9,3.2,37.3,6.1,26,25.9,3683.5,6.5,481.5,14.2,99.3,2.1,14952.3,36.9,2.7,5,2.8,18.6,70.2,57.8,112.8,29.5,1578.6,162.7,40.5,0,90768.6,0.1,5.6,24.8,586,479.4,1247.3,12684.9,-17263.5
"TTL_C13T15",98.2,39.3,17.7,0.1,0.1,103.6,26549.4,97.4,289.6,123.7,236.7,29.7,496.1,113.4,144.3,313.4,42.7,80.7,246.4,674.6,117.8,908.9,75.2,221.1,543.2,2774.8,81.2,9.6,14.9,22.9,12.9,92.7,26.7,22.2,28,14,29.6,198.7,258.3,168.6,26.4,403.7,60,148.3,0,53494.4,0.1,15.4,502.8,392.8,229.6,952.9,33504.3,-15673.3
"TTL_C16",42.8,6.4,10.9,1.3,0.2,528.7,102.6,7433.8,139.7,12.4,98.8,13.3,216.7,388.8,60.6,759.4,25.6,68.2,262.6,133.5,163.8,6912.3,33,28.7,5161.1,313.8,85.8,20.7,17,66.9,1.5,65.6,27.5,16,21,12,39,94.4,111.6,132.4,4.4,52.5,25.3,196.9,0,3563.6,8.1,27.2,864,100.9,22.4,78.9,1936.4,-3854.1
"TTL_C17_18",37.9,5.1,78.9,1.2,0.1,1912.4,866.3,130.7,9120.3,87.4,1053.1,54.2,648.8,648.6,319.4,620,143.9,684.7,1042.5,234.4,123,935.4,268.4,226.8,1305.3,3274.6,304.1,28.7,46.4,90.7,78.2,601.3,2952.5,889.8,436.5,783.4,134.2,2239.2,1924.1,1582.8,156,477.5,604.7,525.9,0,6149.5,1.4,12.5,156.1,177.4,57.1,134.9,4474.8,-6095.9
"TTL_C19",950.2,78,26.7,5.8,2.6,358.2,297.2,99.9,113.5,3225.6,972.5,58.4,178.5,943.4,1149,258.3,46,143.5,221.7,64.6,30.1,194,2288.6,196,2068.4,2944.6,2693.3,131.1,665.8,585.5,23.3,319.5,72.4,185.4,175.6,182.5,82,693.2,932.5,558,114.7,402,157.5,150.2,0,19238.9,0,3.9,88.2,148.2,181.6,481.7,3670.5,-5271.6
