"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",102.7,0.2,0,0,0,191,0.9,0.7,0.1,0.2,0.9,0.1,0.3,0.1,0,0,0,0,0,0,0,0.4,0.1,0.1,0.5,1.6,0,0,0.1,0,0,6.7,0,0,0,0,0.1,0,0,0.5,0,0,0.2,0.2,0,350.8,0.4,0.1,0.3,14,3,8.1,121.3,-155.2
"TTL_A03",0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0.2,0,0,-2.1
"TTL_B05_06",1.4,0,2.1,1.6,0.1,8.7,0.1,0.1,0.4,696,0.4,0.2,0.2,20.8,0.8,0.4,0,0,0,3.4,0.5,2.8,16.8,1.4,2.5,2.3,59.4,0.6,7.9,0.6,0,0.5,4,9.5,0.9,7.5,0.2,0.1,0.5,1.6,0.5,3.2,0.3,0.3,0,19.7,0.2,0.1,1.9,9.8,0.2,0,0.1,-753.7
"TTL_B07_08",0,0,0.1,0.9,0,9.8,0,0.1,0,0.1,45.4,0.3,0,16.6,8.6,0.4,0,0,0,0,0,0.2,0,0,5.8,0.1,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0.1,0.1,0,2.6,0,0.1,1.1,-0.1,0.1,0,173.4,-16.6
"TTL_B09",0,0,20,0.5,12.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,-2.2
"TTL_C10T12",15.7,0.1,0,0,0,116.6,0.2,0,0.3,0.2,3.1,0.5,0.2,0.1,0.1,0.5,0,0.1,0,0,0,0.4,0.1,0.4,0.6,0.6,0,0,0,0.1,0,32,0.1,0.1,0.2,0.1,0.3,0,0.1,5.3,0.8,0.2,1.3,0.2,0,982.5,2.5,0.2,20.7,7.9,12.3,28.7,134,-215
"TTL_C13T15",0.2,0,0.3,0.7,0,0.7,178.5,0.1,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,1.1,0,0.2,1,1,0.1,0,0.5,0.5,0,2.3,0.1,0,0.1,0.1,0.1,0.3,1.9,0.4,0.4,0.1,3,1.2,0,318,3.3,26.4,4.3,9.6,6.8,41.1,186.3,-245
"TTL_C16",1.2,0,0,0,0,0.3,0.2,6,2.8,0,0.2,0,0.1,0.1,0,0.1,0,0.1,0,0,0,10.7,0,0.1,32.9,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.5,1.2,0.2,0.1,0.1,0,0,1.9,0,0,4.1,0.7,0.6,0,2.8,-42.1
"TTL_C17_18",0.6,0,0.1,0.4,0,12.1,0.5,0,34.2,0.2,2.3,2.8,0.9,3.1,0.3,1.5,0.1,0.5,0.1,0.1,0,0.8,0.4,0.3,3.7,3.4,0.2,0,1,0.9,1.1,1.2,5,1.6,0.3,4.7,0.5,1.7,7.2,3.2,20.9,0.7,1,0.5,0,45.7,3.3,11.5,7.5,1.3,1.5,0.1,24.9,-76.4
"TTL_C19",26.3,0.2,6.4,26.3,1.1,31.1,1.1,0.2,2.5,38.5,7.2,1.4,2.7,22.9,8.6,2.5,0.1,0.6,0.4,0.2,0.5,0.8,85,16.1,18,14.2,93.9,8.1,90.1,4.4,0.7,8.9,0.7,1.6,0.4,1,1.3,0.9,7.1,31.5,9.1,2.8,2.3,2.3,0,365.3,3.7,0.1,3.8,7,4.3,1.9,4.6,-76
"TTL_C20",48.8,0,0.7,2.5,0.2,26.5,4,0.5,8.3,1.6,77.1,43.3,26.3,3.7,6.4,2.8,0.1,0.8,0.3,0.1,0.1,4.3,1.2,1.5,9.6,6.5,0.1,0,0.1,0.6,0,1.8,1.1,0.1,1.4,0.1,0.5,0.5,2.9,1,1.2,2.1,0.9,5.5,0,76,6.3,3.5,20.3,3.6,1.3,16,127.7,-205.5
"TTL_C21",5.9,0,0,0,0,2.4,0.1,0,0.1,0,4,4.8,0.3,0,0,0,0,0,0.1,0.1,0,0.3,0,0.3,0.1,0.8,0,0,0,0,0,0.1,0,0,0,0.1,0,1.2,0.1,8.8,0.1,52.8,0.2,0.3,0,40.8,0.4,12.3,1.4,1.5,1.1,15.1,95.4,-45.2
"TTL_C22",4.7,0,0.1,0.2,0,15.1,0.6,0,3.9,0.3,4.1,7.7,22.2,4.4,0.1,0.9,0.6,4.2,2.1,0,0,0.6,1.8,0.3,21.3,33.9,2.6,0,1.3,0.1,1.2,1,0.5,0,0.2,1,0.2,0.1,0.7,0.1,0.1,0.1,0.5,4.3,0,9.3,0.1,0.1,8.4,1.6,0.1,0.2,22.7,-65.4
"TTL_C23",0.2,0,0.1,0.3,0,4.5,0.2,0.3,0,0.5,0.7,2.5,0.6,43.1,1.6,17.1,0.4,2.4,0,0.2,0,2.6,0.1,0.9,204.9,0.4,0,0,0,0,0,1.7,0,0.1,0,0.1,0,0.1,0.4,29.4,0.7,0.1,0.7,0.5,0,18,0,0.5,40.5,4,0.1,0,9.1,-46.9
"TTL_C24",1.7,0,0,0.1,0,1.3,0.1,0.2,1.3,0.9,2.4,0.1,1.3,0.5,64.6,45.8,3,45,7,3.2,0.3,5.4,3.3,1.8,43.4,0.2,0.2,0,0,1.9,0.4,0,0.1,0.1,0,0.1,0.1,0.1,0.2,5.8,0,0.2,0.3,0.7,0,0.9,0,0,54,1.9,0,0,30.4,-141.4
