"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",8561.9,5.7,1,1.8,0.3,34465.3,106.3,18.8,3986.4,5.9,191.1,102.1,3774.8,13.1,12.4,12,27.3,12.2,17.9,9.3,4.8,60.1,11,5,372.4,2741.8,13.2,3.8,2.2,21.9,2.1,6807.8,14.4,68,13.5,52.4,3.9,234,24,30.2,312.2,1010.2,206.7,228,0,30273.4,0.3,2.2,1805.1,526.4,162,3.9,144.8,-12739.6
"TTL_A03",1.4,480.7,0,0.4,0,6835,1.1,0.5,3.1,0.8,6.6,5.2,1.9,1.3,2.6,2.4,8.5,2.9,5.4,2.3,1.2,106.4,3.3,1.7,10.9,106.9,5.5,4.1,0.6,3.8,0.7,2465.8,3.7,24.2,6.4,16.8,1.6,13.5,3.2,7.1,19,362.3,5.6,20.8,0,4180.8,0,0.1,4.6,92,10.8,1.8,290.7,-1457.7
"TTL_B05_06",10.8,5.3,1.5,4.8,40.4,28,40.6,169.8,6.3,86045.6,804.3,38.1,11.1,586.5,1734.3,19.1,24,16.9,16,25.5,3.1,3,33076.4,4.7,73.4,97.3,49.8,52.2,16.6,2.6,1.4,16,2.5,4,4.6,6.9,3.7,332.7,7.2,22.3,9.4,18.6,7.4,11.1,0,281.5,0.3,3.1,40.9,473,9.6,0,2.1,-123263.3
"TTL_B07_08",9,0.1,0,12.8,15,4.6,12.8,22.2,55.2,25.2,861.8,121.8,47.9,2344.5,18884.2,42.3,156.6,222.3,61.6,66.9,2.9,39.3,5.3,0.5,5343.6,9.7,4.2,1.1,0.2,0.5,0,1.7,0.8,1.3,1.2,1.9,0.5,258.7,0.9,8.6,0.4,7.2,3.1,1.6,0,15.2,0.1,0.9,13.9,214.7,3.6,0,248.8,-23990.5
"TTL_B09",11.8,5,10.5,43.2,44.9,28.2,0.2,1.1,20.4,369.9,104.8,3,6,76.7,104.3,27.3,1,1,9.9,1.6,0.2,0.9,318.8,18.6,484.1,9.4,40.7,2,0.3,17.4,0,4.1,0.2,0.2,0.8,1.1,24.3,5.9,24.7,5.5,0.7,2.2,2.6,0.8,0,3.1,0,0.4,4.6,0.3,1.3,0,197.1,-372.6
"TTL_C10T12",4557.2,529.9,0.7,9.2,0.6,22965.4,109.4,42.9,112,26.2,495.1,224.5,64.2,53.8,67.6,59.8,156.4,87.5,140.2,58.3,18,63.9,69.4,45.3,224.7,1829.2,101.2,33.3,12.3,116.2,17.9,39401.4,82.4,480.2,117.9,330.8,39.1,270.3,154.7,195.5,907.9,3159.3,149.9,277.8,0,213934.3,0.3,3.3,71.7,1525.9,672.2,247.3,1616.7,-30914.6
"TTL_C13T15",203.6,322.9,1.5,20.7,1.9,739.7,10008.8,208.9,176.5,17.7,142.4,45.5,2061,317.4,124,102.9,610.1,299.8,359.9,498.9,104,513.9,55.6,51.8,945.2,2843.2,227.9,352.9,44.2,160,41.9,515,84.6,307,247,488.1,20.4,426.6,631.5,567.6,131.3,882.5,710.4,624.8,0,36660.7,0.1,0.7,1925.4,453.9,341.8,108.8,3424.9,-27647.9
"TTL_C16",694.5,11,0.2,2.3,1.2,2186.7,88.9,2713.8,4167.8,5.3,905.1,203.9,174.8,397.3,60.5,125.6,526,353.3,221.4,88.3,15.2,362.7,26.3,25.8,692.5,3464.5,135.7,51,14.6,671.9,26.4,460,2300.1,153.3,433.7,605.7,66.9,499.9,317.5,175.2,184.7,773.4,71.1,186.9,0,1341,0,0.5,103,77.1,28.1,37.6,180.4,-7088.1
"TTL_C17_18",559.1,77.2,2.5,10.7,4.6,3207.7,148.5,1756.7,25805.4,10.2,624.2,452.1,87.2,767.8,445.1,634.2,1774,698.5,1072.9,419.9,336.5,3771.4,757.6,184,33600.9,9084.4,403.7,122.5,31.2,2082.6,243.8,751.3,9025.5,1574.2,1557.6,7924.5,43,2876,940,3813.1,2261.5,1336.9,1590.8,946.1,0,2328.8,1,64.7,314.7,1297.8,81.2,0.9,402.4,-4803.6
"TTL_C19",2201.6,1297.5,7.5,647.3,56.2,2080.6,340.3,171.9,684.7,3780,15687.5,1777.5,197.1,1472.8,2146.3,399,365,224.4,363.2,30.7,291.1,282.8,7375,549.1,9127.3,14735.1,12027.2,6599.6,4234.1,322.9,277,2140,316.2,275.1,516.9,807.7,642.7,1413,961.7,3945.2,1178,2137.7,1559.1,1440.2,0,69142.7,0.1,1.6,68.8,994.9,301.8,30.5,3401.6,-19618.6
"TTL_C20",4732.1,103.4,1.5,54.7,26.3,2805.8,1379.9,669.8,4061.8,921.3,48016.1,7396,19383.4,1544.4,1174.4,761.8,3552.5,1724.3,1699,3042.1,469.1,9651.3,180.4,572,2074.3,7582.2,161,56.5,31.5,155.1,27.2,974.7,679.2,233.5,179.4,196.1,39.9,3059.5,671.1,257,128.3,12290.7,429.6,1690.9,0,15186.8,0.2,7.8,181.3,1268.6,104.2,14.9,33238.2,-21634.8
