"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",12335.6,3.5,18.2,22.7,3,7646.4,353.2,57.2,13,3.4,103.3,124.6,2,58.1,14.4,0.1,0.1,0.1,0.1,0.3,0.8,2.4,16.8,9.7,17.6,304.8,32.5,1.1,1.5,844.5,0.6,1178.7,4.8,1.1,3.3,278.1,658.5,199.6,102.2,218.5,285.7,484.2,345.1,4.1,0,4484.3,0,33.5,454.2,1246.7,21.9,18.7,1582.7,-1271.4
"TTL_A03",24.5,0.2,0.3,0.1,0.2,7.6,0,0,0.1,0.4,0,0.1,0,0,0.4,0,0,0,0,0,0,0,0.1,0.9,0.5,3,0.8,0,0,0.2,0,8.7,0.1,0,0.1,0,0.2,6.7,8.1,81.1,16.8,36.5,6,0.1,0,666,0,0,0.2,110.9,2.6,1.5,1.1,-48.4
"TTL_B05_06",22.3,4.6,10015,74.7,52.7,40.2,0.4,0.3,21.4,6705.1,458.7,8.2,92.9,204.7,34.9,0.1,0.1,6.8,0,0.7,0.1,54.5,2116,13.6,24.3,458.6,3132.1,0.2,3,13,13.5,1.1,0.6,2.5,0.3,1.1,27.8,39.3,17.1,108.5,115.1,21.7,46.9,2.9,0,157.1,0,0,5.8,3780.4,3.5,0.4,29879.7,-547.4
"TTL_B07_08",3.8,0.4,254.4,567.7,2.5,1.9,0.1,0.5,0.4,24.2,963.6,1.1,1.7,153.6,11625.8,1.3,0.1,0.2,0.2,0.1,0.2,33.7,4.3,1.7,315.5,9.9,12.2,0.1,6.4,2.4,0.3,0.5,0.2,1,0.2,0.9,34.8,137.6,10,4.7,10.7,6.3,1,9,0,5.8,0,0,53.1,169.3,0.8,0.2,2141.7,-833.2
"TTL_B09",1.4,0,2134.9,675,78.9,0.5,0,0,0.1,0.2,0.8,0.2,0.2,9.2,0.7,0.1,0,0,1.4,0,0,0.4,1.7,0.9,11,29.3,6.1,0.4,0.4,2.8,0,0.2,0.2,0.4,0.2,1.4,1.9,155.1,3.1,0.8,1.2,1.5,1.2,0.6,0,1.4,0,0,8.5,0.6,0.9,0.5,13.2,-26.9
"TTL_C10T12",2898.5,57.2,73.8,23,70.4,1991.1,3.4,1.3,22.2,2.6,7.7,41.6,1.6,4.2,22.9,0.8,0.1,0.3,0.4,0.9,0.3,3.8,10.2,3,24.9,2350.9,28.6,0.2,11.9,47.7,8,1511.4,73.5,2.5,38.2,9,73,270.8,118,339.8,647.7,1280.1,295.7,294.4,0,6258.4,0,0,13.2,1474.6,75.4,68,912.7,-2511.8
"TTL_C13T15",7.7,38.1,34.6,8.3,3.4,11.4,129.3,0.1,2.7,0.9,7.5,2,12.1,3.1,1,0.1,0,0.2,1.6,0.1,0.4,16.6,3.2,2,17.8,87.6,32.5,0.8,9.8,18.6,11.9,16.6,5.3,1.6,3.4,7.1,4.2,105.8,72.6,77.7,107.9,354.2,205.8,56.6,0,438.8,0,0.1,20.4,67.2,37.2,16.1,66.2,-1167.4
"TTL_C16",5.7,0.7,3.7,0.6,46.3,1.8,0.2,1.3,0.1,0,0.1,0.1,1,1.5,0.5,0.2,0,0,0,0.3,6.2,55.6,1.2,2.7,26,84,8,0,8.7,5.9,1.1,5.7,0.1,1.2,0.1,0.7,120.7,36.1,2.1,2.5,4.6,2.1,9,12.5,0,2,0,0,3.1,4.2,3.6,0.7,21.5,-329.6
"TTL_C17_18",4.3,2.6,7.9,2.3,1,39.4,0.3,2.8,38.6,0.1,1.7,5.5,0.6,1.2,1.6,0,0.1,0,0,0.6,0.1,0.4,3.5,0.1,99.2,450.9,13.7,0.2,0.9,26.1,48,51.7,91.9,10.6,49.8,28.8,53.4,127.2,33.6,53.3,28.8,65.9,32.8,9.3,0,25.1,0,0.1,3.7,14.7,10.1,6.8,15.9,-556.5
"TTL_C19",199.4,208,415.6,435.8,7.3,27.4,1.4,11,3,9.2,9.2,11.1,11.3,80.2,1246.4,0.2,0.1,0.2,0.2,0.1,0.3,47,175.9,4.3,53.8,911.8,4081.1,4.9,252.6,83.1,2.3,2.2,9.8,4.2,10.4,49,510.8,67.2,47.2,417.4,73.6,229.8,33.3,132.8,0,149.9,0,0,10,226.5,33.6,28.2,1215.8,-1401.2
