"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",181.1,1.7,0,0,0,76.5,6,2,0.3,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0.7,20.8,0.1,0,0,0,0.1,41.9,0.2,0.2,0.4,0,4.5,1,0.9,0.2,0.1,0,0.3,0.5,0,724.1,1,0,9.9,0.7,0.4,7.2,378,-35
"TTL_A03",0.3,49.7,0,0,0,32.4,0.6,0.7,0.1,0,0.2,0.1,0.6,0,0,0,0,0,0,0,0,0,0.6,0.4,0,14,0,0,0,0,0,43.3,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,350.5,0.4,0,0,0,0,0.6,2.7,-0.3
"TTL_B05_06",0.1,0.1,0,0,0,0.1,0.1,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.1,0,2.4,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,-6.8
"TTL_B07_08",0.2,0.2,0,0.4,0,0.4,0.4,0,0,0.4,0,0,0,0.3,0.1,0,0,0,0,0,0,0.3,0.3,0.2,15.6,0.4,0,0,0,0,0,0.3,0,0.1,0,0,0.3,0.1,0.1,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0.1,-4.5
"TTL_B09",0.1,0.1,0,0.1,0.1,0.2,0.2,0,0,0.3,0,0,0,0.1,0.1,0,0,0,0,0,0,0.2,0.2,0.1,4.5,0.2,0,0,0,0,0.1,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
"TTL_C10T12",7.7,9.1,0,0,0,43.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,4.2,0.1,0,0,0,0,28.1,0.3,0,0,0,0.2,0,0,1.1,0.1,0.1,0.6,0.7,0,451.9,0.4,0,3.2,0,1.6,20.7,95.7,-212.4
"TTL_C13T15",3.5,6.5,0,0,0,4.4,512.9,3.7,4,0.1,0,0,2.4,0,0,0.1,0,0,0,0.3,0,0.9,0.9,0.7,2.4,41.4,2.1,0.5,0.6,0.9,0.1,19,3.6,0.1,1.1,0.1,15.5,3.3,4.1,11,0.4,0.2,3.6,6.7,0,254.2,0,0,6.2,0,1.1,18.6,1640.8,-499.5
"TTL_C16",0.2,0.1,0,0,0,2.2,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,2.1,0.6,0.3,0.1,0.1,0.2,0,0.8,0.1,0,0.1,0.3,1.4,0.3,0.3,0,0,0,0.1,0.2,0,5.6,0,0,0.1,0,0.1,0.7,13.2,-4.5
"TTL_C17_18",0.5,0.4,0,0,0,12.1,4.9,0,3.4,0,0.3,0,0.2,0,0,0.1,0,0,0,0,0,0.8,0.2,0.1,2.5,3,1.4,0.1,0.4,0.8,0.1,4.3,2,0.1,1,1.8,7.7,2,1,0.1,0.7,0.1,0.7,1.2,0,23.3,0,0,3,-0.1,0.2,1.1,12.8,-64.6
"TTL_C19",0.7,0.5,0,0.5,0.1,1.2,1.2,0.1,0,2.8,0,0,0.2,0.3,0.3,0,0,0,0,0,0,1.1,1.1,0.3,2.6,1.1,0.1,0,0,0,0.1,0.8,0,0.3,0.1,0.3,0.9,0.2,0.2,0,0,0,0,0,0,10.5,0,0,0.1,0,0.7,10.2,0,-13.1
