"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",3034.5,126.3,3.1,1.9,0,29684.4,624.6,1142.8,7.9,10,111.3,354.1,658.4,4,13.7,12.4,19.4,6.2,13.5,19.2,9.3,13.9,6.6,2.6,549.5,55.4,5.8,2.8,3.5,12.4,0.6,4812,7.4,7.8,18,39.7,7.7,74.5,10.4,51.7,262,715.1,48,32.9,0,14248.4,67.6,2,681.7,333.4,170.9,130.8,415.7,-8334.7
"TTL_A03",2.7,157.3,0,0.2,0,2196.6,1.4,0.3,0.2,1.3,3.6,0.4,0.5,0.2,0.9,0.3,1,0.3,0.4,0.5,0.3,5.5,1,0.1,2.5,2.9,0.2,0.8,0.6,0.2,0.1,2211.9,0.8,0.9,0.2,2.2,0.4,13.8,0.6,35.7,132,95.6,12.3,2.3,0,2431.2,11.7,0.6,5.2,38,11.5,10.5,189.5,-549.5
"TTL_B05_06",16.4,13.4,2.2,7.2,0.4,19.2,16,1.4,18.1,77463,2367,4.6,26.8,584,3951.9,26.9,25.8,14.6,56.4,28.1,31.6,5,44510.9,430.1,44.2,54.1,160,86.7,103.1,12.3,8.4,45.6,4.2,3.1,5.1,10.3,12.6,52.1,13,15.7,34.9,25.4,7.5,15.1,0,150.5,0.5,1.2,129.4,884.4,9.4,0.3,3.7,-131026.6
"TTL_B07_08",4.1,0.7,0,3.6,0.2,31,17.3,0.9,31.4,43.7,750.1,2.5,32.2,1858.3,17302.2,63.1,58.6,42.9,34,25.3,11.8,10.3,41.2,3.3,687.5,3.3,2.2,1.5,1.4,1,0.2,19.9,0.9,0.5,1,1.7,0.9,9.5,1.4,4,3,10.1,1.2,3.9,0,34.8,0.2,0.7,17.3,124,7.9,0.3,225.9,-18074.8
"TTL_B09",0.3,0.1,0.1,0.7,0,1.1,0.6,0.1,0.4,55.1,4,0.1,0.6,1.7,7.4,1.3,2,0.6,1.3,1.3,0.8,0.2,24.9,0.4,5,1.4,1.2,0.6,0.6,0.5,0.1,0.6,0.2,0.4,0.7,1,0.2,1,0.3,0.5,0.4,0.4,0.2,0.2,0,2.3,0.1,0.2,6.1,0.6,1.7,0,22,-122.2
"TTL_C10T12",6896.8,402.2,0.5,5.6,0,15232.1,795.4,7.8,69.1,72.8,995,206.7,92.6,32,86.5,72.8,182.3,51.4,99.6,111.6,46.8,20.4,33.7,11.6,72.4,433.3,34.3,10.9,11.9,89.1,3.4,30076.7,49.2,34.6,116.9,172.6,56.6,546.8,106.6,143.4,1393.6,1375.1,1320.4,203.9,0,47773.5,158.2,1187.7,106.6,597.9,680.6,532.6,5051,-15304.1
"TTL_C13T15",270.1,222,2,12.4,0,403.1,29733.3,27.3,624.1,136.1,696.6,68.7,1950.2,199.1,425.6,550.8,1143.3,312.7,499.7,1650.6,467.8,1646.7,138,205.5,662.2,1692.8,493.2,52.8,14.6,928.8,53.1,1004.9,135.3,101.3,92.2,753.4,177,605,383.8,632.3,318.8,1262.4,287.5,1216.3,0,32426.2,96.7,6.1,715.5,711.5,285.2,425,13279.6,-16667
"TTL_C16",46.8,168.2,3,8.2,0,102.3,48.3,1899.4,122,18.8,117.3,5.3,61.5,131.7,225.8,292.9,94.1,115,168.5,299.9,292.1,962.4,123.1,7.7,2456.6,110.1,14.9,2.1,1.1,324.9,0.4,225.8,8.3,1.9,3.1,7.5,6.4,202.8,16.9,11.9,56.9,53.2,57.8,21.5,0,214,12.2,1.3,36.2,53.7,28.2,19.2,198.4,-2233.8
"TTL_C17_18",228.8,9.5,0.6,6.6,0,2014,911.9,38.9,9204.9,154.1,1002.4,390.9,567.8,274.5,217,414.2,994.5,659.6,349.6,342.7,128.2,198.2,38.5,71,369.6,1925.1,149.2,12.3,6.4,238.3,382.1,836.4,2196.7,92.1,314.5,1064.2,78.5,2179.5,169.8,610.2,1109.5,694.4,250.9,439.5,0,1062,25.8,2.5,79.1,177.4,86.3,67.2,3570.5,-3677.4
"TTL_C19",1517.7,720.2,3,236.8,0.4,941.1,1794.1,105.9,919,12215.8,25625.7,471.7,4484.2,1993.4,1819.2,1549.1,2479.4,1015.8,932.9,1100.5,906.1,279.8,2458.1,264.8,2012.5,2364.8,8779.5,4335.5,5603.8,606,453,2340.7,271.4,113.2,176.5,348.7,407.7,2362.5,776.2,752.8,1868.6,1432.5,462.5,1114.1,0,8878.7,7.3,1.8,41.9,720.1,270.4,172.3,58847,-37702.6
