"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5.8,0,0,0,0,33.8,0.1,4.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,388.3,0,0,0,0,0,1.1,91.1,-1.4
"TTL_A03",4.2,1.7,0,0,0,3.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,0,0,0,0,-0.1
"TTL_B05_06",0.4,0,0.8,0.5,0.1,0.4,0,0.1,0,0.2,0.1,0,0,0.7,0,0,0,0,0,0,0,2.1,0.8,0,0.5,22.7,3.3,0.1,0.9,0.6,0.6,3.3,0,2.7,0,3.9,0.8,0,0.3,4.4,0.8,0.4,0,0.1,0,21.8,0,0,0,23.8,0,0,1.9,-2.5
"TTL_B07_08",0.1,0,2.2,7,0.8,1,0,0.1,0,0.6,0.3,0,0.2,5.5,0,0,0,0,0,0,0,0,3.2,0.4,9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,45.2,0,0,0,0,0,0,5.4,-0.9
"TTL_B09",0.1,0,6.1,2.6,2.1,0.7,0,0.2,0,0.5,0.1,0,0.2,1,0,0,0,0,0,0,0,0,1.8,0.4,2.7,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0
"TTL_C10T12",2.8,0.1,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,208.3,0,0,0,0,0.1,1.8,9.1,-47
"TTL_C13T15",8.3,0.7,0,0,0,0.3,29.4,3.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.5,0.7,0,0,0,0,0,1.8,0.1,0,0.1,0,0,0.2,0.1,0.5,0,0,0.1,0.2,0,73,0,0,0,0,0.1,2.4,44.5,-87.2
"TTL_C16",0.3,0,0,0,0,0.9,0.1,7.4,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0.5,0.4,0,0,0,0,0.1,0.2,0,0.2,0,0.2,0,0.1,0,0.6,0,0,0,0.1,0,7.3,0,0,0,-0.3,0,0.1,61,-8.2
"TTL_C17_18",0.1,0,0,0,0,0.1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.5,0,-0.9
"TTL_C19",17.3,0.7,0.9,2.1,0.2,4.3,0.2,2.6,0,1.3,0.6,0,0.4,0.2,0.1,0.1,0,0,0,0,0,0.2,0.6,0.1,3.8,3.5,2,4.6,2.2,1.5,0,1.1,0.1,0.1,0,1.1,0,0.3,0.4,1.8,0.1,0.2,0,0.2,0,27.9,0,0,0,0,0,0,0,-68.9
