"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",379,2,0.5,0.3,0,738,62.2,151,17.2,9.3,106.3,0.5,2.4,1.5,0.1,2.7,1.2,1.3,1.8,0.6,0.4,16.4,18.4,0.9,11.2,71.6,13.4,0.4,1.1,3.5,0.1,3,0.7,0.7,1.6,0.8,8.1,3.4,4,2.9,2.1,4.9,1.3,2.5,0,1437.8,0,3.5,68.4,1,8.9,13,1443.4,-456.4
"TTL_A03",0.3,5.6,0,0,0,112.1,0.1,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,8.1,0.3,0,0.1,0.1,0,2.7,0.1,0,0,0,0,0.2,0.2,0.4,0,4.6,0.2,0,0,105.1,0,0.1,0.1,0,0.6,0.2,2.7,-113.9
"TTL_B05_06",7.6,0.2,17.2,17.7,0.2,28.4,9.7,0.9,14.1,2825.8,276.7,0.1,0.8,86.4,0.1,0.5,0.3,0.5,0.4,0.6,0.4,13.9,189.9,1.7,9.6,8,6,0.2,0.4,1.4,0,3.2,0.1,0.1,0.3,0.2,3.1,2.4,23.6,2.5,0.2,0.8,1.5,0.2,0,29.6,0,0.5,2.9,-0.2,0.8,0.2,64.7,-3420.2
"TTL_B07_08",8,0,0,0,0.8,0.2,0.3,0.2,0.1,63.3,0.8,0,0.4,0.2,0,1.3,0,0.1,0.7,0.3,0,0.2,0.1,0.1,216.4,0.4,12.1,0,3.8,0.2,0,0,0,0,0,0,1,0.1,0.1,1.3,0.2,0,0,1.1,0,5.7,0,0.1,0.3,0,0.2,0,21.7,-184.8
"TTL_B09",0.3,0,3.2,1,0.5,0.2,0,0,0.1,33.4,1.3,0,0.1,0.7,0.1,0.2,0,0,0,0,0,0.1,0.9,0.1,5,0.3,1.5,0,0.1,0.3,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.5,0,0.1,0.1,0,0.2,0,6.7,-13.4
"TTL_C10T12",327.7,4.7,0.1,0.1,0,846.3,3.2,0.9,1.2,6.9,80.4,1.9,2.6,0.5,0.5,1,0.2,0.6,2.1,0.7,0.2,3,3.4,1.4,3.2,37.9,7.6,1.4,4.6,0.5,0,193.1,1.3,0.2,0.9,2.4,1.1,3.2,4.8,2,3.7,43,8.9,0.7,0,3851.1,0,20.5,2.3,1,28.5,26.1,1843.9,-1535.9
"TTL_C13T15",18.7,0.3,0.6,0.2,0.1,10.3,153.7,2.7,2.4,7.1,3.7,0.1,2.2,1.1,0.1,4.1,0.8,1.8,4.1,1.9,5.1,22.9,12.1,1.4,9.8,36.8,10.6,0.5,10.3,9.5,0.1,1.6,0.5,0.8,0.9,0.9,3.3,9,10.3,11.2,1.8,5.9,1.6,2.1,0,926.9,0,1.4,9.5,-1.3,11.7,15.7,567.5,-477.9
"TTL_C16",44.1,0.4,10.6,1.3,0,10.6,2.8,245.2,16.1,30.9,2.2,0,3.4,5,0,2.7,0.2,1.5,0.8,1.2,0.6,501.8,18,1.6,29.8,5.5,2.6,0.3,0.9,1.2,0.3,0.9,4.9,0.1,0.2,0.3,2.4,20.1,3.4,1.3,0.8,1.8,0.3,3.9,0,137.5,0.3,0.3,2.8,-0.1,1.6,2.2,934.2,-521.5
"TTL_C17_18",10.7,0.9,0.1,0.1,0,69.5,24.3,20,173.2,58.9,8.1,1.6,4.6,2.8,0.4,6.3,1.2,4.2,14.8,0.3,0.6,36.2,4.1,7.1,4.3,42.2,7.6,0.5,5.2,1.2,4.4,1.6,28.7,1.2,68.5,17.2,9.9,30.3,11.9,93.4,55.7,8.3,10.7,1.6,0,191.6,0,0.7,4.3,0.6,4.2,2.8,327.1,-386
"TTL_C19",226.5,20.4,7,9.4,1.3,34.6,21.2,13.1,19.7,370.2,54.4,0.3,23.7,18.4,2.9,10,1.1,4.3,12.6,0.6,3,27.6,106.7,33.3,72.2,154,871,26.4,48.2,31.6,3.1,8.1,13.4,6,9.4,17.6,31.3,31.5,82.4,75.8,7.9,25.6,15,13.4,0,2182.4,0,0.7,40.2,-8.3,11.4,18.4,2042.8,-1035.6
