"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",97.2,0,0,0,0,269.2,1.2,22,12.8,0,12,4.5,46.2,0.7,2.3,1.2,0.1,0,0.6,0,0,1.1,1.4,0.1,2.4,1.1,1.5,0.7,0.7,0.5,0.1,18.2,0.2,0.1,0.8,1.2,2.9,2.2,1.2,6.8,0.3,1.7,2.3,0.3,0,222.3,0,0.1,34.6,26.7,11.7,8.2,118.6,-581.1
"TTL_A03",0,0,0,0,0,3.9,0,0,0,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.1,0,0,0,1.4,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1,0.6,0.8,0,0,-19.6
"TTL_B05_06",0.1,0,0,2.5,0,0,0.4,0,1.1,0,7.8,0.2,1.6,6.2,79.4,1.2,0,0,0.5,0,0,0.2,116,0.2,5.8,0.2,1.6,0,0.1,0.2,0.1,0,0,0,0.1,0.5,0.3,0.1,0.1,0.1,0,0,0,0,0,0.3,0,0,0.3,5.2,0.2,0,0,-233
"TTL_B07_08",0.1,0,0,3.8,0,0,0.4,0,0.7,0,7.3,0.2,0.6,44.1,129,1,0,0,0.5,0,0,0.1,24.5,0.3,21,0.3,1.7,0,0.1,0.1,0,0,0,0,0.3,0.2,0.2,0.1,0,0.1,0,0.1,0,0,0,0.4,0,0,0.1,3.1,0.1,0,12.1,-180.8
"TTL_B09",0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0.2,0.5,0,0,0,0,0,0,0,1.6,0,0.9,0.1,0.3,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
"TTL_C10T12",28.3,0,0,0.3,0,85.4,1.2,0.3,11.1,0,46.2,21,12.8,3.2,21.6,5.3,0.9,0.2,3.9,0.1,0,1.7,0.7,0.3,9.9,3.9,1.3,5.4,41.8,4.3,1.2,294.4,0.3,0.2,1.2,2.3,5.1,7.8,14.2,10.1,28.5,65.5,1.9,1.3,0,1468.6,0,0.2,0.9,146.7,49.8,22.9,110,-1582.9
"TTL_C13T15",1,0,0,0.5,0,0.5,190.9,0.1,3.3,0,1.7,0.6,17.9,2,7.1,2.5,0.6,0.1,2.3,0.6,0,3,0.5,1.1,11.8,6.3,2.8,0.3,2.9,0.5,0.7,1.9,0.4,0.1,0.3,0.2,0.7,1.4,2,1,0.2,9.6,0.3,0.6,0,560.5,0,0.4,1.9,43.5,23.7,40.1,345.9,-358.8
"TTL_C16",0.4,0,0,0.4,0,1.5,0.3,79.3,19,0,2.7,0.5,10.3,10.3,34.8,12,0.8,0.4,5.6,0.6,0.1,14.5,1,3.4,218.7,8,1.2,0.1,0.6,1.3,0.3,0.3,0.2,0.1,0.4,1,6.4,1.5,1,2.5,9.3,0.6,0.1,0.4,0,16.3,0,4.7,0.5,31.1,2.2,3.3,160.6,-216
"TTL_C17_18",0.1,0,0,0.1,0,9.7,0.7,1.6,206.4,0,11.3,6.8,30,15.4,27.8,10.2,2.7,0.8,8.5,0.4,0,3.2,0.8,0.3,9.1,79.7,4.2,0.6,7.6,3,6.1,0.5,34.8,1,50.4,12.3,5.9,36.1,18.1,5.2,0.3,1.5,0.8,1.6,0,33.6,0,0.3,1.2,7,6.2,12.6,136.4,-192.3
"TTL_C19",1,0,0,0.6,0,1.5,3.6,1,3,0,17.1,1.2,14.7,10.2,79,5.5,0.8,0.3,3.5,0.2,0,2.9,1.6,0.6,15.6,26,80.8,7.1,110.7,3.1,2,0.8,1.9,0.3,6.3,5.4,1.7,3.6,3.4,1.7,0.5,2.3,0.5,0.4,0,269.1,0,0.5,3.5,12.7,20.8,0,0,-728.7
