"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",163,0.3,0,0.1,0,123.9,3.9,107.6,0.3,0,0.5,0.1,0.2,0.4,0.5,0.4,0.1,0.2,0.3,0,0.1,3.6,3.9,0.4,28.2,14,2.3,0.1,0.1,5.9,0,4.2,0.2,0.1,0.1,0.2,1.5,0.6,0.5,6.7,2.8,3.8,0.5,0.5,0,390,0.1,15.2,12.2,26.5,1.8,1,96.6,-91.8
"TTL_A03",0.7,0.1,0,0,0,21.8,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0.1,2.7,0.1,0,0,0.2,0,0.2,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,10.5,0,1.8,1.1,1.8,0.1,0.1,7,-2.3
"TTL_B05_06",0.5,0,0,0.1,0,0.3,0.1,0.2,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0.1,23.7,0.1,0.5,0.6,0.9,0.1,0,0.5,0,0,0,0,0,0,0.3,0.1,0.1,0.6,0.3,0.2,0,0.1,0,9.2,0,0,0.9,0.7,0.1,0,0,-40.6
"TTL_B07_08",0.5,0,0,0.6,0,0.7,0.2,0.3,0.1,0,0,0,0.1,5.7,0.7,0.1,0,0,0,0,0.2,0.3,0.3,2,19.2,0.7,2,0,0,1.5,0,0.1,1.6,0,0,0,0.2,0,0,0.1,0.1,0.1,0,0,0,2.6,0,0,2.8,2.8,0,0,2,-8.4
"TTL_B09",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,-1.3
"TTL_C10T12",20.6,0.6,0,0,0,193.5,0.7,1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.2,0,0,0.1,1.4,0.1,5.1,63.5,1.7,1.4,1.6,9.8,0,52.1,0.8,0.1,0.1,0.4,3.7,1,1.1,14.8,22.7,20.7,5.2,0.5,0,859,5.3,0.3,0.6,50.2,5.3,3.2,118.3,-228.7
"TTL_C13T15",1.1,0.1,0,0.1,0,2.7,147.3,1.1,0.4,0,0.1,0.2,1.7,1.7,0.3,0.4,1.1,0.1,0.3,0.1,0.1,5.8,2.7,0.2,7.3,4.6,2.2,0.1,0.1,2.5,0,0.6,0.2,0.2,0,0.2,0.9,1.4,1.5,5.4,1.6,2,0.7,2.1,0,189.3,0,0.2,2.8,15.1,3,2.1,146.8,-107.2
"TTL_C16",16.3,0.1,0,0.3,0,5.6,1.5,120.1,1.2,0,0.2,0.3,0.8,1.5,1.1,1,0.2,0.4,0.4,0.2,0.3,37.1,18.7,0.6,51.1,21.6,6.4,0.4,0.1,7.3,0,0.9,0.4,0.1,0.1,0.3,7.1,1.3,1.3,3.8,1.4,2.4,0.6,1.5,0,51.9,0,1.5,29.6,31.8,0.4,0.4,409.5,-52.3
"TTL_C17_18",4.2,0.3,0,0.5,0,33.4,2.1,3.6,40.3,0,1.1,0.7,0.7,0.9,0.3,0.5,0.1,0.5,0.4,0,0.1,2.1,1.3,0.2,5.2,14.1,4.6,0.2,0,3,1.5,1.7,26.1,0.8,0.2,3,1.2,14.8,5.9,11.6,4.4,3.2,8.2,0.4,0,17.6,0,0.2,2.9,7.6,0.7,0.4,16.1,-85.4
"TTL_C19",25.3,2.3,0,1.5,0,6.8,1.1,4.7,0.4,0.1,2,1.1,0.4,2.5,2,0.5,0.1,0.2,0.3,0.1,0.2,3.7,21.1,2.9,25.1,21.7,57.9,3.1,1.9,14.1,0.4,1,0.6,0.2,0.4,0.8,7.3,4.5,3.4,8.2,3.4,3.7,0.6,0.8,0,67.3,0,0.2,2.2,8.2,2,0,0,-317.9
