"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1445.2,0.5,0.1,5.1,0,5812.8,67.3,70.7,43.2,0.4,57.5,13.7,4.7,2.2,0.4,0.4,0.1,0.3,0.1,0.8,2.5,5.4,0.1,0,7.5,101.7,1.2,0.8,0.7,0.6,0,101.6,1.7,0,0.4,0.1,0.6,2.7,6.1,6.7,4,3.2,3,8.8,0,6886.8,0,128.5,528,1740.2,5.5,47.3,988,-1601.3
"TTL_A03",0.1,46,0,0,0,261.3,0.5,0,0,0,2.6,0.9,0,0,0,0,0,0.6,0,0,0,0,0,0,0,3.8,0,0,0,0,0,14.6,0,0,0,0,0,0,0,1.5,0.4,0.5,0,0,0,551.9,0,0,0.1,94.3,0.3,4,244.3,-23.4
"TTL_B05_06",2.7,1.2,0.1,5.4,0.1,2.7,0.5,0.1,0.6,2827.2,3.7,0.1,0.1,3,1.1,0.3,0.2,0.6,0.1,0.5,0,0.2,225.5,16.6,4.5,2.6,4.5,1.3,3.6,0.6,0.1,0.4,0.1,0.2,0,0,0,0.1,0.2,13.6,0.4,0.3,0.1,0.2,0,20.1,0,0,2.7,329.5,0.2,0,0.1,-3457.2
"TTL_B07_08",0.4,0.1,0,2.3,0.1,5.6,0.4,2.7,0.3,7,1039.7,42.2,0.7,70,85.3,88.9,0.3,103.9,0.4,0.9,0.2,0.6,0.1,0,226.4,4.1,0.1,0,0.1,0.1,0,0.2,0.2,0,0,0.1,0,0.1,0.1,14.6,0.1,0,0,0.2,0,30.5,0,0,34.9,270.1,0.1,0,1106.6,-348.9
"TTL_B09",0.7,0.1,0.1,9.8,0.1,0.3,0,0,0.1,22.5,4.3,0.1,0.1,2.6,2,0.2,0,0,0,0,0,0,2.3,0.1,11.4,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0.3,0,0,0.1,0.6,0,0,14,-16.8
"TTL_C10T12",719.4,2.6,0,0.1,0,1744.5,6.4,0.2,0.8,0.7,7.2,0.9,2.1,1.3,0.4,0.4,0.4,0.5,0.1,0.6,0.1,0.6,0.3,0,2,51.6,1.1,0.7,1.5,0.6,0,405.3,2.2,0.1,0.1,0.1,0.1,0.5,0.7,19.2,7.4,4.5,2.4,7.9,0,10315,0,0.3,4.6,1538.4,22.8,234.1,1691.1,-1523.8
"TTL_C13T15",15.1,0.8,0,1.1,0,10.5,1191.9,3.2,5.3,1.2,5.9,1,12.5,1.9,0.2,1.2,2.6,3,1.3,7.7,0.2,48.6,0.2,0,8.7,11.6,0.9,0.3,0.6,0.3,0,3.9,2.3,0.1,0.2,0,0.4,1.6,2.3,25.3,3.1,2,0.6,2.8,0,1389.6,0,0.1,41.5,418.4,10,133.9,3113.4,-1523.7
"TTL_C16",5.1,0,0,0.5,0,6.6,5,112.5,10.7,0.6,0.6,0.1,2,6.4,0.5,11.2,0.1,2.4,0.5,4.2,10,62.1,0.1,0,380.5,15,0.2,0.1,0.1,0.1,0,0.2,1.1,0.1,0.3,0,0.8,1.5,2.6,0.2,0.1,0.1,1,3.8,0,30.9,0,0,69.7,72.6,1,5.4,30.3,-345
"TTL_C17_18",3.8,0.4,0,8.6,0,208.2,33.8,1.2,226.5,1.1,30.5,8.1,7,34.9,3,3.4,3.8,13.4,2.2,6.8,0.3,6.1,3.3,0.4,11.8,68.7,3.6,0.7,1.8,2.3,0.9,6.8,55.7,3.6,1.3,22.4,1.4,11.3,12,24,33.5,15.9,6.1,20.4,0,207.5,0,0,14.4,139.4,2.8,17.3,137,-424.1
"TTL_C19",254.1,115.7,1,173.4,0.3,247.7,22.7,1.7,13.3,55,133.4,6.4,12.8,270.6,49.6,15.6,4.1,6.3,2.3,35.1,0.2,12.6,266.1,22,368.9,232.4,440.9,124,358,52,6.7,26.7,7,16.1,1.2,0.1,3.3,7.5,18,185.6,33.7,23.2,5.8,20.3,0,1735.6,0,0.8,4,803.4,8,41.6,268.1,-2815.9
