"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",4935.8,0.5,1.2,0.4,5.5,28679.7,868.3,577.7,1.8,0.2,106,90.1,382,0.3,0.8,1.1,3.2,1.3,1.2,6.3,0.2,36,16.5,3,183.6,4.9,1.7,0.2,0.1,0.6,0.4,2.6,0.2,0.2,0,1.8,1.1,0.2,0.3,6.8,33.9,15.7,0.3,0.4,0,18128.2,65.2,0.1,3589.3,961.8,62.5,98.8,7274.6,-8247.1
"TTL_A03",0.6,13.9,0,0,0.1,154,1.6,0.1,0.3,0,0.3,0.9,0.1,0,0.1,0,0.2,0,0.1,0.2,0,1.5,0,0,0.4,12.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0,1.4,0.3,0,0,1369.5,15.9,0,6.1,33.3,2.4,8.9,86.8,-22.3
"TTL_B05_06",6.8,1.8,2395.1,6,153.9,16.8,2,1.9,2.1,32902.8,5763.2,1329.9,2.3,11.3,1068.9,2.4,3.4,1.2,2.8,5.8,0.4,106.4,2045.7,1.7,21.4,7.6,91.8,0.6,15.1,1.7,1.8,3.4,0.5,1.7,0,0.6,11,3.2,2.5,18.3,0.9,4.5,0.8,2.6,0,134.5,0.1,0.1,21.5,1012.4,3.9,0,45366.5,-2565.3
"TTL_B07_08",79.3,25.2,35,1799.7,97.3,76.2,3.2,26.2,2.8,25,1158.5,6.5,14.4,1768.2,9717.3,5.6,8,65.4,11.4,45.1,0.6,15.7,6.1,34.1,2132.3,18.1,8.3,0.2,0.1,5.3,0,20.3,0.6,0.3,0.1,1.1,1.2,1,1.4,4,0.5,1.3,0.6,0.6,0,37.5,0.3,0,125.1,280.2,0.6,0.1,3980.7,-1307.3
"TTL_B09",9.5,0.9,976.4,40.1,165.3,9.5,2.6,0.9,5.3,1.1,3.7,3.5,3.5,3.8,6.4,6,11.5,4.7,5.3,32.2,1.8,5.2,0.7,1.2,94.6,11.6,6.4,4.6,9,7.6,0.4,0.9,1.4,0.2,0.4,7.3,2.6,5.6,6,3.1,1.6,2.1,1.1,0.4,0,38.9,6.4,0,11353.4,0.5,0.2,6.1,2.9,-31.8
"TTL_C10T12",3199,28.7,25.1,5.3,8.2,12297.6,339.4,18.6,86.6,8.5,300.9,224.6,39.5,35.9,38.9,12.8,47.7,13.4,12.3,56.7,2.5,17.1,17.7,6.1,55.4,832,16.7,1.1,6.9,20,1.3,2384.8,11.8,10.8,11,140.8,62.1,28.9,33.6,301.4,10.5,163.4,34.8,13.5,0,120479.3,136.5,2.6,207.6,1721,269.5,495.7,8481.8,-11805.3
"TTL_C13T15",85.5,0.1,6.6,7.7,3.9,130.9,4445.4,11.9,733.8,10.8,42.5,9.2,175.6,19.8,53,42,158.8,59.4,48.5,1830.5,14,402.9,34.4,9.6,127.2,458.2,54.4,26,7.8,5.9,4.4,175.1,15.1,4.7,2,8.3,15.3,52.7,52.2,182.8,49.4,439.1,20.7,21.7,0,15391.3,49.7,0.3,135.3,389.2,74.8,300.7,5731.2,-7642.1
"TTL_C16",21.9,0,6.2,1.7,76.5,122.7,29.9,308.2,2026.8,7.2,60.7,5.8,43,39.7,13.7,34.7,52.7,26.5,23.3,80.2,13,360.9,3.9,7.7,570.9,380.9,13.1,0.1,0.5,16.5,0.5,34.6,16.1,23,0.1,224,26.6,124.1,44.8,176.6,40.6,61.5,17,11.5,0,326.1,5.2,0.5,33.7,40.3,10.4,14.5,430.1,-1141.5
"TTL_C17_18",180.4,0.3,5.4,11.8,8.5,1425.3,244.7,138.9,1671.7,19.7,492.1,222.2,129.5,601.9,30.1,193.9,738.9,190.6,135.1,633.3,18.1,344.7,8.5,15.4,185.1,2728.5,33.5,22.4,4.3,45.5,11,168.9,45.4,8.6,2,866.5,447.7,271.3,951.9,783.2,204.6,353.2,54.3,143.4,0,6353.3,29.8,230.9,103.1,442.2,32.3,43.1,1445.2,-6217.4
"TTL_C19",1134.8,309.1,1152.9,969.4,120.1,2802.8,281.1,330.9,324.4,21724.9,965.4,164.3,308.4,1778,682.1,319.8,132.4,65.7,182.5,305.8,41.4,298.6,3674.5,287.3,3486.8,1244.6,16022.5,84.7,2679.3,206.3,316.3,593.9,73,282,3,77,1924.1,561.3,432.3,3196.5,156.2,778,142.3,451.2,0,22783.5,1.3,0.4,28.3,1646.7,116.9,172.7,3404.1,-19995.1
