"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",7.1,0.2,0,0,0,87.3,0.8,0,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0.2,0.1,0.1,0.6,0,0,0.1,1.4,0.1,8.4,0,0,0,1,0,0.1,2.1,0.1,0.3,0.1,0,0,0,61.3,0,9.7,1.5,2.4,0.6,2.5,1.9,-28.7
"TTL_A03",0,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0.8,0.1,0.3,0,0.4,3.1,-1
"TTL_B05_06",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,6.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.5,0,0,0.3,0,0,0,0.8,-2.4
"TTL_B07_08",0,0,0,3.1,0.7,0.2,0,0,0,0,0,0,0,4.9,0.1,0,0.1,0,0,0,0,0,0.1,0,16.3,0.1,0.1,0,0,0,0,0,0,0,0,0.7,0.2,0.1,0,0.1,0,0,0,0,0,0.4,0,0.1,1.5,0.4,0,0,0.1,-3.1
"TTL_B09",0,0.3,1,1.5,4.2,0.2,0,0,0.1,0.1,0.1,0,0,3.9,0,0,0,0,0,0,0,0,17,0.2,6.3,0,0,0,0,0.1,0,0.1,0,0,0,0.4,0.7,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,-6.2
"TTL_C10T12",25,0.4,0.5,0,0,93.6,0.1,0,0.1,0,1,1,0,1.4,0,0.1,0.1,0,0,0,0,0.2,0.1,0,0.8,0.7,0.1,1.9,2.5,0.2,0,47.8,0.1,0,0,1,0,0.1,1.3,0.6,0.1,0.4,0.2,0.4,0,257.1,0,0,0.4,8.9,2.7,12.1,44.6,-100.7
"TTL_C13T15",1.3,2.5,0,0,0.1,0.5,57.4,0.3,1.9,0,1.1,0.9,1,0,0,0.2,0.1,0.1,0.1,0.1,0.2,2.3,5,0.1,1.3,0.3,0.3,0,0.1,0.7,0.2,3.4,0,0.2,0,0.6,0,0.3,0.6,1.3,0.1,0.2,0.2,0.8,0,84,0,0,1.2,3.7,1.6,7.8,64,-71.5
"TTL_C16",0.1,0.1,0,0.1,0,1.1,0.1,3.1,0.1,0.1,0,0,0,0,0,0.1,0.2,0,0.3,0,0.2,8.3,0.1,0.1,2,0.2,0,0.2,0,0.3,0,0.1,0,0,0,0.3,0.8,0.1,0.1,0.3,0.1,0.1,0,0,0,1.5,0,0,3.9,0.3,0.1,0.2,0.2,-13.4
"TTL_C17_18",0.1,0,0,0,0,4,0.2,0,20.3,0,0,0.1,0.3,0,0,0.3,0.2,0.1,0.1,0,0.9,0.3,1.7,0.1,0.4,3.4,0.1,0.5,0.4,0,0.1,0.4,3.1,0.1,0,36.4,0.1,0.2,0.5,1.4,0.7,0.1,0.1,0.4,0,28.4,0,1.9,0.4,2.4,0.3,1.2,27.5,-33.1
"TTL_C19",0.1,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,45.8,0,0.3,0.2,0.1,0,0.8,0.3,0,0.1,0,0,0,0.4,0,0,0.2,0.1,0,0,0,0,0,4.5,0,0,0.1,0.2,0.8,0,0,-54.2
