"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",22109.6,232.8,77.2,36.2,0.6,6523.9,868.8,325.9,83.1,14.8,289.2,109.5,151.1,12.2,8.2,8.9,10.2,5.6,8.1,11.2,2.4,116.5,39.3,6.6,267.6,1163.3,35.1,26.5,10.6,23.8,1.3,773.1,18.9,22.4,6.8,24,86.4,88.8,130.7,436,210.5,279.8,73.5,106.7,0,10718.5,5.3,381.9,1850.8,-11.6,0.5,34.4,3897.7,-227.8
"TTL_A03",152.3,4213.7,14.1,6,0.1,945.6,17.5,3.8,2.6,2.7,13.3,4.3,1.5,1.6,1.3,1.8,2,1.3,1.7,1.7,0.4,17.1,1.6,0.5,10.3,117.6,6,10,2.7,3.4,0.2,465.3,5.9,7.8,2.6,5,9.3,11.1,5.2,77.7,29.7,49.2,12.4,12.9,0,3091.7,3.1,38.2,66.5,-2.8,0,4.8,614,-3.8
"TTL_B05_06",10,2.5,171.3,18.7,0.5,2.1,2.3,0.8,1.7,854.8,6.9,0.5,0.8,9.9,13.8,1.6,1.2,0.9,1.5,1.3,0.3,1.7,84.3,0.6,15.4,15.1,21.1,6.4,9.2,3,0.5,0.8,0.6,2.2,0.4,1.8,4.2,3,1.8,5.7,2.4,2.2,0.6,1.4,0,27.6,0,1.4,134.7,0.7,0,0.4,3598.5,-102.5
"TTL_B07_08",9.5,0.9,104.7,362.4,2.5,1.9,1.6,0.6,2.5,42.2,32.4,1.5,1.6,250.1,460,8.3,2.3,4.5,2.3,1.8,0.4,5.3,14.2,1.2,335.8,5.9,2.7,0.3,0.2,1.9,0.1,0.4,0.2,0.7,0.1,0.4,7.4,2.1,1.2,5.4,0.9,0.9,0.4,1,0,66.9,0,2.1,56.6,0.1,0,0.4,351.3,-52.4
"TTL_B09",0.1,0,20.2,3,0.1,0,0,0,0,3.6,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0.2,0,1.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,14.8,0,0,0,3.6,-2.6
"TTL_C10T12",2515.1,228.3,35.2,16.1,0.3,899.9,91.3,4.6,19.3,20.3,114.4,48.4,9,7.5,5.1,5.6,7.8,4.4,6.6,6.1,1,20.4,8.3,2.8,36.6,412.3,21.1,37.9,19.1,22.9,1.3,836,24.2,24.1,9.1,34.5,37,49.7,35.8,246.6,216.4,260.3,61.3,60.9,0,5052.9,2.5,47.9,58.7,-73.7,1.9,63.8,2589.5,-1697.8
"TTL_C13T15",36,21.9,70.1,17.5,0.5,8.4,3086,8.4,25.5,6.4,9.5,5.7,27.9,13,6.5,11.6,16.3,8.4,12.7,60.8,5.5,158.6,5.3,3.3,77.5,160.4,15.8,6.4,5.8,10.7,3.1,12.4,10.6,17.1,3.1,13.8,16.3,37.6,30,116.6,28.5,72,17.5,61.8,0,2704.8,2,31.3,103.5,-6.2,1.3,48.3,2252.3,-1646.6
"TTL_C16",11.4,1.5,7.5,6.9,0.1,2.8,4.2,225.8,15.6,0.9,2.4,0.6,3.3,10.1,2.8,7.2,3.4,3.8,3.8,10.9,2.9,154.6,5.8,0.4,303.4,24.2,2.7,0.6,0.4,3.1,0.2,0.8,1.6,1.6,0.4,1.3,32.4,4.5,2.8,3.6,3.2,2.4,1.3,7.2,0,75.4,0.2,1.8,82.9,0,0.1,2.9,168,-39.7
"TTL_C17_18",11.3,2.5,9.8,5.5,0.1,19.8,19,10.6,327.4,2.4,10.2,9.3,9.7,17.1,3.7,6.2,13.3,9.5,6,6.1,0.8,22.4,2.4,1.1,16.2,115.7,6.2,1.6,1.6,8.2,3.4,3.8,98.6,21.5,8.5,48.7,15.3,56.5,20,48.7,38.2,19,7.6,13.1,0,218,0.3,14.6,52,-0.3,0.2,6.3,52,-248.9
"TTL_C19",228.8,67.5,328.6,210.2,4.5,11.4,21.3,15.9,15.5,662.5,88.5,7,17.9,80.7,53.5,19.1,12.9,14.5,12.8,16.6,3.6,31.8,82.2,11.7,266.4,317.2,831.3,249.3,394.5,80.9,14.1,7.4,9.5,34.4,6.2,41.3,40.8,54,42.7,137.5,36.4,43.6,10.3,31.8,0,861.5,0,3.5,58.3,-0.1,0.9,3.3,49.7,-2705.7
