"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1873.4,16.4,19,7.5,35.7,16278.8,599.6,1294.7,646.4,3.5,52.8,8.8,1774.6,12.6,7.7,8.7,236.5,25.5,19.3,37.4,145.5,39.1,0.5,6.9,14.2,1525.9,3.6,2,6.4,5.3,4.9,1002.6,15.2,101.4,4.8,138.7,46.1,33.5,33.1,333.2,75.7,39,15,0.2,0,8170.9,0.9,29.7,1967.5,0.1,94.2,234.5,867.3,-5222
"TTL_A03",4,108.5,0.4,0.2,0.8,630.9,2.7,0.2,0.3,0.2,2,0.1,1.1,0.3,0.1,0.1,5.1,0.6,0.3,0.9,0.3,0.3,0,0.2,0.1,169.8,0.1,1.6,0.1,0.1,0.1,809.4,0.3,2.2,0.1,2.9,0.4,0.7,0.6,7.3,1.5,1.1,0.3,0,0,2293.2,0.1,0.2,7.1,-0.2,7.5,18.8,135.8,-261.5
"TTL_B05_06",34,1.5,627.5,14.5,27.3,70.9,3.5,5.4,5.8,12291.5,225.6,0.8,8.3,117,15.8,11.2,68,8.1,17.1,11.2,4.5,47.8,1624.8,1,118.9,36.4,11.9,7.7,19.8,17.8,1.1,5.9,2,10.2,1.1,9.9,3.9,10.3,8.5,21.7,6.1,5.2,3.8,0.2,0,58.5,0,21.6,127.9,-14.7,3.9,3.4,21397.8,-5347.4
"TTL_B07_08",5.3,0.1,0.9,2,47,4.1,0.3,0.6,4.3,3.5,22.6,0.3,10.9,655.9,1010.3,83.4,28.3,11,20.7,15.1,6.2,147,1.2,0.2,982.9,15.2,0.2,0.1,0.3,0.4,0.1,0.6,0.3,1.8,0.3,2.3,1.6,0.7,0.7,5.4,1.2,0.8,0.3,0,0,12.4,0,1,29.4,-0.9,5.2,1.2,321.7,-876.1
"TTL_B09",6.8,2.7,1705.1,64.9,320.9,4.9,0.2,0.6,5.3,1768.6,29.2,0.1,2.5,56.5,74.5,6.1,1.9,0.5,1.2,0.3,0.2,0.5,90.1,2.1,132.4,2.8,1.8,0.2,0.8,3.5,0,0.4,0,0.2,0.2,0.5,1.6,2,1.4,4.8,0.3,0.6,0.5,0.1,0,0.5,0,0.1,0.9,0,1.3,0,57.2,-72.9
"TTL_C10T12",1791.4,285.6,5.4,4,6.3,17044.5,47.4,14,26.8,97.3,782.1,14.4,129.7,23.8,25.5,15.9,52.3,11.4,7.2,7,3,13.8,5.6,1.7,25.7,2723.6,5.8,1.3,5.2,5.4,0.8,4671.6,1.8,5.5,1.7,9.8,8.4,5.2,5.1,290.6,66.1,173.5,33.5,0.3,0,17438.6,1.1,7.3,36,-355.8,362.5,859.5,17137.8,-7244.3
"TTL_C13T15",6.6,0.2,1.2,1,3.2,112.2,1068.2,10.2,115.6,9.6,33.3,17.7,73.9,16.5,7.5,7.8,36.9,10.2,11.7,86.6,7.1,67.9,0.6,1.5,11.7,705.7,4.2,1,1.5,4.9,2,18.2,2.1,2.8,9.6,80.7,1.6,4.1,10.6,101.7,9.9,10.9,2.8,0.7,0,3173.2,0.3,0.1,9.7,-253.2,212.6,371.1,1758.1,-3109.4
"TTL_C16",28.7,1.3,1,1.1,3.2,23.7,13.7,1177.2,164,5.1,76.1,0.3,19.2,35.8,34.9,57,200.4,11.3,17.1,9.9,38,513.3,0.3,0.1,1620,70.5,0.4,0.4,0.8,0.8,0.1,0.7,0.2,1.1,0.3,1.6,1.1,0.8,0.9,9,2.5,1.4,1.8,0,0,115.3,0.1,0.1,11.6,-27.7,14.4,37.9,2584.8,-434
"TTL_C17_18",3,0.3,37.1,4.5,4.6,143.1,24,44.6,1297.9,5.7,70.5,4.4,56.8,49.5,31.5,36.1,171,18.2,13.8,26.9,8.9,40.4,1,0.5,7.2,942.6,33.2,34.4,4.1,51.7,12.2,109.2,84.9,82.9,56.6,218.9,27.3,165.9,130.7,148.7,236.9,47.8,23.3,2.9,0,2322.6,0.1,0.9,1593,-148.2,46,92.8,1942.9,-2238.7
"TTL_C19",527.9,286.4,249.2,164.2,89.8,687.2,98.4,161.5,186.1,2043.9,3702.7,17,362.3,552.9,513.4,346.8,382.4,68.7,95.3,62.4,54.6,211.3,1676,101.3,1687.1,1623.4,1525.9,122.3,1002.5,860,116,286.3,86.8,66,61,56.6,676.3,146.3,169.2,178.1,61.2,78.4,164.4,18.6,0,5359.1,0,0.3,112.8,-757.9,147.5,373.2,14986,-6634.9
"TTL_C20",1876,57.8,137.2,98.8,65.3,1012.9,270.3,564.1,814.7,3709.4,7048.9,323.5,4281.5,878,1034.3,454.5,1117.9,383.1,169.4,121.2,64.3,322,34.1,44.8,751.4,438.2,30.7,2.5,19.7,52.7,6.8,59.2,39.5,6.4,3.7,8.7,44,58.9,10.5,56.3,10,315.3,9,4.4,0,1295,0.2,4.9,48.4,-560.4,52.2,100.2,8815.7,-10836.9
"TTL_C21",40.7,5.7,1.1,0.4,0.8,38.2,6.2,2.7,43.2,11.3,23.3,7.2,15.3,8.8,3.5,1.9,18.4,2.1,4.9,5.6,0.6,15.4,0.5,0.3,4.6,45.7,0.4,0.1,0.4,0.5,0.1,1.8,0.3,1.6,0.7,2.9,0.6,3.2,1,34.3,76.4,556.5,0.9,0,0,381.5,0.1,325.3,17.4,-60.6,40.1,43.1,274.8,-921.8
"TTL_C22",62.1,22.6,9.4,17.1,27.1,307.9,68.3,11.7,67.7,78,391.7,13,2904.6,66.8,93.9,60.2,622.6,80.9,137.7,1088.7,208.6,105.2,4.2,34.5,434.4,2162.3,481.3,0.5,68.1,264.4,0.2,55.3,0.5,1.6,0.9,2.6,52.9,1.7,93.4,57.4,3.9,81.1,2.7,6,0,1755.4,0,0.8,44.4,-15.3,2.4,10.3,7231.8,-2559.3
"TTL_C23",17.7,0.3,4.5,4.5,20.8,101.7,7.6,6.9,26.6,6.5,185.6,5.8,36.4,2277.4,82.7,114.8,849.7,105,16.7,8.5,36.4,17.7,1.2,0.4,6115.5,318.8,1.3,0.5,0.9,5,0.2,1.4,0.4,2.1,0.8,3.7,51,1.8,1.8,22.8,4.9,4.5,6.3,0.1,0,417.1,0,0.3,30.2,-24.3,2.3,14.3,1044.6,-1788.8
"TTL_C24",4.8,0.6,15.1,13.6,33.3,67.6,3.8,27.5,81.6,277.4,140.1,1.9,63,164.7,2050.3,4184.2,2668.7,1087.1,915.3,597.2,395,749.6,34.3,8.7,2937.6,160.1,3,0.7,1.8,2,0.2,1.7,0.3,0.5,0.3,0.7,1.4,0.8,0.9,10.7,1.8,2.1,2.3,0.1,0,30,0,0.1,47.3,-4.2,1,4.5,3899.5,-9187.4
"TTL_C25",21,0.4,152.3,51.6,47.6,206,8,42.3,48.9,21.4,173.1,3,94.3,175.8,960.5,758.9,2039,1471.9,764.7,714.2,450.7,392.8,2.5,10.6,1662.3,374.7,4.3,60.7,6.2,6.6,0.3,5.3,0.7,3.2,1.5,4.2,2.3,3.9,4.2,177.2,4,4.5,4.9,0.2,0,321.3,0.1,0.6,1677.3,-125.7,3.7,10.6,2351.8,-3284.8
"TTL_C26",14.7,2.7,77.8,5.1,12.7,103.1,22.7,31.9,466.4,22.4,59.4,37,170.5,68.6,95.2,118,29945.6,1096.6,306.6,696.2,216.9,219.4,57.7,2.9,244.1,2440.3,13,5.7,37.5,17.5,2.6,13.3,11.2,517.8,561.2,131.8,21,333.8,58.3,387.6,368.8,288.6,50.4,1.9,0,2782.8,0.2,21.2,10304.4,-1072.4,52.7,134,52694.6,-30912.9
"TTL_C27",5.8,0.2,31.8,1.1,7.7,9.4,1.6,2.1,6.7,5.1,15.7,0.6,16.2,18.4,267,45.4,2515,481.7,129.8,350,53.5,95.1,59,0.8,1063.3,388,64,1.2,2.5,59.2,0.1,105.5,0.6,4.5,3.9,3.6,1.1,3.4,16.6,142.3,25.1,26.2,3.3,0.9,0,526.7,0.1,0.7,1568.1,-142.2,19,24.5,5922.9,-5618.7
"TTL_C28",103.8,7.3,244.7,45.2,78.8,106.7,38.6,67.2,61.1,65.3,152.6,9.1,70.4,146.4,372.2,160.9,619.4,95.3,950.6,338.5,347.3,104.5,136.6,114.3,212.3,396.2,61.8,4.4,5.5,32.2,0.3,172.5,12.4,5.4,3.8,5.7,1.9,4.3,4.1,62.6,11.8,9.4,2.9,7.5,0,533.1,0.1,1.7,7135.6,-493.4,4.3,2.4,2996.3,-8492.2
"TTL_C29",290.6,15.1,138,21.8,6.5,45.2,19.4,104.3,50.5,27.5,69.5,6.6,39.8,81.4,205.2,60.7,368.7,53.5,138.6,4203.1,1543,58,14,4.1,107.2,950.5,52.1,3.9,110.8,242.2,4.7,124.3,4.6,12,6.6,86.6,6.2,47.9,291.4,1175.2,459.4,428.5,97.1,34.6,0,3999.4,0.1,2.1,5134.9,-406.8,24.1,17.8,436,-7321
"TTL_C30",10.1,8.9,7.5,3.3,4.3,21.7,2.3,5.7,4.4,6.4,13.5,0.5,6.1,7.3,13.6,9.5,48,7.4,14.6,161,216.1,20.4,1,0.5,15.7,113.6,28.4,1021.5,617.1,15.3,0.4,6.4,0.9,4.9,1.8,6.8,1.6,5.8,13.3,88.8,16.3,15.4,4.9,1.4,0,869.4,0,0.3,6146.1,-475.7,0.8,3.4,1389.5,-4005.2
"TTL_C31T33",19.9,2.8,42,30.7,37.7,298.2,57.8,40.9,44.9,71.5,148.9,5.2,66.6,61.1,79.2,70.7,440,47.5,104.4,69.7,31.5,304.7,2.2,3.8,130.9,518.6,41.5,47.5,102.6,96.4,5.9,27.6,5.6,25.6,10.7,22.2,9.1,62.4,56,136.4,82.2,124.5,209.7,2.9,0,1071.1,0.1,1.2,292.1,-22.8,150.5,337.7,2192.9,-1088.8
"TTL_D",72.8,20.3,19.4,23.9,64.9,1027.6,139.3,144.6,186.8,195.4,627.6,13.4,273.6,355.7,633.2,231.1,1064.9,118.9,97.6,119.9,56,117.2,666.1,188.1,121.2,994.1,32,10.3,14.5,96.4,11,422.6,15.1,159.2,52.5,188.5,92.5,103.1,58.3,618.2,586.5,301.6,195.8,23.5,0,2953.2,0.3,7.3,37.7,0,2,3.2,27.4,-60.1
"TTL_E",32,18.3,5.6,10.4,9.6,105.3,13.3,7,13.8,11,109.1,1.1,109.2,72.3,44.6,55.8,57.1,7.4,6.8,9.2,6.1,13.7,60.4,491.9,28.8,371.1,8.2,3.5,6.5,15,3.5,97.4,1.7,10.1,8.7,67.4,16.5,15.2,15,211.8,70.2,138.7,49.7,2.6,0,837.2,1.5,94.7,98.7,0,1.3,1.2,3.9,-20.7
"TTL_F",50.2,1.8,55,129.6,33.2,13.2,1.1,1.8,1.6,4.6,8.4,0.3,3.9,3.9,3.1,7.3,163.8,4.7,3.7,5.8,2.2,2.4,967.5,23.4,1337.1,1083.2,4.9,0.7,12.1,26,1.2,39.1,21.1,230.3,258.4,204.5,442.9,65,170.3,590.6,168.1,50,37.9,0.1,0,187.7,0.4,0.7,32420.4,0,18.9,14.1,15.9,-162.5
"TTL_G",1440.7,188.6,374.2,100,109.5,7707.3,507.3,723.6,860.3,3997.1,2854.4,100,2077.9,1059.2,1125.2,1025.4,8618.3,893,649.1,1413.1,635.7,563.5,640.3,98.7,3469.2,3371.6,529,237.9,357.5,353.7,39.3,1638.1,93.4,218.7,180.2,224.2,299.2,194.3,205.1,638.6,343.9,491.3,140.6,18.1,0,13631.5,0.9,92.6,6718.3,0,513.2,461.4,27598,-21761
"TTL_H49",139,12.7,32.2,15.9,52.9,492.3,34,51.3,59.7,304,195.8,6.6,135.3,87.8,100.9,89.4,604,65.6,52.3,111.4,48.7,45.8,83.2,13.6,361.1,296.5,75.6,14.7,33.7,34.9,3.3,103.9,7.3,19.4,12.1,23.9,25.7,19,49.1,124.3,46.8,35.7,15.6,6.8,0,891.3,0.2,5.5,433.8,0,805.4,1287,1784.6,-2372
"TTL_H50",36.6,4.4,41.1,8.9,20.9,209,12.8,21.4,24.7,223.1,79.2,2.5,53.4,32.3,35.9,33.6,219.6,25.4,19.7,48.6,20.9,18,25.7,4.7,107.9,98.2,109.8,306,11.4,288.9,2.1,63.7,2.7,14.1,5.6,65.7,10,7.4,28.1,53.1,15.7,15.1,4.9,0.6,0,1128.5,0,13.2,243.2,152.4,202,324,959.6,-1245.6
"TTL_H51",40.5,5.9,109,5.6,16.5,180.6,12.4,18.6,20.7,102.3,80.1,2.9,47.2,31.1,39.6,36.4,188.3,27,22.7,41.6,20.8,26.1,22.3,4.7,253.8,84.5,124.3,11.2,138.9,342.7,29.8,60.7,7.4,86.7,60.7,208.1,23.7,156.2,239.8,466.6,71.1,63.4,5.9,2.1,0,880.6,0.1,1.5,121.9,191.4,573,1175.7,1370.1,-1843.2
"TTL_H52",43.8,4.9,187,5,88.2,377.2,71.5,153.3,97.1,257.2,256.3,6.8,74.4,212.6,95,111.6,462.9,57.3,42.6,46.3,36.4,31.9,24,5,136.1,438.8,425.5,192.2,1060.9,1007.6,3.9,44.4,3.2,13.8,12,129.7,39.2,30.5,21.6,485.6,36.8,26.8,6.1,1.6,0,1803.9,0.4,8.3,211.8,1.7,29.3,279,1246.5,-1464
"TTL_H53",4.5,0.4,1,0.7,5.9,29.9,5.2,2.5,10.6,1.8,10.8,0.9,7.6,4,5.8,8.7,31.2,4.7,4,3.1,2.6,5.1,2.2,0.9,9.2,28.8,12.1,2.7,2.3,10.1,219.9,6.1,5.6,9.2,33.7,115.8,10.1,34,19,65.5,170.4,7.8,3,1,0,427.4,0.1,13.4,73.5,0.9,16.5,13.6,296.7,-719
"TTL_I",52.4,8,25.8,7.4,13.9,104.2,3.5,3.4,10,6.8,21.7,1.2,10.4,9,16.9,16.7,34.9,6,8.1,8.8,3.8,8.5,1.8,1.5,18.8,98.1,11.5,51.5,278.2,80.5,0.8,441.2,19.9,81.3,115.5,194.4,40.1,87.2,182,507.2,176.3,137.8,146.3,2,0,8465.2,1,1.2,4.3,0,4038.8,8788.9,8.5,-4073.7
"TTL_J58T60",2.4,0.6,2.1,0.8,5.4,15.7,1.4,1.4,2.5,4.8,9.5,0.4,4,2.3,2.4,2.7,32.3,2.8,2.4,3.4,3.8,1.7,51.5,1,4.7,20.7,2.1,158.1,4.2,2.9,0.6,64.8,711.9,60.9,18,214,4.6,156,93.2,376.2,133.7,10,15.5,0.3,0,1481.7,1.8,20.6,333.1,0.3,52.3,88.5,382.2,-1163.2
"TTL_J61",25.5,4.3,36,3.5,19.7,128.7,9.9,9.2,26.6,7.6,47.4,3.8,21.3,18.8,29.6,29.1,162.5,15.8,16,16.3,10.5,19.9,27.2,17,233.5,895.9,50.2,8.5,19.4,47.6,13.4,199,142.7,4228.1,559.7,613.5,153.1,124.8,195.9,190.3,84,56.1,469.1,338.5,0,11110.5,0.3,50.7,298.1,1.6,234.4,465.4,707.9,-3256.8
"TTL_J62_63",3.2,0.5,13.8,1.1,15.4,22.8,1.6,2.2,6.6,27.2,26.1,0.7,6.5,8.1,6,8.1,215.6,6.2,7.2,15.7,4.3,3.2,18.4,2.5,60.2,18.9,38.8,7.1,19.3,28.7,13.5,43.5,114.3,2231.2,2153.2,81.5,20.1,17,13.7,166,23,16.3,6.4,0.4,0,51,0.3,33.3,6665.4,2.8,8.9,10.2,2227.7,-5286.3
"TTL_K",592.8,33,228.3,48.2,90.1,775.8,75.7,96.7,135.7,350.9,413.3,12.3,142.6,149.6,216.9,180.4,874.3,113.3,153.3,148.1,95,113.1,117.3,130.4,1195.5,4492.2,122.8,91.1,214.5,133.2,40.3,210.7,150.7,640.9,321.6,8247.1,845.2,561.1,234,164.1,165.4,305.7,269.5,170.5,0,12645.5,3.9,56.6,385.3,15.2,201.3,600.8,2621.1,-3952.5
"TTL_L",18.7,4.8,14.3,1.1,12.8,28.2,10.1,10.3,15.9,22.1,25.8,1.4,14.9,19.2,23.5,22.3,89.3,8,21.6,35.6,20.7,10.9,3.1,0.3,133.4,421.3,35.8,20.3,65.1,48.3,1.4,55.3,3.8,35.8,13.4,130.1,429.7,50.1,112.3,392.1,91.5,29.2,10.8,1.7,0,11537.4,2.2,66.6,358.6,0,722.8,882.7,135,-1312.1
"TTL_M",110.9,21.4,98.6,48.3,78.7,421.7,62.2,59.5,78.1,163.6,202.3,8.1,100.9,100.4,71.8,135.4,539.2,57.6,95.3,118.5,215.6,78.2,242.8,79.1,399.4,599.6,80.2,70.5,198.6,165,14.5,163.2,83.4,429,234.3,2239.5,285.1,571.3,712.6,350.2,293.7,133.7,539.1,16.2,0,166.9,1.3,241.8,1063.6,7.1,87.9,60.7,5473.6,-8250.1
"TTL_N",64.9,13.4,48.3,22.3,137.3,295.9,9.9,28.7,15.3,41.3,138.7,5.9,33.9,45.5,27.4,35,685,70.4,47.3,112.5,56.5,23.6,13.1,38.9,86.4,667.2,128.3,91.9,43,95.4,23.6,135.2,55.7,332.7,65,463.3,75.3,136.6,868.4,847.6,192,126.3,170,46.7,0,1581.1,1.6,195.6,20.6,4.7,170.9,150.2,2775.1,-4415.8
"TTL_O",1.5,0.2,1.4,1.3,4.4,8.5,1.6,0.9,1.3,2.2,9.1,0.1,11.8,8.1,4.6,6,10.8,0.9,1,1.1,1.4,1.3,5,48.4,4.8,24,2.2,1.2,3.5,3.8,0.3,4.4,1,9.7,8.7,12.7,1.8,7.7,3.3,433.3,430.3,45.7,3.4,0.6,0,73,4.6,22521.2,818.1,0,24.5,0.2,82.3,-202.3
"TTL_P",0.4,0.1,0.3,0.1,1.2,1.2,0.3,0.2,0.4,0.6,1,0,0.5,0.4,0.4,0.4,4.3,0.3,0.4,0.6,0.3,0.4,0.9,0.1,1.6,5.5,0.5,2.3,0.7,0.6,0.1,0.7,1.3,5.1,4.4,4.9,2.9,1.2,2,135,167.6,5.6,0.9,0,0,2425.5,13.5,13381.7,56.6,-1.5,570.9,501,16.7,-646.8
"TTL_Q",0.6,0.1,0.3,0.1,0.9,2.2,0.4,0.2,0.6,0.9,1.7,0.1,0.9,0.4,0.5,0.3,11.4,0.8,0.4,0.6,0.3,0.3,0.3,0.1,1.2,2.7,0.5,0.2,0.6,0.5,0.1,0.6,0.2,2.5,2,31.3,0.3,0.5,0.6,15.6,0.6,904.5,0.3,0,0,1899.6,21.5,7207.2,13.8,0,197.3,331.4,0,-259.6
"TTL_R",0.4,0.1,0.3,0.1,0.5,1.9,0.2,0.2,0.3,0.5,1,0,0.4,0.3,0.3,0.3,4.6,0.4,0.3,0.5,0.3,0.2,0.3,0.1,0.5,2.3,0.2,0.1,0.4,0.3,0.1,13.7,0.6,2.4,1.4,4,0.4,0.9,1.3,65.2,18.3,151.1,249.1,0,0,4135.5,19,577.1,5.3,0.4,449.3,711.3,296.1,-1413.6
"TTL_S",5.5,2.6,0.4,0.1,8,6.6,0.4,0.3,3.2,1,40.4,0.2,8.8,10.9,4.9,10.1,45.7,6.5,6.5,8.1,24.6,5.3,0.6,42.9,36,41.8,42.7,0.3,1.8,18.8,1.5,11.7,2.3,56.4,32.8,16.6,19.7,21.5,4.2,89.2,18.4,20.5,11.6,84.9,0,881.7,45.8,31.2,7.3,0,245.5,461,1.2,-282.4
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31191.5,0,0,0,0,0,0,0,0
"TXS_IMP_FNL",21.5,5.1,15.1,3.5,3.2,43,13.3,7.8,19.3,180.3,86.7,3,34.2,21.2,33.5,29.2,324.1,26.5,20.7,51.8,22,14.5,33.3,2.8,77.5,93.3,23.8,5,23.5,15.1,1.7,17.1,2.8,5.7,6.2,5.2,9.9,6.3,5.9,21.1,10.1,0,0,0,0,0,0,0,0,0,606.3,0,0,-1952.3
"TXS_INT_FNL",26.1,-1.5,10.2,1.5,3.8,94,14,15.4,19.3,19.4,-5.8,2,39.3,23.7,28,21.5,155.5,22,24.6,223.7,87,14.9,-9.5,3.4,75.6,159.8,-6.8,2.9,8.1,12.2,0.1,28.5,6,26,9.1,52,1.5,10.2,30.1,79.2,32.2,32.8,16.2,3.9,0,1089.5,0.7,17.3,672.8,0,0,169.1,159.4,0
"TTL_INT_FNL",9534.8,1177.3,4827.9,996.6,1678.7,49411.8,3365.9,4976.7,5779.6,26456.8,18659.8,651.3,13416.9,7752,9528.6,8709.6,57035.1,6619.2,5160.7,11156.1,5207.8,4606,6745.5,1540.7,26433.1,30432.8,4222.9,2610.4,4533.4,4571.8,585.3,11344.9,1724.9,9768.7,4901,14339.5,3810.6,3274.1,4178.5,10538.9,4873,5321.3,3007.6,805.3,0,164403.9,125,45059.8,87404.3,-4585.2,11021.4,19475.7,198629.4,-183574.9
"VALU",23160.5,2781.9,26968.6,1594.2,2608.1,7287.8,1490.6,1472.9,2347.5,8757.6,7071.5,438.7,3309.1,2422.9,1976.5,3188.1,16326,1716.8,1980.9,2541.6,1295.1,2128.3,6780.9,1889.9,12298.5,47628.4,2756.8,1600.5,1477.8,4409.6,458.4,8944.8,1682.3,9172.9,4308.8,22101,11099.3,6346.1,2967,13917.5,11802.2,5061.4,2293.9,1361.1,31191.5,0,0,0,0,0,0,0,0,0
