"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",2292.6,10.8,1421.8,0,0,3237.1,74.5,36,0.2,0,11.4,2.8,2,0.2,0,0.1,0,0,0,0,0,1.3,0.2,0,483.8,1098.5,0,0,0.1,0,0,117.9,0.5,0.4,0.3,0,0.1,11.2,0,0,1.3,0,0,0.1,0,2818.9,0,0,5398,65.7,8.3,0.2,537.1,-201.8
"TTL_A03",0,25.5,0.1,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,4.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,358.4,0,0,0.2,1.3,0.6,0,0.4,-2.8
"TTL_B05_06",0.9,0,17.7,0.1,0.2,2.8,0.7,0.1,0,176.8,0,0,124.9,153.3,6.2,8.2,0,0,0,0,0,0.1,0.4,0,17.7,25.9,0.1,0,0,0,0,0.2,0.7,0.2,0.1,0,0.3,0.2,0,0.3,0.5,0,0,0.2,0,127.4,0,0,25.7,39.8,0.2,0.1,12026.6,-7.5
"TTL_B07_08",0,0,0.6,1.9,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0,0,19.7,0.3,0.9,0,0,0.1,1.9,0.3,0.2,9.1,0,38.6,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.4,0.2,0,0,0,0,8.5,0,0,0.4,0,0.1,0,11.5,-17.5
"TTL_B09",0,0,8.5,0,0,0,0,0,0,16.4,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0.5,0.1,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0.3,0,5.2,-22.7
"TTL_C10T12",1.1,7.1,934.6,0.1,0.1,2883,1.4,47.8,18.9,0,21.4,4.2,0.6,88.2,0,0.2,0,0.1,0.2,14.4,1.7,11.9,20.7,1.7,13.1,1023.9,0.9,6.2,6.5,11.6,0.2,214,623,45.7,26.8,17.8,46.6,30.5,11.3,193.3,88.1,76.6,13.1,249.7,0,7118.6,0,0,3.7,74.1,30.9,0.8,376.5,-586.4
"TTL_C13T15",0.1,0,10.7,0.4,0,0.3,361.4,4,0.1,0,0,0,0.2,1.1,0.1,2,0,0,0.3,0.1,0,3.4,0.2,0.3,1.5,3.9,2.9,0,0,0.1,0,0,0.3,0.3,0.2,0.1,0.2,0.7,0,0.2,0.3,0.4,0,0.2,0,1460.6,0,0,3.7,6.2,18.1,0.6,679.8,-201.7
"TTL_C16",0,0,12.3,0.5,0,0.1,1,76.4,1.1,0,0,0,1.2,3.8,0.3,4,0,0.2,1.2,0.5,0,25.7,8.1,0.2,409,2.8,0,0,0.1,0.1,0,0,0.7,0.5,0.4,0.1,7.8,2.5,0.3,14.2,2.3,0,0.1,0.6,0,135.9,0,0,224.7,5.4,1.3,0,43.4,-61.7
"TTL_C17_18",0,0,2.1,0,0,0.5,0.6,1.6,0.6,0,0,0,0.1,5.4,0.1,3.7,0,0.1,0.3,0.2,0,0.8,3.2,0.4,1.7,4.2,0.7,0,0.2,0.7,0.8,0,54.1,10,8.6,1.1,2.4,6.1,0.4,5.1,2.4,1.2,0.4,2.6,0,116.3,0,0,5.2,0.4,3.3,0,0.4,-134.5
"TTL_C19",0,0,10.3,0.1,0,0.1,1.2,0.5,0.1,2.7,0,0,0,0.4,0.2,0.5,0,0,0,0,0,0.3,2.4,0.5,0.7,0.7,2.7,0,0.4,0,0,0,1.5,11.9,7.4,0.1,1.3,0.3,0,0.1,1.4,0.1,0,0.1,0,35.7,0,0,0.9,1,10.3,0.1,363.4,-61.6
