"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5443.5,1,20.5,1.5,3.1,16819,169.1,66.4,29.3,17.4,61.2,21.8,109.8,9.3,17.4,22.9,92.9,12.1,27.2,9.5,11.7,126.7,63.5,12.6,235.7,432.9,55.8,10.8,20.5,51,2.6,489.4,25.8,13.3,29.8,26.9,66.7,100.1,306.5,143,16.7,327.8,25,46.1,0,6370.2,1.2,285.2,364.1,230,111.9,213.9,13537,-9581.5
"TTL_A03",12,14.4,0.3,0,0.1,295.3,0.2,0,0.2,1.3,5,1,0.1,0,0.2,0.1,5.3,0,0.2,0.1,0.1,0.7,0.6,1.8,0.8,7.8,0.7,1,0.1,0.4,0.1,39.4,2.1,0.1,1.4,0.6,0.3,2.2,1.2,3.9,0.2,25.4,0.9,1,0,210.8,0,0.3,2.1,5.9,7.1,2.8,245,-247.3
"TTL_B05_06",408.9,0.2,405,77.9,242.1,307.2,31,4.9,91.5,16170.5,1488.3,21,42.8,61.2,1280.4,83.4,14.2,4.4,10.8,9.2,74.3,28.2,2401.8,29.1,198.5,300.3,31.9,7.2,15.7,50.5,3.5,206.4,9.2,11.5,12.1,36.9,58.6,327.8,48.9,56.6,112.9,218.2,91.4,105.9,0,4086.1,0,0.6,157.7,102.7,5.2,0,6755.3,-25750.4
"TTL_B07_08",46.4,0.7,39.8,63.9,68.1,8.3,8.6,0.2,2.8,1.8,615.1,2,9.9,387.5,385.2,16.7,4.1,0.8,30.6,1.1,21.4,5.6,0.6,4.1,662.2,36.2,1.5,0.3,0.4,0.4,0.1,0.3,1.2,0.2,3,0.5,17.1,63.2,8.8,63.5,1.5,0.8,0.2,0.3,0,397.2,0,0.3,7.1,16.2,1.8,0,42.9,-1890.3
"TTL_B09",0.4,0,822.3,156.6,373.8,0.6,4.7,0,0.2,7.6,1.5,0.1,0.1,0.1,222,0.3,2.7,0.1,0.4,0.1,4.6,2.8,0.9,0.1,575.5,3.5,1.1,0.2,0.3,0.5,0.1,0.2,1,0.1,2.2,0.5,9.3,38.5,5.3,0.5,0.2,0.3,0.1,0.2,0,3.7,0,0.2,555.8,0.1,0.7,0,1293.1,-1289.1
"TTL_C10T12",3887.4,19.1,4.3,10.4,11,16873.4,87.1,4.3,67,316.4,717,328.4,61.5,69.7,37.1,49.4,149.3,23.8,56.4,16.2,16.3,365.1,128.6,573.4,245.3,1745,49.4,17,18.2,34.3,18.3,4850.3,67.2,16.6,111.3,128.1,78.5,452.3,154.4,224.7,102.7,1305.2,725.4,110.2,0,32585.3,0,19.9,241.7,1187.8,444.5,329.7,32999.9,-18376
"TTL_C13T15",9,4.4,0.5,0.1,0.3,15.3,303,3.5,28,5.5,30.3,1.6,32,4.4,2.4,8.9,18.1,32,22.7,13.9,2.5,48.9,1.6,5.8,46,39.6,9.1,1.9,1.9,2.6,7.2,9,3.3,28.2,2.6,3.8,4.7,37.3,65.2,141.2,2.7,174.2,6.5,27.3,0,4001.8,0,0.4,73.4,46.6,201.6,21.9,1009.5,-2403.5
"TTL_C16",53.7,0,1.8,0.8,1.3,115.6,21.5,659,26.6,5.7,52,21.2,58.6,28.7,32.8,104.6,20.5,9.5,57.8,23,42.5,310.3,6.9,16.4,1623.1,181.2,18,2.7,3.7,67.4,1.4,32.1,15.6,14.3,11.5,15.9,445.8,50.6,263.7,22.9,19,24.5,6.7,70.7,0,604.2,0,6.9,181.2,25.4,21.2,6.6,494.6,-2353.4
"TTL_C17_18",32.1,6.6,5.8,5.8,11.2,1082.7,15.5,13,3204.1,9.6,140,82.9,119.3,38.3,59.1,78.5,68.5,21.9,158.3,53.4,16.4,118.3,27,41.6,151.8,627.1,52.5,23.8,14.8,51.2,7.1,90.8,878,76,146.5,149.6,79.1,366.6,447.7,186.6,169.6,463.6,52.5,54.4,0,1975.3,6.8,33.4,436.5,69,59.7,42.2,4253,-3804.4
"TTL_C19",397.4,24.8,13.3,10.8,18.6,89.7,15.5,8.8,34.7,2226.9,2537.2,18.3,79.8,38.6,57.4,66,60.8,109.9,38.8,12,20.5,114.4,331.1,60,556.7,625.9,1454.3,548.7,1906.1,181.4,23,38.9,12.2,4.9,64.2,146.5,95.8,233.6,348.7,114.4,85.7,75.2,92.6,76.2,0,6211,0,3.2,30.6,162.3,159.9,107.8,14776.6,-6514.3
