"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",391.2,7.7,4.6,0.6,2.3,3212.1,19.9,329.3,183.4,2.2,47.4,0.5,1.5,1.4,1.7,1.9,0.9,1.1,1.7,0.5,2,2.8,6,2.1,124.5,53.8,3.1,4,2.2,6.9,0.7,98.1,8,2.8,7.6,5.9,7.8,21.9,32.8,79.6,11.7,50.3,7.4,4.9,0,2131.2,0.6,1.7,62.7,298.3,97.7,19.1,226.2,-1733.2
"TTL_A03",4.4,1335.2,2.6,0.4,0.6,3699.9,0.4,1.2,0.3,0.1,1,0.9,0.3,0.8,0.4,0.9,0.4,0.5,0.7,0.2,0.5,1.1,2.7,0.6,1.8,8.7,0.4,9.6,0.4,2.8,0.1,96.9,3.9,0.7,3.4,2.6,0.8,4.2,3.1,6.7,5.3,42.9,1.5,0.3,0,191.8,0,31.8,250.9,554.1,5.9,5.1,6809.6,-127.9
"TTL_B05_06",67.3,88.4,476.8,64.6,296.4,69.4,1.4,9.9,6.5,4144.1,391.8,76.3,7.5,189.2,247.7,19.4,9.2,6.4,191.6,8.1,383.3,83.8,304.7,55.9,351.8,302.7,313.7,1038.3,408.4,212.4,14.5,37.1,32.7,13.9,34.2,11.4,41.2,90.5,150.5,65,25.7,89.4,40.4,16,0,976.4,0.1,0.6,2795.7,1333.3,4.6,35.9,70233.3,-2175.9
"TTL_B07_08",9.9,6.1,59.5,34.3,182.1,20.2,0.5,12,3.9,1.8,137,77.7,4.2,420.1,59.4,11.2,0.9,1,8.4,0.7,108.7,5.3,0.6,5.2,254.5,10.7,17.5,11.6,1,6.6,0.7,1.2,1.1,0.3,1.3,1.1,6.4,4.5,7.5,17,0.9,7.6,9.5,0.7,0,70.5,0,0.8,629.2,121.4,1.7,0.4,437.4,-925
"TTL_B09",2.6,47.4,5760.2,164.9,3112.9,8.2,0.1,0.3,4.9,1633.8,31.1,0.5,0.8,77.4,229.6,5.8,0.1,0.2,2.2,0,0.3,2.4,113.4,5.9,654.8,6.6,16.1,8.6,2.8,7,0.1,0.5,0.1,0,0.1,0.1,14.9,19.9,4.5,10.7,0.8,4.1,1,0.5,0,0.6,0,0.1,1.2,0.3,0.6,0,1072.2,-829.9
"TTL_C10T12",936.1,2274.3,21,4.3,10.3,7684.7,14.5,12,3.7,2.3,20.8,7.4,6.4,7.7,6,10.4,4.7,5.5,7.3,2.4,8.2,12.3,25.3,5.2,31.7,65.1,4.2,74.7,1.9,24.2,1,1564.3,33.5,4.6,29.8,21.6,8.7,35.9,31.7,92.7,50.2,395.6,17,2,0,12818.8,0.7,1.6,19.9,1723.2,347.8,170.7,4088.5,-4628.3
"TTL_C13T15",7.3,44.5,30.2,4.6,14.2,33.8,171.2,7.9,4.5,6.5,18,1.6,10.4,10.9,23,31.2,5,7.8,15.6,5.6,14.3,104.6,15.6,49.6,219.2,88.4,4.6,3.5,7.1,11.7,0.6,26.9,41.9,4.1,16.5,2.7,17.9,57.5,40.3,43.2,21,212.3,150.7,52.5,0,2716.7,0,1.7,68.1,493.5,173.4,8.5,66.2,-3977.5
"TTL_C16",3.5,8.4,3.5,0.6,7.1,10.2,0.6,758.8,22.6,0.9,24.4,0.3,1.7,6.8,2.3,11.5,1.2,2.2,4.3,14,6.1,43,13.8,27.8,2622.5,100.1,3.5,5,2.5,5.9,0.6,7.2,6,2.5,4.6,3.2,583.3,18.2,12.8,5.6,6.9,17.3,45.7,13.5,0,65.7,0.4,3.6,188.4,172.9,20.2,5.8,274.6,-1404.5
"TTL_C17_18",15.7,27.4,7.3,2.7,11.4,89.5,2.1,15.2,415.9,14.7,21.5,4.7,10.5,11.9,8.1,5.1,3.5,9.9,5.1,1.8,9.9,9.6,6.7,28.8,84.7,538.6,11.2,16.1,7.7,14.3,120.8,33.9,193.5,6.1,40.2,37.9,42.8,303.4,119.9,82.6,39.9,53.8,60.4,39.9,0,316.9,1.4,4.6,52.4,126.1,56.2,19.3,724.9,-974.4
"TTL_C19",125.6,145.9,134.3,79.1,311.5,94.6,4.6,16.1,7.1,186.7,158.8,38,9.2,187.1,201.2,18.9,4.4,7.2,18.6,4.1,20,29,60.8,76.2,440.6,344.3,440.3,1862.7,696.8,169.9,16,49.7,29.4,20.3,27.6,10.9,43.4,76.5,77.7,113.5,45.4,155.1,51.7,24.8,0,1917.7,20.9,18.9,168.8,652.9,141.4,44.3,2226.5,-3265.5
