"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",5263.9,29.4,0.4,1.5,0.3,13747.3,228.5,777.8,389.1,0.6,1,5.3,15.9,2.3,0.4,2,0.9,0.6,7.1,1,0.5,3.2,2.9,1.3,103.5,162.7,15.4,3.2,3.9,9.4,0.4,179.6,3.8,1,3.7,24.1,22.7,56.7,130,347.6,7.4,96.6,115,15.9,0,1296.3,5.5,33.6,114.9,-22.7,7.8,56.4,4100.2,-434.3
"TTL_A03",164.9,213.1,0.8,0.4,0.4,267.5,0.3,1.9,4.1,0.9,1,2.1,0.7,0.5,0.3,1.9,0,1.2,0.5,0.2,0.1,1.2,0.8,0.8,4,83.4,2.9,0.2,2.4,3,0.5,64.7,7,1.2,2.6,63.6,30.9,8.7,10,11.4,1.6,12.6,1.7,1.9,0,638.6,1.7,88.5,5,-1.6,0.8,9.7,1021.5,-10.8
"TTL_B05_06",24.1,8.3,177.5,7.6,8.5,101.8,6.7,5.7,12.2,1740.9,177.4,2.9,4.9,29,63.8,18.9,0.1,0.6,3,1.2,0.2,2.6,444.3,11.1,175.3,696.4,8.5,1.6,7.1,4.7,0.2,10,2,2.3,0.7,4.4,33,33.3,11.2,37.5,25.9,53,1.1,2.1,0,339.7,0.4,7,274.1,-0.7,2,0.9,475,-2569.9
"TTL_B07_08",190.3,1,11.7,15.7,2.7,127.6,28.7,3.9,4.4,4.6,45.9,1.7,11.4,105.4,59.3,6.6,13,12.5,2.9,0.6,0.6,21.9,0.6,18.5,337.6,21,18.6,0.6,0.2,1.3,0.1,15.2,1,0.3,0.4,13.3,8.8,7.9,7.9,5.4,3.9,4.1,0.6,2.4,0,385.5,0.2,7.8,44.9,0.3,2.7,0.4,447.6,-604.9
"TTL_B09",1.8,0.3,93,9.5,9.7,19.7,4.5,1,0.8,15.7,3.5,0.8,1.4,1.4,21.9,14,0.2,0.2,2.5,1.5,0.1,1.5,2.2,0.6,12.4,53.7,0.8,0,0.6,0.5,0.1,1.1,0.8,0.3,0.5,2.1,4.8,12.5,7.4,13.2,6.7,2.7,0.6,0.8,0,10.7,0.4,1.4,40.5,0,0.4,0.2,11,-16.4
"TTL_C10T12",591.5,338.8,21.3,8.2,3.6,2720.7,21.7,51.3,112.5,18.4,61.7,55.8,67.4,23.8,25.3,26.8,18.8,31.8,9.7,10.5,9.8,9.6,8.5,32.9,83.1,586.9,9.4,4.3,19.5,27.8,6.6,992.7,85.8,4.7,13.9,27.6,142.4,98.5,84.4,57.7,18.6,246,42.3,10.8,0,13151.9,1.2,78.8,124.6,-32.3,24.2,162.9,16723.4,-2259.7
"TTL_C13T15",29,7.3,1.5,0.9,1,11.2,119.2,1.6,7.9,0.7,0.8,5.7,5.5,1.2,2.1,2.2,17.7,1.6,1.1,1,0.8,16.2,2,0.9,128,162.2,4.4,0.2,2.7,1.9,0.1,3.3,3.3,0.5,0.5,1.3,87.6,10,11,33.1,13.9,17.5,2.8,19,0,2179.9,0.9,1.1,7.9,-0.2,11.7,14.9,170.9,-1688.3
"TTL_C16",224.3,1.2,1.8,1,0.1,44.1,0.5,839.1,162.9,1.8,1.4,0.9,13.5,39.4,4.1,15.4,0.7,3.7,6.9,1.6,6.8,90,1.8,0.3,1484.8,461.3,2.3,0.5,1.7,5.3,0.1,1.7,2.1,0.6,0.4,1,103,35.4,15,9.4,17.6,11.5,3.1,18.5,0,150.3,0.1,1.7,56,-6.2,1.4,9.3,942.4,-209.9
"TTL_C17_18",257.1,31.7,1.1,9,0.4,194.7,15.4,80.5,269.2,7.7,76.7,34.4,114.6,37.6,6.7,14.1,37.8,13.7,3.7,5.1,10.6,18.8,3.3,8.5,171.3,166.1,10.1,1.9,19.4,14.9,7.5,40.1,122.4,7.3,13.1,38.2,178.2,403,63.1,58.5,58.4,71.8,19.2,19.2,0,447,11.4,4,553.2,-2.2,3.2,27.6,754.1,-331.3
"TTL_C19",242.6,117.8,75.5,26.4,5.4,101.9,7.6,15.9,17,71.8,12.2,3,11.6,30.1,40,26.3,5.4,3.7,7,3.9,8.4,28.1,44.7,24.7,640.9,166.7,528.5,65.8,648.9,74.6,0.6,13.9,6.3,4.6,2.9,3.9,60.1,33.3,60,61.4,21.1,46.3,19.7,15.6,0,1569.8,0.8,7.4,59.1,0.3,9.4,46,395.1,-1489
