"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",6656.4,53.3,17,1.7,0.9,3932.2,1110.9,203.6,96.9,8.9,54.3,18.6,36.9,7.6,4.2,3.7,4.1,2.4,3.9,4,1.4,41.3,39.1,5.3,68.3,309.8,21.5,10.8,7.3,9.2,1.1,433.5,9.5,11.2,3.3,13.8,22.2,22.2,19.6,141.4,48.7,102.7,31.3,38.1,0,13473,5.3,37.4,556.5,387.8,2,1.5,240.4,-829
"TTL_A03",16.4,192.3,1,0.1,0.1,82.8,2.8,0.2,0.4,0.6,0.8,0.2,0.2,0.3,0.2,0.1,0.3,0.1,0.2,0.2,0.1,0.9,0.9,0.2,1.1,8.2,0.9,1.1,0.5,0.4,0,43.7,0.6,0.5,0.2,0.5,0.5,0.9,0.5,2.4,1.6,4.1,0.9,1.2,0,1383.7,0.9,0.8,10.7,18,0.1,0.1,13.7,-2.3
"TTL_B05_06",6.9,1.5,59.5,1.4,1.5,3.1,7.5,0.3,2.4,1253.3,14.7,0.3,0.8,10.2,11.5,0.7,0.4,0.5,0.8,0.6,0.2,1,504.5,0.7,5,7.8,6.5,1.3,1.3,0.9,0.3,1.3,0.4,0.7,0.2,0.9,1.8,1.5,0.8,4.3,2.6,2.7,0.4,1,0,20.1,0,0.1,54,10.3,0.1,0,61.9,-28.7
"TTL_B07_08",4.4,1,3.5,7.4,0.6,1.2,1.6,0.1,1.4,2.2,14.8,0.4,0.5,59,81.9,1.6,0.3,0.6,0.6,0.2,0.1,1.5,7.2,0.7,43.6,1.4,0.7,0,0,0.5,0,0.3,0.1,0.1,0,0.1,0.6,0.3,0.2,1.8,0.1,0.3,0.1,0.4,0,24.6,0,0,5,1.4,0,0,14.4,-61.6
"TTL_B09",0.7,3.8,51.6,2,1.6,0.1,0.1,0,0.2,23.5,0.4,0,0,2.3,0.2,0,0,0,0,0,0,0,3.2,0.1,3,0.2,0.2,0,0,0.1,0,0.1,0,0,0,0.1,0.4,0.1,0.1,0.6,0,0.1,0,0,0,0.7,0,0,40.6,0,0,0,0.7,-2.7
"TTL_C10T12",869.3,78.4,3.6,0.4,0.3,591.3,85.6,0.7,6.5,3.6,33,8.6,4.8,2.7,1.9,1.1,1.9,1.1,1.5,1.2,0.4,3.6,6.7,1.8,5.6,86.3,6.2,8,5.1,3.8,0.4,617,4.2,3.2,1.5,5.4,3.3,9.2,6.4,58.8,35.1,93.1,16.3,19.1,0,6056.2,2.1,2.7,20,39.3,8.6,3.8,666.6,-770.6
"TTL_C13T15",30.2,10.2,7.7,0.7,0.4,13.5,2007.4,1.9,7.9,3.7,10,2.1,10.8,4.9,3.2,3.6,4.8,3.3,4.5,10.4,1.7,26.8,10,3,21.4,51.4,11.2,3.4,3.8,3.6,1.4,9.5,4.9,6.1,1.1,5.8,3.6,8,7.6,44.1,7.7,31.9,8.1,23.1,0,2980.6,1.7,2,51.2,70.7,4.9,2.6,5558.3,-216.5
"TTL_C16",18.9,3.8,2.8,0.6,0.3,4.7,9,87.6,19,0.6,3.3,0.6,2.7,8.5,2.4,3.9,2,2.1,2.5,5.5,3.5,135.7,6.6,0.8,178.4,18.5,3.7,0.6,0.3,2.4,0.2,1.7,1.9,1.2,0.3,0.7,10.6,3.6,2.4,5.2,3.2,2,2,11.5,0,110.5,0.2,0.1,25.5,4.4,0.4,0.2,7,-15.6
"TTL_C17_18",17.5,4.9,3,0.9,0.3,60.7,79.3,4.3,337.6,3.2,26.8,8.8,12.8,20.6,3.2,4.6,10,7.6,5.4,4.3,1,18,10.1,3.6,13.1,112.9,9.7,2.9,2.8,7.6,4.3,11.6,147.2,19,10.3,42.3,8.7,44.5,23.3,57.5,38.6,23.5,10.2,21.8,0,379.9,0.4,1.1,20.1,9.3,0.9,0.3,7.4,-186.6
"TTL_C19",138.8,58.5,36.9,7.6,2.8,13.2,54.7,2.4,8.9,176,65.2,2.8,12.3,24.2,21.7,4.6,4.1,4.3,4.4,4.3,1.7,11.5,194.5,11.5,60.5,109.6,292.2,72,94.8,23.1,5.9,9.7,4.7,12.6,2.5,13.3,9.6,15.3,16.1,65.7,17.1,22.2,5.6,18.7,0,931.1,0.1,0.7,18.1,11.8,3.4,1.5,11.3,-87.3
