"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",436,0.2,0.3,1.7,0,2008.3,103,67.3,0.2,0.2,2.4,4.6,9.4,0.1,0,0,0,0,0,0,0,18.7,0,0,1.5,0.5,0.1,0,0,0,0,198,0,0,0,0.1,0,0.1,0,9.6,0.3,1.5,0.3,15.1,0,2753.8,0,1.3,99.7,3.4,5,9.3,272.5,-387.8
"TTL_A03",0.4,1.3,0.2,0.5,0,451.2,2,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0,0,0.1,0,0,0.2,0.1,0,0.7,0.3,0.1,0,0.2,0.1,0,23.8,0.1,0.3,0,0.1,0,0.2,0.2,2,0.2,0.7,0.1,0.7,0,371.6,0,0.1,2.1,0.5,0.3,1,3.2,-3.8
"TTL_B05_06",5.4,2.7,14.4,35.5,15.1,63.7,2.4,1.6,2.2,3005,4,0.1,3.8,220.5,1.5,1.8,0,0,0.2,0,0,0.5,113.5,2.6,3.8,2.3,19.7,0.2,1.5,1.3,0.2,2.4,0.4,0.5,0,0.3,0.6,0.7,0.6,3.8,0.5,0.4,0.2,1.3,0,19.5,0,0,54.1,2.2,0.4,0.4,115.5,-1089
"TTL_B07_08",6.4,0.2,44.8,1131.2,1.1,12.2,2.1,0.2,1.5,0.5,54.2,5.1,2.8,288.9,2455.7,14.2,1.2,8.9,5.8,0.9,0.3,535.6,10.3,3.5,137.2,0.9,0.2,0,0,0.1,0,1.8,0.3,1.2,0.1,2.7,6.4,0.5,0.4,6,0.5,20.1,0.2,2,0,15.9,0,2.2,225,14.5,0.1,0.1,5772.3,-123.7
"TTL_B09",0.4,0,215.1,180.2,5.2,0.3,0.1,0,0.1,1.8,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,5.7,0.4,0.1,0,0.2,0.2,0,0.1,0.1,0.3,0,0.2,0,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0,0.4,0,0,230.1,0,0,0.1,1,-3.6
"TTL_C10T12",150,3.1,4.4,12.9,0.5,912.1,24.2,1.1,15.9,0.6,12.8,4.8,11.3,1.1,0.1,1.1,0.1,0.1,1.6,0.2,0.1,10.2,1.7,0.9,13.1,6.9,1.7,0.1,3,0.9,0,891.1,1.4,3.9,0.3,2.9,1.1,2.5,3.5,58.1,4.6,6.1,8.5,46.9,0,6727.5,0,69.3,49.8,4.3,22.6,44.7,1383.6,-585.3
"TTL_C13T15",8.8,7.1,1.5,5.6,0.2,27.7,1141.6,6.9,10,0.4,5.5,5.2,13.8,1.1,0,0.6,0.1,0,0.5,0.2,0.1,11.5,0.7,0.2,17.7,10.2,0.5,0,1.7,0.1,0,33.3,1.3,0.4,0.1,7.6,0.2,27.3,24.2,22.3,2.7,25,4.9,36.3,0,2126.6,0,0,23.1,2.3,9.9,35.9,716.4,-351.8
"TTL_C16",21.8,0.6,0.5,12.2,0,9.6,2.4,206.6,6.1,0,2.6,0,3.1,2.3,0,1.5,0,0,0,2.3,1.3,30.6,0.4,0.2,426.1,2.7,0.1,0,0,0,0,1.9,0,0,0,0.8,27.8,2.3,1.1,9.3,9,2.6,0.6,14.6,0,9.8,0,0,2.2,0.7,1,1.9,76.2,-34.9
"TTL_C17_18",9.5,0.7,0.9,4.4,0.2,145.2,18.3,4.1,429.6,0.3,12.7,6.1,10.6,5.2,0,1.7,1.3,0.3,1.5,1.4,0.6,5.2,2,1.9,8.4,121,3.1,0,0.3,3.7,0.3,29.5,99.9,25.7,1.3,31.2,14.8,81,42.5,63.1,72.9,10.4,10.7,24.4,0,452,0,0.5,16.7,1.1,2.6,4.4,25.8,-229.4
"TTL_C19",33.9,132.3,34.4,280.6,4.8,307.7,35.1,10.8,20.7,59.5,24.1,2.4,18.9,24.5,1.3,6.2,0.4,0.3,3.4,1.5,0.7,11.1,106.4,7.9,99.5,74.9,918.3,8.3,70.6,57.9,9.5,58.1,4.1,4.4,0.3,7.8,1.3,27.4,21.3,143.1,22.7,15.5,6.1,16.2,0,964.9,0,0,29.9,4.1,8.9,22.5,696.6,-425.4
