"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",3544.4,417.6,5.8,15.9,0.8,12411.4,89.5,187.6,46.4,20.9,166.9,79.5,109,44.1,102.5,37.5,111.6,27.1,5.8,103.8,23.3,69.4,34.8,12,366.1,1528.5,49.6,15,15.4,21.4,2.1,792.5,4.1,27.6,10.6,136.3,183.6,33,69.2,58.6,65.1,54,37.8,25.5,0,5595.8,5.4,221.8,2223.2,-16,35.4,33.2,1616.5,-825.7
"TTL_A03",46.5,184.2,0.8,2.8,0.1,745.1,24.4,14.1,12.5,3,95.8,1.4,33.5,19.4,6.6,3.4,24.8,3.8,1.2,6.9,1.3,98.5,2.9,2.6,22.8,352.7,2.7,1.4,1.4,2.2,0.5,95.7,0.6,2.5,1.3,16.6,4.6,13.1,10.6,3.6,3.9,6.8,10.3,10.1,0,2919.1,2.4,10.3,26.7,0.7,2.2,3,171.5,-27.5
"TTL_B05_06",2.3,0.8,1.6,5.4,2.7,9.3,2.5,0.5,0.9,5058.6,4.8,1.2,1.6,113.9,170.9,1,1.6,0.8,0.6,0.6,0.3,1,413.9,0.6,282.6,932.3,15.1,3.6,5.3,1.1,0.1,1.4,0.2,0.9,0.3,3.4,4.1,0.7,2.4,0.8,1.4,0.7,3.2,3.1,0,26.7,0,0.3,9.3,-0.2,2,0.1,292.5,-6519.5
"TTL_B07_08",1.4,0.4,0.4,1.4,1.5,79.6,0.7,0.2,0.4,1,3.1,0.1,1.2,72.9,1033.6,3.4,13.6,3.8,0.3,0.7,0.5,24.2,2.6,0.5,355.4,186.6,1.6,0.1,0.2,0.4,0,1.1,0.2,0.5,0.2,1.5,22,0.8,1.2,0.5,1,0.5,0.4,0.6,0,33,0.2,0.7,15,1.9,0.6,0.2,488,-450
"TTL_B09",2.8,0.8,11,16.7,2.2,1.8,0.1,0.1,0.6,23.3,2.2,0,0.2,3.3,4.8,0.4,0.2,0.1,0.1,0,0,0,14.6,0.5,21.8,1.1,1.1,0.2,0.1,0.5,0,0.2,0,0,0,0.2,0.8,0.1,0.3,0.6,0.1,0,0.1,0.1,0,0.7,0,0.1,0.8,0,0.2,0,59.9,-15.3
"TTL_C10T12",1663.4,142.7,2,9.6,0.4,6762.9,166.1,91.9,56.7,68,364.7,55.3,129.5,86.6,55.7,63,653.9,335.6,74.9,536.6,81.9,128.7,11.9,7.7,238.7,3107.3,84.6,23.2,59,46.9,11,3239.2,3.8,15.5,69.2,180.6,114.1,101.3,245.8,158.7,57,184.2,210.3,43.2,0,27575.7,6.9,403.5,553.3,-4.2,140.9,107.6,3513.2,-3679.3
"TTL_C13T15",23.8,48.3,0.3,0.8,0.2,108.5,1314.9,20.7,45.4,3.6,27.2,2.6,26.8,15.8,5.3,5,55.5,14.4,3,11.9,6.8,114.7,4,1.4,50.8,186.2,16.6,1.2,7.8,37.3,0.8,33.9,39,12.4,3.3,12.3,4.7,4.3,20.3,4.7,18.7,19.1,92.5,60.4,0,2992.8,2.2,16.3,62.9,-0.3,68.3,65.8,1206.6,-791.9
"TTL_C16",5.4,5,2.6,2.2,0.1,11.9,3.8,34.2,10.1,1.6,3.5,4.1,1.5,16,1.6,3,6.5,3,1.6,0.9,1.7,146.9,0.7,0.2,382.8,11,11.4,0.6,0.4,1.2,0.1,1.7,0.4,1.4,0.2,1.6,34.5,0.5,1.6,3.4,0.5,0.4,1,13.6,0,115.9,0.3,0.7,12.4,-5.7,5.9,4.6,510,-112.9
"TTL_C17_18",8.4,3.6,4.3,2.2,0.1,139.2,22.9,8.6,371.8,4.7,60.6,5.1,8.5,15.9,6.3,12.7,41.5,19.2,7.6,5.6,3.5,16.6,15.4,5.8,29.9,127.6,10.3,0.9,4.5,10.8,0.9,12.5,159.4,55,31.2,115.2,14.9,24.4,49.4,19,67.6,8,31.3,29.3,0,232,0.7,109.3,98.6,-1.7,16.7,10.2,339.1,-471.4
"TTL_C19",169.1,70.4,29,106.9,2.6,282.5,167.3,41.8,45.8,566.5,252.3,120.9,157,261.1,441.4,96.9,107.9,64.3,65,45.3,20,42.2,436.5,38.9,543,808.4,1562,386.2,562.7,93.6,6.7,42.7,13,38.1,19.7,252.6,124.2,36.4,68.3,62.1,77.2,30.3,15.6,127.1,0,2279.9,0.4,6.1,45.1,0.7,62.8,38.5,1249.1,-3393.3
"TTL_C20",849.6,46.7,23.6,39,2.2,684.1,265.3,115.4,121.2,43.2,1325.4,23.4,222.4,132,99.5,68.3,193.6,40.8,19.1,66.8,63.9,105.6,64.8,41,154.9,690.3,87.3,9.7,13.3,38.4,4,60.9,19.4,37.3,15.6,195.2,60.2,20.7,71.2,19.2,67.7,42.7,35.9,221.9,0,1713.4,1.9,48.1,210.8,-0.8,20.8,12.4,723.2,-3141
"TTL_C21",121.9,1.3,0.2,0.7,0.1,26,8.3,1.9,2.5,1.1,31.5,50.6,8.5,2.6,2.4,1.3,11.5,0.9,0.4,1.8,0.9,2.9,2.1,2,20.1,118.6,1.1,0.3,0.9,0.8,2.8,2.4,29.7,4.3,3.4,6.2,2.7,1.6,3.5,2.2,3,125.8,2.6,5.5,0,582.6,1,5.3,12.8,0,14,8.1,50,-408.5
"TTL_C22",8.4,1.2,2.8,5.5,0.4,41.9,93.7,5.5,15.2,2.5,145.1,4.3,115.5,18.9,8.6,7,51.4,23.3,10.3,56.9,18.2,10.9,2.4,2.6,76.9,122,70.3,0.7,10.2,2.7,0.5,6.3,4.2,6.2,1.9,15,6.5,2.6,8.7,20.5,2.6,2.6,3,8.3,0,606.6,0.1,28.2,134.2,-3.8,1.1,0.7,556.8,-500.1
"TTL_C23",42.3,0.8,5.1,7.9,0.8,186.3,11.1,13.5,18.1,16,28.5,5.1,7.5,215.4,22.6,17,96.7,34.2,9.7,7.6,35,12.2,3.4,5.4,1273.1,141.8,13.6,1.1,2,2.8,0.4,17.3,0.5,5.3,0.7,17.4,126.6,18.1,23.5,14.4,7.6,4.3,3.9,5.7,0,122.6,0.3,60.8,170.3,-2.8,0.7,0.7,401.8,-232.6
"TTL_C24",4.5,2,0.5,22.7,1.1,27.7,8.4,10.3,17.8,5.3,10.2,1.1,11.8,15.3,772.6,375.5,157.3,189.9,172.4,107.3,186.1,76.7,11.7,5.7,1501,183.3,113.5,3.7,3,37.2,0.6,11.1,0.3,15.6,1.3,12.4,54.9,5.9,21.7,53.3,9.3,3.8,4.9,17.4,0,54.3,0.1,1,185.4,-6.7,0.5,0.3,2071.6,-1922.1
