"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",6070.5,5.6,11.5,11.9,0,14625.9,73,969.7,251.4,9.2,102.3,24.7,170.1,21.7,10.3,23.5,3.2,13.8,34.1,24.7,6.8,154.5,179.3,8.2,90.8,1149.3,85.8,0.9,2.3,8.4,0.8,131.4,3.1,3.7,5.8,9.1,35.4,23.1,385.5,45,14.9,69.4,7.1,69,0,12785.7,2.2,316.6,242,816.4,54.6,96.6,3373,-4285.9
"TTL_A03",3.7,15.9,0.1,0.4,0,799.7,0.4,0.3,0.2,0.7,0.8,0,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.1,0.5,0.3,0.1,0.8,69.5,4.7,0,0,0.1,0,51,0,0.1,0.1,0.1,0.1,1.7,0.9,0.2,0.6,3.1,0.2,1.1,0,94.2,0.1,5.3,0.6,20.5,3.3,1.1,17.7,-897.9
"TTL_B05_06",163.2,0.2,305.7,389,45.3,109.3,7.3,10,60.3,9202.1,582.2,2,44.5,422.8,1588.5,31.5,15.5,20.8,17.5,13.9,5.6,17.8,4008.5,58.3,405,73,117.9,0.8,3.6,30.4,3.8,12.8,2.5,7,11.2,17.6,80.1,48.5,81.6,26.6,12,14.2,8.1,9,0,2002.1,2,23.3,258.2,338.5,2.6,0.6,908.9,-13990.2
"TTL_B07_08",43.1,0,422.1,299.2,0,8.1,1.8,1.3,4.2,2565.8,579.2,1,39.2,1101.6,1205.6,89.5,56.6,81.6,34.1,23.8,2.8,9.4,683.8,14.3,1422,43,40.1,0,0,6.5,0.7,1.2,0.1,0.1,0.3,13,12.7,38,58,33.4,7.9,2.4,2.3,14.5,0,163.8,0,0.2,21.8,487,1.1,0,589.2,-3035.5
"TTL_B09",0.3,0,151.5,52.8,114.8,0.2,0.1,0.1,0.2,7.5,0.9,0,0.5,0.5,1.1,0.7,0.1,0.2,0.3,0.6,0.1,0.3,1.4,0.1,783.2,0.6,0.6,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0.1,0,0,0,1.7,0,0.1,1.2,0.4,0.5,0,143.5,-72.3
"TTL_C10T12",4148.4,10.8,10.7,18.2,1.9,14308.1,69.1,57.4,95.1,120.8,228,13.8,185,71.4,68.5,117.4,34.4,73.1,65.1,97.5,19.6,204,56.4,41.9,326,2925.9,143.1,4,11.8,55.7,4.6,3176.6,13,22.6,31.7,123.2,110.2,89.8,168.8,115.3,200.4,345,44.7,276,0,34255.8,7.5,65.1,224.2,1626.3,184.7,365.6,19233.7,-10571.2
"TTL_C13T15",27,0.3,10.3,9,0.1,78.4,1939.7,18.1,69.4,12.4,30.4,3,267.2,35.3,23.3,37.6,7.4,31.1,30.8,424.3,21.7,574.3,9.8,11.5,127.2,310.4,67.6,0.8,2.3,31,3.9,34,6.9,3.3,4,22.3,16.6,21.1,49.6,120.8,12.2,38.7,48.1,37,0,9459.8,4.9,48.9,125.8,401,79.9,65.9,3196.7,-8539
"TTL_C16",155.4,0.2,17.3,7.7,0.1,98.8,24.5,2229.4,136.6,11.3,42.6,2.7,97.6,116.6,21,168.1,26.3,99.3,45.5,93.7,47.3,2193.1,15.4,20.5,1427.3,419.9,188.7,1.2,3,62,4.4,20.5,7.3,5.6,5.9,17.2,149.3,23.7,37.2,35.9,16.3,28.4,15.2,114.3,0,1317.8,0.4,9.1,98,245.9,10.1,23.2,4182.2,-1765.3
"TTL_C17_18",67.2,0.3,6.4,11.2,0.1,1423.2,111.6,376.1,4976.3,34.3,200,58.9,322.2,325,44.5,114.6,22.3,133,68,137.9,23,447,20.4,59.4,226.8,1483.8,128.4,1.5,4.8,124.6,18.4,102.1,655,38.6,74,649.1,128.4,513.1,485.5,197.6,335.3,93.3,144.9,191.2,0,1939.5,2.9,26.1,51.2,395.7,26.6,45.5,5341,-4512.1
"TTL_C19",935.2,13.3,31.1,95.7,9.7,370.8,71.1,106.1,111.8,1287.2,606.4,21.9,437.8,345.8,447.1,139.3,34.9,99.3,70.5,98.3,28.2,189.7,173.5,222.6,1167.4,1269.8,7694.1,41.2,212.5,741.2,63.9,112.5,19.2,29.5,31.2,442.4,208.8,134.2,251.7,201.1,78.8,180.9,43.6,82.9,0,6741.2,2.2,24.1,54.8,431.8,66.7,146.2,4375.2,-6549
"TTL_C20",2046.4,0.9,40.4,65.5,0.7,590.6,404.3,393.1,690,526.5,4316,60.7,4027.9,595.2,192.5,522,118.4,499.5,209.9,628.5,100.8,662.1,37.5,120.1,1109.7,952.3,283.7,3.5,10.1,88.2,6,101.5,47.7,11.7,17,74,263.3,226.6,249.2,63,57.1,690,37.5,159.4,0,5268.4,2,70.1,126.1,692.1,23.4,27.2,8377.9,-16917.7
"TTL_C21",69.7,0.2,2.2,3.3,0.1,98,21.8,14.4,22.1,22.1,105.3,353.3,96.8,20.2,12.9,27.1,9.5,20,12.6,49.1,5.1,32.8,7.4,5.4,62.4,78.3,24.5,0.6,1.5,8.4,1,16.9,4.4,6.5,11.3,9.6,12.4,137.4,15.7,53.8,15.5,721.5,7.8,8.8,0,3883.3,3.4,1228.9,92.6,156.8,19.3,12.9,1741.9,-5119.6
"TTL_C22",131.5,0.3,51.3,47.8,0.5,753.7,226.4,147,274.9,45.6,457,40.1,4726.7,190,100.8,417.7,377.2,989.2,363.3,2046.1,73.3,959.5,39.2,150.3,5709.4,1519.7,633.3,1.7,5.9,198.7,16.9,30.5,117.1,27.9,15.8,174.1,78.9,100.4,171.6,104.1,34.8,73.9,22.4,79.2,0,2204.6,1.7,35,331.2,641,3.9,10.9,11823.1,-8944.1
"TTL_C23",159.5,0.4,20.2,57.1,0.3,319.6,51.4,172.1,53.9,61.9,139.9,11.2,573.6,2071,168.7,367.1,60.4,278.9,126.3,252.8,49.8,339.9,47.7,101.9,5611,698,231.7,1.5,4.3,44,3.1,43.6,6.7,22.6,13.1,59.7,205.3,136.5,72.3,45.6,38.1,81.8,14.7,124.2,0,2646.1,0.6,15.9,257.8,357,2.8,6.7,4485.7,-2946.5
"TTL_C24",19.2,0.1,42.8,386.6,0,111.3,34.2,63,30.3,26.9,48.8,1.9,228.6,140.8,5102.5,6224.4,465.8,1841,1394.7,2212.8,436,690.2,22.9,686.4,1091.1,485.1,160.6,2.7,4.2,16.9,1.5,1,3.1,9.8,5.7,3,26.8,84,45.2,30.4,5.6,8.1,1.8,34.6,0,179,0,0.1,19.8,494.6,0.4,0,10496.7,-13426.5
"TTL_C25",334,1,127.1,79.2,0.3,532.9,46.8,221.2,84.2,43,127.6,8.6,422.7,145.9,597,4823.1,133.3,793.2,1522.2,4496.9,398.9,1080,130.7,110.4,4462.5,894.2,286,5,19.4,70.8,4.9,38.7,15.6,22.9,39.3,34.3,293.6,194.1,103.2,370.5,37.2,72.8,26,79.9,0,1762.5,2.7,57.4,4744.2,697.5,4.6,16.9,12444.2,-8181.8
"TTL_C26",28.9,0.2,8.6,9.2,0,43.5,9.5,10.9,32.5,18.9,29.7,4.1,45.6,19.9,31.8,105.7,3534.5,436.8,134.6,312.9,26.1,195.8,82,13.1,258.3,323.9,97.1,3.7,12.2,37.2,5.2,9.9,34.6,883.8,472.9,84.6,30.6,172.6,70.9,97.3,56.3,155.5,27.8,106.7,0,4516.7,12.3,71.3,3318.1,532.7,19.3,14.8,6789.6,-12079.4
"TTL_C27",77.8,0.9,35.7,27.6,0.2,82.5,17.7,22.8,30.5,51.9,33.8,4.2,94.9,66.7,209.5,203.6,1054.1,2546.8,631,832.9,88.8,264.5,280.5,35.4,1190.1,523.9,398.5,7,18.5,47.9,3.8,20.2,7.7,86.1,63,35.5,60.2,96.4,55,132.2,67.4,125.1,15.4,137.5,0,4067.6,7.1,51.4,2298.2,504.2,10.9,16.4,11318.8,-9999
"TTL_C28",597.3,1.2,118.4,129,0.2,260.4,83.8,62.7,153.2,133.8,108.2,10.5,114,83.2,155.3,765.9,152.8,536.1,1458.6,1408.7,282.2,985,258.5,96,893,624.7,177.8,5.2,19.8,73.5,4.8,36.4,27.6,33.4,68.6,59.1,101.2,151.3,149.5,61.4,27.4,45.8,29.3,33.8,0,1213.4,4.1,39.6,9516,660.1,4.4,6,9213.7,-15839.4
"TTL_C29",113.4,0.8,15.5,37.8,0.3,150,30.5,46.8,35.8,17.7,45.4,5.6,296.2,63.2,43.9,251.1,73.5,193.7,259.1,11668,90.2,847.8,40.1,90.4,476.7,972.4,3435.6,2.4,8.3,207.6,16.9,23.2,14.1,34.8,50.3,123.7,41.1,95.5,126.6,65,31,51.2,18.2,40.4,0,13528.7,7.6,93.8,7147.1,1155.9,16.1,33.4,25050.1,-24300.9
"TTL_C30",20.4,1,17,9.2,0,1.7,0.2,0.4,0.8,0.7,0.6,0.4,9.9,0.5,2.3,10.6,2.4,4.7,4.8,28.6,1165,138.6,2.8,4.8,8.4,6.5,957.9,41.7,130.7,31.9,4.3,5.7,0.3,0.4,1.4,0.2,0.7,2.3,3,154.1,1.3,1.1,1.7,0.2,0,727.1,0,13.6,2637.1,51.9,0.2,0,3718.5,-2909.6
"TTL_C31T33",205.9,11,178.2,227.1,0.2,444.8,73.8,207.5,183,124.7,151.7,37.6,266.1,192.9,304.3,520,83.7,402,311.1,388.5,186.1,1518.1,290.4,82.9,1201.4,728.9,319.9,52.6,216.2,179.6,16.9,127.8,45.4,65.4,121.7,87.7,180.5,281.4,258.4,207.5,255.1,980.4,271.8,151,0,7040.8,6.1,50.5,4446.7,101.5,73.7,187.4,11872,-5201.5
"TTL_D",636.9,3.4,152.3,201,157.6,1056.7,157,285,351.5,102.2,471.8,66.9,584.4,637.7,1289.6,479.2,61.2,180.2,209.4,356.4,69.8,295,1211.6,422.4,629.5,1428.2,754.9,2.2,8.2,646.9,39.7,343.8,69.5,187.8,75.1,225.1,5134,296,167.5,405.1,657.8,560.4,330.9,150.8,0,8807.1,1.5,100.4,370.8,16.6,4.6,13.9,668.2,-720.3
"TTL_E",95.7,0.5,63.4,53.1,0.7,317.9,85.8,34.4,148.8,55.5,111.4,17.7,118.3,277.3,480.2,423.1,27.3,82.8,90,110.1,39.9,94.4,136.9,1269.8,455.4,641.4,295.3,2.2,5.6,113.6,6.3,173.5,20.2,30.3,57.4,51,1968.8,170.5,349.8,118.7,98.4,209,91.4,94.4,0,2434.1,2.3,1029.4,149.3,18.7,1.9,8.4,319.8,-113.2
"TTL_F",339.1,1.8,76.2,135.1,0.3,551.7,84.1,155.1,198.8,107.5,234.4,15.9,323.7,377.3,140.9,732,57.1,518.1,297.4,343.3,119.8,571.9,3883.4,333.4,28065,3171.3,179,6.6,28.3,474.3,25.5,346.5,25,285.4,128.3,144.1,4947.6,2606.4,543.4,2803.9,755.2,520.3,263.4,222.8,0,10191.3,2.2,107.4,47140.4,366.7,14.2,42.7,1641.2,-433.2
"TTL_G",4145.6,19.6,216.5,327.7,18.3,10553.1,1424.7,1076.4,1590.4,2864.1,2215.5,336.6,3220.8,1361.4,1442.9,2430.3,1341.3,1787.7,1243.5,4893.6,511.6,2635.9,1045.8,491.2,6358.9,6180.7,5086.4,38.9,154.2,865.5,85.4,1573.7,344.3,556.5,598.5,930.1,915.6,2079.6,1217.4,743.4,496,1522.6,311.5,604.4,0,43725.8,35.7,1315.8,7986.1,2731,343,602.6,46342,-37219.7
