"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",778.1,1,0,1.5,0,4310.5,328.5,566.3,242.9,4.2,19.1,5.1,21.8,4.4,0.9,4.4,3.8,2,3.1,6.9,0.7,8.5,5.6,7.9,32.6,97,4.4,0.4,1.8,4.7,0.3,414.2,12.5,8.5,7,9.3,16.4,40,29.5,11.3,9.2,103.6,10.1,20,0,2657.8,0.3,31.7,287.3,74.5,16.5,40.3,225.5,-1809.5
"TTL_A03",0.2,40.2,0,0,0,69.1,0.1,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.3,0.9,0.1,0,0,0.1,0,84.7,0.1,0.1,0.1,0.2,0.2,0.4,0.2,3.8,0.1,0.9,0.1,0.1,0,488.7,0,0.1,1,7.2,1,1.9,29.7,-61.1
"TTL_B05_06",1.3,0.1,0,4.2,0.2,0.8,0.4,0.1,0.2,1287,2,0,0.1,16.3,18.3,0.1,0.1,0.1,0.3,0.1,0,0.1,369.5,0.1,1.7,0.8,0.3,0.1,0,0.3,0,0.2,0,0.1,0,0,0.1,0.3,0.2,0.3,0,0.2,0.1,0,0,1.9,0,0.1,2.4,9.5,0.4,0,0,-1720.7
"TTL_B07_08",0.2,0,0,25.9,0.6,3.4,0.5,0.3,10.4,1,28.2,0.1,0.2,265.2,246.8,45.5,0.3,6.5,0.6,0.3,0.1,0.2,0.6,1.7,265.7,4.5,0.3,0,0.1,1.5,0,3.9,0.1,0.2,0.1,0.2,0.7,1.3,0.7,1.2,0.8,0.4,0.2,0.1,0,9.2,0.1,0.4,9.8,40.8,0.2,0.1,234.8,-110.9
"TTL_B09",0.1,0.7,0,2.3,0,0.4,0.1,0,0.4,15.1,0.3,0,0.1,5.1,0.1,0.1,0,0,0,0.1,0,0,1.4,0.1,8,0.2,0,0,0,0.3,0,0.1,0,0,0,0,0.3,0.1,0.1,0.3,0,0.1,0.1,0,0,0.3,0,0,0.2,0,0.2,0,4.7,-30.4
"TTL_C10T12",907.2,9.8,0,1.7,0,2372.3,70,2,13.2,0.6,13.4,0.7,2.4,3.4,0.6,4.6,2.7,1.3,2.3,2.7,0.3,5.5,0.1,1.8,22.9,7.5,2.5,0.3,0.8,1.2,0.2,1892.6,1.3,1,1.1,1.1,5.2,21.8,6.3,52.6,22.8,292.5,0.1,1.3,0,9336.7,0,0.6,4.6,118.9,68.2,153.6,1018.7,-2468.3
"TTL_C13T15",2.8,3.3,0,9.2,0,14.3,4612.1,1.8,11,8.2,14.5,7.1,27.8,15.2,3.8,6.9,6,5.6,3.4,71.7,2,102.8,38.2,1.6,121.5,208,3.4,0.3,13.4,5.1,4.6,100.8,11.5,22.7,1.8,1.7,3.3,16.7,7.7,9.3,3.7,177.7,55.8,11.9,0,5170.2,0.2,2.1,36.1,123.3,44,131.7,5107.5,-2084.8
"TTL_C16",5.8,0,0,1.1,0,19.6,5.6,539.8,16.9,0.4,2.3,0.2,3.7,12.3,1.4,59,1.1,1.2,2,4.1,2.4,166.2,24.9,0.4,769,106.7,1.1,0,0.1,3.7,0,2.6,2.3,0.5,0.5,0.6,7.5,9.6,7.4,1.9,0.8,1.4,19.1,41.5,0,103.6,0,0.5,9.5,18.5,3.1,6.6,895,-218.1
"TTL_C17_18",26.5,13,0,6.1,0,297.6,105.6,24.2,1089.7,6.6,57.6,7.6,22.2,84,7.5,53.7,13.1,6.4,14.1,6.7,5.7,35.3,76,81.9,28,501.9,6.6,1.5,1.6,24,0.8,24.4,313.2,7.5,105.9,25.7,162.8,297.3,217.3,67.9,35.9,67.4,9.1,45.2,0,238.4,0.1,0.5,9.5,36.7,7.5,16.6,861.1,-741.3
"TTL_C19",65.3,11.5,0,27.2,0.2,19.6,37,7.4,10.7,144.9,63.9,1.1,12.8,11.7,5.1,21.3,1.7,2.9,4.4,4.4,1.2,22.6,97.7,33.6,265.2,115,260,3.7,38.1,30.2,0.5,109.7,4.8,7.3,4.6,3.4,12.3,26.7,23.7,108.3,13.5,143.5,6,14.3,0,822.5,0.4,0.8,7.5,14,18.7,30.8,176.9,-434.8
"TTL_C20",242.7,3.1,0,18.2,0.3,36.8,393.7,64.2,167.8,86.1,790.2,23.3,626.1,181.2,3.3,71.2,9.6,38.7,18.8,67.3,6.8,53.5,1.3,27.1,296.1,157.6,3.1,0,0.2,0.6,0,28.6,36.7,0.4,2.5,1,4,23.6,12.6,9.6,8.8,211.3,13.8,83,0,661.4,20.9,4,4.9,38.1,6,8.4,528,-1946.6
"TTL_C21",4.7,0.2,0,3.7,0,6.8,79,0.3,0.8,0.6,21,207,1.2,0.7,0.7,0.6,0.8,0.4,0.3,0.5,1.4,0.4,0.4,1.7,5.5,23,0.4,0,0.7,0.4,0,6,0.8,0.4,0.3,1.5,1.2,8.8,1.8,3.8,0.5,178.2,0.6,1.1,0,411.5,3.2,456.9,5.1,8.7,6.1,8.9,82.2,-546
"TTL_C22",1.9,3.2,0,1.7,0,179.1,127.6,19.9,56.8,0.5,32,2.8,206,31.8,0.6,75.6,140.1,177.4,52.7,235,4.8,95.8,1.6,2.3,238.7,374.5,26.3,0,0,2.6,0.2,2.7,33.2,0.9,13.7,0.3,0.4,119.3,68.7,4.8,2.4,2.4,2.9,6.5,0,778.8,0.1,0.5,93.7,28.1,0.6,0.1,336.5,-1002.4
"TTL_C23",12.9,0.1,0,2.7,0,75.6,7.5,1,4.4,0.6,8.8,0.6,8,492.5,6.6,18.3,12.2,10.6,20.7,145.7,1.2,13.2,2.4,1.3,2330.1,74.4,4.3,0,0.2,1.7,0,30,1.3,0.9,0.8,0.9,1.5,19.6,10.5,34.1,4.9,2.7,1.2,1.7,0,134.9,0.1,0.4,9.2,23.4,0.3,0.2,768,-393.7
"TTL_C24",1.4,0.1,0,1.3,0,1.7,2.9,0.4,8.2,0.3,9.4,2.5,6.6,70.7,390.1,928.2,7.6,161.2,175.9,248.2,82.4,135.1,3.1,119.8,371.5,13,0.6,0,0,1.8,0,1.6,0.7,0,0,0,0.5,2.3,0.4,0.1,0.4,0.2,0.5,0.7,0,2,0,0,1.4,14.9,0.2,0,164.3,-1351.1
"TTL_C25",16,6.6,0,10.9,0.2,234.2,54.3,11.8,7.3,1.6,73.5,4.3,17.6,13.7,11.6,245,40,10.9,149.1,348,6.6,170.5,12.8,3.5,1177,578.1,2.4,6.2,1.5,0.6,0.4,63.2,22.8,3.8,7.8,16.2,4.6,117.8,76.5,37.7,9.1,39.5,16.7,14.5,0,158.6,0,0.6,369.4,47.4,0.5,0,495.3,-785.3
"TTL_C26",1.3,0.9,0,0.4,0,2.7,3.6,0.5,1.2,0.8,1.5,0.3,1.3,2.9,0.5,1.1,694.7,64.2,35.5,108.6,1.9,35.1,27.8,0.8,29.4,87.4,5.6,0.1,1.2,1.5,0.1,7.8,69.3,90.5,24.7,42.6,0.8,11.5,4.9,24.9,8.6,59.2,40.7,4.6,0,640.4,0.2,1.4,1583.2,31.3,7.3,15.1,908.8,-2241
"TTL_C27",0.6,0.3,0,1.3,0,2.4,3.2,0.4,0.9,0.5,1.5,0.7,1.1,5,2.6,1.4,130.8,239.9,93.5,226.1,2.1,55.2,21.8,3.5,314.5,132.4,7.4,0.1,0.5,4.5,4.5,71.9,1.3,47.6,4,20.2,0.6,8.1,9.9,22,4.2,8.5,1.1,1.5,0,85.2,0.1,0.8,162.4,12.4,3.7,4.3,1177.6,-1069.6
"TTL_C28",29.2,0.6,0,19.5,0.1,41.4,39.9,10,1.4,1.2,6.7,2.8,9.1,91.7,5.2,41.8,11.6,11.6,344.2,59.5,15.3,48.4,0.8,12.8,311.5,54.3,4.3,0.2,0.5,0.4,0.1,18.5,0.8,1.2,0.9,0.5,0.4,4.5,26,64.7,1.8,8.4,0.7,2,0,451.3,0.1,0.6,2108.4,26.4,0.6,0,642.8,-2582.3
"TTL_C29",1.2,0.2,0,10.9,0.1,4.4,4.6,0.8,1.5,0.5,2.4,1.2,9.3,2.1,0.6,11.5,4.1,3.1,7.2,3025.4,2.7,6.2,2,5.9,13.1,356.9,50.9,0.5,0.4,1.2,0.1,2.2,2.7,2.7,1.6,2.1,3.3,7.9,3.5,16.7,1.8,7.2,2.2,2.8,0,3786.1,0.1,0.8,1593,86,5.5,10.1,2648.9,-4095.9
"TTL_C30",0,0.2,0,0,0,0.1,0.3,0,0,0,0.1,0,0,0,0,2.1,0.5,0.1,0.2,1.1,25.1,14.2,0,0,0.8,6.1,1.1,0.2,16.9,0.3,0,1.6,0.2,0,0,0,0,0.1,0.1,13.9,0.2,0.1,0.4,0.1,0,83.1,0,0.1,246.4,-118.4,0.1,0,353.1,-224.1
"TTL_C31T33",10.1,16.5,0,13,0.2,105.9,75.3,11.5,21,14.1,14.7,10.1,9.8,29.6,12.1,17.7,6.4,7.5,7.7,131.5,8.9,256,26.1,10.1,90.6,197.6,53.7,6,15.5,16.8,5.3,53.2,15.3,26.5,14.8,6.1,10.2,25,33,20.4,19.6,47.1,45.8,12.8,0,1102.4,0,0.8,544.7,1.4,36.4,95.5,725.4,-567.4
"TTL_D",46.6,4.8,0,29.5,0.2,67.2,122.1,18.1,249.4,113.6,20.4,0.8,24.7,102.5,53.1,55.9,8.3,11,14.1,19.5,7.4,22.2,1935.6,43.8,63,416,44.7,0.1,2.4,42.1,0.4,179.1,15.6,35.1,7.4,54.6,58,139.8,52.2,154.8,61,59.6,24.4,80.3,0,1422.6,0,0.6,16.3,0.2,0.6,0.2,68.3,-48.5
"TTL_E",0.7,0.2,0,1.1,0,21.7,9.6,0.9,48.9,4.1,3.5,0.4,23.1,48,264.4,6.1,1.3,1.1,1.7,3.3,1.2,5.3,1,60.7,26.6,46.6,3.7,0.1,0.5,6.4,0.1,38.5,2.5,1.5,0.9,6.1,7.3,9.4,6.5,73.9,17.4,28.7,6.3,24.5,0,704.5,0,222.9,25.3,0.7,0.4,0.2,1.1,-38.4
"TTL_F",40.8,8.7,0,23.2,0.3,51.4,56.3,22.1,35.4,27.4,24,1.7,14.6,56.5,11.2,37.2,9.5,8.3,11.9,21.4,3.2,34.7,8.9,16.4,7193.5,226.3,127.2,3.7,21.8,91.3,1.9,62.8,13,40.5,26.9,61.8,679,71.3,48.4,62.2,18.7,45.9,20.6,35.8,0,119,0,77.1,15377.4,18.7,2.6,0.3,0.3,-49.3
"TTL_G",740.5,62.4,0,64.2,0.5,2267.4,2093.7,193.7,382,188.7,386.9,163.2,301.1,276.3,78.5,263.8,329.8,170,204.4,855.5,32.1,292.9,180.8,107.6,1166.1,2150.2,259.7,13,71.6,129.7,5.7,1135.5,162.8,127.5,61.1,80.9,96.5,302.3,187,216.9,77.9,558.7,100.7,100.2,0,11178.1,12.1,322.1,1995.6,197.1,100.5,296.3,4823.1,-5939.5
"TTL_H49",74,1.6,0,62.2,0.3,186.6,127.7,69,114,65.9,57.8,4.1,42.3,92.9,26.2,51.9,28.5,31.7,33.7,59.5,3.7,38.4,11.4,57.1,146.5,729.9,158.4,1.4,2.7,203,3.1,22.8,19.4,16.2,10.8,11.3,32.5,80.9,32.7,47.3,22.7,25,6.2,41,0,1001,0.4,52.9,93.1,5.9,166.1,230.6,426.7,-1103.8
"TTL_H50",0.7,0,0,0.3,0,2.6,6.2,0.4,5.1,49.3,1.1,0.2,1.7,2.6,0.7,4.4,0.7,0.4,0.9,4.5,3.9,0.6,0.7,1.4,2.9,30.4,0.2,32.9,0.6,0.3,0.3,1,0.5,1.2,0.3,0.1,0.8,8.6,3.6,0.5,1.7,0.9,0.2,0.3,0,21.8,0,20.8,4.6,4.3,21.6,34.2,50.4,-114
"TTL_H51",8.2,4.4,0,1.1,0,21.4,19.3,3.8,3.9,8.9,4.3,1.1,4.8,4.5,2.3,5.5,4.7,2.9,5.6,14.3,1,8.8,4.5,2.9,34.2,322.4,2,0.1,188.8,9.2,0.2,7.1,8,11.3,11,11.4,29.7,50.5,38.9,26.5,13.7,20.1,5.4,31.2,0,164.6,0.1,1.9,25.3,43.6,80.4,176.8,941.2,-722
"TTL_H52",3.4,0.4,0,0.4,0.1,15.3,15.2,1.3,9.3,10.2,5.1,0.6,3.5,4,1.7,4.1,4.1,2.1,2.8,8,0.6,10.3,4.3,49.1,19.9,1225.7,8.6,39.7,387,27,0.1,64.3,5,1.1,7,15.4,12.6,29.6,12.6,16.3,1.6,98.3,4.5,2.7,0,666.2,0.1,2,17.5,2.6,1.8,0.4,414.1,-286.4
"TTL_H53",0.3,0.2,0,0.1,0,0.9,1.3,0.3,1.7,0.1,0.4,0,0.3,0.7,0.1,0.7,0.3,0.2,0.4,0.4,0.1,1.5,0.9,0.4,5.2,32.5,1.5,0,0.6,6.7,145.1,1.3,3.7,85.9,1.1,7.9,8.1,4.6,4.9,11.1,5.2,2.7,1.8,27.7,0,39.4,0,0.2,0.5,0.2,2.1,3.1,66.2,-3.4
"TTL_I",3.2,1,0,4,0,22,31.5,10.3,10.6,1.9,12.7,2,10.5,7.7,3.6,40.3,9.7,6.8,14.7,7.8,2.3,18.5,3.2,5.9,137.8,521.1,14.8,0.2,1.5,96.1,0.3,37.3,23.2,2.8,30.1,76.2,31.9,141.2,80.8,161.9,44.4,61.2,11.7,17.9,0,5919,0.6,1.2,0.2,0,614.9,1782.6,0,-617.5
"TTL_J58T60",1.1,0,0,2,0,24.9,16,2.9,16.6,2.9,2.8,0.6,0.6,2.9,3,5.3,1.8,0.6,0.7,1.3,0.2,3.4,0.3,1.4,28.7,129.1,6.1,0.3,29.2,23.9,5.1,13,157,87.6,20.2,53.2,34.3,683.9,115.7,15.9,14.5,23.4,7.6,10.1,0,560.8,82.8,35,267.7,0.5,9.8,16.3,205.1,-263.3
"TTL_J61",6,2.6,0,3,0.1,22.1,33.2,6.5,41,2.7,9.4,1,6.3,15.2,2.1,25.9,7.4,5.4,8.9,8.6,1.7,17.4,20.6,10.6,121.1,581,32.6,0.4,12.4,200.6,0.5,34.2,50.8,1033.1,25.9,257.8,77.1,107.6,77.8,160.2,60,65.1,24.7,156.2,0,1572,0.1,26,6.2,0.6,18,35.2,294.7,-279.8
"TTL_J62_63",5.3,0.9,0,3.1,0,1.9,1.7,0.6,1.9,13.8,0.8,0.2,0.4,0.5,1.4,0.7,4.4,1.6,6.8,0.9,0.1,21.4,67.9,6.9,3.2,110.1,157.4,3.9,23.2,42.5,0.8,5,25.8,109.9,34.4,161.5,87.5,134.1,68.2,83.5,28,86.4,7.7,28.2,0,66.8,0.1,0.7,361.5,0.8,1.1,1.4,49.2,-265.6
"TTL_K",215,30.3,0,47.5,0.2,235.7,290,69.7,92.2,23.8,75.1,10.4,42.8,112,39.5,71.4,46.1,45.8,50.7,73.8,24.5,112.9,190.3,75.5,606.3,1152.4,169.9,7.7,47.1,92.4,7,160.4,91.5,189.5,83,782.3,337.8,279.5,174.7,441,240.5,244.2,108.8,37.9,0,1810.1,2,120.9,159.4,1.1,40.4,96.5,351.7,-1144
"TTL_L",4.1,0.4,0,10.4,0,54.7,39.4,9,20.5,19.8,32.3,4.9,7.6,23.2,10.3,21.2,19.1,10.9,10,14.7,12.8,52.7,9.1,8.5,190.1,731.1,53.5,9.4,15.9,65.1,2.3,98.9,60.6,50.7,78.1,260.3,267.8,135.9,63.5,70.3,31.2,42.1,14.3,28.4,0,6804,15.3,3.6,1271.1,0,90.5,189.1,0.3,-121.5
"TTL_M",44.8,8.2,0,13.6,0.2,437.5,194.3,24.7,101.2,50.7,156.1,53.7,46.8,77.4,18.9,78.1,68.6,32.5,35.6,59.4,12.2,120.5,97.3,148.5,407.3,911.9,73.1,3.9,27.3,111.2,1.2,154.6,352.3,198.1,209.3,266.6,339,988.4,260.9,192.2,127.1,241.3,207.7,140.2,0,470.9,25.7,39.1,687.5,0.9,12.5,23.2,206.4,-567.8
"TTL_N",27.8,4.4,0,5.7,0.3,167.3,94.3,14,48.7,18.6,65.4,17.6,22.6,38.5,9.2,45.6,28.6,15.4,17.6,37.2,4.4,60.5,40.8,49.6,153.8,637.6,43,5,61,78.4,5.8,89,131.4,141.5,89.1,131.4,232.5,375.4,304.8,143.2,144.7,283.5,194.6,97.2,0,920.6,0,1.3,245.1,0.7,20,36.2,257.1,-508.6
"TTL_O",9.3,1.1,0,1.8,0.1,43.7,22.4,6.3,13.9,11.3,17.1,4.7,5.7,10.6,4.9,10.9,7.1,3.5,4.3,7.9,1.3,17.4,14.2,29.2,68.7,136.8,12.1,2.3,6.8,21.9,0.9,28.5,37.1,34.8,25.4,47.1,62.9,115.9,46.3,52.9,27.5,53.4,42.4,25.2,0,330.4,133.9,9571.5,127.1,-0.7,4.2,10.7,49.4,-39.5
