"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",6881.8,3.1,0.9,0.2,0.3,4172.1,384.1,202.6,14.3,5.2,45.7,1.3,3,1.7,0.6,0.3,2.2,0.4,1.7,0.6,2.1,33.5,2.4,1.4,6.6,490.8,9.3,0.6,0.6,4.9,0,369.6,1.1,0.3,1.3,1.9,1.5,59.5,7.4,20.8,1.2,4,3.8,38.5,0,4551.7,0,305.9,191,297,5.3,11.6,203.1,-392.8
"TTL_A03",0,2.1,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0.1,0.1,0.1,0.3,0.6,0,-1.3
"TTL_B05_06",0.1,0,187.8,0.1,4.2,0.6,0.2,0.1,0.1,807.4,5.5,0.1,0.1,0.8,26,0.2,0.1,0.2,0.4,0.1,0.8,0.3,2202.1,1.1,0.6,1.1,0.5,0,0,0,0,2.9,0.5,0.1,0,0,8.4,1,0.3,0.1,4.4,5.9,2.5,2.3,0,120.6,0,0.3,19.4,31.5,0.1,0,12.9,-1319.8
"TTL_B07_08",0.1,0,3.2,25.8,1.6,1.3,0.8,0.1,0.3,0.2,31,0.3,1,107.8,300,6.4,2.6,8.9,16.1,0.6,0.5,0.6,0.5,0.4,32.1,7.9,7.6,0,0,0,0,0.1,0.1,0,0,0,0.7,7.4,4.3,0.1,0,0.1,0.4,0.9,0,29.4,0,0.1,1.6,3.6,0.1,0,21.6,-358.1
"TTL_B09",2.8,0.1,134.8,7.7,20.2,0.4,0.1,0.1,1,61.1,6.1,0,0.3,6.7,4.7,0.3,0,0,0.1,0,0,0,68.9,0.6,43.7,0.2,5.9,0,0,2.2,0,0.1,0,0,0,0,2.2,0.2,0.6,0.5,0.1,0.3,0.1,0.1,0,0.1,0,0,0.3,0,0,0,4.2,-3.2
"TTL_C10T12",158,1.6,2.3,0.3,0.3,2454.2,75.4,3.4,34.3,2.1,22.8,11.8,9.7,5.6,23.2,6.6,0.7,6,4.1,6.2,5.7,10.8,22.7,22.5,93.8,1488.4,72.3,3.6,5.5,47.1,1.8,405.2,29.2,15.9,15.9,32.2,43,44.8,31.2,123.3,90.9,155.5,64.4,103.7,0,7929.8,0,68.2,2.1,142.9,21.3,46.2,109.3,-752
"TTL_C13T15",31,0,34,0.8,1.8,73.4,1046.5,9,6.9,7.9,24.9,2.1,19,23.4,18.9,7.6,5.3,11.6,7.7,59.9,7.4,58.2,21.5,15.4,44.5,189.9,102.6,0.7,1,7,2.1,91.5,12.3,11.5,3.5,3.7,90.2,18.8,8.3,58.3,14.7,226,34.4,58.7,0,2142.6,0,0.1,3,192.7,12.4,23.7,1663.5,-1754.8
"TTL_C16",20.7,0,1,2.2,0.9,23.6,3.2,434.1,15.5,3.6,8.7,1,5.1,15.1,7.5,3.1,0.6,5.7,8.4,9.5,10.6,409.2,1.4,2.7,174.6,69.2,10,1,0,0.1,0.2,7.5,2.3,2,6.5,3.6,133.9,1.7,2.7,21.3,13.4,4.3,5.7,14.6,0,69.1,0,0.1,2.4,26.8,1.1,1.8,422.9,-173.6
"TTL_C17_18",2.2,0,3.3,0.7,0.5,97.5,21.4,5.6,185.1,1.8,16.1,1.8,2.6,16.7,7.1,3.2,5.1,4.4,5.4,5.2,1.2,20.9,5.1,11.5,14.7,31.1,21.2,0.1,1.2,1.3,1.8,5.2,133.3,15,6.4,41.6,24.7,19.9,10.6,67.8,142.1,27.3,40.3,59.7,0,255.2,0,1.3,2.8,12.6,2.5,4.2,67.9,-357.3
"TTL_C19",23.3,0.2,46.8,11.1,10.4,19.3,20.5,7.5,10,176.4,38.3,0.8,7.4,34.6,300.7,5.6,5.7,6,18,12.8,7.2,15.5,44.3,15.1,19.4,15.6,126.3,3.5,9.5,8.1,1.5,10.5,5.7,13.1,5.8,13.9,5.5,32.5,20.2,15.7,8.3,14.3,9.6,22.6,0,1318,0,0.3,5,30.3,7.9,14.5,499.8,-388.8
