"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",1211,1.3,0.4,0.3,2.8,2036.4,13.9,52.5,70.7,1.1,3.2,1,9.1,0.8,3.3,1.2,0.4,0.4,0.7,1,0.6,93.2,3.7,0.6,4.5,84.8,4.6,0.8,1.1,5.4,0.2,26.6,0.5,0.5,0.1,10.3,1.6,2.8,0.8,51.2,6.9,16.3,0.7,3,0,9727.2,0.3,73,29.9,-0.9,56,38.1,862.3,-1630.9
"TTL_A03",107.5,47,0.1,0.1,0.3,70,0.1,0.1,0.1,0.2,0.3,0,0.1,0.1,0.4,0.3,0.1,0,0.1,0.1,0.1,0.2,0.3,0,0.5,1.4,0.4,0.1,0.1,0.2,0,13.1,0.1,0,0,0.3,0.1,0.2,0.4,1.8,0.2,0.6,0,0.1,0,636,0,16.1,0.4,-3.2,3.7,3.8,170.3,-37.1
"TTL_B05_06",59.1,1.1,549.2,2.2,100.4,117.6,2.7,6.1,12.2,5843.9,73.3,0.2,0.7,43.7,507.5,2.2,0.6,1.4,30.8,1.2,2.3,13.1,3024.3,91.5,68.5,355,131.5,1.4,5,7.3,1.4,0.8,0.4,1,0.2,35.3,2.4,6.9,1.2,12.4,3.1,24.8,34,0.5,0,121.5,0.1,0.9,37.5,-0.1,1.5,1.8,7534.7,-148.1
"TTL_B07_08",4.1,0.2,7.7,6.5,25.6,6.6,0.2,0.4,0.8,0.7,63.8,0.3,0.7,54.8,653.9,3.1,0.2,0.4,1,0.5,5.6,42.5,1.6,2.4,52.6,3.3,3.2,0.1,0.4,8,0.1,0.5,0.1,0.1,0,0.2,0.8,1.2,0.4,1.6,0.4,0.4,0.2,1.9,0,21.4,0,0.5,9.4,-3.4,0.9,0.7,1540.2,-380.4
"TTL_B09",1.6,0.1,828.4,2.6,6291,6.9,0.2,0.3,0.6,1495.6,1.6,0.1,0.4,1,3.1,1.2,0.9,0.5,2.2,0.6,0.5,2.7,8.3,1,77.8,10.7,5.1,0.1,0.5,1.1,0.2,0.4,0.2,0.5,0.2,0.7,6.6,84.3,3.7,6.7,1.9,3.7,1.7,0.3,0,13,0,0.4,3098,-1.5,0.2,0.5,258.2,-42.9
"TTL_C10T12",240.7,6.7,1.4,0.4,3.3,2145.4,3.2,1.2,2.5,5.6,24.6,2.1,2.5,1.7,8.8,3.2,1.1,1.1,1.9,1.3,1.1,16.2,7.8,1.6,6.6,125.7,11.8,0.8,1.9,6.2,0.2,140.8,1.3,0.6,0.2,52.4,1.4,4.7,2.9,89.5,23.5,94.1,0.8,2.3,0,15456.6,4.8,1.7,9.1,-6.4,215.5,110.9,1311.1,-4880.8
"TTL_C13T15",5.1,1.8,2,0.6,4.6,11.8,129.3,4.6,1.7,1.4,10.8,0.3,6.5,3,8.4,2.6,1,1.2,3.1,3.2,1.7,10.2,3.3,1,7.1,16.2,15.3,0.3,0.4,1.9,0.9,2.2,0.4,0.5,0.1,7.3,0.7,3.4,0.8,29.8,1.8,7.7,1.9,3.6,0,2990,0.4,0.7,4.1,-0.3,138,32.6,201.8,-2152.7
"TTL_C16",4.3,0.2,4,0.1,0.5,21.4,0.6,56.1,4.4,0.6,11,0.2,0.5,5.7,7.4,2.1,0.3,0.8,3.2,0.8,0.6,14.3,2,0.2,39.1,33.5,9.2,0.1,0.1,1.7,0,0.2,0.2,0.1,0,5.7,6.8,36.2,6.8,1.3,0.5,2.4,0.3,1.4,0,197.8,0,0.2,11.9,-17.2,11.7,4.5,1164.2,-173.2
"TTL_C17_18",24.5,3.5,0.9,0.5,1.9,227.9,5.4,20.3,287.1,1.5,16.3,6.4,9.3,17.5,6.1,6.4,2.2,3.6,3.7,2.4,1.2,12.5,4.3,2.9,14.9,243.6,5.1,0.4,0.8,5.7,10.8,17.8,131.3,3.6,2.9,29.5,13.5,22.2,10.3,117.6,14.1,10.9,5.2,25.1,0,218.9,0.2,0.8,4.1,1.1,26.3,12.2,1448.7,-556.3
"TTL_C19",56,42.1,25.3,15.6,53.3,67.2,4.6,14.5,11,918.4,97.3,1.5,12.5,24,99.6,9.6,2.4,4.3,10.4,4.8,4.2,9.3,438,37.4,62,71.3,145.2,30.6,165.8,86.4,1.9,2,4.7,1.1,0.3,9.5,3.4,11.1,11.7,35.3,2.5,6.4,2.8,4.2,0,158,0.1,1.5,8.5,36.9,73.4,14.1,15308.9,-284.2
