"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",615.5,3.1,21.5,0,1.9,2943.3,63.1,1.3,7.7,0.1,10.9,0.5,16.2,0.7,0.4,0.2,0,0.2,0.2,0,0,1.8,0.1,0.1,3.8,288.5,0.1,0.2,0.5,0.3,0.1,91.8,5.1,2.4,0.1,0.1,0.2,0.3,0.3,45.4,15.2,11.5,11.8,0.8,0,7952.3,0,171.7,355.6,108.8,38.7,28.7,6.3,-1595.3
"TTL_A03",22.2,0,0.1,0,0,62,0.1,0,0.1,0,1,0.1,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,2.1,0.5,0,0,0,0,0,56.7,0,0,0,0,0,0,0,2.7,4.8,6.3,0,0.1,0,500,0,0,0.2,5.9,2.7,3.2,1.4,-8.8
"TTL_B05_06",0.3,0,3.3,2.6,0.1,304.3,68,9.9,45,1717.8,16.9,0.1,66.3,83.3,106.7,72.1,3.1,56.1,26.7,11.7,4.1,35.8,249.9,0.8,118,1.4,4.9,0.2,21.4,11.6,0.9,8.4,12.3,59.7,5.4,0,0.3,0.7,6,0.6,7.2,11,2,0.6,0,126.2,0,0.1,6.9,1361.1,2.6,0,75123.5,-25.1
"TTL_B07_08",0.6,2.9,0.7,5.9,0,6.7,0.3,0.1,4.9,0,162.3,1.3,0.6,440.2,165.6,3.9,0.1,3.7,0.5,0.1,0,1.7,61.4,12.5,210.4,5.7,0,0,0.1,1.2,0.2,0.5,0.4,4.7,0.3,0,0,0.2,0.1,0.5,0.2,0.6,0.5,0.2,0,3.5,0,0.1,3.8,13.7,0.8,0,46,-167.1
"TTL_B09",0,0,0.1,0,0,0.5,0.1,0,0.1,3.7,0.3,0,0.1,0.2,0.2,0.1,0,0.1,0,0,0,0,0.1,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.4,0,0,0.5,0,0.3,0,228,-5.4
"TTL_C10T12",122.5,2.5,15.5,0.1,1.5,210.6,14.9,0.3,2.1,0.1,7.6,0.3,1,1.2,1,0.4,0.1,0.4,0.3,0,0,0.7,7.7,6.7,12.3,9.2,0.1,0.1,0.8,0.2,0,100.2,12.7,0.2,4,1.1,6.4,6.9,24,11.1,6.4,9.9,0.6,10.8,0,12362.4,0,1.2,7.5,105.3,161,138.3,591.7,-3244.2
"TTL_C13T15",5.5,6.7,7.5,0.1,0.3,13.5,297.5,0.7,13.9,0.1,20.1,0.6,14.6,4.4,5.2,0.8,0.4,2,2.1,1.9,0.2,22,0.1,5.2,24.9,28.4,0.2,0.1,15.5,1.3,2,34.7,3.4,26.3,0.2,0.1,0.1,3.9,5.5,44.1,8.5,33.2,5.2,17.3,0,3264.9,0,0.6,58.8,-1.6,86.2,43.7,168.1,-1659.9
"TTL_C16",17.7,3.3,2,1.8,0.2,52.7,20.7,118.6,56.4,0.1,8.3,0.2,4.1,17.9,5.8,7.1,0.4,6.5,1.8,0.3,0.4,110.4,0,0.9,223.2,15.3,0.1,0,0.3,12.9,0.1,20.3,1.9,1.2,0,0,0,0.9,1,3,0.3,0.8,1.9,17.7,0,3.9,0,0.2,20.1,4.9,7.1,2.4,28.5,-325.4
"TTL_C17_18",3,0.2,1.6,0.2,0.1,35.8,4.7,1.3,89.2,1.4,22.1,1.2,3.9,5.3,1.6,0.8,0.3,2.1,0.9,0.2,0.1,4.4,3.3,4.3,1.8,20.4,0.3,0,0.8,4.5,0.5,6,63.3,7.8,2.4,5,1.5,42.9,23.4,42.7,10.4,15.1,9.1,9.8,0,1875.8,0,6.5,9.4,10.6,18.6,10.9,262.9,-586.8
"TTL_C19",193.9,28.7,138.6,19.7,5.1,42.2,13.4,7,15.9,1849,788.2,7.5,21.7,72.8,41.7,6.1,0.4,4.9,6.2,0.4,0.5,14,289.4,19.7,59.1,121.6,102.9,7.9,546,43.1,2.7,64.4,4.6,30.7,0.4,1.9,1,4.7,7.6,205,130,82.4,3.5,15.5,0,1582.9,0,2.2,6,131.4,65.2,92,6127.1,-200
