"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_A01_02",107.8,0,0,0.1,0,400.7,5.8,3.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.9,0,0,0.4,5.6,2.3,0,0,0,0,45.8,0,0,0,0,0,0,0,0.7,0.1,0.7,0,0,0,971.9,0,0,25.9,128.6,0.9,0.8,66,-127.6
"TTL_A03",0.3,5,0,0.1,0,68.6,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.2,0,0.8,0.1,0.1,0,0,0.1,0,2.7,0,0.2,0,0,0,0.1,0.1,0.3,0,0,0,0,0,73.3,0,0,0.9,17.7,0,0.1,57.6,-0.4
"TTL_B05_06",0.1,0.2,0.6,2.8,0.1,2.2,0,0,0,219.6,5.4,0,0.1,2.7,0.1,0.1,0,0,0,0,0,0,5,0.1,3.5,1.5,0.4,0,0,0.2,0.1,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,2.1,0,0,0.4,13.8,0,0,16.9,-240.9
"TTL_B07_08",0.1,0,0.2,3.9,0,1.8,0,0,0,0,22.8,0,0,9,12.9,0,0,0,0,0,0,0.2,0,0.1,24,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0.5,69.5,0,0,214.8,-12.3
"TTL_B09",0,0,1.4,19.7,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0.5,-13.5
"TTL_C10T12",47.7,1.7,0,0.3,0,155.4,3,0.2,0.2,0.2,0.5,0.6,0.1,0.7,0.1,0.3,0,0.1,0,0,0.1,0.3,0.8,0.2,2.9,7.2,1.5,0,0.1,0.9,0,70,0,0.8,0,0.3,0.1,0.5,0.2,2.4,0.3,1.2,0.1,0.1,0,1693.1,0,0.1,5.4,165.9,3.6,1.6,162.8,-221.4
"TTL_C13T15",2,0,0,0,0,0.3,42.4,1,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0.5,0.1,0,0.1,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.3,1,0.5,0.3,0,0.1,0,281.5,0,0,0.4,31.1,1.9,2.5,46.5,-42.7
"TTL_C16",0,0,0,0,0,6.3,0.4,7.4,0,0,0,0,1.5,0,1.1,3.2,0,0,0,0,5.4,12.7,0,0,10.2,0,0,0,0,5.1,0,0,0,0,0,0,0,0.3,0,0.2,0.1,0.1,0,0,0,46.8,0,0,0.8,7.8,0.2,0.1,1.8,-23.4
"TTL_C17_18",0.3,0.3,0,0.5,0.1,16,0.4,0.2,10.3,0.8,1.8,0.5,0.2,5.9,0,0,0,0,0.1,0,0,0.3,0.3,1.4,1.3,5.2,1.3,0.1,1.1,1.9,0,1.5,2.8,3.4,1.3,5.7,0.3,6.1,2.6,5.5,5.5,2,0.3,0.3,0,11.6,0,0,0.1,10,0.4,0.2,5.1,-25.9
"TTL_C19",7.9,29.7,0.5,9.6,0.4,32.7,1.1,0.7,0.3,2.4,23.4,0.7,0.9,14.1,0.3,0.3,0,0.2,0.1,0,0.1,0.6,107.5,5,34.4,13.8,59.9,1.3,2.8,9.3,0,2.7,0.2,4.5,0.4,2.8,1.3,10.5,4,8.7,1,3.5,0.2,0.3,0,85.3,0,0,0.2,47,1.3,0.8,174.3,-244.3
